"","Tau","pValue"
"RankC9m_CHm",0.0611694620272718,1.04243445552864e-24
"RankC9m_GRN",0.0700576806196007,2.26824547670771e-38
"RankC9m_VCP",4.81486993859598e-05,0.992863906175364
"RankC9m_C9r",0.0421422413904854,6.21535708310994e-15
"RankCHm_GRN",-0.00128300660113826,0.831907910747195
"RankCHm_VCP",0.0032578086917683,0.588168295347141
"RankCHm_C9r",0.0530653542809072,1.52383383673668e-18
"RankGRN_VCP",0.0592747584842131,1.83540173966789e-27
"RankGRN_C9r",0.0170543222067798,0.00185528700396623
"RankVCP_C9r",0.0161530816962009,0.00305795633193472
