GSM1676853	GSM1676854	GSM1676855	GSM1676856	GSM1676857	GSM1676858	GSM1676859	GSM1676860	GSM1676861	GSM1676862	GSM1676863
100131755	0.357606378	0.693586101	0.387948833	-0.180008441	-1.676167631	-2.360184339	0.510050684	0.371391563	0.523371569	-1.549761371	-1.740018431
10406	-0.479410567	1.34159368	0.374375512	0.501421619	0.300248741	0.76140226	2.118867081	1.390099008	2.464384487	1.333277546	1.664567133
11078	3.003797995	1.256265451	2.348094129	2.190307977	0.72920909	2.09049193	1.755089381	-1.936410625	1.023745428	2.770259356	1.065137775
11099	0.728296583	-1.135098783	0.040787072	0.829683326	-1.126653453	0.924764125	-1.142949157	-1.740456876	-1.376087959	-1.444318475	-2.87003915
11202	1.376113769	-2.118241455	0.773785209	1.256197933	1.192498974	1.762559899	-4.0480162	-1.514637521	1.036623711	-0.800490149	0.339438525
112597 /// 101930489	0.547487522	-0.874716025	0.050156837	0.080992558	-1.82043557	1.600249852	0.084919056	0.460279436	-0.294099285	0.913630565	-1.680872596
113235	0.593212366	-1.895533359	1.370668426	-0.031099618	0.933813193	0.593242334	-1.10977779	0.997606846	0.837511338	-0.68588421	1.08588724
113277	-1.128700641	-0.843378979	0.044089232	-3.046547995	1.292933197	0.810493831	0.055465595	-0.83983874	-0.003925286	-2.166651515	0.767350354
114609	1.076105407	2.348984794	3.042101953	1.530399289	2.043321982	1.844737654	1.958570621	3.883907594	0.932878501	0.35317856	2.983136695
116842	0.936195256	-1.972849504	-1.820568493	0.236836243	-0.222728912	-0.350939716	-1.10942213	-0.088718385	-2.127901841	-1.414642298	-2.123617358
117144	0.630937681	1.67779402	2.974692859	1.49388003	3.10272116	0.699434703	2.63467915	3.295624514	3.17070151	3.091803391	2.676015201
121340	-2.5714287	-3.044340667	-2.052096795	-2.951501563	-1.914273956	-2.47811466	-2.895459116	-0.70158986	-2.280583617	-2.683370951	-1.728210886
123207	1.158770869	-0.586500822	0.593133995	-0.906730703	-0.554603007	-0.468440501	-0.630333975	-0.479285309	0.444971207	0.946089092	-0.203193072
124540	1.276452411	-2.231767481	-2.07691524	1.72195341	0.192492547	1.080234768	0.853148908	-1.730998876	-3.001629542	-1.038969156	-2.299180796
125488	1.830709439	1.546333997	1.504905843	0.022287898	-1.258957334	-0.58114416	1.148252131	0.993728919	-0.177621722	-1.273370491	0.684026064
128153	-1.596067185	-2.146147125	-3.097861908	-1.959910404	-0.68465367	0.544644789	-1.55510159	-0.231952411	-2.590607843	0.24572914	-1.927369251
132321	-2.099112021	0.267361073	-0.311230577	-1.524509768	-1.218990079	-1.968067139	-0.407007015	0.097798067	-0.228976905	-0.047015379	-0.677323183
135295	0.034402326	1.998510985	2.508667802	0.935748315	0.098713633	0.889813019	2.035526739	1.612697687	1.521849802	0.196835807	2.425065041
140690	-0.197192716	0.699342808	0.121549314	-1.649456547	-2.819014371	-1.919514898	-0.61747562	-0.567983986	-0.898006153	-0.778245868	-1.72822089
145258	-2.403424008	-2.960917047	-3.428465466	-4.271406759	-2.391822732	-3.182557539	-3.814490836	-2.917401836	-3.922907945	-3.0071428	-2.837462918
148113	-2.03750025	-1.684873122	-1.746564215	-1.362785577	-0.118755397	-2.040511618	-1.026646371	-3.104860559	-2.520320847	-2.640768313	-2.270074689
