"ID","tmBestGene","tmBestPv","coBestGene","coBestPv","Flag"
"SCN3A","SCN3A",0.220779260990998,"SCN3A",0.708957526326581,FALSE
"NT5E","NT5E",0.00495587501829046,"NT5E",0.00136463034009315,FALSE
"EPB41L2","EPB41L2",0.000306950427729507,"EPB41L2",2.58528230489942e-05,FALSE
"IL4R","IL4R",0.000209003578216864,"IL4R",0.0339161560176266,FALSE
"IL13RA1","IL13RA1",0.00197740893012262,"IL13RA1",0.00240380458412771,FALSE
"SESN1","SESN1",0.0779568585915408,"SESN1",0.0156892582957318,FALSE
"ADARB1","ADARB1",0.0399633546664879,"ADARB1",0.988346971291069,FALSE
"PIK3C2B","PIK3C2B",0.00294136523827097,"PIK3C2B",6.4171669842207e-14,FALSE
"ABCB4","ABCB4",0.0141473751485209,"ABCB4",7.80318133801237e-14,FALSE
"GCNT1","GCNT1",0.0463779558567665,"GCNT1",0.00946055095521291,FALSE
"PLAG1","PLAG1",0.245236093874669,"PLAG1",0.00558157024501291,FALSE
"DSP","DSP",0.296287206057755,"DSP",0.237073562855014,FALSE
"FAM134B","FAM134B",0.734782946425621,"FAM134B",0.0547388356264377,FALSE
"ITPR1","ITPR1",0.10834494303781,"ITPR1",8.90163760528517e-05,FALSE
"SCPEP1","SCPEP1",0.456142034518289,"SCPEP1",0.0151145177539749,FALSE
"P2RY14","P2RY14",0.146874334986357,"P2RY14",2.37285713936972e-11,FALSE
"TRIB2","TRIB2",0.170920056812153,"TRIB2",2.29985541087081e-11,FALSE
"BACH2","BACH2",0.00899652956022636,"BACH2",2.86568554779021e-20,FALSE
"MACF1","MACF1",0.0186306750226502,"MACF1",0.054731368581717,FALSE
"CR1","CR1",0.00105954652848731,"CR1",1.03795775523424e-05,FALSE
"CR2","CR2",1.52084824318696e-06,"CR2",4.01930823153103e-07,FALSE
"TPST1","TPST1",0.491865368586923,"TPST1",0.0559038276250166,FALSE
"ADK","ADK",0.00368340574118256,"ADK",0.0761691657161139,FALSE
"HOPX","HOPX",0.586817407271901,"HOPX",0.91025750166756,FALSE
"TCL1A","TCL1A",7.33339968964272e-05,"TCL1A",7.34183143558003e-22,FALSE
"SNX2","SNX2",0.260307584066584,"SNX2",0.00161548491159234,FALSE
"GABBR1","GABBR1",0.00420517857193177,"GABBR1",0.000142967535850328,FALSE
"AUTS2","AUTS2",0.110927349749272,"AUTS2",0.954878579927528,FALSE
"FMO5","FMO5",0.1574283201505,"FMO5",0.716993234829477,FALSE
"APLP2","APLP2",0.0391136673096027,"APLP2",0.17019871111447,FALSE
"HHEX","HHEX",0.531350786217815,"HHEX",2.51146578717868e-13,FALSE
"CLCN4","CLCN4",0.319124798253611,"CLCN4",0.987395406226139,FALSE
"SAMD4A","SAMD4A",0.0253811956167207,"SAMD4A",0.790668347490528,FALSE
"TAF1A","TAF1A",0.373032999488236,"TAF1A",0.00034042015192781,FALSE
"MYO1B","MYO1B",0.0043461311417507,"MYO1B",0.0278929671949108,FALSE
"OPN3","OPN3",0.104865869474025,"OPN3",0.000101972709898518,FALSE
"GIT2","GIT2",0.0136059467420102,"GIT2",1.56898109459074e-05,FALSE
"ADAM28","ADAM28",0.162989373783251,"ADAM28",7.76745273084149e-09,FALSE
"UTP6","UTP6",0.695019353627853,"UTP6",0.000318142551424151,FALSE
"SMAD3","SMAD3",0.336220705021143,"SMAD3",0.0528629099774893,FALSE
"VAV3","VAV3",0.0033021472542411,"VAV3",0.000113845270983369,FALSE
"FYN","FYN",0.00067825160174333,"FYN",2.95330669527251e-06,FALSE
"LAIR1","LAIR1",0.000113694901314792,"LAIR1",2.10339172846202e-06,FALSE
"ZBTB16","ZBTB16",0.0230213628486403,"ZBTB16",0.0395049018926614,FALSE
"FAM65B","FAM65B",0.217146896109958,"FAM65B",3.5870753026409e-14,FALSE
"NRIP1","NRIP1",0.0174156140203303,"NRIP1",0.0128508588165962,FALSE
"DENND3","DENND3",0.0911128929396823,"DENND3",8.3679697184211e-08,FALSE
"GNAI3","GNAI3",0.191060127373932,"GNAI3",0.0771368450181661,FALSE
"DGKD","DGKD",0.134502968590585,"DGKD",3.47954474362969e-07,FALSE
"CCNG2","CCNG2",0.430437012005018,"CCNG2",0.834988518027128,FALSE
"ARHGAP32","ARHGAP32",0.00187649681484074,"ARHGAP32",0.0147696407316017,FALSE
"USP15","USP15",0.730033211248446,"USP15",0.0659012147211145,FALSE
"LAT2","LAT2",0.000584439550526887,"LAT2",0.000140616917870698,FALSE
"NAP1L1","NAP1L1",0.330239009980087,"NAP1L1",0.165965377793937,FALSE
