"ID","tmBestGene","tmBestPv","coBestGene","coBestPv","Flag"
"ZNF804A","ZNF804A",0.994165400551966,"ZNF804A",0.398522648029061,FALSE
"DEFA4","DEFA4",0.031808084324046,"DEFA4",1.34964295540557e-12,FALSE
"BATF","BATF",5.43046931015895e-06,"BATF",3.19714402711524e-06,FALSE
"SRGN","SRGN",0.108875471616432,"SRGN",9.90729957375968e-06,FALSE
"CLUH","CLUH",0.934404552584916,"CLUH",0.822880077733448,FALSE
"TNFRSF13B","TNFRSF13B",1.06405232494898e-05,"TNFRSF13B",0.528524137150214,FALSE
"NR4A2","NR4A2",0.0598552282884927,"NR4A2",1.03905784172462e-12,FALSE
"IL6","IL6",0.000606800516781469,"IL6",1.75994980022208e-07,FALSE
"IL10RA","IL10RA",0.000636352545848014,"IL10RA",0.000539475614523365,FALSE
"CEACAM1","CEACAM1",0.0493337501575875,"CEACAM1",0.00268543098025261,TRUE
"CSNK1E","CSNK1E",0.0379374676878212,"CSNK1E",0.202565558934644,FALSE
"PLA2G15","PLA2G15",0.784602476342584,"PLA2G15",0.0169436792901763,FALSE
"FOSB","FOSB",0.000352265587698898,"FOSB",1.08903304098507e-12,FALSE
"IL17RB","IL17RB",3.25691021036158e-05,"IL17RB",0.426785584217724,FALSE
"TRIB1","TRIB1",0.51407232066666,"TRIB1",0.0123526724120169,FALSE
"TRA2B","TRA2B",0.570556234859937,"TRA2B",0.950528284938179,FALSE
"GPR183","GPR183",0.000304705414459559,"GPR183",1.62520524402563e-09,FALSE
"ENOSF1","ENOSF1",0.690945783790533,"ENOSF1",0.923514665737825,FALSE
"GTDC1","GTDC1",0.809353688138308,"GTDC1",0.916498960698116,FALSE
"PMAIP1","PMAIP1",0.000210563389962448,"PMAIP1",0.000406216110695822,FALSE
"HES1","HES1",0.416488381626484,"HES1",0.939400881808748,FALSE
"TMED1","TMED1",0.00665835905098961,"TMED1",7.83947889804473e-05,FALSE
"MEF2BNB","MEF2BNB",0.989625716637135,"",NA,FALSE
"CAMP","CAMP",0.000988185016070607,"CAMP",2.12497169812332e-12,FALSE
"CYFIP1","CYFIP1",0.967753952378625,"CYFIP1",0.721245842053713,FALSE
"CHMP2A","CHMP2A",0.503886873144702,"CHMP2A",0.0178713590567218,FALSE
"RNASE2","RNASE2",0.00038603306086456,"",NA,FALSE
"TNS3","TNS3",0.802165860038478,"TNS3",0.249407581059817,FALSE
"PTPRCAP","PTPRCAP",0.0177910355167937,"PTPRCAP",0.0188554435101464,FALSE
"SYK","SYK",0.00284372027670142,"SYK",0.0935968294202888,FALSE
"ZCCHC14","ZCCHC14",0.973832598687016,"ZCCHC14",0.639280967921642,FALSE
"BCL2A1","BCL2A1",1.95317708549058e-05,"BCL2A1",2.82777332043117e-07,FALSE
"KCNH2","KCNH2",0.356202590321882,"KCNH2",0.172414142778066,FALSE
"BCL2","BCL2",0.00025922391472045,"BCL2",0.275754537136778,FALSE
"LTF","LTF",0.00326643059944023,"LTF",2.70601254976464e-13,FALSE
"CYB5R3","CYB5R3",0.460683669676632,"CYB5R3",0.268157396905009,FALSE
"TNFRSF21","TNFRSF21",8.52915971058245e-07,"TNFRSF21",0.32452414652245,FALSE
"CAMK2N1","CAMK2N1",0.252280807256331,"CAMK2N1",0.188387322508065,FALSE
"SEC61B","SEC61B",0.268184549300548,"SEC61B",0.0474419378476298,FALSE
"GLTPD1","GLTPD1",0.919617408273673,"",NA,FALSE
"CD44","CD44",0.0118735634154915,"CD44",0.00511144471575317,FALSE
"RGS1","RGS1",0.249917730450442,"RGS1",2.63843925293569e-13,FALSE
"CKAP4","CKAP4",0.0284915437494825,"CKAP4",0.000510099905370932,FALSE
"EMD","EMD",0.0667467804423212,"EMD",8.34289837622733e-06,FALSE
"EP300","EP300",0.0737447162711232,"EP300",0.136936277723237,FALSE
"CKLF","CKLF",0.216657136187404,"CKLF",0.803138065917342,FALSE
"CDKN1C","CDKN1C",0.328844505009222,"CDKN1C",0.786824950528297,FALSE
"GPER1","GPER1",0.0150969720942423,"GPER1",0.233803095354385,FALSE
"SSNA1","SSNA1",0.482128309237981,"SSNA1",0.00341421204262943,FALSE
"HCK","HCK",0.0669967014692692,"HCK",0.00524841433830783,FALSE
"MPO","MPO",0.0635078562853029,"MPO",1.14006724554681e-09,FALSE
"GPATCH8","GPATCH8",0.964339890046085,"GPATCH8",0.0764065722245555,FALSE
"MED9","MED9",0.999386132258078,"MED9",0.00216778614275419,FALSE
"ABHD11","ABHD11",0.809932083381834,"ABHD11",0.998194116908952,FALSE
"PPFIBP2","PPFIBP2",0.930111795062903,"PPFIBP2",0.000350871122029075,FALSE
"TOE1","TOE1",0.95604585730661,"TOE1",0.182899416986161,FALSE
"FBXL15","FBXL15",0.376641717111128,"FBXL15",0.00216887277890056,FALSE
"PFDN6","PFDN6",0.495916745015271,"PFDN6",0.0621416253471697,FALSE
"RGCC","RGCC",0.247771130566188,"RGCC",2.09665310021333e-09,FALSE
"EIF1","EIF1",0.776172326664791,"EIF1",0.000123344492492791,FALSE
"FAM3A","FAM3A",0.65892039860482,"FAM3A",0.0245254964428953,FALSE
"RBM38","RBM38",0.830951282112348,"RBM38",0.00216760697741241,FALSE
"CD83","CD83",0.000676840967829628,"CD83",1.46455208130489e-11,FALSE
"OSBPL3","OSBPL3",0.215816504748561,"OSBPL3",0.309574170309871,FALSE
"TBCD","TBCD",0.268796338917339,"TBCD",0.147645215242379,FALSE
"MS4A3","MS4A3",0.662488509929001,"MS4A3",9.15519210870356e-12,FALSE
"POF1B","POF1B",0.71233465821047,"POF1B",0.812959960147869,FALSE
"MARCKS","MARCKS",0.220367533552727,"MARCKS",0.00206946849469733,FALSE
"PRG2","PRG2",0.00161090164632132,"PRG2",5.09650605738209e-12,FALSE
"CDKN1A","CDKN1A",0.00866925888044843,"CDKN1A",0.115346607675746,FALSE
"UBC","UBC",0.402555602961529,"",NA,FALSE
"ZNF768","ZNF768",0.732492666674018,"ZNF768",0.00121594537319304,FALSE
"MORC2","MORC2",0.867719217683737,"MORC2",0.557462454315023,FALSE
"UBAP2","UBAP2",0.744690254324337,"UBAP2",0.191298068965733,FALSE
"MRPS18A","MRPS18A",0.946869446297537,"MRPS18A",0.086177927447635,FALSE
"SRF","SRF",0.0620089447123195,"SRF",0.122162012815781,FALSE
"GMEB1","GMEB1",0.205714036580859,"GMEB1",0.290889960805092,FALSE
"MFHAS1","MFHAS1",0.254744578649461,"MFHAS1",0.00334049305243437,FALSE
"COX8A","COX8A",0.246253046447174,"COX8A",0.0241245076372122,FALSE
"NFE2L1","NFE2L1",0.00210900118702233,"NFE2L1",0.139790344496727,FALSE
"ITPR2","ITPR2",0.433843001801388,"ITPR2",0.310890282343434,FALSE
"ZNF76","ZNF76",0.153182642044444,"ZNF76",0.0460072394912167,FALSE
"PMM1","PMM1",0.284399060756064,"PMM1",0.000182902210948013,FALSE
"TESC","TESC",0.441161137641551,"TESC",0.830464307091235,FALSE
"MAP2K7","MAP2K7",0.00945418487869598,"MAP2K7",0.375047241735732,FALSE
"PQBP1","PQBP1",0.595553981876808,"PQBP1",0.0891704700762428,FALSE
"ATP5G1","ATP5G1",0.24830016163608,"ATP5G1",0.298858968840407,FALSE
"ATP1B1","ATP1B1",0.167642370215887,"ATP1B1",0.194148762024824,FALSE
"SYNE2","SYNE2",0.056694751244766,"SYNE2",0.0762184793941609,FALSE
"HERPUD1","HERPUD1",0.000674020222284263,"HERPUD1",0.00037846744729019,FALSE
"CD69","CD69",0.000369297667513901,"CD69",5.25736333511667e-09,FALSE
"CNOT4","CNOT4",0.739431931141038,"CNOT4",0.41484613800309,FALSE
"LIMS1","LIMS1",0.28473028976118,"LIMS1",0.491033519244205,FALSE
"NME3","NME3",0.405855963897381,"NME3",0.00160472723968081,FALSE
"MAPRE2","MAPRE2",0.312390013124556,"MAPRE2",0.797218935245085,FALSE
"CEACAM8","CEACAM8",0.00733683951605499,"CEACAM8",1.34668936244971e-12,FALSE
"SLC16A5","SLC16A5",0.952500728086313,"",NA,FALSE
"VPS37C","VPS37C",0.673140078661503,"VPS37C",0.671672394922206,FALSE
"CCR2","CCR2",0.000399046094055197,"",NA,FALSE
"EBI3","EBI3",6.16053058231953e-06,"EBI3",2.23122032288235e-06,FALSE
"ZMYM2","ZMYM2",0.244969413501053,"ZMYM2",0.602617986340289,FALSE
"HP","HP",0.0140048024241085,"",NA,FALSE
"PEX14","PEX14",0.235271152254787,"PEX14",0.0857654490085015,FALSE
"SHARPIN","SHARPIN",0.934754162040938,"SHARPIN",0.0185911071403641,FALSE
"TJP2","TJP2",0.491867912277757,"TJP2",0.111631676663254,FALSE
