"ID","tmBestGene","tmBestPv","coBestGene","coBestPv","Flag"
"ZNF804A","ZNF804A",0.846115576264836,"ZNF804A",0.0285577846441242,FALSE
"DEFA4","DEFA4",0.163503260178821,"DEFA4",3.93963635415661e-07,FALSE
"BATF","BATF",1.12207069862776e-06,"BATF",7.45350875534661e-07,FALSE
"SRGN","SRGN",0.239073109891076,"SRGN",9.31917267394706e-09,FALSE
"CLUH","CLUH",0.909665254028297,"CLUH",0.996636723801299,FALSE
"TNFRSF13B","TNFRSF13B",1.13801460196055e-09,"TNFRSF13B",0.632123637597949,FALSE
"NR4A2","NR4A2",0.0523975381895141,"NR4A2",3.34575853085709e-07,FALSE
"IL6","IL6",1.53368909369884e-05,"IL6",1.92583516633193e-06,FALSE
"IL10RA","IL10RA",4.52493741594024e-07,"IL10RA",6.62792041631404e-11,FALSE
"CEACAM1","CEACAM1",0.00198373163264373,"CEACAM1",0.0203111245060024,TRUE
"CSNK1E","CSNK1E",0.000462680549092505,"CSNK1E",0.929118502641203,FALSE
"PLA2G15","PLA2G15",0.63984223875314,"PLA2G15",0.235553519966741,FALSE
"FOSB","FOSB",0.000624345499344155,"FOSB",3.56382495507634e-08,FALSE
"IL17RB","IL17RB",1.95966288909542e-06,"IL17RB",0.638208607786668,FALSE
"TRIB1","TRIB1",0.0132621245039164,"TRIB1",0.136360292309302,FALSE
"TRA2B","TRA2B",0.246362363097956,"TRA2B",0.592118637095998,FALSE
"GPR183","GPR183",1.55418844502589e-06,"GPR183",6.20090231473215e-16,FALSE
"ENOSF1","ENOSF1",0.774234199148595,"ENOSF1",0.209377487994341,FALSE
"GTDC1","GTDC1",0.924885008319537,"GTDC1",0.688330812774314,FALSE
"PMAIP1","PMAIP1",5.17577658890307e-05,"PMAIP1",0.00799532472445775,FALSE
"HES1","HES1",0.292543466200615,"HES1",0.990185755977872,FALSE
"TMED1","TMED1",5.20779760749406e-05,"TMED1",0.160560558360158,FALSE
"MEF2BNB","MEF2BNB",0.976698251986688,"",NA,FALSE
"CAMP","CAMP",0.00042340557707557,"CAMP",2.1149351090403e-06,FALSE
"CYFIP1","CYFIP1",0.066874291853521,"CYFIP1",0.372584069904502,FALSE
"CHMP2A","CHMP2A",0.578136063812361,"CHMP2A",0.492809550512561,FALSE
"RNASE2","RNASE2",0.000210667469048277,"",NA,FALSE
"TNS3","TNS3",0.612677747202864,"TNS3",0.0803018304294346,FALSE
"PTPRCAP","PTPRCAP",6.13712324917331e-05,"PTPRCAP",3.19420495097473e-08,FALSE
"SYK","SYK",5.07249562837847e-07,"SYK",2.2330326554283e-08,FALSE
"ZCCHC14","ZCCHC14",0.715492577320172,"ZCCHC14",0.990408625539143,FALSE
"BCL2A1","BCL2A1",6.92340513515387e-06,"BCL2A1",6.76682258226922e-10,FALSE
"KCNH2","KCNH2",0.0975180822908826,"KCNH2",0.839266094887979,FALSE
"BCL2","BCL2",8.26421070917194e-05,"BCL2",0.861919440081637,FALSE
"LTF","LTF",0.00500948167572987,"LTF",8.70403287741605e-12,FALSE
"CYB5R3","CYB5R3",0.600634012057188,"CYB5R3",0.0570231537327187,FALSE
"TNFRSF21","TNFRSF21",4.94056694486998e-10,"TNFRSF21",0.0261621972407121,FALSE
"CAMK2N1","CAMK2N1",0.00834806600896658,"CAMK2N1",0.463597380954992,FALSE
"SEC61B","SEC61B",0.348549861264294,"SEC61B",0.413440806327783,FALSE
"GLTPD1","GLTPD1",0.965849603815255,"",NA,FALSE
"CD44","CD44",0.00040022713194354,"CD44",0.079014932642205,FALSE
"RGS1","RGS1",0.000362157272784351,"RGS1",3.38594114024288e-14,FALSE
"CKAP4","CKAP4",0.0203559903694479,"CKAP4",0.0123142768277811,FALSE
"EMD","EMD",0.0170744551185383,"EMD",0.0127292025529497,FALSE
"EP300","EP300",0.0400970233526374,"EP300",0.0762191864825806,FALSE
"CKLF","CKLF",0.404629811665361,"CKLF",0.777754923601482,FALSE
"CDKN1C","CDKN1C",0.315859105196074,"CDKN1C",0.99652383530424,FALSE
"GPER1","GPER1",0.00124166593391025,"GPER1",0.840544961422559,FALSE
"SSNA1","SSNA1",0.0292868723006247,"SSNA1",0.368576914990824,FALSE
"HCK","HCK",0.000352433561227989,"HCK",2.02900640006546e-07,FALSE
"MPO","MPO",0.0692739800292037,"MPO",5.76246598218457e-06,FALSE
"GPATCH8","GPATCH8",0.7531684952384,"GPATCH8",0.0053929757348059,FALSE
"MED9","MED9",0.999969467543171,"MED9",0.098391115766513,FALSE
"ABHD11","ABHD11",0.72282215229496,"ABHD11",0.999890044465845,FALSE
"PPFIBP2","PPFIBP2",0.728235505812824,"PPFIBP2",5.59003253152519e-05,FALSE
"TOE1","TOE1",0.897140268548295,"TOE1",0.648178824401464,FALSE
"FBXL15","FBXL15",0.291080132492404,"FBXL15",0.408292919345808,FALSE
"PFDN6","PFDN6",0.511669680932686,"PFDN6",0.389376133164365,FALSE
"RGCC","RGCC",0.15424684587931,"RGCC",1.64967596212522e-05,FALSE
"EIF1","EIF1",0.836354669916508,"EIF1",0.0251394898583211,FALSE
"FAM3A","FAM3A",0.482315555125309,"FAM3A",0.169974818670079,FALSE
"RBM38","RBM38",0.662407593107825,"RBM38",0.0242727537273874,FALSE
"CD83","CD83",4.79182730813884e-08,"CD83",2.92030860586995e-13,FALSE
"OSBPL3","OSBPL3",0.125011443362342,"OSBPL3",9.30728417981709e-08,FALSE
"TBCD","TBCD",0.0839657994786392,"TBCD",0.822910548199066,FALSE
"MS4A3","MS4A3",0.0888889536186663,"MS4A3",1.79817369199236e-08,FALSE
"POF1B","POF1B",0.62004496343442,"POF1B",0.452824818530624,FALSE
"MARCKS","MARCKS",0.00146235254560995,"MARCKS",0.00362216385503426,FALSE
"PRG2","PRG2",0.0012960631358833,"PRG2",9.51866022679904e-07,FALSE
"CDKN1A","CDKN1A",0.00288624074199834,"CDKN1A",0.917613140830837,FALSE
"UBC","UBC",0.30471722565362,"",NA,FALSE
"ZNF768","ZNF768",0.546769789376693,"ZNF768",0.205564164188314,FALSE
"MORC2","MORC2",0.118107278099944,"MORC2",0.0709063189238711,FALSE
"UBAP2","UBAP2",0.678622649346847,"UBAP2",0.267729661552399,FALSE
"MRPS18A","MRPS18A",0.860432319509669,"MRPS18A",0.620682224115917,FALSE
"SRF","SRF",0.022204841593948,"SRF",0.572799209098469,FALSE
"GMEB1","GMEB1",0.0401874467880163,"GMEB1",0.146858884520893,FALSE
"MFHAS1","MFHAS1",0.0240997799098567,"MFHAS1",4.33573579067139e-06,FALSE
"COX8A","COX8A",0.199987261617107,"COX8A",0.590184521429473,FALSE
"NFE2L1","NFE2L1",0.00325333581832533,"NFE2L1",0.277572094149675,FALSE
"ITPR2","ITPR2",0.108070824831765,"ITPR2",0.0298627346334592,FALSE
"ZNF76","ZNF76",0.0171031567261002,"ZNF76",0.113107951758977,FALSE
"PMM1","PMM1",0.487635009471956,"PMM1",0.180162302773994,FALSE
"TESC","TESC",0.160330621676396,"TESC",0.999161959152417,FALSE
"MAP2K7","MAP2K7",0.000441793570187847,"MAP2K7",0.583708351767648,FALSE
"PQBP1","PQBP1",0.364919343766898,"PQBP1",0.649230403483296,FALSE
"ATP5G1","ATP5G1",0.256362177487238,"ATP5G1",0.678330760933645,FALSE
"ATP1B1","ATP1B1",0.0276161456353888,"ATP1B1",0.269685401184056,FALSE
