"ID"	"tmBestGene"	"tmBestPv"	"coBestGene"	"coBestPv"	"Flag"
"C9orf72"	"C9orf72"	0.999999999999994	"C9orf72"	0.126143766491462	FALSE
"TARDBP"	"TARDBP"	0.0214393030554667	"TARDBP"	0.00715031660538488	TRUE
"PFN1"	"PFN1"	0.206251512019299	"PFN1"	0.0244073958472006	FALSE
"CHMP2B"	"CHMP2B"	0.0106027070499322	"CHMP2B"	0.542451571488751	FALSE
"VCP"	"VCP"	0.00321894248962808	"VCP"	0.0105146269946105	FALSE
"SQSTM1"	"SQSTM1"	1.1685097508571e-05	"SQSTM1"	0.582233211032978	FALSE
"UBQLN2"	"UBQLN2"	0.0159159028825803	"UBQLN2"	0.0522820775597832	FALSE
"ALS2"	"ALS2"	5.47884816529752e-08	"ALS2"	0.0209227954921385	FALSE
"SETX"	"SETX"	1.35034585911955e-07	"SETX"	0.110166355838433	FALSE
"SPG11"	"SPG11"	0.468656423708226	"SPG11"	0.00659187296157552	FALSE
"VAPB"	"VAPB"	0.00979793743009513	"VAPB"	0.3412902336124	FALSE
"ANG"	"ANG"	0.110533633457784	"ANG"	0.685218181327934	FALSE
"FIG4"	"FIG4"	0.999999999999994	"FIG4"	0.0101197409470864	FALSE
"ATXN2"	"ATXN2"	0.000718822628962288	"ATXN2"	0.00321591380095117	FALSE
"SIGMAR1"	"SIGMAR1"	0.218781207026621	"SIGMAR1"	0.0615603646145678	FALSE
"OPTN"	"OPTN"	0.00911592241046252	"OPTN"	0.111098531709381	FALSE
"GRN"	"GRN"	0.179913159401212	"GRN"	0.0831078366139474	FALSE
"HNRNPA2B1"	"HNRNPA2B1"	0.000489679953768803	"HNRNPA2B1"	0.123012254471179	FALSE
"HNRNPA1"	"HNRNPA1"	0.00131336764068141	"HNRNPA1"	0.0641074909493316	FALSE
"NIPA1"	"NIPA1"	0.000181018488347387	"NIPA1"	0.371141515668066	FALSE
"GFAP"	"GFAP"	0.211620589802698	"GFAP"	0.999999999999994	FALSE
"COX6A1"	"COX6A1"	0.813982412243765	"COX6A1"	0.597855077935787	TRUE
"JAG1"	"JAG1"	0.202839733744099	"JAG1"	0.17097056448665	TRUE
"PFDN1"	"PFDN1"	0.457723278614194	"PFDN1"	0.679673862973678	TRUE
"SERBP1"	"SERBP1"	0.304169307742449	"SERBP1"	0.0931795916567106	TRUE
"SYNM"	"SYNM"	0.0531627711163918	"SYNM"	0.399472303643835	TRUE
"SPARC"	"SPARC"	0.027254147746979	"SPARC"	0.640741502639879	TRUE
"KCTD12"	"KCTD12"	0.781257366621258	"KCTD12"	0.156459409181262	TRUE
"HBB"	"HBB"	0.307807657793369	"HBB"	0.999999999999999	TRUE
"ANXA1"	"ANXA1"	0.114425196460146	"ANXA1"	0.140357243965285	TRUE
"TARS"	"TARS"	0.999999999999999	"TARS"	0.150617295672491	TRUE
"BGN"	"BGN"	0.211052052285774	"BGN"	0.797808693818096	TRUE
"RAB40B"	"RAB40B"	0.789049900851469	"RAB40B"	0.674447110190303	TRUE
"DCN"	"DCN"	0.212907252493237	"DCN"	0.836665496386651	TRUE
"TCF4"	"TCF4"	0.277906628791054	"TCF4"	0.217432272712689	TRUE
"GBAS"	"GBAS"	0.497238085697326	"GBAS"	0.438578165043588	TRUE
"PLEKHB1"	"PLEKHB1"	0.303471505216104	"PLEKHB1"	0.224219972216221	TRUE
"ACTN1"	"ACTN1"	0.201768693785852	"ACTN1"	0.0484441348053261	TRUE
"ETS2"	"ETS2"	0.184360756494189	"ETS2"	0.173973586944743	TRUE
"RGS2"	"RGS2"	0.443510298387078	"RGS2"	0.0861575076803914	TRUE
"RPLP2"	"RPLP2"	0.793242641450461	"RPLP2"	0.0768183269383584	TRUE
"CST3"	"CST3"	0.0529512007513358	"CST3"	0.0012311774013757	TRUE
