ProbeID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol
210432_s_at	-3.48 	4.25 	-16.88 	6.07E-23	1.35E-18	38.60690221	SCN3A
203939_at	-1.94 	4.52 	-11.94 	1.27E-16	1.42E-12	26.289473	NT5E
201719_s_at	-1.48 	4.23 	-10.75 	6.49E-15	4.82E-11	22.79696703	EPB41L2
203233_at	-2.63 	7.52 	-10.52 	1.44E-14	8.02E-11	22.08243668	IL4R
201887_at	-2.38 	5.75 	-9.78 	1.87E-13	8.33E-10	19.77080323	IL13RA1
218346_s_at	-2.94 	6.71 	-9.38 	7.62E-13	2.83E-09	18.49453851	SESN1
203865_s_at	-2.59 	5.45 	-8.84 	5.38E-12	1.71E-08	16.71127317	ADARB1
204484_at	-1.38 	6.17 	-8.78 	6.62E-12	1.84E-08	16.52101295	PIK3C2B
207819_s_at	-1.72 	5.27 	-8.66 	1.03E-11	2.56E-08	16.11374231	ABCB4
205505_at	-1.59 	5.07 	-8.55 	1.54E-11	3.42E-08	15.74949158	GCNT1
205372_at	-0.96 	4.22 	-8.34 	3.34E-11	6.76E-08	15.03644738	PLAG1
200606_at	-1.71 	3.97 	-7.94 	1.43E-10	2.65E-07	13.69996264	DSP
218532_s_at	-0.79 	4.03 	-7.79 	2.50E-10	3.98E-07	13.18270128	FAM134B
203710_at	-2.04 	5.27 	-7.74 	2.98E-10	4.42E-07	13.02001982	ITPR1
218217_at	-2.15 	7.17 	-7.42 	9.85E-10	1.37E-06	11.91447066	SCPEP1
206637_at	-3.14 	4.26 	-7.17 	2.45E-09	3.21E-06	11.06990687	P2RY14
202478_at	-1.74 	4.89 	-7.14 	2.68E-09	3.32E-06	10.98545715	TRIB2
221234_s_at	-2.46 	5.71 	-7.08 	3.45E-09	4.05E-06	10.7527224	BACH2
207358_x_at	-1.24 	4.53 	-7.05 	3.75E-09	4.18E-06	10.67540551	MACF1
217552_x_at	-1.10 	3.57 	-6.90 	6.71E-09	6.80E-06	10.13550276	CR1
