"","Blue","Brown","Green","Magenta","Orange","Red","Violet","Yellow"
"GWASCentralALS",0.323117162065404,0.445950602195506,0.0843506649392212,0.50829469890031,0.0843506649392212,0.942402801239023,0.942402801239023,0.445950602195506
"NeuroXGWS",1,1,1,0.216914392857441,1,1,1,1
"GWASCentralAD",1,1,0.00920545805098486,1,0.193163663690033,1,0.518773927890412,1
"Subnetwork28",0.00984366310300204,1,1,0.213851487282194,1,1,0.335613497595013,1
"Cirulli",1,1,1,0.0348518691919662,0.387495528442071,0.0151422066188812,0.00192101968127125,1
"ADMalacards",1,1,0.00393254063649586,0.00640052554923221,0.00817201330352816,0.00640052554923221,0.0672859108745522,0.00976688859196092
"ALSMalacards",1,1,0.0016051372840958,0.00221809610374121,0.167728865321532,0.0016051372840958,0.0074415582208519,0.00633852096321709
"Pasterkamp",1,1,1,3.5897599698079e-09,0.000997175778844131,9.5758061687524e-07,5.01301817820558e-08,1
"Taylor",1,0.0128474180193407,0.02581183456326,7.2507790203907e-31,0.024819592780577,2.53462726189286e-10,0.000844831640814611,0.105016233580825
"ALSOD",1,1,1,0.24773656628739,0.24773656628739,0.00358454517255886,0.0365563216312092,0.00758692597851124
"ParkinsonsMalacards",1,1,0.0163327985842667,0.241851179795938,0.241851179795938,0.00927050439782785,0.262396665109246,1
