GWASCentralALS,NeuroXFDR.05,NeuroXGWS,GWASCentralAD,Subnetwork28,Exac,Cirulli,ADMalacards,ALSMalacards,Pasterkamp,Taylor,ALSOD,ParkinsonsMalacards
SELL,CLN5,NOTCH1,TOMM40,AIF1,DYNC1H1,TBK1,APP,SOD1,DDX1,RPS3,APEX1,GBA
TSNAX-DISC1,IFNK,AGRN,APOC1,APOC1,LRP1,NEK1,SORL1,DCTN1,DDX21,NCL,APOE,TBP
KIFAP3,MOBKL2B,CHRNA4,BIN1,APOE,TRRAP,SOD1,A2M,VCP,DDX39A,PABPC1,AR,MAPT
NT5C1A,NOTCH1,GRN,PVRL2,AQP1,HERC2,TARDBP,APBB2,TARDBP,DDX39B,HSPA8,CCS,ATXN2
RBMS1,AGRN,EPHA2,APOE,AQP4,KMT2A,OPTN,NOS3,SQSTM1,DDX3X,DHX9,CNTF,ADH1C
MORN2,CHRNA4,COL6A2,BCAM,ARID2,UBR5,SPG11,BLMH,MATR3,DDX5,HIST1H1D,CYP2D6,LRRK2
PNPT1,COQ2,TNIK,PICALM,ARID4B,UBR4,VCP,PLAU,FUS,DDX6,HSPA1A,ALAD,MT-ND1
SCN7A,PLEC,ELAC2,CLU,ATP5G2,WDFY3,HNRNPA1,HFE,FIG4,DHX15,HNRNPU,DYNC1H1,ATXN3
CNTN4,GRN,MYO15A,CR1,ATP8B4,FBN1,ATXN2,ACE,OPTN,DHX29,ILF3,CHGB,VPS13C
COMMD10,EPHA2,KRCC1,ABCA7,BBOX1,MYCBP2,ANG,MPO,UBQLN2,DHX30,DHX30,GLE1,ATXN8OS
CSNK1G3,NSD1,LAMC3,MS4A2,C1QA,NIPBL,CHCHD10,HLA-H,HNRNPA1,DHX36,RPS9,TBK1,PARK2
ATXN1,CENPJ,ASB10,SORL1,C1QB,MACF1,SIGMAR1,PAXIP1,PFN1,DHX9,RPL7A,ITPR2,VPS35
ZNF746,COL6A2,CDH15,MS4A6A,C3AR1,USP34,FIG4,AAA1,NEFH,ELAVL1,HNRNPA2B1,GRN,SNCA
SLC39A11,TNIK,AIRE,PTK2B,CAMSAP1,PRKDC,SS18L1,MT-ND1,PRPH,ELAVL2,HNRNPC,LIPC,TH
B4GALT6,ELAC2,TCAP,LOC285965,CD14,RELN,GRN,PSEN2,TUBA4A,ELAVL3,IGF2BP1,NT5C1A,PINK1
C21orf34,MYO15A,TCOF1,LOC100289673,CD163,KMT2C,SETX,PSEN1,C9orf72,ELAVL4,DDX5,ZFP64,DNAJC13
DPP6,F7,OTOF,TREM2,CEBPD,BIRC6,HNRNPA2B1,MAPT,ANG,FMR1,RPS18,DISC1,MAOB
KCNS3,NCOR2,ROM1,HLA-DRB1,COLGALT1,HUWE1,SQSTM1,APOE,VAPB,FXR1,RPSA,SLC39A11,PARK7
LIPC,KRCC1,IDUA,BCAS3,CPED1,KMT2D,TAF15,SNCA,CHMP2B,FXR2,RPL6,ZNF746,SLC6A3
MAGEE2,PALLD,COL5A2,CEACAM16,CSF1R,DST,FUS,GSK3B,CHCHD10,HNRNPA0,DDX21,FGGY,GDNF
LOC389906,PKP2,NDUFAF5,CD2AP,DACT1,NBEA,ALS2,AD5,DAO,HNRNPA1,MSI2,DPP6,DRD2
MOBKL2B,LAMC3,TSC2,BZW2,DCN,SPEN,VAPB,AD6,PON1,HNRNPA2B1,PRSS3,LUM,COMT
C9orf72,ASB10,MTHFR,SPON1,DDR2,HECTD4,NEFH,AD9,PON2,HNRNPA3,LARP1,RNF19A,DDC
JRKL,AXIN2,FGFR3,GAB2,EDA,SMG1,C9orf72,BACE1,ERBB4,HNRNPAB,HNRNPA1,SOX5,SNCAIP
LOC728622,CDH15,CHEK2,MTHFD1L,EDNRB,CACNA1E,CHMP2B,ADAM10,PON3,HNRNPC,MOV10,OMA1,NR4A2
UNC13A,AIRE,NLRC3,ZCWPW1,FCER1G,REV3L,MATR3,AD8,ATXN2,HNRNPD,UPF1,GRB14,SNCB
NEGR1,TCAP,TTN,CACNA1G,FCGR1B,ANK3,PFN1,AD10,ALS2,HNRNPF,TUBB,PON2,UCHL1
GLT25D2,OTOF,STK11,LRRC68,FCGR2A,TRIO,PRPH,CTSD,SETX,HNRNPH1,RPS3A,PON3,SLC18A2
RAB7L1,AGPAT2,MAGEL2,CD33,FCGR3B,ASH1L,SPAST,APBB1,UNC13A,HNRNPK,DDX17,SLC1A2,PITX3
HHAT,ROM1,TBC1D24,GLIS3,FLNC,ANK2,TUBA4A,LRP1,TBK1,HNRNPL,RPS16,SMN1,ADORA2A
CDC42BPA,SLC26A1,SYNRG,GPR141,G2E3,CREBBP,ELP3,SERPINA3,CNTF,HNRNPM,SYNCRIP,SMN2,SNCG
LOC645949,GAA,CDT1,SLC24A4,GLIPR1,SPTAN1,DAO,DHCR24,TREM2,HNRNPR,HNRNPK,SNCG,LRRK1
ALK,ASPM,SFTPC,FERMT2,GON4L,HECTD1,DCTN1,HSD17B10,TMEM106B,HNRNPU,RPS2,SUSD1,BDNF
LRPPRC,PMS1,CARD9,CTNNA2,HAUS8,COL5A1,EWSR1,DPYSL2,SLC1A2,HNRNPUL1,HNRNPM,B4GALT6,GPR37
CCDC85A,GLI2,COL6A1,ANKRD55,HCK,CHD7,GLE1,CDK5R1,SMN1,HNRNPUL2,XRCC6,OGG1,MAOA
AFTPH,DNAH5,LDB3,PDE7B,HSPA6,MTOR,UBQLN2,BACE2,PPARGC1A,HNRNPDL,RPS6,AGT,FGF20
GFPT1,TSC2,BBS1,CELF1,IGSF6,ZC3H13,,GSK3A,RNF19A,ALYREF,HNRNPUL1,C1orf27,NRTN
TMEM182,CPT1A,TPMT,MYO16,IKZF1,EP300,,SNCB,SIGMAR1,ATXN2L,RPLP0,VPS54,DRD1
TMEM163,CLU,TMEM82,CLMN,ITGB2,TRIP12,,UBB,GDNF,CAPRIN1,RPL26,FEZF2,GCH1
LOC647012,ELANE,COMT,ZNF292,KLF12,CNOT1,,BCHE,SLC1A3,CDC5L,RPL8,DOC2B,NDUFS4
TANK,MTHFR,BEGAIN,TGM6,LILRA2,SNRNP200,,BPTF,MAPT,CSDE1,RPS4X,CNTN6,DRD3
PLEKHM3,MOB3B,GALNS,BCHE,LILRB2,LRP2,,PLD3,CCS,D10WSU52E,ZC3HAV1,PSEN1,CASP3
BARD1,WDR62,APOE,INPP5D,LST1,HERC1,,CHAT,GRN,FAM120A,RPS27A,PVR,CYP2D6
CRBN,FGFR3,APOC1,MEF2C,LY75,TLN1,,NCSTN,CHAT,FBL,HNRNPD,SOD2,RNF19A
LOC201617,CHEK2,LAMA2,CASS4,MAFB,CHD8,,UCHL1,CDK5,G3BP1,PCBP2,SPG7,LMX1B
KALRN,RB1,SOD1,APOC4,MNDA,CHD6,,IDE,GRIA2,GAR1,DDX1,VDR,PACRG
LOC646903,NLRC3,SCN4A,EDAR,MS4A4A,TPR,,DOCK3,RTN4,GM10704,BAT2D1,VEGFA,GRM5
LOC730091,PSEN1,SLC37A4,RBBP6,MS4A6A,BPTF,,PSENEN,BDNF,GNB2L1,RPL7,RBMS1,HTT
KLF3,COL6A1,ZNF469,NCR2,NKAIN4,ITPR1,,OLR1,GFM1,ILF2,DHX36,CSNK1G3,SOD1
TLR10,TTN,RFX6,CYP27C1,NLRC4,PRRC2A,,APLP2,ZNF470,ILF3,CSDA,BCL11B,APOE
TLR1,STK11,SLC26A1,EED,PARP3,CACNA1D,,CALHM1,SNCA,KHDRBS1,PABPC4,NETO1,CDK5
AASDH,LOC101929680,NPPA,HLA-DQA1,PCDHGA9,PCLO,,CASP3,ECE1,LARP1,RPL13,CDH22,FGF8
SHROOM3,RECQL4,APOC2,MS4A4A,PGM2,GIGYF2,,COL25A1,SUGCT,LARP4,SFPQ,DIAPH3,PDYN
KIAA0947,LDLR,,BCL3,PHTF2,USP9X,,ITM2B,APP,MAGOH,IGF2BP3,GARS,HMOX1
ISL1,MAGEL2,,TXNDC3,PHYHD1,PRRC2C,,GSAP,GFAP,MATR3,EIF4G1,HEXA,CHAT
YTHDC2,MYBPC3,,ZBBX,PMP2,UNC79,,CTSB,SERTAD3,MOV10,NPM1,HFE,SIAH1
SEMA6A,KMT2D,,MIR3660,RBBP6,HTT,,APBA2,SLC33A1,MSI2,RPL4,KIFAP3,MAPK8
PRR16,PTEN,,LOC100287216,RNASE7,HELZ,,AGER,TMOD2,MYEF2,HNRNPH1,LIF,CYCS
ZNF608,TBC1D24,,SCARA3,RNF213,JMJD1C,,PRNP,IGF1,NCL,TOP1,LOX,Sep-04
LOC285629,SYNRG,,TNRC6A,ROPN1,KIF1B,,PIN1,CASP3,NHP2L1,LARP4,MAOB,DBH
GABRB2,AC092725.3,,FOXP4,SCIN,FRY,,GPC1,GLG1,NOLC1,RPS25,MAPT,NNMT
IRF4,B3GALT4,,,SDCCAG3,ANK1,,CLSTN1,SOD2,NONO,RPL18,MT-ND2,NGF
HDGFL1,SYNE1,,,SERPINA3,SPTBN1,,MT3,SMN2,NOP56,RPS11,NAIP,NTS
TDP2,C9orf72,,,SLC40A1,MED13,,DBN1,PVALB,NOP58,RPS14,CRYM,CAT
