Gene,Median Expression Value
ACTN1,82.77861412
ANXA1,19.26792143
BBIP1,69.39872949
BGN,40.10722656
BPTF,67.87678547
CCT3,89.90222168
CD83,51.31752963
CDH11,35.28895664
CELF1,34.21647947
COPS7A,59.52451444
CREG1,133.7822474
CSRP1,224.0426548
CST3,68.6425459
DCN,120.0631576
GBAS,28.43147929
ID2,25.49161573
JAG1,25.726728
KCTD12,203.7382894
KLC1,64.51253748
KPNA6,52.72700322
MAP3K13,8.890584504
MBNL2,408.1892482
MPHOSPH9,20.85060001
MXI1,168.6334862
NDUFS5,265.6541925
NKTR,9.979085322
NUTF2,35.76088222
ORAI2,101.1613521
OTUB1,38.765092
PABPC1,284.1353561
PFDN1,95.9036009
PLEKHB1,36.84407612
PLOD2,63.6464109
POGZ,27.92104113
PPP1R7,43.68989005
PPP2CA,166.5022964
PPP2CB,101.1163846
PRKD1,35.50744594
PRPF3,13.82204456
PSMD4,157.4068741
PTPN13,14.73612461
RAB40B,69.56033967
RNF130,98.9765065
RPL35A,211.9933071
RPL37,271.2083488
RPLP2,123.0811755
SCN1B,192.8217279
SERBP1,47.43398915
SF3B1,164.9245339
SNAPC5,18.85782032
SPARC,197.9443675
STMN1,51.63867608
SUN1,107.0261939
TARDBP,84.54978363
TCF4,124.7839526
TUBB4B,127.2733229
TUG1,26.79478029
UBE2L3,46.08650039
VPS13B,52.60402163
ZFP36,192.6866301
ZFYVE26,50.29962648
ZMYND11,100.5348303
ZNF518A,19.55409249
