Var1,Var2,Edge Type,Freq
ANXA1,ACTN1,Correlation,0.393220677
BBIP1,ACTN1,Correlation,0.59032109
BGN,ACTN1,Correlation,0.185491341
BPTF,ACTN1,Correlation,-0.122390476
CDH11,ACTN1,Correlation,0.414478191
CREG1,ACTN1,Correlation,-0.265959574
CSRP1,ACTN1,Correlation,0.055948139
CST3,ACTN1,Correlation,-0.080402028
DCN,ACTN1,Correlation,-0.349361649
GBAS,ACTN1,Correlation,0.167943343
JAG1,ACTN1,Correlation,0.779427681
KCTD12,ACTN1,Correlation,0.639673658
KPNA6,ACTN1,Correlation,-0.470627317
MPHOSPH9,ACTN1,Correlation,0.226525791
MXI1,ACTN1,Correlation,-0.07483235
NDUFS5 /// RPL10,ACTN1,Correlation,-0.406160478
NKTR,ACTN1,Correlation,0.105993998
NUTF2 /// NUTF2P4,ACTN1,Correlation,-0.483271015
LOC101927673 /// OTUB1,ACTN1,Correlation,-0.581411746
PFDN1,ACTN1,Correlation,-0.038913123
PLEKHB1,ACTN1,Correlation,-0.036320041
PLOD2,ACTN1,Correlation,-0.160720663
POGZ,ACTN1,Correlation,0.013912373
PPP1R7,ACTN1,Correlation,-0.626429692
PPP2CA,ACTN1,Correlation,-0.181458177
PPP2CB,ACTN1,Correlation,0.24324826
PRPF3,ACTN1,Correlation,0.194213806
PTPN13,ACTN1,Correlation,0.472401197
RAB40B,ACTN1,Correlation,0.408047957
RPL35A,ACTN1,Correlation,-0.135015167
RPL37,ACTN1,Correlation,0.190511976
SCN1B,ACTN1,Correlation,-0.444697051
SERBP1,ACTN1,Correlation,0.103923377
SF3B1,ACTN1,Correlation,0.032060532
SPARC,ACTN1,Correlation,0.488075272
STMN1,ACTN1,Correlation,-0.083235606
TARDBP,ACTN1,Correlation,-0.711121133
TCF4,ACTN1,Correlation,0.106136066
TUBB4B,ACTN1,Correlation,-0.2717631
TUG1,ACTN1,Correlation,-0.222521034
VPS13B,ACTN1,Correlation,0.417790668
ZFP36,ACTN1,Correlation,0.013849869
ZFYVE26,ACTN1,Correlation,-0.340758423
ZNF518A,ACTN1,Correlation,0.390387095
BBIP1,ANXA1,Correlation,0.366671267
BGN,ANXA1,Correlation,-0.326532615
BPTF,ANXA1,Correlation,-0.492151318
CDH11,ANXA1,Correlation,-0.249395029
CREG1,ANXA1,Correlation,0.025099511
CSRP1,ANXA1,Correlation,0.213012991
CST3,ANXA1,Correlation,0.065286907
DCN,ANXA1,Correlation,-0.479070972
GBAS,ANXA1,Correlation,-0.140342925
JAG1,ANXA1,Correlation,0.148918256
KCTD12,ANXA1,Correlation,0.233891448
KPNA6,ANXA1,Correlation,-0.644932658
MPHOSPH9,ANXA1,Correlation,0.064567371
MXI1,ANXA1,Correlation,0.153655923
NDUFS5 /// RPL10,ANXA1,Correlation,0.293926581
NKTR,ANXA1,Correlation,-0.5146044
NUTF2 /// NUTF2P4,ANXA1,Correlation,0.201267657
LOC101927673 /// OTUB1,ANXA1,Correlation,0.188130587
PFDN1,ANXA1,Correlation,0.58561282
PLEKHB1,ANXA1,Correlation,-0.078099514
PLOD2,ANXA1,Correlation,-0.131025957
POGZ,ANXA1,Correlation,-0.162752192
PPP1R7,ANXA1,Correlation,0.419886559
PPP2CA,ANXA1,Correlation,-0.211115142
PPP2CB,ANXA1,Correlation,0.100897151
PRPF3,ANXA1,Correlation,0.24215711
PTPN13,ANXA1,Correlation,0.136593586
RAB40B,ANXA1,Correlation,0.192394953
RPL35A,ANXA1,Correlation,0.587018981
RPL37,ANXA1,Correlation,0.365257452
SCN1B,ANXA1,Correlation,0.153185628
SERBP1,ANXA1,Correlation,-0.234822184
SF3B1,ANXA1,Correlation,0.264843622
SPARC,ANXA1,Correlation,0.125788913
STMN1,ANXA1,Correlation,0.11834322
TARDBP,ANXA1,Correlation,0.140260218
TCF4,ANXA1,Correlation,-0.237574192
TUBB4B,ANXA1,Correlation,0.518225724
TUG1,ANXA1,Correlation,0.188252527
VPS13B,ANXA1,Correlation,0.465188089
ZFP36,ANXA1,Correlation,0.029427636
ZFYVE26,ANXA1,Correlation,-0.109213932
ZNF518A,ANXA1,Correlation,-0.274236405
BGN,BBIP1,Correlation,-0.345064822
BPTF,BBIP1,Correlation,-0.66661864
CDH11,BBIP1,Correlation,-0.039645018
CREG1,BBIP1,Correlation,-0.353308042
CSRP1,BBIP1,Correlation,-0.27024689
CST3,BBIP1,Correlation,-0.03912097
DCN,BBIP1,Correlation,-0.755513208
GBAS,BBIP1,Correlation,0.454412601
JAG1,BBIP1,Correlation,0.295605218
KCTD12,BBIP1,Correlation,0.135823884
KPNA6,BBIP1,Correlation,0.088179947
MPHOSPH9,BBIP1,Correlation,0.320728357
MXI1,BBIP1,Correlation,-0.31051696
NDUFS5 /// RPL10,BBIP1,Correlation,-0.028892947
NKTR,BBIP1,Correlation,0.487856255
NUTF2 /// NUTF2P4,BBIP1,Correlation,0.144346613
LOC101927673 /// OTUB1,BBIP1,Correlation,0.060724891
PFDN1,BBIP1,Correlation,0.383147744
PLEKHB1,BBIP1,Correlation,-0.091078584
PLOD2,BBIP1,Correlation,-0.521457681
POGZ,BBIP1,Correlation,-0.691585569
PPP1R7,BBIP1,Correlation,-0.115655085
PPP2CA,BBIP1,Correlation,0.399829695
PPP2CB,BBIP1,Correlation,0.394375119
PRPF3,BBIP1,Correlation,-0.424962699
PTPN13,BBIP1,Correlation,0.160716335
RAB40B,BBIP1,Correlation,-0.041576965
RPL35A,BBIP1,Correlation,-0.320014554
RPL37,BBIP1,Correlation,-0.386716957
SCN1B,BBIP1,Correlation,0.256607067
SERBP1,BBIP1,Correlation,0.220521202
SF3B1,BBIP1,Correlation,0.187300895
SPARC,BBIP1,Correlation,-0.198503116
STMN1,BBIP1,Correlation,0.443784472
TARDBP,BBIP1,Correlation,-0.367887844
TCF4,BBIP1,Correlation,-0.284151949
TUBB4B,BBIP1,Correlation,0.111833555
TUG1,BBIP1,Correlation,0.329522447
VPS13B,BBIP1,Correlation,0.347491196
ZFP36,BBIP1,Correlation,-0.32046618
ZFYVE26,BBIP1,Correlation,-0.010961501
ZNF518A,BBIP1,Correlation,0.604959985
BPTF,BGN,Correlation,0.602899091
CDH11,BGN,Correlation,0.189434981
CREG1,BGN,Correlation,0.488515593
CSRP1,BGN,Correlation,0.51012899
CST3,BGN,Correlation,0.427791528
DCN,BGN,Correlation,0.358426163
GBAS,BGN,Correlation,0.250238954
JAG1,BGN,Correlation,0.164731769
KCTD12,BGN,Correlation,0.415722287
