name,Dataset1,Dataset2,Distance,Distance_short
C9orf72 (interacts with) sALS,C9orf72,sALS,0.121038727,0.121
C9orf72 (interacts with) GRN,C9orf72,GRN,0.260560194,0.261
C9orf72 (interacts with) sFTLD,C9orf72,sFTLD,0.243801912,0.244
C9orf72 (interacts with) VCP,C9orf72,VCP,0.299894095,0.3
sALS (interacts with) GRN,sALS,GRN,0.274871095,0.275
sALS (interacts with) sFTLD,sALS,sFTLD,0.295798672,0.296
sALS (interacts with) VCP,sALS,VCP,0.325453647,0.325
GRN (interacts with) sFTLD,GRN,sFTLD,0.112692169,0.113
GRN (interacts with) VCP,GRN,VCP,0.321544272,0.322
sFTLD (interacts with) VCP,sFTLD,VCP,0.304728678,0.305
