"Ensembl_ID","hgnc_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","1-TDPneg","1-TDPpos","2-TDPneg","2-TDPpos","3-TDPneg","3-TDPpos","4-TDPneg","4-TDPpos","5-TDPneg","5-TDPpos","6-TDPneg","6-TDPpos","7-TDPneg","7-TDPpos"
"ENSG00000179902","C1orf194",1051.06416437648,-3.11165156824167,0.218138136952897,-14.2645922061467,3.63711785051985e-46,6.28093881606273e-42,1344,109,2290,185,2537,136,2681,236,1923,186,952,327,1628,122
"ENSG00000126759","CFP",452.584999348639,-2.98831006178274,0.255956763721249,-11.6750579993939,1.70949098836143e-31,1.47605999390068e-27,536,74,692,83,902,63,559,45,756,116,833,42,1264,97
"ENSG00000013364","MVP",336.408590808077,-2.7293209122715,0.23955109815179,-11.3934811125019,4.50619751774269e-30,2.59391749779662e-26,367,67,654,48,756,60,914,42,437,67,589,96,484,105
"ENSG00000225882","LINC01456",2436.11844894298,-2.9814339716868,0.269073658806387,-11.0803635885894,1.56236806663146e-28,6.74513353566466e-25,2527,293,4705,403,3706,213,2804,157,5787,385,5647,719,5353,484
"ENSG00000152595","MEPE",394.500294647237,3.1038425619342,0.320530765390627,9.68344663624281,3.54557142927628e-22,1.22456946024344e-18,43,200,6,1404,37,668,21,844,97,488,31,1618,20,542
"ENSG00000013588","GPRC5A",121.428762922584,-2.81421882878344,0.304354437034842,-9.24651815889669,2.31924570140654e-20,6.67517566959827e-17,100,8,175,13,472,18,225,10,142,28,184,11,244,35
"ENSG00000144677","CTDSPL",23391.6353522266,-1.06786314500622,0.117894941416273,-9.05775203056186,1.33166575650314e-19,3.28521942129324e-16,27196,14135,32980,17069,29583,15353,27715,17877,34982,15875,39386,14940,25978,13997
"ENSG00000233124","LINC00456",593.738307873211,-1.84878438283613,0.206945298215213,-8.93368633537878,4.12044457618635e-19,8.89449467327026e-16,749,133,787,168,988,149,1347,485,877,296,922,243,901,280
"ENSG00000183580","FBXL7",3595.77543520132,1.48478639868777,0.171746821991212,8.64520450203003,5.37090186880587e-18,1.03055671524898e-14,1464,5902,2054,5370,1068,4068,2388,6917,2111,7079,2039,4765,1369,5158
"ENSG00000100024","UPB1",133.763552012737,-2.25789382791868,0.265607343506498,-8.50087124139862,1.88173000004513e-17,3.24955953707794e-14,59,18,276,76,226,36,315,24,253,29,275,44,223,40
"ENSG00000134376","CRB1",2821.70871996117,1.35056352139609,0.159936998596297,8.44434704445782,3.05749609942905e-17,4.79999092191275e-14,1299,2601,1099,5716,1051,3721,2300,4748,1807,4673,1464,4682,1536,4459
"ENSG00000151490","PTPRO",20264.0289089604,-0.954620752404095,0.113812489153744,-8.38766254478928,4.95903258398781e-17,7.13646114107379e-14,20375,12119,30508,16022,26503,13428,26121,15489,32871,18027,28786,13678,20220,11658
"ENSG00000111962","UST",1769.9415442963,1.52191061101459,0.184111991105653,8.26622210685472,1.38270839459685e-16,1.83676855894562e-13,865,1778,834,4215,862,4534,1346,2989,842,2386,636,2433,579,1832
"ENSG00000153246","PLA2R1",1984.85517273587,1.62211753265875,0.198821324090037,8.15866980105295,3.38734270958676e-16,4.17828723227526e-13,1004,2733,1246,4144,605,3072,562,2867,1066,2868,974,3131,633,3559
"ENSG00000171126","KCNG3",1319.19088723186,-1.26150947601167,0.155089419799481,-8.13407824752143,4.15084391964341e-16,4.77872824322147e-13,1204,569,2424,910,2028,743,2371,916,1628,746,2307,703,1183,948
"ENSG00000135842","FAM129A",499.881852440409,-2.12431397108925,0.266058229738681,-7.9843948942144,1.41213283537206e-15,1.52413262087751e-12,261,82,829,159,1335,98,672,274,642,272,878,134,1169,102
