GeneID,1-TDPneg,2-TDPneg,3-TDPneg,4-TDPneg,5-TDPneg,6-TDPneg,7-TDPneg,1-TDPpos,2-TDPpos,3-TDPpos,4-TDPpos,5-TDPpos,6-TDPpos,7-TDPpos
AFF2,6624,6217,3612,8755,7245,4058,4729,9604,10947,6665,13396,12582,7443,8205
ALG1L9P,195,268,203,345,244,414,196,175,282,255,344,265,478,181
BMS1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12orf79,798,1329,1226,1653,1146,1951,1090,461,1360,981,2333,703,1672,584
C17orf100,81,62,36,62,98,62,15,48,103,29,125,70,45,10
C2orf15,7730,7026,6590,8071,10245,6082,7893,6616,7639,7002,7207,10618,6175,7839
C6orf165,615,947,834,946,1070,752,551,632,955,1157,885,938,775,988
CCDC7,6149,9273,7907,9619,11958,7869,7743,6486,11774,9627,10844,12060,9673,11672
CELF6,567,712,701,894,848,866,568,498,423,384,570,696,409,233
CFHR2,1,3,13,2,13,5,3,8,7,4,33,10,13,3
CLN3,620,283,717,363,671,344,489,619,334,612,587,611,301,569
CLRN1-AS1,168,270,181,50,537,430,330,189,193,133,196,247,249,409
CRIP1,9,15,21,37,16,5,8,14,19,15,96,19,11,12
CYB561D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBET,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DUXAP8,231,318,194,826,745,399,898,187,282,194,525,425,377,913
ECSCR,3,1,11,0,3,2,1,3,6,2,1,3,0,12
ELFN2,3263,3482,3110,4606,3576,3063,2968,2869,4665,3353,4533,4004,3408,2806
ENSG00000000003,7,41,6,97,32,29,38,16,44,26,68,37,39,23
ENSG00000000005,15,7,3,0,15,20,8,14,33,5,0,26,15,154
ENSG00000000419,1109,1644,1472,1326,1669,1968,1406,1291,1635,1329,2362,1600,1659,1398
ENSG00000000457,1085,1612,1328,1464,1571,1572,794,1002,2510,1472,2196,1385,1690,947
ENSG00000000460,670,1624,1376,1388,1112,2135,555,684,1969,1555,1927,1284,2386,1216
ENSG00000000938,0,15,6,12,4,5,14,7,32,2,1,4,7,7
ENSG00000000971,21,16,7,14,42,12,52,24,35,23,82,130,31,11
ENSG00000001036,80,131,66,48,203,107,247,102,238,141,199,183,125,142
ENSG00000001084,1183,2008,1779,1466,1704,1678,922,1338,2464,1624,2364,1524,1614,1424
ENSG00000001167,141,91,96,282,139,165,55,110,234,195,219,248,211,95
ENSG00000001460,873,1032,1110,1095,1162,955,1058,960,1364,1239,1199,963,977,995
ENSG00000001461,2012,1807,1865,2322,2251,1802,1235,2410,3147,2647,3389,2399,1903,1986
ENSG00000001497,1972,3916,4636,4355,3253,4395,5988,1682,3972,3461,4714,3754,3851,6988
ENSG00000001561,501,996,368,1016,913,689,403,590,1313,506,1276,1115,773,479
ENSG00000001617,54,10,40,13,19,16,20,47,22,43,39,38,40,69
ENSG00000001626,29,114,139,146,111,130,75,87,163,113,148,141,168,54
ENSG00000001629,10244,12389,11249,12942,13001,12814,10228,10921,14346,12950,14585,13017,14057,13559
ENSG00000001630,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001631,3464,4425,3737,3821,5612,4269,3321,3152,5150,3645,4357,5670,4489,2995
ENSG00000002016,2019,2338,2432,3154,2685,2537,2368,1559,2915,2566,3521,2406,2452,1772
ENSG00000002079,135,193,227,217,186,301,231,133,407,319,522,241,441,291
ENSG00000002330,6,9,34,29,5,10,16,8,11,25,30,2,5,8
ENSG00000002549,80,340,219,146,247,348,206,81,337,182,323,128,159,53
ENSG00000002586,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000002587,2510,1343,974,815,1660,1190,1193,3022,3636,2015,2373,2613,1885,2329
ENSG00000002726,3,5,18,22,11,16,2,9,0,4,0,8,6,5
ENSG00000002745,34,10,29,26,41,34,56,39,88,115,289,86,142,86
ENSG00000002746,59678,58047,55806,58470,60006,58512,50713,57450,65614,51300,60501,59474,55925,63242
ENSG00000002822,5801,3548,3754,2850,5479,3448,2272,4387,3763,2765,3817,5060,3280,2808
ENSG00000002834,1234,1114,1532,2034,1459,1129,1787,1074,1483,1548,1959,1341,975,1211
ENSG00000002919,166,239,229,354,213,171,87,133,281,297,130,245,117,150
ENSG00000002933,4,1,1,19,3,0,3,5,2,8,14,9,4,0
ENSG00000003056,291,725,542,907,538,692,422,393,1133,549,1210,493,698,405
ENSG00000003096,708,633,578,826,1156,510,1199,975,1780,1461,1894,1847,1376,1351
ENSG00000003137,55,59,143,164,60,78,14,152,327,230,373,75,137,298
ENSG00000003147,6790,13672,12403,12063,10946,16142,7579,6161,15827,12323,13841,9716,15148,10187
ENSG00000003249,337,213,284,572,313,374,284,373,406,354,399,320,345,215
ENSG00000003393,6614,7804,6786,8369,9980,7392,4042,5671,9457,7554,9053,8026,8017,5569
ENSG00000003400,62,49,72,136,83,17,21,32,39,85,205,30,47,23
ENSG00000003402,1154,1255,1774,2435,1580,1278,1300,883,1255,1147,2207,1467,1078,1120
ENSG00000003436,56,46,23,18,62,60,18,22,44,27,27,72,56,58
ENSG00000003509,903,1517,2064,2122,1178,1682,2437,828,1752,1905,1786,1047,1515,2597
ENSG00000003756,2257,3442,3089,2684,3209,3908,2573,1991,3663,2691,3055,2670,2993,1994
ENSG00000003987,6209,9528,8587,8788,9289,12420,6927,5960,10298,8386,10264,8320,10366,7118
ENSG00000003989,172,16,11,940,250,21,92,314,652,501,874,659,383,587
ENSG00000004059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004139,434,533,736,931,557,489,453,483,634,795,1445,551,462,469
ENSG00000004142,289,485,625,632,394,517,355,283,599,636,761,318,383,496
ENSG00000004399,1599,1438,1703,1843,1659,1422,1656,605,1010,1011,1035,1051,991,1202
ENSG00000004455,112,186,232,137,178,192,128,70,243,206,367,130,136,195
ENSG00000004468,75,82,119,79,216,65,310,60,62,104,263,179,85,88
ENSG00000004478,114,104,212,88,138,95,65,117,175,219,69,187,148,91
ENSG00000004487,1,2,7,0,5,4,1,2,7,3,6,2,2,1
ENSG00000004534,8180,11186,12249,14082,11081,10088,10029,6245,11666,11398,12112,9499,9525,10455
ENSG00000004660,1684,1989,1856,2213,1816,1754,1339,1009,1645,1248,1734,1704,1210,1340
ENSG00000004700,276,616,279,345,398,616,205,384,832,323,243,474,641,305
ENSG00000004766,6633,7938,6823,4990,9548,9983,4789,6988,8733,6985,6021,9295,9780,7450
ENSG00000004776,50,1,9,2,25,6,8,38,9,12,5,33,9,53
ENSG00000004777,288,449,603,750,433,508,324,217,341,433,1004,529,324,355
ENSG00000004779,432,554,714,1212,381,455,756,348,545,875,700,369,413,931
ENSG00000004799,11,18,24,340,28,17,38,28,69,27,102,79,64,39
ENSG00000004809,0,16,3,21,16,45,17,2,5,2,0,6,24,2
ENSG00000004838,3,0,1,0,1,2,1,2,1,1,0,0,0,1
ENSG00000004846,103,18,20,53,30,16,38,178,184,140,122,194,152,158
ENSG00000004848,54,6,7,94,109,19,79,143,640,489,857,291,563,352
ENSG00000004864,2385,3127,2473,4720,3211,2550,2928,2725,4390,3215,3999,3510,2844,3113
