"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Fold.Change","C_MW2.CEL","C_MW3B.CEL","C_MW7.CEL","P_3A.CEL","P_4Aa.CEL","P_5A.CEL","P_7Aa.CEL","P_8A.CEL","P_MW4.CEL","P_MW5.CEL","P_MW8.CEL","countP"
"TUG1",0.740250518,1.419859586,4.902791674,0.000307352,0.247124214,0.266210671,1.670465884,1.736457141,1.907792577,1.887446288,2.7707107,3.409760812,3.614571928,2.926740842,4.151388163,2.299768223,3.043188956,2.7707107,5
"NAV2",0.542681668,4.655848217,3.787670247,0.002343226,0.41856675,-1.328198627,1.456677661,25.30039914,17.82576605,15.63309487,32.54201911,25.97521825,26.81918112,27.51504163,23.77568686,33.08661567,26.8529038,28.12114843,11
"RAP1GDS1",-0.738221714,6.493633717,-3.428033186,0.004624923,0.479844074,-1.877809526,-1.668118425,79.93925575,146.1209875,191.3028921,68.87069854,90.75794582,78.9038974,91.73488354,92.82911808,75.76223175,61.72116076,72.4847103,11
"MOB1A",-0.543509306,0.718572029,-3.379327591,0.005073677,0.493750238,-1.953058425,-1.45751356,1.459148447,2.568536401,2.704724011,1.487075225,1.243345329,1.523177708,1.61089878,1.523177708,1.411741697,1.523177708,1.590453586,6
"RBM15",-0.537355781,0.648626658,-3.312755924,0.005759055,0.506143632,-2.056135144,-1.45131007,2.090427331,2.727180947,1.523177708,1.70121647,1.487392311,1.245985007,1.696554272,1.265256977,1.41815949,1.364335278,1.236023324,3
"ZBTB20",0.986571619,4.544610399,3.264820524,0.006309684,0.515979387,-2.130492672,1.981470679,22.43132169,8.12223856,15.69236808,24.2138421,26.80669265,23.08457338,18.83757187,23.47934361,42.75571471,42.4847103,32.50266309,8
"RBPJ",0.287310644,5.884570684,3.218548349,0.006891395,0.52651846,-2.202358346,1.220363253,48.03016485,53.15615294,52.30289212,58.01101717,58.01101717,57.23530189,65.3067014,66.04528838,64.25536994,69.84234908,61.46799442,10
"FXR1",-0.791005408,5.054447399,-3.03667263,0.009747876,0.563776406,-2.485315166,-1.730279867,40.15870624,61.28125086,49.32193342,57.31887223,19.15480189,24.19956307,30.21200383,28.46205787,30.21200383,29.81839005,21.84254599,11
"SERBP1",0.33150966,5.122174358,3.00555268,0.010343565,0.570033296,-2.533751338,1.258329423,30.39382201,26.92147869,31.27281799,33.10009559,39.79131291,35.25578994,38.92236537,31.35917119,36.05303325,44.14131186,39.6240912,11
"TUBB4B",-0.95974815,7.666412426,-2.890720697,0.012871765,0.589416868,-2.712337064,-1.944970334,195.7386105,392.1959635,466.2687116,84.69005755,234.0884834,150.9858519,236.1210739,269.3382933,136.4921927,150.6781997,173.5662909,11
"PTPRB",0.262340123,0.285957623,2.861298657,0.01361254,0.593285922,-2.758029551,1.199422651,1.059554432,1.065788652,1.079314519,1.205520836,1.43898343,1.205520836,1.285342146,1.476519164,1.258766411,1.205520836,1.205520836,3
"MED13L",0.244099719,1.657119658,2.858965805,0.013673047,0.593755898,-2.761650924,1.184353472,2.97626304,2.647260939,2.752562502,3.237891324,3.237891324,3.237891324,3.237891324,3.257803007,3.103018657,3.335848402,3.820323322,6
"CALD1",0.503602124,4.51132842,2.789455797,0.01560282,0.597482837,-2.869428753,1.417748986,18.51430948,15.72148311,19.02708613,28.22897988,29.30296659,26.12177766,16.28759997,20.61203215,29.34108844,23.22253147,31.70665428,11
"CST3",0.755683813,3.237718625,2.754582411,0.016669611,0.59872784,-2.923393764,1.68843169,8.958771886,3.847554094,7.765875665,9.697163111,15.87935862,17.53090305,9.814208038,10.39389339,8.034789107,9.697163111,9.162128289,9
"RPS16",0.542635023,6.207018716,2.748428993,0.016865145,0.60057079,-2.932907262,1.456630565,53.26879343,51.11587477,65.1732026,54.67988645,133.6866506,77.75743757,80.03497971,86.04338383,76.57561939,76.57561939,87.81188989,11
"MCL1",0.503162609,4.455340396,2.661104781,0.019894627,0.620889479,-3.067589369,1.417317136,18.67691746,14.75932718,17.89484758,25.42517392,27.16336137,29.30296659,17.87380728,20.31285805,17.29660316,30.58861309,29.53483803,10
"ZFYVE26",0.316586847,1.039522295,2.625663457,0.021270534,0.629462579,-3.122052382,1.245380718,2.162217987,1.534426241,1.621827824,2.166570129,2.039795529,1.953114906,2.270956967,2.564294398,2.045317093,2.063941924,2.424537917,4
"CIAPIN1",-0.456455746,5.760610225,-2.530026252,0.025461714,0.650019215,-3.268317211,-1.372166687,54.84402903,74.95738723,77.30408273,51.44302501,41.67913748,45.42838889,60.54311631,66.64577601,42.07561939,37.95666644,59.62198352,11
"PRKAR2A",-0.304777525,5.042411522,-2.49069535,0.027408487,0.658469876,-3.328127397,-1.23522814,33.75743877,43.34462527,38.78129196,33.75743877,31.7347878,38.50451998,27.25498961,27.47762228,27.86517743,30.19173123,33.75743877,9
"JAG1",0.754212745,2.546921833,2.486343083,0.027632547,0.658469876,-3.334732298,1.68671093,4.237419291,3.066576212,4.908886209,5.154544439,7.756787871,4.171567282,5.931535747,5.972080544,7.599558862,6.188843934,15.31433728,6
"IFI16",0.937219946,1.59154183,2.459749276,0.029040486,0.666402064,-3.375028802,1.914834821,1.90482902,1.799107387,1.935678247,3.083192637,2.817496318,2.49435797,2.928587593,2.817496318,3.108101835,4.108122918,12.29959571,10
"CBR4",-0.273399675,1.869766488,-2.390042773,0.033066123,0.682469518,-3.480113857,-1.208652635,4.004142764,5.079125111,3.629408446,3.467011883,3.883597688,3.629408446,3.530530442,3.629408446,3.021950254,3.083103483,3.608301668,9
"RBMS1",0.43911078,7.33801069,2.385354567,0.033355275,0.682483751,-3.487151648,1.355768428,130.3538539,144.0693621,116.0870318,245.2574376,172.866005,205.0402136,112.6665285,168.9686136,187.5957576,153.0898667,191.9349808,11
"CYCS",-0.419353214,7.335691012,-2.379033313,0.033748981,0.685193292,-3.496634663,-1.337327872,152.2334517,202.0301648,258.3990575,153.8612785,149.5329857,177.0021635,164.6963317,182.7427008,128.0297039,107.758272,145.3938012,11
"TIA1",0.466105111,2.400289217,2.348689618,0.03570156,0.691088515,-3.542053066,1.381375088,3.136769698,3.999488518,5.795029181,5.474776103,5.187054037,6.172790779,4.970198647,8.878125456,4.675419656,5.809801234,5.809801234,8
"DMD",-0.493634036,1.758082101,-2.316023385,0.037923955,0.698296912,-3.590750151,-1.407987022,2.653646436,5.704586358,5.393297349,3.043188956,3.532430457,3.453802298,2.283947674,3.731481664,3.151680469,3.043188956,2.676269,9
"TCF4",0.245423501,0.787598613,2.276458997,0.040792109,0.704146431,-3.649439692,1.185440704,1.485004306,1.568923487,1.523177708,2.087549984,1.70779491,1.709106107,1.603989296,1.689581563,2.202428848,1.859582817,1.689581563,4
"BGN",0.395300099,1.571291667,2.229493791,0.044463866,0.712838817,-3.718666084,1.315216313,3.425103455,1.986687344,2.121213222,3.513528999,3.851327472,3.488589029,2.783804481,2.314344066,3.276905656,3.276905656,3.385940209,3
"KCTD12",0.899917045,1.342264828,2.194166763,0.047429195,0.719930938,-3.770401402,1.865958687,1.398997885,1.200373377,2.488820367,2.283947674,5.007942559,2.480342655,2.06954522,2.283947674,1.533821907,5.042831093,6.422249381,8
"NKTR",0.535615962,3.008971998,2.174644838,0.049146756,0.723414087,-3.798860245,1.449560916,6.880294742,5.468159886,6.167875114,15.32050061,8.999025298,10.52098932,5.778227672,9.819264568,7.509855327,6.095769183,10.52098932,7
"MCMBP",0.312387134,1.187497238,2.112289354,0.055031879,0.730787863,-3.889103436,1.241760662,1.903501358,1.682697348,2.299768223,2.3873265,1.735744826,2.299768223,2.540034465,2.52671809,2.299768223,2.879379146,2.867416705,3
"SRI",0.36301476,0.609350498,2.085772494,0.057728837,0.73171792,-3.927160254,1.286110641,1.533930838,1.200373377,1.113655201,1.755105107,1.773855506,1.979708435,1.206390982,1.243944821,1.533930838,1.701789942,2.104089168,4
"RPL12",0.43836809,5.236195344,2.071611779,0.059218999,0.73171792,-3.947401862,1.355070667,32.63227263,24.21999706,34.91541507,35.72097246,58.45581896,35.27548054,35.91377843,35.48471055,30.38416491,60.38186408,45.90412522,9
"SOAT1",0.414532027,3.018847218,2.054863922,0.061027519,0.733665199,-3.971266241,1.33286626,5.025913271,6.769744425,8.360684111,7.477767554,9.354934854,8.180933704,8.180933704,10.06162193,6.308821796,8.729380791,13.43853629,7
"SFPQ",0.31002786,5.312319699,2.03320965,0.0634418,0.738444733,-4.001998068,1.23973164,39.51343918,25.69204492,38.66652849,40.75273638,43.55849249,37.36367596,49.02597956,39.03067446,34.03016604,50.34595483,45.66930982,11
"IL13RA1",-0.297541971,0.277749848,-2.006291791,0.066566056,0.743932416,-4.039999885,-1.229048605,1.345294166,1.436094874,1.446292438,1.523177708,1.170482918,1.170482918,1.035746093,0.993150613,0.905203487,1.061467731,1.442323619,3
"RPL22",0.20639445,2.661247853,1.995896408,0.067810154,0.745829849,-4.054614931,1.153801025,5.532452155,5.57434534,6.007259324,6.257707061,6.257707061,8.173578409,6.163789159,6.215481437,6.257707061,7.296021638,6.257707061,5
"PNISR",0.322818292,3.889681231,1.984672346,0.069177445,0.749199929,-4.070356207,1.250771535,12.75829285,13.70756334,11.42758976,15.12166078,13.55156692,14.61290834,14.77385857,15.86027257,12.15841746,20.58558274,21.61424301,11
"DDX17",0.319536039,7.55676135,1.958406288,0.072476744,0.751674743,-4.10703262,1.247929158,173.9595037,132.1613527,179.0663295,140.616817,184.2398277,229.8652875,177.8344977,205.3222249,208.7574376,254.9392558,221.2782949,11
"LPP",0.338457242,2.873587908,1.908643065,0.079125731,0.763671554,-4.175880246,1.26440377,8.127873871,4.433442426,6.547781614,6.835408895,8.029818997,6.974245372,8.712517959,9.723299016,7.281077465,6.355585575,9.253573238,10
"PPIC",0.709518675,2.005700593,1.90548498,0.079565909,0.764411542,-4.180220372,1.635258456,2.24380467,3.999219629,2.468090731,5.789245325,6.307196911,4.759922967,10.52098932,4.718855355,3.322690721,2.911310904,2.369654382,4
"PNN",0.298184035,6.369398866,1.886486042,0.082261357,0.766587721,-4.206255112,1.229595709,63.96603083,70.80472451,79.4847103,79.4847103,91.68733694,97.4089812,92.2889075,110.211983,65.41129938,104.2048407,69.6265792,11
"UBE2L3",-0.570134016,1.795279693,-1.844930201,0.088447997,0.776547028,-4.262739157,-1.484661478,2.431334832,4.633190359,8.790914743,2.693279555,4.46702609,3.518200752,3.424486552,3.518200752,3.214506681,2.084600466,2.602139948,4
"HMOX2",-0.267085804,2.019884276,-1.779163558,0.099099981,0.78626301,-4.350777628,-1.203374594,3.847515645,4.173045662,6.221910281,3.481729328,4.717745401,4.143244159,3.999219629,3.183867836,3.525292828,3.999219629,3.999219629,4
"PFDN1",-0.316930467,3.995704527,-1.757556218,0.102842422,0.791164418,-4.379323494,-1.245677377,15.42258714,20.32174231,20.91800199,13.45447271,16.18655367,15.07350969,20.5351906,18.15514447,13.97565823,10.10363899,15.02704935,9
"TMED10",0.326312059,3.828199491,1.710700072,0.11139311,0.797014062,-4.440552545,1.253804193,10.96358657,11.62436285,13.7267409,13.13949082,20.6269761,16.25028512,12.40301267,20.73906149,12.5930767,11.23515128,16.92934859,11
"CRYL1",0.412599658,1.671854336,1.694144061,0.114561522,0.802657024,-4.461960383,1.331082192,3.003095866,2.168902453,2.660928736,3.506766438,5.900293695,4.6628305,3.215298271,3.304703753,2.764546572,2.120559319,3.29883537,3
"G3BP1",0.3291227,2.797513162,1.686904877,0.115971718,0.803678454,-4.471283004,1.256249219,6.451156046,5.364384809,5.903142425,9.814208038,6.882766983,6.508841691,5.119474463,5.646575794,8.624453991,9.79811179,8.360684111,8
"UBE2W",-0.217741127,0.650576388,-1.673210579,0.118681212,0.80884153,-4.488854452,-1.162911354,1.470818596,1.637344317,2.232752989,1.324257573,1.590453586,1.590453586,1.684736436,1.590453586,1.451328441,1.280498673,1.590453586,6
"TBCB",-0.458167702,5.097409466,-1.651978888,0.122991943,0.812488816,-4.515929353,-1.373795918,33.2935268,48.30991892,49.88207923,32.7460692,38.98327941,36.90600659,43.30289212,47.05619371,22.61467595,17.13636397,25.36802399,11
"TARDBP",0.218871769,3.788032207,1.646107958,0.124207873,0.812754461,-4.523379536,1.163823085,11.82828166,12.20915475,13.1091133,12.89070358,15.55631568,14.2482048,15.17775882,17.18733129,13.74797938,16.83432258,10.70162686,6
"HCFC2",0.347859153,1.074857992,1.629572268,0.127689201,0.816158652,-4.544277122,1.272670681,1.769045787,1.761495975,1.772561869,3.043188956,2.169618614,1.787592494,2.179038567,1.459016168,1.979830928,2.583660535,3.418360922,9
"PLEKHB1",0.675818514,1.577571376,1.620435972,0.129648945,0.818243244,-4.555768402,1.59750286,3.667131719,1.533663728,1.70121647,2.133362664,3.900450808,10.08458396,2.292785813,3.198897061,3.315984355,3.954679654,2.168293663,4
"RAB31",0.311485131,5.915486924,1.612036662,0.131473638,0.820173862,-4.566297805,1.24098453,54.48555861,66.57444009,37.84834671,60.57561939,59.43302381,66.74725383,60.57561939,59.95766972,52.62424227,60.57561939,101.4163018,10
"SCAF11",0.214268806,1.297595125,1.593366494,0.135609629,0.821354548,-4.589581642,1.16011579,2.404718473,2.323929132,1.922329599,2.589383982,2.398519168,2.465213063,2.398519168,2.035543453,3.24240816,3.043188956,2.499403337,8
"GNAI3",0.344188911,3.056029998,1.591696796,0.135984947,0.821354548,-4.591655737,1.2694371,6.480411803,6.242873244,8.449328581,8.696415356,8.018470403,9.768423742,10.15358366,10.23744701,8.696415356,5.000266741,12.5116212,9
"GLG1",0.398785081,4.325459412,1.573050817,0.140237601,0.824876848,-4.614725084,1.318397198,12.22944044,22.57851669,15.96827316,30.66634907,30.39382201,22.94370469,22.57766879,25.70290293,16.02812936,14.04036385,17.08558886,9
"SRSF11",-0.17986267,2.710695038,-1.567286242,0.141575346,0.825200271,-4.621822509,-1.132776051,8.360684111,6.764680785,6.510958323,6.468900009,7.112833444,6.793689193,5.021802639,6.596233686,6.257707061,6.480781076,6.119199694,11
"RANBP2",-0.260214975,3.492131688,-1.55569184,0.144299268,0.825959222,-4.636047587,-1.197657154,11.91791978,11.39374523,15.5506841,10.88655895,12.33725067,10.71228916,8.383174238,15.12878671,9.442119384,8.886003011,11.3241067,8
"PSMB2",-0.328332189,5.458588302,-1.52835082,0.150901252,0.830059599,-4.669323592,-1.255561058,39.21198303,49.66796395,71.73770286,41.84834666,42.81780731,41.05923514,62.52202337,50.85115343,31.95883068,32.50505395,35.02314362,11
"NR2F2",0.340059945,0.932907025,1.500664743,0.157847689,0.832201079,-4.70262806,1.265809188,1.376650993,1.925626919,1.569473894,1.979830928,2.683327453,1.979830928,1.48503958,1.269291227,2.026938746,2.738411521,2.681910918,11
"MYOF",0.331998679,1.294376914,1.480244603,0.163143449,0.836235026,-4.726934339,1.258756021,2.386215671,1.627386666,2.299768223,2.487600708,2.506907747,2.985788494,1.841785284,1.922493537,4.315928014,2.480171994,3.066101916,4
"VPS13B",0.40338524,1.6810654,1.446134626,0.172323973,0.841480351,-4.767036695,1.322607732,2.661120728,2.348699449,2.866294552,5.61357751,3.115303138,3.115303138,1.779144437,4.434085515,2.975910031,5.163850243,3.115303138,5
