"","C_MW2.CEL","C_MW3B.CEL","C_MW7.CEL","P_3A.CEL","P_4Aa.CEL","P_5A.CEL","P_7Aa.CEL","P_8A.CEL","P_MW4.CEL","P_MW5.CEL","P_MW8.CEL"
"TUG1",1.736457141,1.907792577,1.887446288,2.7707107,3.409760812,3.614571928,2.926740842,4.151388163,2.299768223,3.043188956,2.7707107
"NAV2",25.30039914,17.82576605,15.63309487,32.54201911,25.97521825,26.81918112,27.51504163,23.77568686,33.08661567,26.8529038,28.12114843
"RAP1GDS1",79.93925575,146.1209875,191.3028921,68.87069854,90.75794582,78.9038974,91.73488354,92.82911808,75.76223175,61.72116076,72.4847103
"MOB1A",1.459148447,2.568536401,2.704724011,1.487075225,1.243345329,1.523177708,1.61089878,1.523177708,1.411741697,1.523177708,1.590453586
"RBM15",2.090427331,2.727180947,1.523177708,1.70121647,1.487392311,1.245985007,1.696554272,1.265256977,1.41815949,1.364335278,1.236023324
"ZBTB20",22.43132169,8.12223856,15.69236808,24.2138421,26.80669265,23.08457338,18.83757187,23.47934361,42.75571471,42.4847103,32.50266309
"RBPJ",48.03016485,53.15615294,52.30289212,58.01101717,58.01101717,57.23530189,65.3067014,66.04528838,64.25536994,69.84234908,61.46799442
"FXR1",40.15870624,61.28125086,49.32193342,57.31887223,19.15480189,24.19956307,30.21200383,28.46205787,30.21200383,29.81839005,21.84254599
"SERBP1",30.39382201,26.92147869,31.27281799,33.10009559,39.79131291,35.25578994,38.92236537,31.35917119,36.05303325,44.14131186,39.6240912
"TUBB4B",195.7386105,392.1959635,466.2687116,84.69005755,234.0884834,150.9858519,236.1210739,269.3382933,136.4921927,150.6781997,173.5662909
"PTPRB",1.059554432,1.065788652,1.079314519,1.205520836,1.43898343,1.205520836,1.285342146,1.476519164,1.258766411,1.205520836,1.205520836
"MED13L",2.97626304,2.647260939,2.752562502,3.237891324,3.237891324,3.237891324,3.237891324,3.257803007,3.103018657,3.335848402,3.820323322
"CALD1",18.51430948,15.72148311,19.02708613,28.22897988,29.30296659,26.12177766,16.28759997,20.61203215,29.34108844,23.22253147,31.70665428
"CST3",8.958771886,3.847554094,7.765875665,9.697163111,15.87935862,17.53090305,9.814208038,10.39389339,8.034789107,9.697163111,9.162128289
"RPS16",53.26879343,51.11587477,65.1732026,54.67988645,133.6866506,77.75743757,80.03497971,86.04338383,76.57561939,76.57561939,87.81188989
"MCL1",18.67691746,14.75932718,17.89484758,25.42517392,27.16336137,29.30296659,17.87380728,20.31285805,17.29660316,30.58861309,29.53483803
"ZFYVE26",2.162217987,1.534426241,1.621827824,2.166570129,2.039795529,1.953114906,2.270956967,2.564294398,2.045317093,2.063941924,2.424537917
"CIAPIN1",54.84402903,74.95738723,77.30408273,51.44302501,41.67913748,45.42838889,60.54311631,66.64577601,42.07561939,37.95666644,59.62198352
"PRKAR2A",33.75743877,43.34462527,38.78129196,33.75743877,31.7347878,38.50451998,27.25498961,27.47762228,27.86517743,30.19173123,33.75743877
"JAG1",4.237419291,3.066576212,4.908886209,5.154544439,7.756787871,4.171567282,5.931535747,5.972080544,7.599558862,6.188843934,15.31433728
"IFI16",1.90482902,1.799107387,1.935678247,3.083192637,2.817496318,2.49435797,2.928587593,2.817496318,3.108101835,4.108122918,12.29959571
"CBR4",4.004142764,5.079125111,3.629408446,3.467011883,3.883597688,3.629408446,3.530530442,3.629408446,3.021950254,3.083103483,3.608301668
"RBMS1",130.3538539,144.0693621,116.0870318,245.2574376,172.866005,205.0402136,112.6665285,168.9686136,187.5957576,153.0898667,191.9349808
"CYCS",152.2334517,202.0301648,258.3990575,153.8612785,149.5329857,177.0021635,164.6963317,182.7427008,128.0297039,107.758272,145.3938012
"TIA1",3.136769698,3.999488518,5.795029181,5.474776103,5.187054037,6.172790779,4.970198647,8.878125456,4.675419656,5.809801234,5.809801234
"DMD",2.653646436,5.704586358,5.393297349,3.043188956,3.532430457,3.453802298,2.283947674,3.731481664,3.151680469,3.043188956,2.676269
"TCF4",1.485004306,1.568923487,1.523177708,2.087549984,1.70779491,1.709106107,1.603989296,1.689581563,2.202428848,1.859582817,1.689581563
"BGN",3.425103455,1.986687344,2.121213222,3.513528999,3.851327472,3.488589029,2.783804481,2.314344066,3.276905656,3.276905656,3.385940209
"KCTD12",1.398997885,1.200373377,2.488820367,2.283947674,5.007942559,2.480342655,2.06954522,2.283947674,1.533821907,5.042831093,6.422249381
"NKTR",6.880294742,5.468159886,6.167875114,15.32050061,8.999025298,10.52098932,5.778227672,9.819264568,7.509855327,6.095769183,10.52098932
"MCMBP",1.903501358,1.682697348,2.299768223,2.3873265,1.735744826,2.299768223,2.540034465,2.52671809,2.299768223,2.879379146,2.867416705
"SRI",1.533930838,1.200373377,1.113655201,1.755105107,1.773855506,1.979708435,1.206390982,1.243944821,1.533930838,1.701789942,2.104089168
"RPL12",32.63227263,24.21999706,34.91541507,35.72097246,58.45581896,35.27548054,35.91377843,35.48471055,30.38416491,60.38186408,45.90412522
"SOAT1",5.025913271,6.769744425,8.360684111,7.477767554,9.354934854,8.180933704,8.180933704,10.06162193,6.308821796,8.729380791,13.43853629
"SFPQ",39.51343918,25.69204492,38.66652849,40.75273638,43.55849249,37.36367596,49.02597956,39.03067446,34.03016604,50.34595483,45.66930982
"IL13RA1",1.345294166,1.436094874,1.446292438,1.523177708,1.170482918,1.170482918,1.035746093,0.993150613,0.905203487,1.061467731,1.442323619
"RPL22",5.532452155,5.57434534,6.007259324,6.257707061,6.257707061,8.173578409,6.163789159,6.215481437,6.257707061,7.296021638,6.257707061
"PNISR",12.75829285,13.70756334,11.42758976,15.12166078,13.55156692,14.61290834,14.77385857,15.86027257,12.15841746,20.58558274,21.61424301
"DDX17",173.9595037,132.1613527,179.0663295,140.616817,184.2398277,229.8652875,177.8344977,205.3222249,208.7574376,254.9392558,221.2782949
"LPP",8.127873871,4.433442426,6.547781614,6.835408895,8.029818997,6.974245372,8.712517959,9.723299016,7.281077465,6.355585575,9.253573238
"PPIC",2.24380467,3.999219629,2.468090731,5.789245325,6.307196911,4.759922967,10.52098932,4.718855355,3.322690721,2.911310904,2.369654382
"PNN",63.96603083,70.80472451,79.4847103,79.4847103,91.68733694,97.4089812,92.2889075,110.211983,65.41129938,104.2048407,69.6265792
"UBE2L3",2.431334832,4.633190359,8.790914743,2.693279555,4.46702609,3.518200752,3.424486552,3.518200752,3.214506681,2.084600466,2.602139948
"HMOX2",3.847515645,4.173045662,6.221910281,3.481729328,4.717745401,4.143244159,3.999219629,3.183867836,3.525292828,3.999219629,3.999219629
"PFDN1",15.42258714,20.32174231,20.91800199,13.45447271,16.18655367,15.07350969,20.5351906,18.15514447,13.97565823,10.10363899,15.02704935
"TMED10",10.96358657,11.62436285,13.7267409,13.13949082,20.6269761,16.25028512,12.40301267,20.73906149,12.5930767,11.23515128,16.92934859
"CRYL1",3.003095866,2.168902453,2.660928736,3.506766438,5.900293695,4.6628305,3.215298271,3.304703753,2.764546572,2.120559319,3.29883537
"G3BP1",6.451156046,5.364384809,5.903142425,9.814208038,6.882766983,6.508841691,5.119474463,5.646575794,8.624453991,9.79811179,8.360684111
"UBE2W",1.470818596,1.637344317,2.232752989,1.324257573,1.590453586,1.590453586,1.684736436,1.590453586,1.451328441,1.280498673,1.590453586
"TBCB",33.2935268,48.30991892,49.88207923,32.7460692,38.98327941,36.90600659,43.30289212,47.05619371,22.61467595,17.13636397,25.36802399
"TARDBP",11.82828166,12.20915475,13.1091133,12.89070358,15.55631568,14.2482048,15.17775882,17.18733129,13.74797938,16.83432258,10.70162686
"HCFC2",1.769045787,1.761495975,1.772561869,3.043188956,2.169618614,1.787592494,2.179038567,1.459016168,1.979830928,2.583660535,3.418360922
"PLEKHB1",3.667131719,1.533663728,1.70121647,2.133362664,3.900450808,10.08458396,2.292785813,3.198897061,3.315984355,3.954679654,2.168293663
"RAB31",54.48555861,66.57444009,37.84834671,60.57561939,59.43302381,66.74725383,60.57561939,59.95766972,52.62424227,60.57561939,101.4163018
"SCAF11",2.404718473,2.323929132,1.922329599,2.589383982,2.398519168,2.465213063,2.398519168,2.035543453,3.24240816,3.043188956,2.499403337
"GNAI3",6.480411803,6.242873244,8.449328581,8.696415356,8.018470403,9.768423742,10.15358366,10.23744701,8.696415356,5.000266741,12.5116212
"GLG1",12.22944044,22.57851669,15.96827316,30.66634907,30.39382201,22.94370469,22.57766879,25.70290293,16.02812936,14.04036385,17.08558886
