"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Fold.Change","C_JK.C.05.07.CEL","C_JK.C.12.07.CEL","C_JK.C.35.96.CEL","C_JK.C.39.97.CEL","C_JK.CC2.CEL","C_JK.CC4.CEL","P_LC.04.06.CEL","P_LC.299.99.CEL","P_LC.96.06.CEL"
"NACA",-1.993140486,6.358539257,-6.009732648,0.000172652,0.15074056,1.079924479,-3.98102653,220.7713466,156.3401788,114.4930822,109.7075168,96.04062173,116.1910049,20.0738474,51.49432669,33.72508005
"RPS16",-1.564968336,7.833396528,-4.840212686,0.00082954,0.195722311,-0.246116687,-2.958710081,426.6870398,322.8276328,270.3819711,270.3819711,270.3819711,452.6009049,60.83331903,171.2941002,130.0688286
"SF3B1",-1.220077841,5.931057214,-4.716583466,0.000990464,0.198843758,-0.400515061,-2.329592864,127.6595321,71.26084418,62.06292001,64.54541822,83.66568118,91.82641554,25.07983867,39.82517168,41.90211382
"TAOK3",0.484481523,1.883373401,4.408210761,0.001556283,0.222087777,-0.797458731,1.399082972,3.223467395,2.953931773,3.095675136,3.542334635,3.542334635,3.483101145,4.724929598,4.574810035,4.547515569
"PLEKHB1",-2.489805789,4.594393776,-4.357101421,0.001679532,0.22558689,-0.864854686,-5.617023305,46.438325,107.9375267,16.41485784,22.96998364,63.19522697,52.50291108,4.724929598,12.69853871,7.447139253
"SLC16A7",0.95806573,1.527627651,4.113117226,0.002428885,0.255875359,-1.192699911,1.9427035,2.128313783,2.307811171,3.008942807,1.945764031,2.889472018,1.831466166,4.443373263,6.184259926,3.291529474
"NAV2",0.912763943,5.132969464,4.07801014,0.002563052,0.258583868,-1.240686627,1.882648861,31.31689995,30.33699733,23.9038251,27.43009722,38.98217336,21.6878173,42.63373699,72.88523227,49.28094584
"CST3",-2.379793428,4.065454473,-3.822580405,0.003809071,0.276471207,-1.595677458,-5.204622147,66.82511948,89.69422237,12.21223851,14.93782499,20.23247478,26.97025171,4.546507382,7.13364746,5.341992484
"CALD1",-1.67245358,3.283389605,-3.74346275,0.00431384,0.28299861,-1.707625258,-3.18756239,24.25010607,6.356526514,21.97860892,8.914104903,15.95439961,17.96461962,3.802409177,7.020632743,3.402857657
"ADAMTS1",-2.087952497,3.998521385,-3.636374689,0.005111564,0.294076576,-1.860547974,-4.25144271,7.597058291,26.35602537,64.63261322,26.16532351,24.04718914,37.0130091,5.035422085,10.18588236,4.404711081
"SERBP1",-1.017408846,5.341383224,-3.60366189,0.00538498,0.296200972,-1.90756912,-2.024279983,89.05058879,48.95513026,39.09013727,38.14566666,49.44604567,56.61892225,21.21489487,35.04081297,21.87728819
"BGN",-1.167803095,2.344628343,-3.602024524,0.005399061,0.296677036,-1.909926317,-2.246693147,11.08490465,6.483553246,8.358993627,4.287047149,5.801302235,5.801302235,2.690455403,2.098940686,4.597237022
"SREK1",0.635254575,2.317282727,3.362196435,0.007940581,0.323993493,-2.258692847,1.553211803,3.998020169,3.35197717,5.559504869,4.496873071,4.013101761,4.724929598,5.379940461,8.292309958,6.694577833
"NKTR",0.815234076,0.928656439,3.314952073,0.008573665,0.330379499,-2.328146064,1.75958362,1.743532344,1.350473826,1.429801266,1.324778056,1.614639327,2.133488631,4.109568801,1.897483263,2.738457104
"TUBB4B",-2.009740949,6.226346384,-3.308409668,0.008665375,0.330379499,-2.337781317,-4.027099028,79.85131007,340.0293779,164.772297,195.9972368,83.34641827,39.09013727,19.70051272,37.41575393,35.11029082
"DCN",-1.754715908,4.465171582,-3.292196958,0.008897049,0.331593687,-2.36167604,-3.374598601,117.8850683,17.96461962,32.43941798,19.34882034,33.73040877,29.4931908,7.240608591,9.884726788,13.22110518
"SNX27",-0.745326417,4.742124145,-3.236244773,0.00974706,0.337803333,-2.444325727,-1.67635351,24.01957398,48.10674666,37.64961757,25.02788385,29.08189485,32.60484906,16.15023544,22.40074613,18.85351255
"GLG1",-1.173057635,4.640749605,-3.206321753,0.010235688,0.33930234,-2.48863864,-2.254890904,43.77343984,39.0305108,26.56133261,48.43922005,20.9878667,26.56133261,11.86210917,26.56133261,9.690622012
"RPL35A",-0.573336961,6.225783336,-3.165548558,0.010942529,0.343445433,-2.549136516,-1.487961255,100.3392585,60.87327041,91.27863594,91.71530443,75.14073807,101.27086,53.19668103,55.16365533,64.5240729
"UBE2L3",-1.910133338,2.906824804,-3.149703472,0.011230631,0.343445433,-2.572681362,-3.758438346,5.681047207,20.78747273,13.02301131,15.82651457,13.17656187,7.836726943,1.230381045,9.303814637,2.608608067
"SRSF11",0.865636184,3.73020947,3.148496599,0.011252893,0.343445433,-2.574475462,1.822142999,14.17774675,9.414923426,9.887352757,7.153238147,17.24228151,10.10795453,16.7566481,25.77950418,17.96461962
"CCDC93",0.411272742,2.474436431,3.110598017,0.011975585,0.348067766,-2.630866864,1.329858495,5.517845825,5.306299895,5.077532622,5.306299895,5.306299895,3.97987111,6.872894178,6.278152006,7.035227472
"ZFHX3",-0.643275225,4.055911965,-3.082456244,0.012542995,0.350646433,-2.672803068,-1.561870917,28.26900921,21.454697,18.10715046,14.78129434,15.92801322,19.97285216,14.17952376,10.59406843,12.55563808
"TMED10",1.339477783,2.460489198,3.050772135,0.013214995,0.35414295,-2.720076574,2.530597013,3.532934474,3.829756557,3.272299601,2.223548983,4.281507447,10.29999747,16.32136678,7.28608509,8.979215124
"ANXA1",-2.271204842,3.559121861,-2.995102377,0.014486551,0.362395174,-2.803271374,-4.827261031,101.8877352,10.29999747,10.29999747,8.262551556,23.32575279,29.99647362,2.217378444,5.532241652,5.728814823
"RBM39",-0.757677594,4.873458293,-2.824837436,0.019208241,0.384159357,-3.05847356,-1.690766689,53.3549745,24.03007216,28.58478349,29.24796338,36.2126101,46.7185958,18.58259695,26.3924427,17.96461962
"SNRPB",-1.202174773,2.80913301,-2.803521256,0.019900758,0.387461623,-3.090469605,-2.300862504,6.674294412,20.96050722,5.306337474,13.62177731,10.29999747,6.024322479,2.990231594,5.010322983,4.340582463
"PFDN1",-0.804162259,4.460201192,-2.72009528,0.022863228,0.397012611,-3.215705962,-1.746131557,26.1495167,38.20648888,26.987159,34.2250543,26.82589553,14.00953295,11.80536009,18.12088203,16.3512343
"RPL12",-0.721015974,6.542786089,-2.713609019,0.023111441,0.397596055,-3.22544124,-1.648342421,151.9063922,94.55751499,94.55751499,67.25765218,119.905778,162.9273957,69.10220933,65.02609227,66.38197122
"ANKRD40",-0.686149167,5.226521808,-2.695632755,0.023813647,0.401380356,-3.252418796,-1.608983094,34.37323591,63.07936331,32.25512819,32.52194966,54.37220374,57.6609754,27.22799927,28.96960774,25.7014843
"MMRN2",-0.551310971,0.976002329,-2.646278461,0.025854068,0.406081926,-3.326452457,-1.46541671,1.636950499,1.800086569,2.387801223,2.110570896,3.008942807,2.783666182,1.345358868,1.609244225,1.636950499
"PNN",-1.591427055,3.918713917,-2.63297752,0.026433432,0.406382217,-3.346393146,-3.013472825,73.76120418,23.26216539,12.44629805,13.60561436,10.10290514,37.0130091,6.114311987,11.30130836,5.51239616
"RBMS1",0.36030749,4.252518172,2.624604016,0.026804835,0.406382217,-3.358943637,1.28369947,14.52838557,19.72436828,18.40906406,17.20960822,17.20960822,18.62482933,20.89603562,26.25635153,20.79864427
"SKIV2L2",0.832958621,4.075134899,2.624209474,0.026822463,0.406382217,-3.35953493,1.781334708,11.08490465,18.77484919,18.77484919,19.66865379,12.66098336,7.426924958,27.61352029,19.89420448,27.66025817
"WSB1",-1.31145502,4.666756512,-2.616624601,0.027163629,0.407854144,-3.370901119,-2.481917258,66.39071095,37.72818148,19.17043032,13.67620226,37.50468306,67.16154596,10.89548626,15.82209578,15.43177395
