"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Fold.Change","C_GSM329660.CEL","C_GSM329663.CEL","C_GSM329664.CEL","C_GSM329666.CEL","C_GSM329667.CEL","C_GSM329670.CEL","C_GSM329672.CEL","C_GSM329674.CEL","P_GRN_GSM329677.CEL","P_GRN_GSM329679.CEL","P_GRN_GSM329681.CEL","P_GRN_GSM329683.CEL","P_GRN_GSM329686.CEL","P_GRN_GSM329689.CEL","P_SP_GSM329692.CEL","P_SP_GSM329694.CEL","P_SP_GSM329697.CEL","P_SP_GSM329700.CEL","P_SP_GSM329703.CEL","P_SP_GSM329704.CEL","P_SP_GSM329707.CEL","P_SP_GSM329709.CEL","P_SP_GSM329711.CEL","P_SP_GSM329714.CEL","countP"
"PTPN13",1.076740159,6.842437793,4.096219737,0.000393255,0.036987889,0.147478739,2.109264704,89.53462099,90.21620348,62.6623835,44.17714931,63.08797258,71.33188471,71.275595,78.3216385,162.3064664,88.66375562,244.9896376,401.6593071,149.5272671,210.9836115,256.3238406,141.330295,70.3260515,148.1666435,215.4288552,112.5880491,83.83447191,62.03566137,119.0498463,191.261172,24
"CALD1",1.365919513,8.912076985,4.092566812,0.000396956,0.036995166,0.139047967,2.577405465,456.7880583,225.8152945,245.1039815,186.2923033,356.6217009,249.6924933,245.9036546,180.3240777,800.1373902,192.9244535,962.1926468,1947.095683,1544.511549,1176.083781,915.989315,594.0952112,273.674257,771.9384996,483.4899232,437.3402806,555.1291595,270.9537862,579.5450548,1178.250147,24
"NR2F2",0.888468219,8.257006884,3.991706496,0.000513946,0.041152505,-0.093349888,1.851209558,170.6558746,173.0590609,222.6917569,193.9508272,200.6738206,235.52502,193.1807671,246.7295527,412.4311873,194.8876695,678.6775127,669.3888413,541.4511877,511.0120927,510.3507203,351.3136846,254.7021916,339.1008919,175.9510991,372.5276514,353.142968,662.9416595,202.6542286,322.8583261,17
"KCTD12",0.992884276,9.464071444,3.842396461,0.00075217,0.044750445,-0.435751892,1.9901598,753.9321914,489.2363601,426.2090383,280.0562258,331.6047983,394.7785727,629.4633697,434.5325156,523.4531764,495.9274706,1217.958729,1989.721439,1768.159987,1441.610766,869.9421694,828.2364095,505.7205101,882.8875254,1563.254832,673.2343253,505.5504477,551.9915803,856.4499131,1159.933787,24
"SERBP1",0.370271927,10.11333527,3.725357914,0.001012251,0.048364248,-0.702439305,1.292596443,1011.297004,990.5679576,693.2763702,904.9416595,855.9790855,1116.997068,872.1916595,1100.150211,1192.76097,966.497491,1291.902921,1204.917223,1387.119704,1454.96494,1500.88708,1201.57572,1135.560573,1349.082513,1491.0693,1157.575998,1043.906854,927.7858333,964.5039217,1251.494491,24
"SCAF11",0.928872584,7.007773533,3.676429298,0.001145514,0.050043763,-0.813402872,1.903787671,161.1735049,79.62839572,67.05942756,63.894393,57.29380716,119.6673063,90.72501779,70.95893747,145.5739866,83.4061917,173.4175556,272.2744755,229.1498967,202.1047747,304.3465332,152.0936341,109.8753849,195.0033887,223.9392585,111.1122069,94.84638493,61.86758159,208.0002614,219.3609028,24
"DCN",1.603569229,8.551283703,3.656095311,0.001205822,0.050365362,-0.859417641,3.038942186,168.3580313,119.7586058,240.5509754,183.7233984,239.2691805,174.2759999,224.1196687,125.4605021,566.0558352,248.8874702,2815.598552,2433.186015,572.496494,1157.685735,1289.052555,615.8166595,161.7058264,718.4416595,138.4360657,382.5813173,617.6554961,263.0770452,257.1228872,442.4374732,24
"PNN",0.994792728,8.141872144,3.54442914,0.001596667,0.055254601,-1.110974836,1.9927942,367.0474068,149.1662081,132.3186603,129.374318,148.2051559,283.3772161,150.3313894,173.1048076,263.5749886,192.3743517,333.4806857,681.4187618,716.6736896,501.3955326,603.0423078,298.4769476,232.2526916,422.3783266,541.9869399,252.4740077,156.877514,160.4929384,502.5249928,512.8118406,24
"SFPQ",-0.407777831,8.120343814,-3.474804093,0.001900342,0.058150995,-1.266760026,-1.326640828,308.5456298,274.4306629,322.0728774,321.6499782,314.8432359,473.0706998,305.4223311,406.8273724,232.7975835,304.9248186,220.4834506,235.3985746,242.7686917,229.8667106,274.8769055,355.6468065,310.6436285,232.058824,220.6553956,207.0462822,233.7429436,266.1652949,372.4310443,186.6521945,24
"RBPJ",0.690776229,8.558601624,3.39552701,0.002314787,0.060860784,-1.443036049,1.614151765,410.5458261,376.0482448,182.7365504,214.4835272,157.63346,476.0315842,266.400225,262.7160022,524.6262024,274.8583265,485.5576259,495.8583261,745.0479231,578.5647915,514.1263269,381.3583261,325.8583261,490.7186323,678.663682,387.7331249,265.0284146,291.2734498,441.4115158,509.7851016,24
"VPS13B",0.597284827,7.332518093,3.384244687,0.002380487,0.06134749,-1.46802103,1.512866648,217.7367659,90.50184005,78.61686262,153.769548,79.82770914,91.62441678,137.9170728,208.3378517,166.1782504,129.0987033,184.7271506,171.2487804,180.6116807,140.5671197,281.1166298,168.5142344,219.3734822,195.2038006,249.462153,160.6008832,149.5562399,191.9733026,213.5639746,219.8151788,24
"ZBTB20",1.190887596,9.151281799,3.311195561,0.002851791,0.064316235,-1.629138402,2.282931538,706.0697138,342.6008106,386.730972,243.4961595,526.6338265,185.6940721,295.9833262,202.9595146,1143.240765,452.2311378,751.6313438,1611.483326,1681.290107,1374.760085,968.8401811,607.3911017,202.7171853,594.0467773,1866.812752,736.816772,549.2574656,206.7113935,620.1293574,981.3276611,24
"ZFYVE26",0.316095868,6.528020022,3.300951041,0.002924723,0.065219272,-1.651640361,1.244956961,81.29619745,79.77836336,87.52325763,73.74324472,70.19218632,77.40836392,86.38792549,83.21816487,108.3651296,85.7100482,103.6237217,144.4785918,113.9798771,110.4180679,121.5204108,94.9516972,98.774297,79.59879929,84.37162413,72.95107087,111.6393635,92.14810854,89.44934758,99.01556179,24
