"","X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sample_control_1","sample_control_2","sample_control_3","sample_control_4","sample_control_5","sample_control_6","sample_control_7","sample_control_8","sample_control_9","sample_C9_1","sample_C9_2","sample_C9_3","sample_C9_4","sample_C9_5","sample_C9_6","sample_C9_7","sample_sALS_1","sample_sALS_2","sample_sALS_3","sample_sALS_4","sample_sALS_5","sample_sALS_6","sample_sALS_7","sample_sALS_8","sample_sALS_9","sample_sALS_10"
"JAG1",2325,"ENSG00000101384",363.165264658055,0.500238430938012,0.149781289141331,3.33979253220337,0.000838409984148923,0.110366936373667,263.419259655312,257.168325105691,224.575530352467,198.881799040692,220.831585858927,399.008026470469,276.047865162716,261.076706168927,279.001866134929,310.518722926298,534.353228961483,857.096662237111,661.59812318572,537.143444624146,249.350905785274,230.157444897025,404.39434755645,365.563966092835,395.799421703689,292.001743124469,236.387720714678,351.567345592684,417.039565690343,559.965148533285,362.267532286429,297.080593247386
"SUN1",9992,"ENSG00000164828",1216.96818387979,0.226095070236344,0.0747243135831985,3.02572294604765,0.00248039466841128,0.1561581036118,1000.12477154846,1128.28075028764,1292.98167049739,918.241497698516,1413.90842804366,1065.64338776869,974.152383673385,949.228143623143,1063.28270243548,1044.60215546635,1132.45386067627,1200.14135998345,1226.98344741142,1343.30848044196,1085.62426524641,1476.40770050421,1373.78536927034,1451.65980738314,1475.29413217396,1403.46234631888,1224.19148118906,1281.32510513804,1225.60193588156,1362.5210617406,1234.52333817997,1293.44319829247
"ADAMTS1",8617,"ENSG00000154734",592.533617450581,0.533429056646199,0.177487295883042,3.00544922943504,0.00265188863843135,0.157159483917657,176.577745483231,183.821021114279,228.398092571232,468.289058734113,250.145513185334,944.967789519086,165.40058036609,432.530065444043,402.026311044819,433.581442611375,1450.25341263757,1042.52622858649,1688.58867388251,573.132955151727,339.758836537829,194.195344131865,737.153124974329,387.815685768051,646.502999720178,398.605554106418,373.424080549275,812.568644347797,924.982593118161,1138.17020418492,624.882183523194,387.575912421206
"SREK1",8528,"ENSG00000153914",708.503869788138,0.351972922574443,0.118969962276387,2.95850243069549,0.00309137803712938,0.169007831142614,450.128515125286,639.298723678231,667.03710717456,447.131420538294,705.488517655511,596.565659088774,449.433301132686,731.014777272995,575.578652971271,542.334543728419,903.713180208544,1250.61940860078,932.93983710666,787.270542790834,458.601519704495,857.859567343455,582.327860481288,719.472269498653,723.64256218679,692.461276552312,632.651194569719,880.641733322851,923.387795543819,846.331690291349,705.776875198804,719.39208272521
"PFDN1",3744,"ENSG00000113068",1802.61733408295,-0.23764809388758,0.0821194680675816,-2.89393123798615,0.00380451467277957,0.179199628008652,2252.08993419596,1973.13302959613,1780.35835338998,2874.61777620519,1519.43856641873,2162.42886540825,1795.45181721535,1886.76628547753,1881.61494759501,1874.56003241221,1552.43674940389,1392.78207613531,1593.45691760744,1714.00043887604,1991.89086141921,1805.29745841104,1785.11219135633,1767.42230563145,1562.9944680735,1838.22049719308,1911.65721969262,1481.23594871035,1447.27879871505,1639.76764993949,1784.37276420694,1599.66473287054
"ZFYVE26",1097,"ENSG00000072121",301.515932750288,0.284401063819351,0.102976405920263,2.76180802075738,0.00574822670597198,0.207616940560568,211.314351152063,246.302057847704,310.583180274688,141.050921305456,354.698520649516,269.573715444683,247.530523720286,239.255369533912,318.545437713108,340.568921919166,269.051538091133,252.390243086649,278.909012715548,388.686713697875,306.949506829241,340.00531632515,305.028879299722,331.656583730601,370.086234214818,325.373370910122,295.77014330967,398.098317803481,352.450263929506,330.1423188421,341.164569240618,274.228239920664
"SERBP1",7311,"ENSG00000142864",2597.38517206102,0.154725976703004,0.0567495683673584,2.72646966583803,0.00640158364460153,0.213753507838307,2461.95692677849,2424.98864307408,2886.99011572256,2309.00358177031,2520.02061916006,2232.4985676177,2153.62962573226,2304.48901534781,2431.929652058,2176.49298419769,3133.93481476884,2869.00745712783,2726.38965142873,2406.79851653198,2627.66276155008,2646.15675993823,2526.88696601702,3092.98903485503,2899.62105343248,2677.14614013799,2659.64735045645,2767.73116187182,2607.49403404861,2690.38629995634,2630.83605971116,2667.326680295
"RBM5",40,"ENSG00000003756",675.134844442036,0.299589096833508,0.111671726731866,2.68276586743258,0.00730160886153588,0.221421363117732,481.970403655048,671.897525452192,797.004222612584,335.701192706985,784.636121436808,477.836441456098,506.467984017544,567.354752510384,555.806867182181,758.409784105705,878.401711468263,828.252063027208,859.428934530469,798.067395949108,539.531199652347,776.781376527458,739.463949817509,747.022017667968,727.3158746852,702.65816282015,574.410741640016,553.201558506135,558.976549806751,824.443801749332,872.255805893539,636.209516615941
"NR2F2",13216,"ENSG00000185551",260.772625905094,0.377192940061606,0.14125179839544,2.67035849699866,0.00757703006958156,0.226050186159903,196.840765456716,184.726543385778,275.224479751108,276.459805758693,153.409553008193,212.155487245274,216.731794962463,217.434032898897,143.894663242818,217.506202234089,275.613770727502,353.346340321309,350.257829921852,179.047814874715,304.762218182002,205.310902550187,194.109286827096,458.809267588979,378.810351398542,203.010735696059,145.030147491614,235.239915065693,385.14361420351,339.262272401274,284.890001118454,393.060477219619
"MMRN2",11544,"ENSG00000173269",272.027576941119,0.444217768051966,0.170613909513481,2.60364333317657,0.00922386899978082,0.244742748303602,125.920195549517,100.512972136379,248.46654421975,176.31365163182,203.243229463084,350.348511047241,157.41572476221,187.040028300127,193.324127715541,176.008308386796,284.988388779458,618.098554497917,410.796220278715,446.269930542004,180.086765289365,143.194546683092,449.455431998455,184.371391594647,134.53507025427,204.864715017484,154.165904813921,294.696157335044,422.621357200539,660.284637684199,318.889219358928,246.805415928598
"ETV6",6858,"ENSG00000139083",272.493426748895,0.306779336763307,0.121559887198525,2.52368888975927,0.0116130652617745,0.266657246965106,163.551518357419,227.286090146227,187.305548719504,266.586241267311,207.151753106604,227.726532180707,278.32925247811,274.325374840186,243.852024732103,193.179850668434,443.419433857512,356.436833093799,441.065415457146,278.018968825563,302.574929534762,258.927125509153,227.616247053202,273.378270295512,313.609054551763,211.353642642473,358.578474900527,354.152399604395,291.050557317352,198.814987589994,266.1318117444,240.406756997116
"TBCB",2811,"ENSG00000105254",3727.56957598497,-0.326323152139053,0.129325799943787,-2.52326413044337,0.0116271032139593,0.266657246965106,7558.1064501101,3058.85423312332,2831.56296355046,4893.05646008626,3199.12660222181,4168.1740911537,5797.00516841703,3546.74653664115,4578.26684271805,4958.28283382315,3853.90548115905,3143.03114962191,3833.37736081138,4466.2982564728,3948.78510448258,2457.84612320431,3227.06689350047,2683.98123511058,2644.78499885527,3181.42851556564,3992.3259498479,2644.51025398026,2715.94026910384,3629.74151655126,3267.44211159314,2637.16157390372
"SCAF11",6884,"ENSG00000139218",543.958997123289,0.207871542756149,0.0824913350568012,2.51991972990878,0.0117381599223842,0.26696716960033,409.602475178314,445.516957577464,585.807660025796,397.763598081385,522.765037320912,489.514725157673,418.634572374862,518.256745081601,628.303415075509,490.819916883503,563.414544922546,671.667095887736,521.062574143001,598.325612521034,440.374114310835,534.854516834563,637.787656717601,593.379191339095,607.933218486872,639.622865891694,493.330895404546,580.775467964385,662.638392138958,497.949464330902,609.641154656775,583.192056897946
"DDX17",2051,"ENSG00000100201",3867.29757532223,0.323287953942644,0.128605375442145,2.5137981428162,0.0119438774895219,0.267888310555624,2731.16562071194,4170.83558252398,3390.6126880449,2806.91333397857,4860.24915071816,2476.7693350423,3192.80154789438,3056.54579580457,2359.43310416468,3763.42968339246,4864.48930715989,7064.86647791119,5546.83001644759,4540.07675305434,2291.54940609098,5070.65620788757,3594.48804356605,3618.55346146966,4819.38599791406,3133.22505320859,2850.3562845596,3711.2758761463,3990.18353100282,4140.45891586501,4476.17293938378,4028.41284443456
"C1orf61",5047,"ENSG00000125462",5655.61296866765,-0.409371356886408,0.163375904171454,-2.50570216558247,0.0122208512515632,0.269608041083189,10865.3207814968,3891.02920063082,4734.24330794093,8611.15874569807,3460.02055542682,7103.31606148281,7500.06079935891,4307.37598506167,14491.6205508587,8605.80460681455,5159.7897757965,5069.43831114041,3928.50911708645,5579.27386953824,4195.21962540487,5212.54304181557,4882.77289363874,3922.66029703094,3617.29448280935,4100.07526933183,3665.72262557545,2718.61513564931,2142.61054112802,8986.80223721008,6332.06130057931,3962.5980668536
"RPS29",15081,"ENSG00000213741",2414.46676676229,-0.27989556063761,0.116068833842996,-2.41146181425601,0.0158887155629624,0.289192118605048,3826.81605784969,1935.10109419317,1791.82604004628,2558.66371248097,2675.38443399001,3180.38592806218,3430.0658286954,2351.24902242284,3206.32459546401,2020.51814180614,2668.01629758663,3078.13080139962,2359.91618123272,2054.10131336168,1882.52642905724,2013.22378647142,2365.12922699444,2050.33702721634,1607.07421805442,1956.8751737643,1746.07161822581,2424.78066298484,2100.34840540796,3306.8951605565,2360.01470062324,1826.36007787162
"KCTD12",12277,"ENSG00000178695",1533.60534078477,0.312346987062503,0.130492239328745,2.39360584713102,0.0166836667104482,0.294892447382021,1046.44024577357,1150.91880707512,1463.08568923245,1222.9114877183,1424.65686806335,1434.48251467676,1189.74348497815,1402.0208787997,1242.32720708112,1025.99965132791,1413.69240223494,2393.07157016443,1433.46260023573,1504.36154005289,1125.72455711246,899.052519129002,1700.76708458027,1730.33610617275,1714.05944457061,1409.95127394386,1105.42663599908,2420.47223963199,2558.05530924402,2075.70143006801,1680.03033581377,2106.98697672377
"ANXA1",6187,"ENSG00000135046",226.154200742737,0.374285356339233,0.156681076699158,2.38883574343757,0.016901857093132,0.295435169180234,180.919821191835,122.245506652353,165.325815961603,122.714301535746,195.426182176042,214.101867862203,114.069365769717,243.931370241415,235.064564381397,111.615024830651,280.30107975348,401.764060423646,352.41991529174,332.902972380124,154.56839773824,203.349333417542,343.157489212188,152.583220630053,127.647609319751,203.010735696059,339.164990590626,370.524408345231,297.429747614719,251.710718233203,216.891564637506,147.16915542409
"JMJD1C",11345,"ENSG00000171988",627.501711769995,0.273811594646608,0.114839676362643,2.38429437733662,0.0171119078997748,0.295571441610574,426.970778012731,555.085152428832,813.250112042336,378.016469098621,689.854423081428,544.986572740153,368.444051436187,543.195415521618,560.200597357535,512.284344735552,621.537176844673,854.006169464621,590.249305979417,749.481556736874,463.70519321472,691.126191068622,618.145645550574,792.58506271722,862.310109001772,753.642594159343,529.873924693772,800.505058959813,757.528847812287,580.029046363468,648.329920240762,609.700786756944
"KPNA6",418,"ENSG00000025800",1831.76272043963,0.295352106001202,0.124765841474977,2.36725134467545,0.0179207577239954,0.302100066817324,998.677412978929,1765.76842942288,2262.95683350911,1108.66024146088,2016.79820005675,1297.26268118326,1434.99262138304,1956.12696263882,1170.92909173163,1408.06646709437,2064.29089504068,1625.59919832952,1555.6204236344,1544.84973939641,1922.6267209233,2177.9955936136,2233.41221093319,2696.69650349642,2462.95603018397,2169.15580606748,1923.0769163455,1966.36441824143,2098.75360783362,1271.32152614886,1821.88914295505,2670.98305682727
"ABHD2",7050,"ENSG00000140526",2510.25600906285,0.293060351227893,0.127997945297389,2.28957074699129,0.022046212387729,0.319157727230442,1574.72612365373,1923.32930466369,3161.25895491898,1540.27606065558,1966.96452360186,1958.05890063069,1708.75909923036,2721.43241176684,2639.53340284344,1684.24210545739,2480.52393654752,2632.06967790363,2020.46877816031,2074.79528191504,2822.33145115437,1921.0300372371,2838.84831984628,3684.24901479649,3614.99866249784,2758.7212302807,2661.93128978703,2675.5309021208,3637.73326707332,2053.81354152599,2526.49363131798,3984.53632604725
