"","ravits_control1","ravits_control2","ravits_control3","ravits_control4","ravits_control5","ravits_control6","ravits_control7","ravits_control8","ravits_sALS1","ravits_sALS2","ravits_sALS3","ravits_sALS4","ravits_sALS5","ravits_sALS6","ravits_sALS7","ravits_sALS8","ravits_sALS9","ravits_sALS10","ravits_sALS11","ravits_sALS12","ravits_sALS13"
"IL13RA1",108.763446347426,160.9110708189,140.899949702888,138.956901588289,161.865226297307,76.3932791456558,179.41246673417,140.899949702888,556.561713937523,329.515329781536,327.815146160559,235.15357613758,1021.3059992815,206.69503053524,456.550872252476,188.020699510077,397.925773491357,200.80650702911,350.201283980724,519.14675059089,660.706707904775
"ANXA1",14.1865364800991,7.38124178068346,3.83401223681328,57.5678592294342,12.8028992551542,4.92859865455844,53.0338738145032,3.83401223681328,169.613332243357,98.7896057727682,58.9330599839208,58.1823281165146,435.473530249194,15.5159808444684,252.757149565863,19.9667999479728,177.645434594356,215.681063105341,117.943437610088,136.750851375161,148.462370377412
"BGN",94.5769098673273,18.4531044517087,7.66802447362656,43.6721690706052,21.0333344906105,35.3216236910021,23.6959861724376,7.66802447362656,129.366100863577,418.555961300413,199.819906507981,101.819074203901,560.299819050266,8.31213259525094,235.553783365045,20.5214332798609,103.034352064726,283.360293252189,102.520064999538,331.747435743446,86.5211165113395
"RPL12",31.5256366224424,43.5493265060324,53.6761713153859,31.0998779745219,26.520291314248,16.4286621818615,38.3649299934704,53.6761713153859,152.939479243162,167.682357166936,81.0329574778911,60.606591788036,272.348266475066,43.7772316683216,62.1967854952648,29.9501999219592,107.771563653909,56.5233130896755,83.4676635394471,151.945390416846,155.344731918087
"PLA2G16",403.528148767263,394.896435266565,451.454940884764,496.274648529605,459.075387577672,441.10957958298,607.068598131973,451.454940884764,777.921486526311,570.639959661122,696.146771060064,790.30995691599,842.577449407235,608.448105972369,1324.65919746298,546.868465241699,774.534094831391,438.799404248797,804.737147385756,622.976100709068,864.227970607585
"DCN",48.8647367647858,5.90499342454677,25.8795825984897,89.9911362667017,19.2043488827313,25.4644263818853,133.148874683221,25.8795825984897,394.42286752184,157.933382913044,114.182803718847,147.880083962808,461.006180231231,16.0701230174851,134.980257883341,13.8658332972033,110.140169448501,130.896093470828,88.0039496013736,491.290095681135,230.067514359698
"KCTD12",442.935194545316,124.004861915482,177.323065952614,539.285118068837,544.123218344053,184.001016436848,857.569023383456,177.323065952614,1326.43375418788,1028.1918179771,520.268420170551,433.943197202338,1815.65510983377,343.014005097355,1614.46975115368,203.550432802945,1301.54888412798,847.849696345133,1194.85774871143,1463.74059434895,760.992547497464
"NR2F2",316.832648055547,149.839208147874,102.559827334755,415.547305702123,138.088413394877,138.822195436729,388.162821110406,102.559827334755,683.62797300797,386.709312071034,383.064889895485,210.910939422365,812.789357761525,156.268092790718,1794.44342833147,108.153499718186,645.445079026159,624.731355201677,318.447281547238,947.126266931672,727.563934299901
"RAB31",409.833276091752,220.699129242436,293.301936116216,262.033014423631,221.30725855338,313.787447673554,596.913175486642,293.301936116216,854.966186596175,564.790575108787,488.039402991844,395.154978457995,1061.02345480911,372.937682440259,676.224625278304,307.821499197914,439.376374896706,616.55034935975,737.600113669244,541.938559153416,480.782113341421
"ANKRD40",398.799303273897,250.962220543238,252.086304570473,338.790160062877,341.105815869465,335.144708509974,598.041555780568,252.086304570473,692.252379732209,484.19905460995,397.798154891465,429.094669859295,1320.60539629316,314.752754273502,907.808401058546,307.821499197914,529.38339509118,751.165081849635,1052.41836636694,658.430025139665,653.8243463641
"MYOF",70.9326824004955,24.3580978762554,10.5435336512365,33.0849765686403,77.7318883348647,5.75003176365151,64.3176767537592,10.5435336512365,83.9442254492546,70.1926146280195,103.132854971861,29.0911640582573,765.979499461123,13.2994121524015,181.297013039389,38.8243332321693,93.5599288863607,46.1111238363143,213.205444910544,131.686005027933,123.882507732145
