"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Fold.Change","C_C05.CEL","C_C08.CEL","C_C10.CEL","P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL","countP"
"TNFAIP3",0.651070371,5.83237416,3.108002463,0.010249954,0.999972288,-4.153208876,1.570332833,38.66104978,37.22068116,49.83312844,72.20033676,55.91508436,100.1878829,57.48768422,66.9545988,64.60438354,50.01715101,8
"SLC16A7",-0.621435285,4.10930213,-2.633326565,0.023717529,0.999972288,-4.25040235,-1.538404924,21.91590392,19.43336414,29.82707178,18.06544794,12.18189538,23.95918446,11.8124329,12.80085577,14.34763669,16.1405997,9
"SOAT1",0.56732811,2.52510426,2.463440001,0.031998316,0.999972288,-4.287460532,1.481776758,4.45917288,4.322793532,4.33245176,8.71296193,4.94437131,5.10060821,5.634903723,10.19609948,6.495204175,5.831180375,7
"HMOX2",0.289086617,5.497242282,2.325394237,0.040757457,0.999972288,-4.318253442,1.221866458,36.87677347,40.96708023,40.04669435,46.22360983,45.53125155,54.33766221,53.12962243,48.49988306,43.62547117,45.44662688,3
"DMD",-0.494878005,4.13601738,-2.273306491,0.044633169,0.999972288,-4.330000653,-1.409201587,19.40886159,22.61619784,25.4460153,16.77648316,15.45988563,10.7786678,18.77659549,22.93968857,16.11757018,13.02078808,4
"TCF4",-0.354498033,6.785925233,-2.24742645,0.046688615,0.999972288,-4.335859239,-1.278540653,134.2150701,131.2009673,127.8389951,106.828714,123.6457206,92.67185781,94.15641369,106.2210074,121.9117197,79.67976157,4
"NR2F2",-1.3192747,4.998373163,-2.182131754,0.052286121,0.999972288,-4.35069593,-2.495406242,108.0679335,28.56710175,72.17958264,48.02173432,21.16226624,29.00860345,7.78967573,42.71814315,12.15032565,41.91588327,10
"PPFIBP1",-0.447473757,6.496193473,-2.136882725,0.056535378,0.999972288,-4.361016747,-1.363650334,138.821992,111.474422,91.17801364,88.51507012,115.9544778,65.03047358,96.25209543,81.19152236,75.11114566,65.00105113,8
"IL13RA1",-0.373185003,3.666468238,-2.027365565,0.068216551,0.999972288,-4.386083358,-1.295209078,14.08363271,16.20405982,15.44279737,13.1245433,9.971312151,13.1245433,12.1129653,11.99402063,15.00866208,8.253282692,3
"BGN",-0.402946517,5.422430484,-2.022592701,0.068774089,0.999972288,-4.387177455,-1.322205588,63.95436835,45.23842273,49.01092304,34.69079659,41.57168352,27.30284529,52.27719789,43.2175482,40.7245887,40.96592574,7
"PPIC",-0.872293792,5.864208751,-1.992681164,0.072366672,0.999972288,-4.394035292,-1.830571077,118.5333645,67.38878759,88.08699642,122.0328915,48.97632512,43.95745734,24.31600096,33.66902918,37.10375308,80.10341729,10
"KLF6",1.026779349,5.958008627,1.972186355,0.074928815,0.999972288,-4.398734467,2.037470751,62.51343774,36.32382353,23.73346179,72.91507013,102.8556125,211.5104487,28.2560155,99.29211271,68.962947,52.1012903,8
"MCL1",0.548080974,2.459827956,1.957002382,0.076881353,0.999972288,-4.402215591,1.462139512,5.39832854,3.776095157,3.678470244,5.500302557,11.06148311,8.285446068,4.434962845,6.040879097,4.94437131,5.072633198,8
"SNX27",-0.346976303,5.83048275,-1.938717536,0.079295502,0.999972288,-4.406406747,-1.271892115,75.02179964,64.8466749,62.7654979,76.80302255,42.94756783,55.13244514,52.58207186,46.02269413,49.09934905,53.96301347,3
"POGZ",0.411480874,4.659564558,1.869219043,0.089127257,0.999972288,-4.422318434,1.330050362,21.28542135,14.83990934,28.07822286,20.71617536,23.47045237,25.71659446,34.01380092,32.92697956,30.86094445,27.74234079,8
"CRYL1",0.440283305,4.782839447,1.836515035,0.094132304,0.999972288,-4.429789601,1.356870753,21.50334586,27.26239149,18.74707913,40.11416366,30.11351463,47.67533805,25.16089303,24.40983068,24.52270146,26.21595471,5
