"","C_C05.CEL","C_C08.CEL","C_C10.CEL","P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL"
"TNFAIP3",38.66104978,37.22068116,49.83312844,72.20033676,55.91508436,100.1878829,57.48768422,66.9545988,64.60438354,50.01715101
"SLC16A7",21.91590392,19.43336414,29.82707178,18.06544794,12.18189538,23.95918446,11.8124329,12.80085577,14.34763669,16.1405997
"SOAT1",4.45917288,4.322793532,4.33245176,8.71296193,4.94437131,5.10060821,5.634903723,10.19609948,6.495204175,5.831180375
"HMOX2",36.87677347,40.96708023,40.04669435,46.22360983,45.53125155,54.33766221,53.12962243,48.49988306,43.62547117,45.44662688
"DMD",19.40886159,22.61619784,25.4460153,16.77648316,15.45988563,10.7786678,18.77659549,22.93968857,16.11757018,13.02078808
"TCF4",134.2150701,131.2009673,127.8389951,106.828714,123.6457206,92.67185781,94.15641369,106.2210074,121.9117197,79.67976157
"NR2F2",108.0679335,28.56710175,72.17958264,48.02173432,21.16226624,29.00860345,7.78967573,42.71814315,12.15032565,41.91588327
"PPFIBP1",138.821992,111.474422,91.17801364,88.51507012,115.9544778,65.03047358,96.25209543,81.19152236,75.11114566,65.00105113
"IL13RA1",14.08363271,16.20405982,15.44279737,13.1245433,9.971312151,13.1245433,12.1129653,11.99402063,15.00866208,8.253282692
"BGN",63.95436835,45.23842273,49.01092304,34.69079659,41.57168352,27.30284529,52.27719789,43.2175482,40.7245887,40.96592574
"PPIC",118.5333645,67.38878759,88.08699642,122.0328915,48.97632512,43.95745734,24.31600096,33.66902918,37.10375308,80.10341729
"KLF6",62.51343774,36.32382353,23.73346179,72.91507013,102.8556125,211.5104487,28.2560155,99.29211271,68.962947,52.1012903
"MCL1",5.39832854,3.776095157,3.678470244,5.500302557,11.06148311,8.285446068,4.434962845,6.040879097,4.94437131,5.072633198
"SNX27",75.02179964,64.8466749,62.7654979,76.80302255,42.94756783,55.13244514,52.58207186,46.02269413,49.09934905,53.96301347
"POGZ",21.28542135,14.83990934,28.07822286,20.71617536,23.47045237,25.71659446,34.01380092,32.92697956,30.86094445,27.74234079
"CRYL1",21.50334586,27.26239149,18.74707913,40.11416366,30.11351463,47.67533805,25.16089303,24.40983068,24.52270146,26.21595471
"RPL12",194.2560075,159.2724678,220.9635649,274.7997612,271.0708337,250.6618881,161.9905293,288.0503133,245.7283858,206.5916127
"MED13L",5.001026272,5.21065923,3.932622253,11.75847263,5.121016917,5.200401327,4.848374437,6.674792462,6.56295933,5.98512494
"DCN",60.11507327,57.82347526,200.6150701,148.4271551,25.98963689,45.61343927,18.93051858,52.41633489,50.31518215,48.33749881
"ZBTB20",423.2067875,198.9548118,431.3616862,223.0102227,259.7067727,203.7181816,198.2076166,284.6144521,329.2172204,267.6033758
"SCAF11",77.27437716,33.46333589,68.70356751,61.01507154,78.43817331,57.11507691,98.43842767,82.02904285,72.91507013,81.09362599
"SF3B1",90.1749071,95.19615282,93.41507012,81.41507012,65.35514503,56.7163193,57.7150769,70.29452368,95.62417107,106.4401393
