"","C_GSM764196.CEL","C_GSM764197.CEL","C_GSM764198.CEL","P_GSM764189.CEL","P_GSM764190.CEL","P_GSM764191.CEL","P_GSM764192.CEL","P_GSM764193.CEL","P_GSM764194.CEL","P_GSM764195.CEL"
"SERBP1",153.1292452,126.8461316,154.4924218,256.7797296,294.1730743,314.4513436,200.6012437,183.9722071,232.5837483,267.5144593
"JMJD1C",128.9211772,101.4339027,97.66605837,151.9284204,142.2620733,204.8601175,167.0900149,150.9743579,139.4924218,174.0385134
"OSBPL8",457.4414066,403.3008431,261.0813215,1366.802133,477.3560557,979.3924218,680.9295689,944.4924218,648.8924218,803.7502268
"UBE2W",36.55015493,43.67966976,43.96125279,99.38414066,73.00141503,80.79323589,56.71942838,56.95465844,68.39546849,49.9911585
"VPS13B",155.4287032,110.9699041,152.5256546,184.9632169,188.8453413,237.379309,182.7098043,170.7924218,202.1021858,185.0219994
"TCF4",288.7747903,283.3924218,263.9924218,778.3924218,432.1791615,557.5175256,432.7342205,438.9445845,317.8609361,541.9944526
"WSB1",162.1971628,93.79242718,111.7924218,275.0924218,225.806494,328.9924218,165.8751246,215.2924218,213.2047897,146.7340816
"TARDBP",346.9207405,397.0877859,330.7052879,445.9341504,441.2890029,620.0691766,434.0078524,435.9813317,471.1849849,478.7056437
"ADAMTS1",162.5512108,108.4776325,135.9924218,687.5920558,218.6922011,258.4667508,159.2924218,355.0719411,360.9288995,284.1096133
"RBMS1",86.19247748,138.6722148,110.7843441,256.9742349,135.7266349,254.7924218,154.6354027,144.4531555,169.8481423,234.3242396
"ZBTB20",693.311249,834.0813679,944.9714819,1416.93912,1182.705152,1073.383889,1091.924228,966.0374525,1004.177652,1028.148159
"SREK1",29.70106475,27.68070469,31.32173579,64.734271,72.72874844,56.53740539,36.32946902,35.28642686,37.19296112,53.32259951
"CYCS",49.98448617,85.26994434,82.56880305,239.1623453,234.6640681,146.5297748,121.7599715,102.3965849,111.6883668,94.14072597
"CBR4",85.56575313,86.57436256,83.70258286,93.39081747,106.3220617,101.6282139,104.6700387,105.5737334,96.84085924,96.84098659
"CEP57",67.79570616,54.04065596,58.87146986,132.9949146,123.3722066,169.1383971,69.62045631,75.21098934,92.76067241,87.89246012
"ABHD2",124.1924218,103.4358592,91.05660728,193.1079023,117.2883147,126.4677313,131.1120219,147.9610765,143.9924218,153.4887742
"PNN",85.40681951,67.18326635,73.2936177,103.9538741,104.4734588,102.5711125,76.49290574,99.19767592,91.09099558,90.71818228
"CALD1",93.88759443,61.61369193,60.00861556,148.2260218,76.37930162,130.4565408,93.85751432,105.7924219,116.3245815,88.43399104
"TUBB4B",689.0465853,510.8838924,582.2852335,741.8997578,754.8331287,914.1924218,826.1074979,602.3025106,1126.279534,885.4789811
"PLA2G16",525.8907447,592.1901261,389.0027048,822.0161985,593.7799467,637.9006552,548.3346756,627.4691175,790.709456,828.6386546
"DDX17",384.8620686,496.8638568,627.169869,621.4471478,1101.9245,729.6307594,781.7660125,607.6197624,675.1261405,616.1147156
"NKTR",150.4477412,169.0000174,181.4549148,252.6950366,294.5498206,363.0688541,194.2924218,198.9747089,203.8924218,205.7315607
