GeneSymbol,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL
ACTN1,151.9293696,109.1419024,85.26538375,17.49423152,65.73261166,83.3975517,66.48924823
AHCTF1,53.60270165,44.20064576,39.6843681,28.22148994,38.93154642,44.8109425,46.56813126
ALDH3A2,219.4998958,105.2929449,253.5895684,43.15022958,67.89880488,45.63836984,146.8150701
ALPK1,36.59264044,84.51507012,43.56742047,98.72591578,90.05213579,94.075125,68.30324561
ANKRD17,150.1317911,58.59505194,172.2652647,29.1011669,36.64549107,38.86904788,122.5434949
ANXA1,18.27104215,26.17742608,12.58098484,17.3359512,30.80926768,16.502929,13.19784903
AP2S1,55.18082094,40.70011767,55.99884016,63.95166908,57.79649404,57.62309142,62.77589341
ARHGAP29,98.0756182,115.1037929,105.6004893,29.98946044,61.01507154,52.41150871,77.53688877
ARIH1,9.094612793,6.310158776,5.857780728,7.864465002,6.535329069,5.400040981,7.429736255
ATM,23.84655501,39.26556978,22.37221991,56.67970576,43.74108756,46.61830946,28.18777837
ATP2C1,194.5542171,104.6089582,234.5454024,25.52071822,43.03955407,47.88066404,200.4981376
ATP5C1,471.497328,175.9549158,270.523139,23.62108796,77.38128291,37.27811007,161.1315558
ATP5E,1403.163763,428.6147002,828.16964,71.10957369,348.202741,211.6645384,546.8945049
AURKAIP1,281.940782,118.2390077,167.128852,56.40602834,102.6532637,65.82256936,145.9896999
BBIP1,122.5150701,74.62083773,133.6507699,12.9517925,33.74728384,14.77948343,93.52586895
BGN,34.69079659,41.57168352,27.30284529,52.27719789,43.2175482,40.7245887,40.96592574
BPTF,72.62817035,67.00796617,158.9734827,22.71849943,47.5814989,40.98382175,65.24405899
C14orf1,158.404808,58.6220726,121.6132106,48.13889699,56.77494072,34.18212732,85.86014609
C1orf61,371.6126753,231.3394901,235.9150701,147.0154766,228.0718174,200.1619668,132.2920789
C6orf106,144.6449626,90.41507012,111.5687523,117.6489826,69.78928997,94.71507012,91.64484813
CCDC53,23.49509166,32.39166556,32.66318187,16.8144011,15.51215483,15.08217741,20.63813137
CCDC93,176.573299,63.91402968,183.2782752,54.88125464,48.8266282,42.88863449,70.81507014
CCT3,183.74272,119.2932766,196.5362666,16.75195309,42.64257367,13.04905017,57.29971161
CDC16,23.49962927,7.933717062,18.38496481,6.995004243,8.758038941,7.873147127,6.908033548
CDH11,61.79664326,43.1762096,49.92418061,17.28479269,34.62830296,17.99432231,22.21824508
CELF1,57.1168703,64.94700643,75.37787864,21.85122091,21.90112982,20.51056345,94.66361481
CEP170B,150.6943224,86.25560209,156.6639993,75.09691212,137.2039779,115.1962002,171.3609823
CIAPIN1,142.2769255,35.92391856,126.2150701,37.25989017,52.68726489,36.02382366,57.55530736
CLCN5,27.70402469,17.97660442,16.46252024,19.12163173,15.89195497,24.12249052,17.66761171
CLNS1A,145.7350837,72.68821224,110.5247438,52.54260065,72.16448231,53.65573965,71.93526941
COA3,383.8611939,131.5861985,197.4212206,90.81015774,105.1625242,73.83189533,155.0001052
COL4A1,88.76765976,208.2956422,87.23934026,25.52038619,43.54790642,33.22938852,68.04650565
COPG1,52.83727751,68.14611763,63.50297406,53.001172,42.99242906,43.74545042,60.67927624
CREB3L2,80.23888645,67.41507023,106.8714167,30.43042657,77.8820342,48.53321163,77.68881627
CREG1,263.2669934,105.3415468,259.2216261,12.29649803,137.5182189,80.91062068,77.92022781
CSRP1,348.3884552,237.4968012,297.8366949,183.6740264,193.4453404,164.0930038,143.3642619
CST3,105.0090911,59.3815707,92.894044,50.04657949,77.64713472,55.05544962,40.46395169
CTDSP2,164.8563657,174.6592769,144.8107061,167.1713591,151.0729385,187.0730846,138.7988825
CTNNB1,122.845122,95.4546146,94.62662692,22.88068011,78.299735,56.91790032,82.50368627
CXorf40B,53.35160629,25.57028965,48.25343914,11.81154845,13.50017129,11.50627192,17.94952496
CYP1B1,6.498526895,10.4431566,6.521967259,7.316506647,6.078382532,7.174680548,6.241539492
DCN,128.2211724,145.2202602,71.11004681,155.792769,132.4688174,120.7195724,86.90946483
DDX5,215.0957121,186.837552,243.1227549,12.72669057,78.38378406,32.07308778,107.9501883
DLST,43.01083707,38.76229842,51.48011303,41.05046446,40.49359885,38.1205658,49.27431089
DMD,159.3537585,69.2625458,39.93686223,4.793523443,90.12093809,15.74306612,39.04230962
DST,7.442973538,12.99127181,8.276875474,15.0222551,15.98818424,17.81197662,11.57006104
EIF2S2,145.1150701,68.17488222,99.81647318,49.08352487,41.51533439,41.68370857,74.51037219
ERGIC2,123.7439781,38.90414587,86.7404775,21.58653972,29.47905049,21.84616734,37.16791086
ERH,206.4473469,114.8890817,152.6395089,22.85588726,92.30016724,67.56446608,141.859797
FAM120A,15.15673815,11.96742474,14.8474147,12.58389434,11.0053563,9.934050215,10.77582609
FAM129A,12.05869155,19.6197184,21.35983514,20.65772527,18.63961607,41.31712825,15.94733741
