GeneSymbol	P_GSM329677.CEL	P_GSM329679.CEL	P_GSM329681.CEL	P_GSM329683.CEL	P_GSM329686.CEL	P_GSM329689.CEL
ACTN1	353.8198645	702.0785359	813.9642347	580.0445064	475.8594421	869.7896098
AHCTF1	125.7266582	101.5320173	92.6895756	114.8252287	144.9203705	130.3409295
ALDH3A2	226.5611774	333.0921202	450.8999928	314.9457734	359.7495297	315.5120527
ALPK1	236.4280759	171.3070359	245.1488371	383.8960462	225.8112566	232.1544691
ANKRD17	173.5903391	329.1245545	214.835285	177.9941541	233.6386349	217.7334846
ANXA1	111.5398449	100.4823413	781.5716794	1280.148368	423.8791595	532.5313872
AP2S1	321.8061131	666.788673	489.5308353	389.0104498	353.7541595	336.221391
ARHGAP29	235.6880983	125.7940111	598.1294886	849.607408	742.0299377	531.2880837
ARIH1	109.1253217	258.474686	138.1410442	109.8660765	141.7368354	121.217168
ATM	46.11794198	37.02521911	48.81334564	91.54581893	98.17895253	61.8283572
ATP2C1	121.1201165	259.5924838	153.3597118	113.9832165	148.372457	131.5556855
ATP5C1	672.3802946	2237.109208	1551.178829	1172.301812	1089.605502	1113.855655
ATP5E	2595.630635	2964.336875	3101.251421	3147.685777	2838.421312	2746.895639
AURKAIP1	845.6963544	1279.818276	990.9369637	998.1079842	815.5041595	814.756635
BBIP1	230.4376659	262.1995121	341.2843732	391.6566998	344.6591015	225.8275487
BGN	319.7261205	200.4919904	424.2597503	489.9806223	269.6877264	260.4614922
BPTF	716.7289222	521.9147265	681.3166595	1260.021651	1410.718765	891.2749928
BTN3A3	61.94737242	85.499506	81.01531392	286.1368581	61.31492068	53.24111691
C14orf1	275.7608112	347.5843584	254.5534015	282.4456697	210.5290084	254.8166629
C1orf61	4374.04541	5721.555314	2643.723087	2690.110081	2992.769042	3049.822805
C6orf106	76.34768981	105.8278387	93.61407919	69.42675112	82.05702899	90.74213084
CCDC53	203.715975	347.2023013	369.4744877	278.8400705	297.0538338	256.6916624
CCDC93	95.51753947	74.48720642	126.233766	152.3773618	151.1278728	107.6139202
CCT3	258.0052575	723.258897	617.3500055	487.7157359	482.7662738	458.6718418
CDC16	86.7539764	158.3705687	168.8746572	154.1773992	183.8612559	89.93107661
CDH11	148.8062918	116.1846853	211.8226341	165.4195176	161.2619027	185.6728269
CELF1	23.46372268	30.57414069	36.73601804	29.82519531	29.13186213	29.57623681
CEP170B	265.3675825	616.7705939	360.6411424	167.878157	233.3324679	239.3286062
CIAPIN1	93.64989119	145.6888513	107.6195139	71.27809425	128.2614216	84.9798815
CLCN5	15.60279692	14.56758005	15.40512428	15.26926412	16.80838456	16.46334115
CLNS1A	799.6083261	781.770966	684.7184097	551.9928188	646.3203215	595.5626149
COA3	841.9833261	1390.756902	918.3596051	764.8986625	667.5692472	741.8676743
COL4A1	115.9307326	58.94987221	439.741805	236.8727379	200.1114892	212.6919136
COPG1	108.2545566	197.0314596	106.4824799	100.8989555	82.43271412	85.81336591
CREB3L2	205.4693106	105.2209306	340.5912876	381.2681442	288.5412713	299.2749928
CREG1	388.0782227	598.2060189	1092.284197	1013.886324	813.1914692	839.3102619
CSRP1	3994.254159	3603.562707	5084.345301	5035.733326	5202.835479	5290.436881
CST3	4876.441659	6487.28511	4960.144643	5029.866375	4031.998573	5841.482857
CTDSP2	830.7854155	442.429202	866.0359229	988.9987662	1094.804738	851.3749827
CTNNB1	530.6214371	583.1821988	601.7407754	457.454799	544.3702269	612.4888283
CXorf40B	159.4848941	356.4201978	218.0498135	224.2334122	219.0767877	140.1229226
CYP1B1	123.4008984	115.2465906	801.0447452	1524.804099	198.3397478	461.3155046
DCN	1825.158573	748.8968325	5556.839189	5129.893316	1592.437688	3218.035145
