GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue May 16 15:04:47 BST 2017

Gene	Score	Description
NBPF1		neuroblastoma breakpoint family, member 1 [Source:HGNC Symbol;Acc:26088]
PROSER1		proline and serine rich 1 [Source:HGNC Symbol;Acc:20291]
TMEM38B		transmembrane protein 38B [Source:HGNC Symbol;Acc:25535]
HEATR3		HEAT repeat containing 3 [Source:HGNC Symbol;Acc:26087]
AKR1C1		aldo-keto reductase family 1, member C1 [Source:HGNC Symbol;Acc:384]
KCNE4		potassium voltage-gated channel, Isk-related family, member 4 [Source:HGNC Symbol;Acc:6244]
ANKRD10		ankyrin repeat domain 10 [Source:HGNC Symbol;Acc:20265]
SORBS1		sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:14565]
METTL9		methyltransferase like 9 [Source:HGNC Symbol;Acc:24586]
CRISPLD2		cysteine-rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:25248]
TRIM5		tripartite motif containing 5 [Source:HGNC Symbol;Acc:16276]
DERL1		derlin 1 [Source:HGNC Symbol;Acc:28454]
PLEKHA2		pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2 [Source:HGNC Symbol;Acc:14336]
KATNBL1		katanin p80 subunit B-like 1 [Source:HGNC Symbol;Acc:26199]
RPRD1A		regulation of nuclear pre-mRNA domain containing 1A [Source:HGNC Symbol;Acc:25560]
TMEM43		transmembrane protein 43 [Source:HGNC Symbol;Acc:28472]
ZNF83		zinc finger protein 83 [Source:HGNC Symbol;Acc:13158]
CMTM6		CKLF-like MARVEL transmembrane domain containing 6 [Source:HGNC Symbol;Acc:19177]
PPP4R2		protein phosphatase 4, regulatory subunit 2 [Source:HGNC Symbol;Acc:18296]
HCFC2		host cell factor C2 [Source:HGNC Symbol;Acc:24972]
ZNF573		zinc finger protein 573 [Source:HGNC Symbol;Acc:26420]
ZBTB10		zinc finger and BTB domain containing 10 [Source:HGNC Symbol;Acc:30953]
NUP43		nucleoporin 43kDa [Source:HGNC Symbol;Acc:21182]
CCDC90B		coiled-coil domain containing 90B [Source:HGNC Symbol;Acc:28108]
THUMPD2		THUMP domain containing 2 [Source:HGNC Symbol;Acc:14890]
ASXL2		additional sex combs like 2 (Drosophila) [Source:HGNC Symbol;Acc:23805]
TMEM165		transmembrane protein 165 [Source:HGNC Symbol;Acc:30760]
RSAD1		radical S-adenosyl methionine domain containing 1 [Source:HGNC Symbol;Acc:25634]
ATF7IP		activating transcription factor 7 interacting protein [Source:HGNC Symbol;Acc:20092]
LRCH3		leucine-rich repeats and calponin homology (CH) domain containing 3 [Source:HGNC Symbol;Acc:28637]
RANGRF		RAN guanine nucleotide release factor [Source:HGNC Symbol;Acc:17679]
STX16		syntaxin 16 [Source:HGNC Symbol;Acc:11431]
SUN1		Sad1 and UNC84 domain containing 1 [Source:HGNC Symbol;Acc:18587]
N4BP2L2		NEDD4 binding protein 2-like 2 [Source:HGNC Symbol;Acc:26916]
ADAMTS1		ADAM metallopeptidase with thrombospondin type 1 motif, 1 [Source:HGNC Symbol;Acc:217]
PRR11		proline rich 11 [Source:HGNC Symbol;Acc:25619]
AASS		aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:17366]
SAV1		salvador homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:17795]
ZCCHC6		zinc finger, CCHC domain containing 6 [Source:HGNC Symbol;Acc:25817]
USP3		ubiquitin specific peptidase 3 [Source:HGNC Symbol;Acc:12626]
LIMA1		LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:24636]
STX2		syntaxin 2 [Source:HGNC Symbol;Acc:3403]
GIN1		gypsy retrotransposon integrase 1 [Source:HGNC Symbol;Acc:25959]
WDR11		WD repeat domain 11 [Source:HGNC Symbol;Acc:13831]
CCNL1		cyclin L1 [Source:HGNC Symbol;Acc:20569]
YY1AP1		YY1 associated protein 1 [Source:HGNC Symbol;Acc:30935]
TRIT1		tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:20286]
TBC1D2B		TBC1 domain family, member 2B [Source:HGNC Symbol;Acc:29183]
ZFX		zinc finger protein, X-linked [Source:HGNC Symbol;Acc:12869]
TGOLN2		trans-golgi network protein 2 [Source:HGNC Symbol;Acc:15450]
PPP1R12B		protein phosphatase 1, regulatory subunit 12B [Source:HGNC Symbol;Acc:7619]
SNAPC3		small nuclear RNA activating complex, polypeptide 3, 50kDa [Source:HGNC Symbol;Acc:11136]
ZNF12		zinc finger protein 12 [Source:HGNC Symbol;Acc:12902]
RFX7		regulatory factor X, 7 [Source:HGNC Symbol;Acc:25777]
SENP7		SUMO1/sentrin specific peptidase 7 [Source:HGNC Symbol;Acc:30402]
FAM129A		family with sequence similarity 129, member A [Source:HGNC Symbol;Acc:16784]
DIDO1		death inducer-obliterator 1 [Source:HGNC Symbol;Acc:2680]
SLC11A2		solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2 [Source:HGNC Symbol;Acc:10908]
PPFIA1		protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1 [Source:HGNC Symbol;Acc:9245]
MCMBP		minichromosome maintenance complex binding protein [Source:HGNC Symbol;Acc:25782]
KIAA0141		KIAA0141 [Source:HGNC Symbol;Acc:28969]
SEPT8		septin 8 [Source:HGNC Symbol;Acc:16511]
