Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
nucleolus (GO:0005730)	62/1653	0.0000000006253443140836908044624542902904795749208233246463350951671600341796875	0.0000001913553601096093894742334630409974494114067056216299533843994140625	0.000001441699295852871951620940808858062354147477890364825725555419921875	0.0004411599845309788193135902556463179280399344861507415771484375	-2.2123110099224954	34.22253460688023	MUS81;CEP57;AKR1B1;CBLB;SMC5;AHR;RBPJ;TTF1;HNMT;PNN;TRIM5;RPS6KA2;SNAPC3;POGZ;PAPOLA;UBXN7;RBM5;DDX18;SCAF11;NCOA6;PRPF40A;PRPF4B;HCFC2;SRRM1;EEF1A1;PLSCR1;RCN2;TMX1;KAT6A;CRY1;SRSF4;SREK1;SGK1;ZCCHC8;PCNA;STX16;DDX21;PDS5A;TGOLN2;BCLAF1;WRN;IFI16;ABL1;MCMBP;RBBP6;RBM12;ZNF146;SPEN;SMAD1;SF3A1;CPSF6;GCH1;WTAP;CARD8;STAG2;KATNBL1;CNOT1;RANGRF;EIF3E;CDK12;TARDBP;OGT
nucleoplasm (GO:0005654)	44/1051	0.0000000119173706630389885855426113374540275646751297244918532669544219970703125	0.00000182335771144496525193365830952441086765247746370732784271240234375	0.0000049368039843508511595551215000998723780867294408380985260009765625	0.000755331009605680219788637064226577422232367098331451416015625	-2.2400442429321106	29.601805789731344	NOTCH2;PCNA;JMJD1C;PDS5A;TTF1;RBPJ;NR2C1;PHF21A;STRN3;SMC2;MED14;WRN;IFI16;ERBB4;RPS6KA2;SNAPC3;USP1;PAPOLA;SRSF10;RBM5;SMAD1;CENPU;SF3A1;CPSF7;HNRNPA3;XBP1;NCOA6;UPF3B;SMAD5;SRRM1;NUDT21;STAG2;KAT6A;HNRNPA2B1;MAFF;REL;RANGRF;POT1;ANAPC5;EIF3E;ATM;SRSF4;PPP1R12B;OGT
nuclear body (GO:0016604)	15/210	0.0000022088516050825245489439875579140704076053225435316562652587890625	0.00022530286371841748535756189131262772207264788448810577392578125	0.00004349299618522351439098283520934273838065564632415771484375	0.004436285610892798901561118185554732917807996273040771484375	-2.2923694129813605	19.251467334039113	TENM1;CPSF6;ICE1;WTAP;SMC5;HIPK1;NR2C1;PNN;NUDT21;IFI16;KAT6A;EIF3E;CDK12;CDK13;CCNL1
cell-substrate adherens junction (GO:0005924)	17/358	0.0000990607618245555239001876035587201840826310217380523681640625	0.004233468382701739869677926009217117098160088062286376953125	0.00135219721013679996558798368511133958236314356327056884765625	0.04597470514465119839631057629958377219736576080322265625	-2.267062398377032	12.388892227812795	ANXA1;STX16;FHL1;SORBS1;RND3;LPP;PTK2;GNA13;LIMA1;ADAM17;PTPRC;PALLD;PPFIA1;ITGA6;FLNC;PABPC1;CD44
spliceosomal complex (GO:0005681)	11/151	0.0000419108599904761879527924361976687350761494599282741546630859375	0.00312261028793600452224676899959376896731555461883544921875	0.0003890558483563114912893998731391320688999257981777191162109375	0.023810217919406261033454796915975748561322689056396484375	-2.145645489448803	12.378413345972591	ZCCHC8;PNN;SF3A1;HNRNPA3;HNRNPA2B1;PRPF4B;SREK1;PABPC1;SMNDC1;RBM5;SRRM1
cell-substrate junction (GO:0030055)	17/362	0.00011327808045434066747982060352484268150874413549900054931640625	0.004233468382701739869677926009217117098160088062286376953125	0.0015150237075516278552334004103840925381518900394439697265625	0.04635972545107981679368691629861132241785526275634765625	-2.26422429023521	12.373382722681802	ANXA1;STX16;FHL1;SORBS1;RND3;LPP;PTK2;GNA13;LIMA1;ADAM17;PTPRC;PALLD;PPFIA1;ITGA6;FLNC;PABPC1;CD44
catalytic step 2 spliceosome (GO:0071013)	8/80	0.0000510230439205229489569963507999972307516145519912242889404296875	0.00312261028793600452224676899959376896731555461883544921875	0.0003535721025347605983059351419939275729120709002017974853515625	0.023810217919406261033454796915975748561322689056396484375	-2.096833948392912	12.096815368014477	ZCCHC8;PNN;HNRNPA3;SF3A1;HNRNPA2B1;PRPF4B;PABPC1;SRRM1
nuclear speck (GO:0016607)	8/84	0.000072494507971104281212303133141716671161702834069728851318359375	0.0036972199065263187077456930040852967067621648311614990234375	0.0004783258823323945237680765441012908922857604920864105224609375	0.0243946199989521217421639676103950478136539459228515625	-2.118775103867379	11.865509499327676	PNN;TENM1;IFI16;WTAP;CDK12;HIPK1;CDK13;CCNL1
membrane raft (GO:0045121)	12/200	0.000124513775961815884897598838421117761754430830478668212890625	0.004233468382701739869677926009217117098160088062286376953125	0.00109083361241544998625208062748015436227433383464813232421875	0.04597470514465119839631057629958377219736576080322265625	-2.14841070004221	11.740492296531947	LYN;RAP1B;PIKFYVE;PLSCR1;ADAM17;EDNRB;MYOF;GNAI3;RANGRF;STOM;SORBS1;STX2
focal adhesion (GO:0005925)	16/352	0.000258828269709044061878955300670668293605558574199676513671875	0.00720013186645158953513856658901204355061054229736328125	0.0028242635234924863725514132539728962001390755176544189453125	0.07300972550147898088024334128931513987481594085693359375	-2.171233678627425	10.71211993209029	ANXA1;STX16;FHL1;RND3;LPP;PTK2;GNA13;LIMA1;ADAM17;PTPRC;PALLD;PPFIA1;ITGA6;FLNC;PABPC1;CD44
