"SUID","annotation name","annotations","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Ensembl Gene ID","Ensembl Protein ID","Entrez Gene ID","gene name","IsSingleNode","log score","name","NeighborhoodConnectivity","node type","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","RefSeq mRNA ID","RefSeq Protein ID","score","selected","SelfLoops","shared name","Stress","Synonym","TopologicalCoefficient","Uniprot ID"
"411","","","2.12844037","1.2486E-4","0.46982759","0.31868132","14","3","ENSG00000219481","ENSP00000474816","55672","NBPF1","false","-0.02620644368803675","H__sapiens__1_-Hs:734178","57.71428571","query","0","14","0","0.71788991","NM_017940","NP_060410","0.97413396504063","false","0","H__sapiens__1_-Hs:734178","252","KIAA1693","0.21296784",""
"412","","","2.36391437","6.836E-5","0.42302717","0.36111111","9","3","ENSG00000152049","ENSP00000473755","23704","KCNE4","false","-0.06404997877651328","H__sapiens__1_-Hs:718854","45.22222222","query","0","9","0","0.65902141","NM_080671","NP_542402","0.9379581203599812","false","0","H__sapiens__1_-Hs:718854","130","MiRP3","0.22724735","Q8WWG9"
"413","","","2.14067278","7.7001E-4","0.46714286","0.33684211","20","3","ENSG00000073331","ENSP00000426044","80216","ALPK1","false","-0.047064586367370397","H__sapiens__1_-Hs:710512","41.3","query","0","20","0","0.7148318","NM_025144","NP_079420","0.9540257785411036","false","0","H__sapiens__1_-Hs:710512","1324","KIAA1527","0.15823755","Q96QP1"
"414","","","2.0764526","2.4886E-4","0.48159057","0.29487179","13","3","ENSG00000008311","ENSP00000414001","10157","AASS","false","-0.09197859895785948","H__sapiens__1_-Hs:709491","56.92307692","query","0","13","0","0.73088685","NM_005763","NP_005754","0.9121246697547081","false","0","H__sapiens__1_-Hs:709491","478","LORSDH","0.19696566","Q9UDR5"
"415","","","2.02446483","7.8124E-4","0.4939577","0.23376623","22","3","ENSG00000050405","ENSP00000450266","51474","LIMA1","false","-0.09315047710533596","H__sapiens__1_-Hs:709961","45.45454545","query","0","22","0","0.74388379","NM_016357","NP_057441","0.9110563968515385","false","0","H__sapiens__1_-Hs:709961","1298","EPLIN","0.15340909","Q9UHB6"
"416","","","2.16819572","2.7071E-4","0.46121298","0.3047619","15","3","ENSG00000095209","ENSP00000416680","55151","TMEM38B","false","-0.061883179256806385","H__sapiens__1_-Hs:711312","46.33333333","query","0","15","0","0.70795107","NM_018112","NP_060582","0.9399926910220199","false","0","H__sapiens__1_-Hs:711312","484","TRIC-B","0.18028534","TM38B_HUMAN"
"417","","","2.13455657","0.00104363","0.46848138","0.27142857","21","3","ENSG00000163638","ENSP00000419217","56999","ADAMTS9","false","-0.09247365852485544","H__sapiens__1_-Hs:720486","35.19047619","query","0","21","0","0.71636086","NM_182920","NP_891550","0.9116732254657802","false","0","H__sapiens__1_-Hs:720486","1548","KIAA1312","0.13464696","Q9P2N4"
"418","","","1.96636086","0.00155218","0.50855365","0.19139785","31","3","ENSG00000134851","ENSP00000476621","55858","TMEM165","false","-0.08355474754893787","H__sapiens__1_-Hs:716306","47.58064516","query","0","31","0","0.75840979","NM_018475","NP_060945","0.9198407262675183","false","0","H__sapiens__1_-Hs:716306","2454","TPARL","0.15498581","TM165_HUMAN"
"419","","","1.91437309","0.00246919","0.52236422","0.23873874","37","3","ENSG00000234745","ENSP00000436637","3106","HLA-B","false","-0.13693760516893744","H__sapiens__1_-Hs:730421","48.67567568","query","0","37","0","0.77140673","NM_005514","NP_005505","0.872024634264436","false","0","H__sapiens__1_-Hs:730421","4320","","0.15306816","Q95365"
"420","","","2.12232416","2.4672E-4","0.47118156","0.19230769","13","3","ENSG00000141452","ENSP00000467852","29919","C18orf8","false","-0.06795664674848456","H__sapiens__1_-Hs:717470","55.0","query","0","13","0","0.71941896","NM_013326","NP_037458","0.9343009776844915","false","0","H__sapiens__1_-Hs:717470","466","HsT2591","0.20118343","Q96DM3"
