,C9orf72,sALS,FTLD,VCP,PET,RAV,sumRank
TRIM5,55,1,7,2,12,32,109
CENPU,84,21,4,17,1,12,139
ZNF141,3,96,3,1,17,23,143
PIGA,6,5,63,14,56,21,165
HEATR3,8,17,15,80,21,27,168
PXMP4,4,91,26,39,10,3,173
WRN,46,63,12,43,9,54,227
TMEM5,11,31,21,100,25,40,228
AASS,9,86,56,29,14,90,284
SOCS2,85,100,20,41,23,19,288
RIT1,40,8,50,67,81,51,297
MCMBP,71,34,24,30,82,67,308
RAB27A,80,46,38,113,7,52,336
ZNF573,73,105,64,62,20,14,338
PROSER1,47,6,18,77,70,128,346
ZFX,2,33,19,12,155,125,346
ZFYVE26,24,25,44,124,44,94,355
ADAM17,68,57,65,42,62,65,359
USP3,97,56,107,31,31,43,365
LYN,7,26,82,96,120,39,370
THUMPD2,121,11,76,152,40,9,409
GIN1,20,27,39,240,5,81,412
REL,39,75,34,123,16,131,418
RFX3,36,12,2,36,231,104,421
SLC35A3,150,69,23,105,46,36,429
TWIST1,93,159,62,94,13,10,431
SLC33A1,60,62,49,19,150,92,432
CARD8,50,18,31,155,106,75,435
GSAP,91,76,127,68,29,48,439
RANGRF,132,53,143,111,6,2,447
SMC5,16,136,42,5,38,214,451
SENP7,61,168,16,40,32,135,452
ZBTB10,52,14,11,50,115,213,455
SEC24A,248,38,27,24,61,59,457
AHR,64,72,67,38,98,126,465
HCFC2,133,22,30,109,91,82,467
TRIT1,67,188,78,71,22,62,488
SRSF10,1,121,138,230,2,1,493
PCSK5,174,107,52,83,19,71,506
KLF3,77,4,36,21,160,228,526
CRLF3,173,101,55,79,97,33,538
STX2,83,108,136,91,83,38,539
ZCCHC10,114,247,33,132,27,6,559
TMEM38B,38,109,32,313,49,26,567
AGO4,56,169,10,161,72,100,568
ZNF83,37,167,135,7,136,95,577
MFN1,66,187,89,139,33,69,583
STK3,51,118,86,170,30,132,587
LRBA,146,117,17,135,107,72,594
SOAT1,240,15,13,51,110,168,597
SH2B3,29,135,90,223,105,17,599
FAM65B,63,13,173,93,213,47,602
CPOX,45,125,81,106,142,105,604
GCH1,105,263,77,46,4,112,607
C18orf8,137,178,137,55,80,25,612
RFX7,142,7,28,115,103,217,612
DENND4A,58,113,57,57,183,148,616
MUS81,177,95,71,162,96,16,617
ALPK1,228,71,150,53,8,111,621
PPP4R2,87,211,6,9,209,102,624
SNAPC3,42,10,60,33,223,257,625
ATG14,140,123,69,177,59,61,629
TBC1D2B,161,124,115,114,102,20,636
KIAA0141,89,41,87,142,175,108,642
TTF1,224,132,43,158,34,55,646
MAP4K5,57,39,189,147,88,127,647
STRN3,10,87,66,252,111,123,649
LRCH3,14,176,75,82,78,226,651
RBM12,49,16,72,108,199,216,660
NR2C1,172,49,147,216,53,24,661
ATM,17,134,110,22,112,271,666
CBLB,246,43,92,179,24,84,668
ZNF12,5,236,121,97,134,83,676
KRIT1,117,24,186,18,159,174,678
TWSG1,22,161,48,239,48,162,680
POT1,187,238,103,64,60,31,683
ZNF536,113,155,152,3,182,87,692
CDK12,59,84,45,104,118,283,693
MED13L,25,20,158,56,198,237,694
CEP57,210,119,41,174,73,80,697
KATNBL1,110,221,109,117,67,73,697
PCNA,90,175,154,189,87,5,700
TIMM8A,285,252,9,92,57,11,706
SUCO,72,225,93,74,108,138,710
TRIM38,237,162,46,184,28,68,725
KCNE4,168,133,117,8,201,99,726
XBP1,28,137,156,69,277,66,733
WTAP,183,174,98,6,187,89,737
PTPRC,27,197,79,72,116,251,742
CNOT6,41,250,119,63,137,133,743
LBR,12,283,142,131,54,121,743
PXDN,243,130,51,259,15,45,743
NEK4,99,251,70,120,126,79,745
SAV1,167,85,96,187,71,141,747
MLH3,223,181,40,58,41,223,766
HMGN4,106,184,122,181,141,34,768
ZBTB5,189,244,88,49,26,172,768
FAM129A,62,89,144,318,37,124,774
ZCCHC6,171,48,106,163,55,234,777
HNMT,35,64,247,270,109,63,788
NSMAF,194,282,172,13,39,101,801
TNFAIP3,130,148,216,269,11,28,802
ABL1,135,99,193,78,269,30,804
MARK3,178,9,108,200,177,136,808
SCAF11,74,127,157,107,85,259,809
TRAK1,199,45,91,16,270,189,810
USP1,32,213,205,153,122,86,811
PRR11,162,327,292,20,3,8,812
AGO3,115,65,184,159,99,200,822
SLCO3A1,190,192,145,25,179,93,824
ZCCHC8,179,208,120,188,77,57,829
PHKB,207,35,85,140,226,142,835
CRY1,151,219,148,264,45,15,842
DHX29,95,226,139,221,113,50,844
PDS5A,272,61,124,35,202,150,844
PRDX4,109,212,207,267,42,7,844
HCLS1,48,32,303,34,206,222,845
CMTM6,192,82,255,213,64,44,850
DDX18,34,193,102,101,189,241,860
UBXN7,233,51,112,137,164,164,861
PHF3,148,19,129,75,190,307,868
PHLDA1,125,264,179,84,174,42,868
TMEM43,180,220,159,122,114,76,871
SMC2,191,241,14,44,165,218,873
RNASEH1,131,246,125,222,146,4,874
TENM1,165,286,133,26,95,170,875
ASXL2,13,202,220,48,132,262,877
RSAD1,154,81,174,185,154,129,877
LIMA1,119,23,224,258,76,179,879
GNAI3,242,73,74,172,200,122,883
MAP4K3,81,164,155,205,185,98,888
