Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
mRNA surveillance pathway_Homo sapiens_hsa03015	9/91	0.00001897201907856423295996479982949978193573770113289356231689453125	0.0035857116058486400260452153787582574295811355113983154296875	0.000110349877177945483622094335895980066197807900607585906982421875	0.0208561267866316964181283566404090379364788532257080078125	-1.7270028039671377	9.724404503227738	PNN;NUDT21;CPSF7;CPSF6;PAPOLA;UPF3B;PABPC1;GSPT1;SRRM1
Proteoglycans in cancer_Homo sapiens_hsa05205	10/203	0.00202599195186765890230873310429160483181476593017578125	0.191456239451493759329281374448328278958797454833984375	0.007244767006235376845257878386519223568029701709747314453125	0.5560969315541939295144402422010898590087890625	-1.9874537172168503	3.285451812154164	ROCK1;ERBB4;TWIST1;HCLS1;ITPR2;CBLB;FLNC;PPP1R12B;PTK2;CD44
Platelet activation_Homo sapiens_hsa04611	7/122	0.00408576179628770963514483582912362180650234222412109375	0.2018904588022749357900664790577138774096965789794921875	0.01131021107668062596063318636652184068225324153900146484375	0.5560969315541939295144402422010898590087890625	-1.8634510050414608	2.981577533634921	LYN;RAP1B;GNA13;RAP1A;ROCK1;GNAI3;ITPR2
Lysosome_Homo sapiens_hsa04142	7/123	0.004272813942905289742724139756546719581820070743560791015625	0.2018904588022749357900664790577138774096965789794921875	0.01176924722866018978295610253326231031678617000579833984375	0.5560969315541939295144402422010898590087890625	-1.699249095974853	2.7188495511291135	ASAH1;HEXB;SLC11A2;PSAP;LAPTM5;CTSH;TPP1
Spliceosome_Homo sapiens_hsa03040	7/134	0.00678349436542626492430141382783403969369828701019287109375	0.24947799871174336505674773434293456375598907470703125	0.0177456363000458965106798103761320817284286022186279296875	0.5589875434514457452905844547785818576812744140625	-1.6980203719263425	2.357505248600611	SF3A1;HNRNPA3;SRSF4;PRPF40A;SRSF10;SMNDC1;U2SURP
Notch signaling pathway_Homo sapiens_hsa04330	4/48	0.007919936467039472016704593215763452462852001190185546875	0.24947799871174336505674773434293456375598907470703125	0.0167863744082790665446136557648060261271893978118896484375	0.5589875434514457452905844547785818576812744140625	-1.5445591006881318	2.1444419907136805	NOTCH2;ADAM17;CTBP2;RBPJ
Focal adhesion_Homo sapiens_hsa04510	8/202	0.0189589093536655130256551871070769266225397586822509765625	0.387366892727162792642303656975855119526386260986328125	0.0466154189496766624412060764370835386216640472412109375	0.78054636182937908728263209923170506954193115234375	-1.7459890241818672	1.6558662944714124	RAP1B;RAP1A;ROCK1;COL4A1;ITGA6;FLNC;PPP1R12B;PTK2
Long-term depression_Homo sapiens_hsa04730	4/60	0.017036312464570858848933454510188312269747257232666015625	0.387366892727162792642303656975855119526386260986328125	0.03313043067149212816957515315152704715728759765625	0.78054636182937908728263209923170506954193115234375	-1.7240688310568273	1.6350775561338013	LYN;GNA13;GNAI3;ITPR2
RNA transport_Homo sapiens_hsa03013	7/172	0.02396990655746424059291399544235900975763797760009765625	0.387366892727162792642303656975855119526386260986328125	0.05420222288846744673751487653134972788393497467041015625	0.78054636182937908728263209923170506954193115234375	-1.624612487061496	1.5407548510581541	EEF1A1;PNN;UPF3B;NUP43;EIF3E;PABPC1;SRRM1
Long-term potentiation_Homo sapiens_hsa04720	4/66	0.0233378556827671217177577744905647705309092998504638671875	0.387366892727162792642303656975855119526386260986328125	0.04386609976451487369342174815756152383983135223388671875	0.78054636182937908728263209923170506954193115234375	-1.574571346564705	1.493296684518779	RAP1B;RAP1A;RPS6KA2;ITPR2
Shigellosis_Homo sapiens_hsa05131	4/65	0.02220228725756144549929871345739229582250118255615234375	0.387366892727162792642303656975855119526386260986328125	0.04195610878233548002302910617800080217421054840087890625	0.78054636182937908728263209923170506954193115234375	-1.4541093000052825	1.3790525283997215	ROCK1;ABL1;HCLS1;CD44
Neurotrophin signaling pathway_Homo sapiens_hsa04722	5/120	0.04833131404518824225657880333528737537562847137451171875	0.455091279170956486410659636021591722965240478515625	0.08953378326134127374036353330666315741837024688720703125	0.78054636182937908728263209923170506954193115234375	-1.4867738785553581	1.1704735396672012	RAP1B;RAP1A;RPS6KA2;ABL1;SH2B3
RNA degradation_Homo sapiens_hsa03018	4/77	0.0381535663991956208729305899396422319114208221435546875	0.455091279170956486410659636021591722965240478515625	0.06804008585277820930770076301996596157550811767578125	0.78054636182937908728263209923170506954193115234375	-1.4851135597524177	1.169166441624732	CNOT6;BTG1;CNOT1;PABPC1
Pathways in cancer_Homo sapiens_hsa05200	11/397	0.06497974606598901081699892756660119630396366119384765625	0.455091279170956486410659636021591722965240478515625	0.15322601231255872367142956136376596987247467041015625	0.9113917239164750494495592647581361234188079833984375	-1.4424440663474793	1.1355745728800293	GNA13;EDNRB;CTBP2;ROCK1;COL4A1;ABL1;GNAI3;ITGA6;CBLB;RALGDS;PTK2
Vascular smooth muscle contraction_Homo sapiens_hsa04270	5/120	0.04833131404518824225657880333528737537562847137451171875	0.455091279170956486410659636021591722965240478515625	0.08953378326134127374036353330666315741837024688720703125	0.78054636182937908728263209923170506954193115234375	-1.4094712547581805	1.1096164873564884	GNA13;ROCK1;CALD1;ITPR2;PPP1R12B
Bacterial invasion of epithelial cells_Homo sapiens_hsa05100	4/78	0.03971474675568907597433820910737267695367336273193359375	0.455091279170956486410659636021591722965240478515625	0.0705208539968951997334301040609716437757015228271484375	0.78054636182937908728263209923170506954193115234375	-1.3854303788361528	1.0906901330917111	SEPT8;HCLS1;CBLB;PTK2
Leukocyte transendothelial migration_Homo sapiens_hsa04670	5/118	0.045535153617819512650299884626292623579502105712890625	0.455091279170956486410659636021591722965240478515625	0.08493294344124813211038826921139843761920928955078125	0.78054636182937908728263209923170506954193115234375	-1.3672437894704839	1.0763726084591207	RAP1B;RAP1A;ROCK1;GNAI3;PTK2
Sphingolipid signaling pathway_Homo sapiens_hsa04071	5/120	0.04833131404518824225657880333528737537562847137451171875	0.455091279170956486410659636021591722965240478515625	0.08953378326134127374036353330666315741837024688720703125	0.78054636182937908728263209923170506954193115234375	-1.3643862120974712	1.0741229599073767	GNA13;ASAH1;ROCK1;GNAI3;NSMAF
cGMP-PKG signaling pathway_Homo sapiens_hsa04022	6/167	0.05825143749371049228802377228930708952248096466064453125	0.455091279170956486410659636021591722965240478515625	0.1117085244352515882582110862131230533123016357421875	0.791328544907063058388985155033878982067108154296875	-1.3446505585526234	1.058585923243315	GNA13;EDNRB;ROCK1;CREB3L2;GNAI3;ITPR2
ErbB signaling pathway_Homo sapiens_hsa04012	4/87	0.055380420377675258769567534500311012379825115203857421875	0.455091279170956486410659636021591722965240478515625	0.09487855816047115198319517048730631358921527862548828125	0.78054636182937908728263209923170506954193115234375	-1.2761915427935915	1.0046910656234962	ERBB4;ABL1;CBLB;PTK2
Cell cycle_Homo sapiens_hsa04110	5/124	0.054222037455755038581894922344872611574828624725341796875	0.455091279170956486410659636021591722965240478515625	0.0991169983275402011191346218765829689800739288330078125	0.78054636182937908728263209923170506954193115234375	-1.2528817879810636	0.9863402917649292	PCNA;STAG2;ABL1;ATM;ANAPC5
Lysine degradation_Homo sapiens_hsa00310	3/52	0.053999916062115238535312755630002357065677642822265625	0.455091279170956486410659636021591722965240478515625	0.086600901912221639467048817095928825438022613525390625	0.78054636182937908728263209923170506954193115234375	-1.1459976794199564	0.9021950006173256	SETD2;PLOD2;AASS
NF-kappa B signaling pathway_Homo sapiens_hsa04064	4/93	0.0674209302475491101258597836931585334241390228271484375	0.455091279170956486410659636021591722965240478515625	0.113046934986723301985733769470243714749813079833984375	0.791328544907063058388985155033878982067108154296875	-0.999836458539929	0.7871285173860253	LYN;TNFAIP3;ATM;MAP3K7
Transcriptional misregulation in cancer_Homo sapiens_hsa05202	6/180	0.07746982955433055761940153161049238406121730804443359375	0.5048895788196026135352667552069760859012603759765625	0.1431663791292011878031331661986769177019596099853515625	0.9113917239164750494495592647581361234188079833984375	-1.0901860463407802	0.7450500740243291	SMAD1;REL;JMJD1C;ATM;KLF3;PTK2
Chemokine signaling pathway_Homo sapiens_hsa04062	6/187	0.08913624483506550622013975271329400129616260528564453125	0.5615583424609127405346953310072422027587890625	0.161638486306299455907975470836390741169452667236328125	0.9113917239164750494495592647581361234188079833984375	-1.1759545920477796	0.6785723739416838	LYN;RAP1B;RAP1A;ROCK1;GNAI3;PTK2
