Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Processing of Capped Intron-Containing Pre-mRNA_Homo sapiens_R-HSA-72203	12/193	0.000088809641000024228270869064427728289956576190888881683349609375	0.0270180069871250490287639678399500553496181964874267578125	0.00064478036947597191543002370650583543465472757816314697265625	0.122011291749203554246605563093908131122589111328125	-2.1496539285216483	7.762941424905139	NUDT21;SF3A1;CPSF7;HNRNPA3;WTAP;HNRNPA2B1;PAPOLA;UPF3B;SRSF4;NUP43;RBM5;SRRM1
mRNA Splicing_Homo sapiens_R-HSA-72172	10/144	0.000138806683306578310631296258037536972551606595516204833984375	0.0270180069871250490287639678399500553496181964874267578125	0.00082551618233561263431041776783558816532604396343231201171875	0.122011291749203554246605563093908131122589111328125	-1.9958053455233775	7.20735546649853	NUDT21;CPSF7;SF3A1;HNRNPA3;HNRNPA2B1;PAPOLA;UPF3B;SRSF4;RBM5;SRRM1
mRNA Splicing - Major Pathway_Homo sapiens_R-HSA-72163	10/134	0.000076188540830783419940432088512949349023983813822269439697265625	0.0270180069871250490287639678399500553496181964874267578125	0.0004879382403646942835233335511446739474195055663585662841796875	0.122011291749203554246605563093908131122589111328125	-1.9877724751840646	7.178346749750887	NUDT21;CPSF7;SF3A1;HNRNPA3;HNRNPA2B1;PAPOLA;UPF3B;SRSF4;RBM5;SRRM1
mRNA 3'-end processing_Homo sapiens_R-HSA-72187	6/51	0.000182801129818166755401642742384638040675781667232513427734375	0.0270180069871250490287639678399500553496181964874267578125	0.000793673859013350525316854433555135983624495565891265869140625	0.122011291749203554246605563093908131122589111328125	-1.9558348897958364	7.063012089909976	NUDT21;CPSF7;PAPOLA;UPF3B;SRSF4;SRRM1
Post-Elongation Processing of Intron-Containing pre-mRNA_Homo sapiens_R-HSA-112296	6/51	0.000182801129818166755401642742384638040675781667232513427734375	0.0270180069871250490287639678399500553496181964874267578125	0.000793673859013350525316854433555135983624495565891265869140625	0.122011291749203554246605563093908131122589111328125	-1.9423072319601722	7.01416031242101	NUDT21;CPSF7;PAPOLA;UPF3B;SRSF4;SRRM1
Gene Expression_Homo sapiens_R-HSA-74160	45/1631	0.000426828003516617851022252327908290681079961359500885009765625	0.036866160372096008768227903829028946347534656524658203125	0.012081110125923756604127135005910531617701053619384765625	0.5146570269653409912535835246671922504901885986328125	-2.117564190618834	6.988938474596216	ZNF573;NOTCH2;PCNA;ICE1;DDX21;TTF1;RBPJ;NR2C1;MED14;WRN;SNAPC3;PAPOLA;NUP43;RPRD1A;ZNF226;RBM5;HNRNPA3;CPSF7;SF3A1;ZNF141;WTAP;NCOA6;SSR2;UPF3B;ZNF12;HIPK1;TRIT1;SRRM1;EEF1A1;NUDT21;CNOT6;AGO3;AGO4;CNOT1;KAT6A;HNRNPA2B1;SRSF4;EIF3E;ATM;PABPC1;ZNF611;CDK12;CDK13;SGK1;CD44
Post-Elongation Processing of the Transcript_Homo sapiens_R-HSA-76044	6/60	0.0004489789490512369001494474840541215598932467401027679443359375	0.036866160372096008768227903829028946347534656524658203125	0.001720694384561560590085615984889955143444240093231201171875	0.1589491437738741463903124895296059548854827880859375	-1.8724802234014335	6.180048347165511	NUDT21;CPSF7;PAPOLA;UPF3B;SRSF4;SRRM1
Cleavage of Growing Transcript in the Termination Region_Homo sapiens_R-HSA-109688	6/60	0.0004489789490512369001494474840541215598932467401027679443359375	0.036866160372096008768227903829028946347534656524658203125	0.001720694384561560590085615984889955143444240093231201171875	0.1589491437738741463903124895296059548854827880859375	-1.8621081265113584	6.145815643694972	NUDT21;CPSF7;PAPOLA;UPF3B;SRSF4;SRRM1
RNA Polymerase II Transcription Termination_Homo sapiens_R-HSA-73856	6/60	0.0004489789490512369001494474840541215598932467401027679443359375	0.036866160372096008768227903829028946347534656524658203125	0.001720694384561560590085615984889955143444240093231201171875	0.1589491437738741463903124895296059548854827880859375	-1.8483563072247624	6.100428297548125	NUDT21;CPSF7;PAPOLA;UPF3B;SRSF4;SRRM1
Signalling by NGF_Homo sapiens_R-HSA-166520	17/450	0.00134850635881035422515561439382736352854408323764801025390625	0.0985084130724679651880393294050008989870548248291015625	0.0093666615824437859938456085728830657899379730224609375	0.5146570269653409912535835246671922504901885986328125	-2.4136761546094365	5.593968012239872	BRAP;AHCYL1;ITPR2;PCSK5;PTK2;RAP1B;AKAP13;ADAM17;RIT1;RAP1A;AGO3;AGO4;PTPRA;ERBB4;RPS6KA2;RALGDS;MARK3
