Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
mRNA Processing_Homo sapiens_WP411	13/127	0.00000018031621478764491977396359524699054333041203790344297885894775390625	0.0000412924131863706876340892881760424870662973262369632720947265625	0.00001773545411134186836695121602947011751894024200737476348876953125	0.0040614189914972877171184251210434013046324253082275390625	-1.9676933845036362	19.86353370126607	SF3A1;TMED10;PRPF4B;PRPF40A;CLK4;SRRM1;NUDT21;HNRNPA2B1;PAPOLA;SRSF4;SREK1;SRSF10;RBM5
mRNA processing_Mus musculus_WP310	22/398	0.00000082074802862083045024870799066807336430429131723940372467041015625	0.000093975649277085093117982406152322027992340736091136932373046875	0.00021887416218299986410411595016967112314887344837188720703125	0.0167073943799689907108163566817893297411501407623291015625	-2.1107178279176546	19.571577994859318	SPEN;SF3A1;CPSF7;TMED10;DDX21;PRPF4B;PRPF40A;CLK4;U2SURP;PUM2;NUDT21;BCLAF1;HNRNPA2B1;PAPOLA;SRSF4;SREK1;PABPC1;TARDBP;RBM12;SRSF10;RBM5;RBM6
EGF/EGFR Signaling Pathway_Homo sapiens_WP437	13/163	0.0000031450455741002030451113069542401490252814255654811859130859375	0.00024007181215631549233389951947259532971656881272792816162109375	0.00019231237587549762191145574785622329727630130946636199951171875	0.0167073943799689907108163566817893297411501407623291015625	-2.0292815773934287	16.91319435271073	PCNA;ROCK1;TWIST1;CBLB;PTK2;EPS8;PLSCR1;RAP1A;RPS6KA2;ABI1;PXDN;ABL1;RALGDS
PluriNetWork_Mus musculus_WP1763	14/284	0.0002761108342692466057800848577841179576353169977664947509765625	0.0158073452619143690889291775647507165558636188507080078125	0.0085585183128140569774888746223950874991714954376220703125	0.391980138726883808875101067314972169697284698486328125	-2.1112623616964425	8.75599734335263	SMAD1;CTBP2;ROCK1;FAM129A;TWIST1;RBPJ;ZFX;NR2C1;SOCS2;RCN2;REL;SGK1;OGT;CD44
TSH signaling pathway_Homo sapiens_WP2032	6/66	0.000750409499805734293322034833551015253760851919651031494140625	0.034368755091102633214550365892137051559984683990478515625	0.006093993588909899818129023429946755641140043735504150390625	0.348881132965091766973131370832561515271663665771484375	-1.895659021538484	6.3895223440280065	RAP1B;GNA13;RAP1A;GNAI3;TTF1;RALGDS
Insulin Signaling_Homo sapiens_WP481	9/160	0.001359185761721208411667571880343530210666358470916748046875	0.051875589905692791325986235051459516398608684539794921875	0.0158672661106272483433343722936115227639675140380859375	0.454200492416704959541817743229330517351627349853515625	-1.8905898892203767	5.594079522771069	XBP1;RPS6KA2;CBLB;SORBS1;SGK1;PIK3C2A;MAP4K5;MAP3K7;MAP4K3
Senescence and Autophagy in Cancer_Homo sapiens_WP615	7/105	0.00175728092527525632353391227269412411260418593883514404296875	0.057488190269719095792932961330734542571008205413818359375	0.01456978052244819153704380454428246594034135341644287109375	0.454200492416704959541817743229330517351627349853515625	-1.7651114719715055	5.041468562676369	SH3GLB1;PCNA;SPARC;IFI16;CREG1;ATG14;CD44
Delta-Notch Signaling Pathway_Mus musculus_WP265	6/81	0.0021830652917329989616546104258532068342901766300201416015625	0.062490243975857097391557459786781691946089267730712890625	0.01488191623637839799965121301283943466842174530029296875	0.454200492416704959541817743229330517351627349853515625	-1.7846608239511912	4.948409074360453	SPEN;NOTCH2;SMAD1;ADAM17;FHL1;RBPJ
Notch Signaling Pathway_Homo sapiens_WP61	5/62	0.003513323962167767822162289803600287996232509613037109375	0.08939457637071319962007720505425822921097278594970703125	0.0187763803001990518815045305700550670735538005828857421875	0.4777545654161758914568736145156435668468475341796875	-1.759795846261474	4.24937069845567	SPEN;NOTCH2;ADAM17;FHL1;RBPJ
Insulin Signaling_Mus musculus_WP65	8/154	0.004038662802128556439384965415229089558124542236328125	0.0924853781687439424619157080087461508810520172119140625	0.033284413922778387229239882572073838673532009124755859375	0.5555419756261710251266094928723759949207305908203125	-1.7627252371669346	4.196528293614534	XBP1;RPS6KA2;CBLB;SORBS1;SGK1;PIK3C2A;MAP4K5;MAP4K3
Integrin-mediated Cell Adhesion_Homo sapiens_WP185	6/101	0.006494186735848375170709889658837710157968103885650634765625	0.1055001180250641212854390005304594524204730987548828125	0.036756949919276950267121861770647228695452213287353515625	0.561156102100961451384364409022964537143707275390625	-1.6296325329226258	3.6651139786391256	RAP1B;RAP1A;ROCK1;ITGA6;SORBS1;PTK2
Integrin-mediated Cell Adhesion_Mus musculus_WP6	6/99	0.005899774898621717826585619803836380015127360820770263671875	0.1055001180250641212854390005304594524204730987548828125	0.03396326488544276767100882352679036557674407958984375	0.5555419756261710251266094928723759949207305908203125	-1.6143457051939287	3.630733242574036	RAP1B;RAP1A;ROCK1;ITGA6;SORBS1;PTK2
Notch Signaling Pathway_Homo sapiens_WP268	4/46	0.0068140902621502963398825158947147428989410400390625	0.1055001180250641212854390005304594524204730987548828125	0.027618557123390209684377083476647385396063327789306640625	0.52705413177136317681714672289672307670116424560546875	-1.550361266625959	3.4868294756369185	NOTCH2;ADAM17;CTBP2;RBPJ
Notch Signaling Pathway_Mus musculus_WP29	4/46	0.0068140902621502963398825158947147428989410400390625	0.1055001180250641212854390005304594524204730987548828125	0.027618557123390209684377083476647385396063327789306640625	0.52705413177136317681714672289672307670116424560546875	-1.5469332619723843	3.4791197450560474	NOTCH2;ADAM17;CTBP2;RBPJ
Integrated Breast Cancer Pathway_Homo sapiens_WP1984	7/155	0.0143947557980117872566960812719116802327334880828857421875	0.2060249423590437001241326697709155268967151641845703125	0.08027417023412276864124947906020679511129856109619140625	0.7398493211904006994217297688010148704051971435546875	-1.771731307464729	2.798906774337204	SMAD1;ANXA1;RAP1A;PKIA;ABL1;ATM;AHR
Angiogenesis_Homo sapiens_WP1539	3/24	0.00691048808024437473396250908308502403087913990020751953125	0.1055001180250641212854390005304594524204730987548828125	0.0235045848031864533511647863406324177049100399017333984375	0.52705413177136317681714672289672307670116424560546875	-1.2348001079670856	2.777118795253055	SMAD1;TIMP2;PTK2
EGFR1 Signaling Pathway_Mus musculus_WP572	7/171	0.0233099651935809691616352523624300374649465084075927734375	0.2668991014665020866658551312866620719432830810546875	0.11686852169461403594397097549517638981342315673828125	0.7398493211904006994217297688010148704051971435546875	-1.6904358249029108	2.232870630031245	EEF1A1;EPS8;PLSCR1;RPS6KA2;ABI1;CBLB;RALGDS
Signaling of Hepatocyte Growth Factor Receptor_Homo sapiens_WP313	3/34	0.0181125551031484643971225523273460566997528076171875	0.230431951034499926667109548361622728407382965087890625	0.052906012311473508968884260639242711476981639862060546875	0.71267510701926084504265190844307653605937957763671875	-1.47372617753704	2.1631348168219886	RAP1B;RAP1A;PTK2
B Cell Receptor Signaling Pathway_Homo sapiens_WP23	5/97	0.0220470533805314818087683903513607219792902469635009765625	0.26572501179693208683829652727581560611724853515625	0.08626820080416820746282979825991787947714328765869140625	0.7398493211904006994217297688010148704051971435546875	-1.5766556968210874	2.0895312237841988	LYN;PTPRC;REL;HCLS1;MAP3K7
Signaling of Hepatocyte Growth Factor Receptor_Mus musculus_WP193	3/34	0.0181125551031484643971225523273460566997528076171875	0.230431951034499926667109548361622728407382965087890625	0.052906012311473508968884260639242711476981639862060546875	0.71267510701926084504265190844307653605937957763671875	-1.423452875257185	2.089343679651639	RAP1B;RAP1A;PTK2
Neural Crest Differentiation_Homo sapiens_WP2064	5/101	0.025716473049924519489461971488708513788878917694091796875	0.280432015639653087202276537936995737254619598388671875	0.09776575724133755584954741379988263361155986785888671875	0.7398493211904006994217297688010148704051971435546875	-1.3949702149064316	1.773598543393264	NOTCH2;SMAD1;CTBP2;TWIST1;RBPJ
Leptin signaling pathway_Homo sapiens_WP2034	4/75	0.03513900721304051566473702905568643473088741302490234375	0.325668034345144352670331500121392309665679931640625	0.1090577945448933105954125721837044693529605865478515625	0.7398493211904006994217297688010148704051971435546875	-1.5126242021982899	1.6969778724883517	SOCS2;ROCK1;REL;PTK2
Chemokine signaling pathway_Mus musculus_WP2292	6/165	0.05557892508470523018626607836267794482409954071044921875	0.361486192576648102114944549612118862569332122802734375	0.2025058698305287896435089578517363406717777252197265625	0.7398493211904006994217297688010148704051971435546875	-1.3445658369919686	1.3681380027717027	LYN;RAP1B;RAP1A;ROCK1;GNAI3;PTK2
ErbB signaling pathway_Mus musculus_WP1261	3/46	0.039819672321677039572573875148009392432868480682373046875	0.325668034345144352670331500121392309665679931640625	0.10311339576574844734135893986604060046374797821044921875	0.7398493211904006994217297688010148704051971435546875	-1.0186786604639237	1.1428318702497802	ERBB4;ABL1;PTK2
TCR Signaling Pathway_Homo sapiens_WP69	4/90	0.061243178877872728183007211555377580225467681884765625	0.361486192576648102114944549612118862569332122802734375	0.171633349301079096704825133201666176319122314453125	0.7398493211904006994217297688010148704051971435546875	-1.1050707472805466	1.1244442209599816	REL;CBLB;MAP3K7;SH2B3
Aryl Hydrocarbon Receptor_Homo sapiens_WP2586	3/46	0.039819672321677039572573875148009392432868480682373046875	0.325668034345144352670331500121392309665679931640625	0.10311339576574844734135893986604060046374797821044921875	0.7398493211904006994217297688010148704051971435546875	-0.9508422177060396	1.06672774462416	KLF6;LPL;AHR
G Protein Signaling Pathways_Mus musculus_WP232	4/88	0.057299417935131102819212856047670356929302215576171875	0.361486192576648102114944549612118862569332122802734375	0.162650482848290034443294871380203403532505035400390625	0.7398493211904006994217297688010148704051971435546875	-1.0347532227381029	1.052893929452818	GNA13;AKAP13;PDE4B;GNAI3
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	19/808	0.07609030849553742592572547209783806465566158294677734375	0.3790422484970308314444764619111083447933197021484375	0.5474635217009160559342717533581890165805816650390625	0.7809374197419580720946896690293215215206146240234375	-1.069146800743161	1.03718744387195	LYN;NOTCH2;SMAD1;PCNA;SPARC;RAB27A;PRPF40A;SORBS1;RBPJ;PIK3C2A;PTK2;EPS8;PTPRC;PTPRA;ERBB4;PALLD;ABL1;HCLS1;ITGA6
Translation Factors_Mus musculus_WP307	3/46	0.039819672321677039572573875148009392432868480682373046875	0.325668034345144352670331500121392309665679931640625	0.10311339576574844734135893986604060046374797821044921875	0.7398493211904006994217297688010148704051971435546875	-0.9088349333117975	1.0196007503603137	EEF1A1;EIF3E;PABPC1
RANKL/RANK Signaling Pathway_Homo sapiens_WP2018	3/55	0.0618777550751563321096426761869224719703197479248046875	0.361486192576648102114944549612118862569332122802734375	0.1493780802629818549309703712424379773437976837158203125	0.7398493211904006994217297688010148704051971435546875	-0.9641399875098492	0.9810427430277916	LYN;MAP3K7;PTK2
Translation Factors_Homo sapiens_WP107	3/51	0.0514886260212545909809023214620538055896759033203125	0.361486192576648102114944549612118862569332122802734375	0.1280461408560216174379320364096201956272125244140625	0.7398493211904006994217297688010148704051971435546875	-0.96241695481644	0.9792895031022963	EEF1A1;EIF3E;PABPC1
Interferon type I signaling pathways_Homo sapiens_WP585	3/54	0.059195148568266943434057480999399558641016483306884765625	0.361486192576648102114944549612118862569332122802734375	0.1439400013277297440961177699136896990239620208740234375	0.7398493211904006994217297688010148704051971435546875	-0.9612835640937385	0.978136242416166	PTPRC;RAP1A;REL
Apoptosis-related network due to altered Notch3 in ovarian cancer_Homo sapiens_WP2864	3/53	0.056568975342097947700548132843323401175439357757568359375	0.361486192576648102114944549612118862569332122802734375	0.1385702485627054170169714097937685437500476837158203125	0.7398493211904006994217297688010148704051971435546875	-0.9472041257731424	0.9638099713670804	SERBP1;ABL1;PTK2
Id Signaling Pathway_Mus musculus_WP512	3/51	0.0514886260212545909809023214620538055896759033203125	0.361486192576648102114944549612118862569332122802734375	0.1280461408560216174379320364096201956272125244140625	0.7398493211904006994217297688010148704051971435546875	-0.9059779664947162	0.9218610584426543	SMAD1;TCF12;SMAD5
TNF alpha Signaling Pathway_Homo sapiens_WP231	4/92	0.065326957139000885188551137616741470992565155029296875	0.364874955727590322140940770623274147510528564453125	0.18078648616270165394581681539420969784259796142578125	0.7398493211904006994217297688010148704051971435546875	-0.8786767819668686	0.8858824334296983	REL;TNFAIP3;MAP3K7;NSMAF
IL-3 Signaling Pathway_Mus musculus_WP373	4/97	0.07613949096446907816027049875629018060863018035888671875	0.3790422484970308314444764619111083447933197021484375	0.204350310583909455797169130164547823369503021240234375	0.7398493211904006994217297688010148704051971435546875	-0.8818437956261234	0.855483373886575	LYN;SOCS2;RAP1A;PTK2
IL-6 signaling Pathway_Mus musculus_WP387	4/97	0.07613949096446907816027049875629018060863018035888671875	0.3790422484970308314444764619111083447933197021484375	0.204350310583909455797169130164547823369503021240234375	0.7398493211904006994217297688010148704051971435546875	-0.8538726904272118	0.8283483919707457	LYN;RPS6KA2;SGK1;PTK2
ErbB Signaling Pathway_Homo sapiens_WP673	3/55	0.0618777550751563321096426761869224719703197479248046875	0.361486192576648102114944549612118862569332122802734375	0.1493780802629818549309703712424379773437976837158203125	0.7398493211904006994217297688010148704051971435546875	-0.8122148642615034	0.8264541546721303	ERBB4;ABL1;PTK2
G Protein Signaling Pathways_Homo sapiens_WP35	4/95	0.07171209591347438294661742475000210106372833251953125	0.3790422484970308314444764619111083447933197021484375	0.194814172492461967767241048932191915810108184814453125	0.7398493211904006994217297688010148704051971435546875	-0.8477349297757473	0.8223941036758499	GNA13;AKAP13;PDE4B;GNAI3
Focal Adhesion_Mus musculus_WP85	6/185	0.08570984977330954601715262697325670160353183746337890625	0.396876612425191066524376992674660868942737579345703125	0.27888370136877915772544156425283290445804595947265625	0.7809374197419580720946896690293215215206146240234375	-0.8872683805362551	0.8199511923445891	RAP1B;RAP1A;ROCK1;COL4A1;ITGA6;PTK2
