gene.name,X,SUID,annotation.name,annotations,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Ensembl.Gene.ID,Ensembl.Protein.ID,Entrez.Gene.ID,IsSingleNode,log.score,name,NeighborhoodConnectivity,node.type,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,RefSeq.mRNA.ID,RefSeq.Protein.ID,score,selected,SelfLoops,shared.name,Stress,Synonym,TopologicalCoefficient,Uniprot.ID,RankVar
ALDOA,1,24951,,,2.15151515,0.01886986,0.46478873,0.21428571,8,3,ENSG00000149925,ENSP00000457683,226,FALSE,-0.195396442,H__sapiens__2_-Hs:718634,10.875,query,0,8,0,0.71212121,NM_184043,NP_908932,0.822508516,FALSE,0,H__sapiens__2_-Hs:718634,378,,0.23097826,P04075,174.9666667
ANKRD27,2,24994,,,2.75757576,0.002552,0.36263736,0,3,4,ENSG00000105186,ENSP00000476897,84079,FALSE,-0.121601385,H__sapiens__2_-Hs:712344,7,query,0,3,0,0.56060606,NM_032139,NP_115515,0.885501272,FALSE,0,H__sapiens__2_-Hs:712344,52,VARP,0.375,Q96NW4,258.1666667
APLP2,3,24942,,,2.07575758,0.03236349,0.48175182,0.22727273,12,3,ENSG00000084234,ENSP00000444122,334,FALSE,-0.137440747,H__sapiens__2_-Hs:710916,9.75,query,0,12,0,0.73106061,NM_001642,NP_001633,0.871585992,FALSE,0,H__sapiens__2_-Hs:710916,618,APPH,0.20390071,Q06481,805.0666667
AUH,4,24969,,,2.06060606,0.03362077,0.48529412,0.21212121,12,3,ENSG00000148090,ENSP00000402026,549,FALSE,-0.146571513,H__sapiens__2_-Hs:718410,9.83333333,query,0,12,0,0.73484848,NM_001698,NP_001689,0.863663967,FALSE,0,H__sapiens__2_-Hs:718410,696,,0.19897959,Q13825,184.7
BNIP3,5,24975,,,2.10606061,0.01511383,0.47482014,0.22222222,10,3,ENSG00000176171,ENSP00000446145,664,FALSE,-0.159168041,H__sapiens__2_-Hs:723488,11.1,query,0,10,0,0.72348485,NM_004052,NP_004043,0.852853033,FALSE,0,H__sapiens__2_-Hs:723488,400,Nip3,0.22916667,Q12983,307.4666667
C16orf62,6,24988,,,2.93939394,0.00107561,0.34020619,0,2,4,ENSG00000103544,ENSP00000459108,57020,FALSE,-0.113904661,H__sapiens__2_-Hs:712133,8.5,query,0,2,0,0.51515152,NM_020314,NP_064710,0.892343027,FALSE,0,H__sapiens__2_-Hs:712133,24,MGC16824,0.53571429,Q7Z3J2,76.96666667
CDH22,7,24995,,,2.68181818,0.00191554,0.37288136,0,3,4,ENSG00000149654,ENSP00000437790,64405,FALSE,-0.093246515,H__sapiens__2_-Hs:718615,10,query,0,3,0,0.57954545,NM_021248,NP_067071,0.910968905,FALSE,0,H__sapiens__2_-Hs:718615,54,dJ998H6.1,0.40909091,Q9UJ99,146.4
CDIPT,8,24974,,,1.90909091,0.06403329,0.52380952,0.19047619,15,3,ENSG00000103502,ENSP00000457766,10423,FALSE,-0.162775418,H__sapiens__2_-Hs:712125,9.66666667,query,0,15,0,0.77272727,NM_006319,NP_006310,0.849782013,FALSE,0,H__sapiens__2_-Hs:712125,1100,PIS1,0.17333333,O14735,73.76666667
CEP170B,9,24971,,,2.5,0.01831366,0.4,0.16666667,9,4,ENSG00000099814,ENSP00000451249,283638,FALSE,-0.121640443,H__sapiens__2_-Hs:711413,6,query,0,9,0,0.625,NM_015005,NP_055820,0.885466687,FALSE,0,H__sapiens__2_-Hs:711413,332,KIAA0284,0.23611111,Q9Y4F5,253.8666667
CLCN3,10,24981,anion channel activity,GO:0005253,2.63636364,0.00286971,0.37931034,0,3,4,ENSG00000109572,ENSP00000425823,1182,FALSE,-0.119495759,H__sapiens__2_-Hs:712987,8.66666667,query,0,3,0,0.59090909,NM_173872,NP_776297,0.887367771,FALSE,0,H__sapiens__2_-Hs:712987,70,CLC3,0.38333333,P51790,137.7666667
CLCN6,11,24978,anion channel activity,GO:0005253,2.28787879,0.00747198,0.43708609,0.39285714,8,4,ENSG00000011021,ENSP00000365680,1185,FALSE,-0.118326161,H__sapiens__2_-Hs:709554,10.5,query,0,8,0,0.6780303,NM_001286,NP_001277,0.888406241,FALSE,0,H__sapiens__2_-Hs:709554,206,KIAA0046,0.25609756,P51797,151.0666667
COX5A,12,24962,,,2.34848485,0.00923067,0.42580645,0.33333333,9,4,ENSG00000178741,ENSP00000457974,9377,FALSE,-0.172465963,H__sapiens__2_-Hs:724020,9,query,0,9,0,0.66287879,NM_004255,NP_004246,0.841586933,FALSE,0,H__sapiens__2_-Hs:724020,200,,0.26143791,P20674,359.0666667
CXorf56,13,24992,,,2.46969697,0.00411274,0.40490798,0.16666667,4,4,ENSG00000018610,ENSP00000441786,63932,FALSE,-0.059466385,H__sapiens__2_-Hs:709662,10.25,query,0,4,0,0.63257576,NM_022101,NP_071384,0.942267207,FALSE,0,H__sapiens__2_-Hs:709662,74,FLJ22965,0.3046875,Q9H5V9,80
CYP2E1,14,24950,,,2.43939394,0.0014985,0.40993789,0.33333333,3,4,ENSG00000130649,ENSP00000444958,1571,FALSE,-0.100319463,H__sapiens__2_-Hs:715633,14.33333333,query,0,3,0,0.64015152,NM_000773,NP_000764,0.904548402,FALSE,0,H__sapiens__2_-Hs:715633,38,CYP2E,0.41176471,P05181,15.06666667
DEDD,15,25001,,,2.53030303,0.00759178,0.39520958,0.16666667,4,4,ENSG00000158796,ENSP00000476946,9191,FALSE,-0.113765383,H__sapiens__2_-Hs:719651,9.5,query,0,4,0,0.61742424,NM_032998,NP_127491,0.89246732,FALSE,0,H__sapiens__2_-Hs:719651,130,KE05,0.3,O75618,260.6666667
DOLPP1,16,24940,,,2.16666667,0.03236218,0.46153846,0.13888889,9,4,ENSG00000167130,ENSP00000440218,57171,FALSE,-0.135344195,H__sapiens__2_-Hs:721441,9.77777778,query,0,9,0,0.70833333,NM_020438,NP_065171,0.873415234,FALSE,0,H__sapiens__2_-Hs:721441,584,LSFR2,0.21464646,Q86YN1,85.6
DRG1,17,24965,,,2.24242424,0.01790755,0.44594595,0.31111111,10,3,ENSG00000185721,ENSP00000448252,4733,FALSE,-0.192335226,H__sapiens__2_-Hs:725616,9.7,query,0,10,0,0.68939394,NM_004147,NP_004138,0.82503025,FALSE,0,H__sapiens__2_-Hs:725616,372,NEDD3,0.24615385,Q9Y295,240.4
EIF1B,18,24964,,,2.13636364,0.02103612,0.46808511,0.2,11,3,ENSG00000114784,ENSP00000232905,10289,FALSE,-0.163662062,H__sapiens__2_-Hs:713641,10.1,query,0,11,1,0.71590909,NM_005875,NP_005866,0.849028893,FALSE,0,H__sapiens__2_-Hs:713641,432,GC20,0.22,O60739,236.1666667
ESRRG,19,24967,,,2.45454545,0.00274548,0.40740741,0.6,5,4,ENSG00000196482,ENSP00000466343,2104,FALSE,-0.111249526,H__sapiens__2_-Hs:726746,10.6,query,0,5,0,0.63636364,NM_206595,NP_996318,0.894715466,FALSE,0,H__sapiens__2_-Hs:726746,60,,0.32121212,P62508,298.2666667
FXR2,20,24970,,,2.27272727,0.01715833,0.44,0.28571429,8,4,ENSG00000129245,ENSP00000459230,9513,FALSE,-0.146893711,H__sapiens__2_-Hs:715449,9.375,query,0,8,0,0.68181818,NM_004860,NP_004851,0.863385741,FALSE,0,H__sapiens__2_-Hs:715449,326,FMR1L2,0.23125,P51116,180.4
GDI1,21,24977,,,1.83333333,0.10832737,0.54545455,0.14035088,19,3,ENSG00000268690,ENSP00000473084,2664,FALSE,-0.202917022,H__sapiens__2_-Hs:729552,8.31578947,query,0,19,0,0.79166667,NM_001493,NP_001484,0.816345977,FALSE,0,H__sapiens__2_-Hs:729552,1844,XAP-4,0.14337568,P31150,186.2666667
GIPC1,22,24982,,,1.96969697,0.08944419,0.50769231,0.14102564,13,3,ENSG00000123159,ENSP00000468787,10755,FALSE,-0.179114342,H__sapiens__2_-Hs:714673,8.15384615,query,0,13,0,0.75757576,NM_202494,NP_974223,0.836010303,FALSE,0,H__sapiens__2_-Hs:714673,1290,TIP-2,0.15236686,O14908,207.2
GNB5,23,24968,,,2.10606061,0.04411432,0.47482014,0.14545455,11,4,ENSG00000069966,ENSP00000454185,10681,FALSE,-0.116233422,H__sapiens__2_-Hs:710375,8.72727273,query,0,11,0,0.72348485,NM_016194,NP_057278,0.890267391,FALSE,0,H__sapiens__2_-Hs:710375,782,GB5,0.1780303,O14775,139.7666667
HABP4,24,24936,,,2.12121212,0.02805075,0.47142857,0.17777778,10,3,ENSG00000130956,ENSP00000364400,22927,FALSE,-0.087617917,H__sapiens__2_-Hs:715699,9.3,query,0,10,0,0.71969697,NM_014282,NP_055097,0.916110841,FALSE,0,H__sapiens__2_-Hs:715699,498,SERBP1L,0.19375,Q5JVS0,276.5666667
IMPDH1,25,24952,,,2,0.02926418,0.5,0.22222222,10,3,ENSG00000106348,ENSP00000420803,3614,FALSE,-0.17919611,H__sapiens__2_-Hs:712594,11.4,query,0,10,0,0.75,NM_183243,NP_899066,0.835941947,FALSE,0,H__sapiens__2_-Hs:712594,608,sWSS2608,0.20357143,P20839,56
KCNAB1,26,24991,,,2.53030303,0.00334127,0.39520958,0,3,4,ENSG00000169282,ENSP00000420755,7881,FALSE,-0.086240827,H__sapiens__2_-Hs:721989,10.33333333,query,0,3,0,0.61742424,NM_172160,NP_751892,0.917373276,FALSE,0,H__sapiens__2_-Hs:721989,66,Kvb1.3,0.35897436,Q14722,400
KCNMB4,27,24937,,,2.07575758,0.04369417,0.48175182,0.11111111,9,3,ENSG00000135643,ENSP00000431137,27345,FALSE,-0.066478484,H__sapiens__2_-Hs:716463,8.66666667,query,0,9,0,0.73106061,NM_014505,NP_055320,0.935683048,FALSE,0,H__sapiens__2_-Hs:716463,652,,0.1712963,Q86W47,196.2666667
