gene.name,SUID,annotation.name,annotations,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Ensembl.Gene.ID,Ensembl.Protein.ID,Entrez.Gene.ID,IsSingleNode,log.score,name,NeighborhoodConnectivity,node.type,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,RefSeq.mRNA.ID,RefSeq.Protein.ID,score,selected,SelfLoops,shared.name,Stress,Synonym,TopologicalCoefficient,Uniprot.ID,sumRank
AASS,414,,,2.0764526,0.00024886,0.48159057,0.29487179,13,3,ENSG00000008311,ENSP00000414001,10157,FALSE,-0.091978599,H__sapiens__1_-Hs:709491,56.92307692,query,0,13,0,0.73088685,NM_005763,NP_005754,0.91212467,FALSE,0,H__sapiens__1_-Hs:709491,478,LORSDH,0.19696566,Q9UDR5,81.14285714
ABCA8,521,,,2.06727829,0.00110529,0.48372781,0.22529644,23,3,ENSG00000141338,ENSP00000467271,10351,FALSE,-0.109825059,H__sapiens__1_-Hs:717445,42.52173913,query,0,23,0,0.73318043,NM_007168,NP_009099,0.895990867,FALSE,0,H__sapiens__1_-Hs:717445,1936,KIAA0822,0.15078631,O94911,408
ABI1,590,,,1.80733945,0.00481004,0.55329949,0.27132867,66,3,ENSG00000136754,ENSP00000440101,10006,FALSE,-0.151998327,H__sapiens__1_-Hs:716669,57.51515152,query,0,66,0,0.79816514,NM_005470,NP_005461,0.858989718,FALSE,0,H__sapiens__1_-Hs:716669,7908,SSH3BP1,0.1775159,Q8IZP0,360.2857143
ABL1,529,,,1.87767584,0.00479755,0.53257329,0.18936877,43,3,ENSG00000097007,ENSP00000376971,25,FALSE,-0.208381019,H__sapiens__1_-Hs:711366,49.86046512,query,0,43,0,0.78058104,NM_007313,NP_009297,0.811897629,FALSE,0,H__sapiens__1_-Hs:711366,8392,JTK7,0.15429477,P00519,229.7142857
ADAM17,459,,,1.84097859,0.00388768,0.54318937,0.25521886,55,3,ENSG00000151694,ENSP00000418728,6868,FALSE,-0.105634121,H__sapiens__1_-Hs:718813,57.89090909,query,0,55,0,0.78975535,NM_003183,NP_003174,0.899753789,FALSE,0,H__sapiens__1_-Hs:718813,7084,TACE,0.17867565,P78536,102.5714286
ADAMTS1,728,,,1.96941896,0.00243818,0.50776398,0.25320057,38,3,ENSG00000154734,ENSP00000431065,9510,FALSE,-0.089122412,H__sapiens__1_-Hs:719177,41.5,query,0,38,0,0.75764526,NM_006988,NP_008919,0.914733592,FALSE,0,H__sapiens__1_-Hs:719177,4116,METH1,0.13879599,Q9UHI8,450.5714286
ADAMTS9,417,,,2.13455657,0.00104363,0.46848138,0.27142857,21,3,ENSG00000163638,ENSP00000419217,56999,FALSE,-0.092473659,H__sapiens__1_-Hs:720486,35.19047619,query,0,21,0,0.71636086,NM_182920,NP_891550,0.911673225,FALSE,0,H__sapiens__1_-Hs:720486,1548,KIAA1312,0.13464696,Q9P2N4,308
ADNP,555,,,1.64220183,0.01463627,0.60893855,0.25206432,118,3,ENSG00000101126,ENSP00000436181,23394,FALSE,-0.173137658,H__sapiens__1_-Hs:711737,55.8559322,query,0,118,0,0.83944954,NM_181442,NP_852107,0.841021834,FALSE,0,H__sapiens__1_-Hs:711737,24910,KIAA0784,0.17133722,Q9H2P0,343.7142857
AGO3,427,,,1.86850153,0.00499655,0.53518822,0.23838384,55,3,ENSG00000126070,ENSP00000380928,192669,FALSE,-0.134378187,H__sapiens__1_-Hs:715111,47.72727273,query,0,55,0,0.78287462,NM_177422,NP_803171,0.874259368,FALSE,0,H__sapiens__1_-Hs:715111,7512,hAGO3,0.15151515,Q9H9G7,234.8571429
AGO4,430,,,2.16513761,0.00031569,0.46186441,0.1978022,14,3,ENSG00000134698,ENSP00000362306,192670,FALSE,-0.117597853,H__sapiens__1_-Hs:716280,46.28571429,query,0,14,0,0.7087156,NM_017629,NP_060099,0.889053511,FALSE,0,H__sapiens__1_-Hs:716280,448,KIAA1567,0.17912514,Q9HCK5,162.2857143
AHCYL1,681,,,2.02752294,0.00049305,0.49321267,0.25541126,22,3,ENSG00000168710,ENSP00000377238,10768,FALSE,-0.1197538,H__sapiens__1_-Hs:721841,54.86363636,query,0,22,0,0.74311927,NM_006621,NP_006612,0.887138823,FALSE,0,H__sapiens__1_-Hs:721841,830,XPVKONA,0.18535012,SAHH2_HUMAN,544.2857143
AHR,463,,,1.81345566,0.00636433,0.55143339,0.23701923,65,3,ENSG00000106546,ENSP00000436466,196,FALSE,-0.178255105,H__sapiens__1_-Hs:712624,50.84615385,query,0,65,0,0.79663609,NM_001621,NP_001612,0.836728943,FALSE,0,H__sapiens__1_-Hs:712624,11616,bHLHe76,0.15741843,P35869,132.8571429
AKAP13,518,,,1.9235474,0.00284513,0.51987281,0.23897582,38,3,ENSG00000170776,ENSP00000453768,11214,FALSE,-0.100108345,H__sapiens__1_-Hs:722323,51,query,0,38,0,0.76911315,NM_007200,NP_009131,0.904739388,FALSE,0,H__sapiens__1_-Hs:722323,5306,PROTO-LB,0.16242038,Q12802,351.4285714
AKR1B1,471,,,1.99388379,0.00201777,0.50153374,0.24137931,30,3,ENSG00000085662,ENSP00000414399,231,FALSE,-0.159439693,H__sapiens__1_-Hs:710955,39.56666667,query,0,30,0,0.75152905,NM_001628,NP_001619,0.852621385,FALSE,0,H__sapiens__1_-Hs:710955,3634,ALDR1,0.13266219,P15121,445.1428571
AKR1C1,737,,,2.43119266,0.00012905,0.41132075,0.27777778,9,3,ENSG00000266592,ENSP00000464152,1645,FALSE,-0.062989086,H__sapiens__1_-Hs:725989,37.66666667,query,0,9,0,0.64220183,NM_001353,NP_001344,0.938953721,FALSE,0,H__sapiens__1_-Hs:725989,180,MBAB,0.21338384,Q04828,342
ALMS1,708,,,1.93883792,0.00162105,0.51577287,0.28571429,35,3,ENSG00000116127,ENSP00000399833,7840,FALSE,-0.104771,H__sapiens__1_-Hs:713846,52.45714286,query,0,35,0,0.76529052,NM_015120,NP_055935,0.90053072,FALSE,0,H__sapiens__1_-Hs:713846,3316,KIAA0328,0.16813187,Q8TCU4,288.2857143
ALOX5,615,,,2.08562691,0.00064797,0.47947214,0.35930736,22,3,ENSG00000262552,ENSP00000459805,240,FALSE,-0.144361791,H__sapiens__1_-Hs:709597,45.27272727,query,0,22,0,0.72859327,NM_001256154,NP_001243083,0.865574534,FALSE,0,H__sapiens__1_-Hs:709597,1184,5-LOX,0.16386693,P09917,266
ALPK1,413,,,2.14067278,0.00077001,0.46714286,0.33684211,20,3,ENSG00000073331,ENSP00000426044,80216,FALSE,-0.047064586,H__sapiens__1_-Hs:710512,41.3,query,0,20,0,0.7148318,NM_025144,NP_079420,0.954025779,FALSE,0,H__sapiens__1_-Hs:710512,1324,KIAA1527,0.15823755,Q96QP1,177.4285714
AMD1,622,,,1.80733945,0.00382229,0.55329949,0.29903846,65,3,ENSG00000123505,ENSP00000433396,262,FALSE,-0.143603571,H__sapiens__1_-Hs:714716,58.30769231,query,0,65,0,0.79816514,NM_001634,NP_001625,0.866231079,FALSE,0,H__sapiens__1_-Hs:714716,7486,SAMDC,0.17940828,P17707,326.5714286
AMPD3,616,,,2.04587156,0.00072594,0.48878924,0.27173913,24,3,ENSG00000133805,ENSP00000436987,272,FALSE,-0.09265024,H__sapiens__1_-Hs:716130,44.625,query,0,24,0,0.73853211,NM_001172431,NP_001165902,0.911512255,FALSE,0,H__sapiens__1_-Hs:716130,1278,,0.15494792,Q01432,313.7142857
ANAPC5,489,,,2.03669725,0.00119222,0.49099099,0.30952381,21,3,ENSG00000272204,ENSP00000475940,51433,FALSE,-0.1332237,H__sapiens__1_-Hs:711102,55.85714286,query,0,21,0,0.74082569,NM_016237,NP_057321,0.875269273,FALSE,0,H__sapiens__1_-Hs:711102,2192,APC5,0.19145803,Q9UJX4,260.5714286
ANKRD10,676,,,1.87767584,0.00238898,0.53257329,0.3236715,46,3,ENSG00000088448,ENSP00000474638,55608,FALSE,-0.065277152,H__sapiens__1_-Hs:711067,58.32608696,query,0,46,0,0.78058104,NM_017664,NP_060134,0.936807789,FALSE,0,H__sapiens__1_-Hs:711067,4456,FLJ20093,0.18220109,Q9NXR5,271.7142857
ANKRD28,564,,,1.88990826,0.00303641,0.52912621,0.22415796,42,3,ENSG00000206560,ENSP00000397341,23243,FALSE,-0.136064614,H__sapiens__1_-Hs:730489,54.23809524,query,0,42,0,0.77752294,NM_015199,NP_056014,0.872786237,FALSE,0,H__sapiens__1_-Hs:730489,5890,PPP1R65,0.16896603,O15084,288.8571429
ANXA1,578,,,1.92966361,0.002465,0.51822504,0.28128461,43,3,ENSG00000135046,ENSP00000414013,301,FALSE,-0.159672029,H__sapiens__1_-Hs:716336,45.90697674,query,0,43,0,0.7675841,NM_000700,NP_000691,0.852423313,FALSE,0,H__sapiens__1_-Hs:716336,4268,LPC1,0.14953413,P04083,294.5714286
ARMC1,680,,,1.8440367,0.00391755,0.54228856,0.26758329,62,3,ENSG00000104442,ENSP00000434297,55156,FALSE,-0.107598308,H__sapiens__1_-Hs:712221,52.48387097,query,0,62,0,0.78899083,NM_018120,NP_060590,0.897988239,FALSE,0,H__sapiens__1_-Hs:712221,6914,FLJ10511,0.1660882,Q9NVT9,390.2857143
