gene.name,SUID,annotation.name.1,annotation.name,annotations,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Ensembl.Gene.ID.1,Ensembl.Protein.ID.1,Ensembl.Gene.ID,Ensembl.Protein.ID,Entrez.Gene.ID.1,Entrez.Gene.ID,IsSingleNode,log.score.1,log.score,name,NeighborhoodConnectivity,node.type.1,node.type,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,RefSeq.mRNA.ID.1,RefSeq.Protein.ID.1,RefSeq.mRNA.ID,RefSeq.Protein.ID,score,selected,SelfLoops,shared.name.1,shared.name,Stress,sumRank,Synonym,TopologicalCoefficient,Uniprot.ID.1,Uniprot.ID,RankVar
AASS,17708,,,,2.0764526,0.00024886,0.48159057,0.29487179,13,3,ENSG00000008311,ENSP00000414001,ENSG00000008311,ENSP00000414001,10157,10157,FALSE,-0.091978599,-0.091978599,H__sapiens__1_-Hs:709491,56.92307692,query,query,0,13,0,0.73088685,NM_005763,NP_005754,NM_005763,NP_005754,0.91212467,FALSE,0,H__sapiens__1_-Hs:709491,H__sapiens__1_-Hs:709491,478,81.14285714,LORSDH,0.19696566,Q9UDR5,Q9UDR5,1261.466667
ABCA8,17601,,,,2.06727829,0.00110529,0.48372781,0.22529644,23,3,ENSG00000141338,ENSP00000467271,ENSG00000141338,ENSP00000467271,10351,10351,FALSE,-0.109825059,-0.109825059,H__sapiens__1_-Hs:717445,42.52173913,query,query,0,23,0,0.73318043,NM_007168,NP_009099,NM_007168,NP_009099,0.895990867,FALSE,0,H__sapiens__1_-Hs:717445,H__sapiens__1_-Hs:717445,1936,408,KIAA0822,0.15078631,O94911,O94911,7368.8
ABI1,17532,,,,1.80733945,0.00481004,0.55329949,0.27132867,66,3,ENSG00000136754,ENSP00000440101,ENSG00000136754,ENSP00000440101,10006,10006,FALSE,-0.151998327,-0.151998327,H__sapiens__1_-Hs:716669,57.51515152,query,query,0,66,0,0.79816514,NM_005470,NP_005461,NM_005470,NP_005461,0.858989718,FALSE,0,H__sapiens__1_-Hs:716669,H__sapiens__1_-Hs:716669,7908,360.2857143,SSH3BP1,0.1775159,Q8IZP0,Q8IZP0,3819.766667
ABL1,17593,,,,1.87767584,0.00479755,0.53257329,0.18936877,43,3,ENSG00000097007,ENSP00000376971,ENSG00000097007,ENSP00000376971,25,25,FALSE,-0.208381019,-0.208381019,H__sapiens__1_-Hs:711366,49.86046512,query,query,0,43,0,0.78058104,NM_007313,NP_009297,NM_007313,NP_009297,0.811897629,FALSE,0,H__sapiens__1_-Hs:711366,H__sapiens__1_-Hs:711366,8392,229.7142857,JTK7,0.15429477,P00519,P00519,7376.8
ADAM17,17663,,,,1.84097859,0.00388768,0.54318937,0.25521886,55,3,ENSG00000151694,ENSP00000418728,ENSG00000151694,ENSP00000418728,6868,6868,FALSE,-0.105634121,-0.105634121,H__sapiens__1_-Hs:718813,57.89090909,query,query,0,55,0,0.78975535,NM_003183,NP_003174,NM_003183,NP_003174,0.899753789,FALSE,0,H__sapiens__1_-Hs:718813,H__sapiens__1_-Hs:718813,7084,102.5714286,TACE,0.17867565,P78536,P78536,90.16666667
ADAMTS1,17394,,,,1.96941896,0.00243818,0.50776398,0.25320057,38,3,ENSG00000154734,ENSP00000431065,ENSG00000154734,ENSP00000431065,9510,9510,FALSE,-0.089122412,-0.089122412,H__sapiens__1_-Hs:719177,41.5,query,query,0,38,0,0.75764526,NM_006988,NP_008919,NM_006988,NP_008919,0.914733592,FALSE,0,H__sapiens__1_-Hs:719177,H__sapiens__1_-Hs:719177,4116,450.5714286,METH1,0.13879599,Q9UHI8,Q9UHI8,4863.366667
ADAMTS9,17705,,,,2.13455657,0.00104363,0.46848138,0.27142857,21,3,ENSG00000163638,ENSP00000419217,ENSG00000163638,ENSP00000419217,56999,56999,FALSE,-0.092473659,-0.092473659,H__sapiens__1_-Hs:720486,35.19047619,query,query,0,21,0,0.71636086,NM_182920,NP_891550,NM_182920,NP_891550,0.911673225,FALSE,0,H__sapiens__1_-Hs:720486,H__sapiens__1_-Hs:720486,1548,308,KIAA1312,0.13464696,Q9P2N4,Q9P2N4,8231.466667
ADNP,17567,,,,1.64220183,0.01463627,0.60893855,0.25206432,118,3,ENSG00000101126,ENSP00000436181,ENSG00000101126,ENSP00000436181,23394,23394,FALSE,-0.173137658,-0.173137658,H__sapiens__1_-Hs:711737,55.8559322,query,query,0,118,0,0.83944954,NM_181442,NP_852107,NM_181442,NP_852107,0.841021834,FALSE,0,H__sapiens__1_-Hs:711737,H__sapiens__1_-Hs:711737,24910,343.7142857,KIAA0784,0.17133722,Q9H2P0,Q9H2P0,3957.1
AGO3,17695,,,,1.86850153,0.00499655,0.53518822,0.23838384,55,3,ENSG00000126070,ENSP00000380928,ENSG00000126070,ENSP00000380928,192669,192669,FALSE,-0.134378187,-0.134378187,H__sapiens__1_-Hs:715111,47.72727273,query,query,0,55,0,0.78287462,NM_177422,NP_803171,NM_177422,NP_803171,0.874259368,FALSE,0,H__sapiens__1_-Hs:715111,H__sapiens__1_-Hs:715111,7512,234.8571429,hAGO3,0.15151515,Q9H9G7,Q9H9G7,2754.8
AGO4,17692,,,,2.16513761,0.00031569,0.46186441,0.1978022,14,3,ENSG00000134698,ENSP00000362306,ENSG00000134698,ENSP00000362306,192670,192670,FALSE,-0.117597853,-0.117597853,H__sapiens__1_-Hs:716280,46.28571429,query,query,0,14,0,0.7087156,NM_017629,NP_060099,NM_017629,NP_060099,0.889053511,FALSE,0,H__sapiens__1_-Hs:716280,H__sapiens__1_-Hs:716280,448,162.2857143,KIAA1567,0.17912514,Q9HCK5,Q9HCK5,3826.266667
