"","variance....RankVar"
"AASS",1261.46666666667
"ABCA8",7368.8
"ABI1",3819.76666666667
"ABL1",7376.8
"ADAM17",90.1666666666667
"ADAMTS1",4863.36666666667
"ADAMTS9",8231.46666666667
"ADNP",3957.1
"AGO3",2754.8
"AGO4",3826.26666666667
"AHCYL1",292.3
"AHR",931.1
"AKAP13",4484
"AKR1B1",3737.46666666667
"AKR1C1",13117.5
"ALMS1",15950.5666666667
"ALOX5",14747.7666666667
"ALPK1",6089.1
"AMD1",12184.7
"AMPD3",5256.4
"ANAPC5",3506.4
"ANKRD10",2957.9
"ANKRD28",4399.1
"ANXA1",15370.9666666667
"ARMC1",4803.46666666667
"ASAH1",7549.06666666667
"ASXL2",9911.36666666667
"ATF7IP",11689.2
"ATG14",2416.16666666667
"ATM",8577.6
"ATP8B1",18231.5
"AUTS2",3332.66666666667
"BCLAF1",8773.06666666667
"BRAP",10321.0666666667
"BTG1",5615.86666666667
"C18orf8",3369.6
"C6orf120",4793.86666666667
"CALD1",10835.7666666667
"CARD8",2626.7
"CBFB",870.666666666667
"CBLB",7226.26666666667
"CCDC90B",7294.96666666667
"CCNL1",5747.46666666667
"CCNL2",6685.6
"CD44",12407.0666666667
"CDH11",1825.46666666667
"CDK12",7469.9
"CDK13",16580.7
"CEBPZ",4467.06666666667
"CENPU",945.366666666667
"CEP57",4195.76666666667
"CHD1",5887.86666666667
"CHPT1",7055.2
"CHSY1",5522.26666666667
"CLIC4",197.866666666667
"CLK4",3985.5
"CMTM6",7919.46666666667
"CNOT1",6913.2
"CNOT6",5352.16666666667
"COL4A1",1607.76666666667
"CPOX",1166.66666666667
"CPSF6",6593.06666666667
"CPSF7",1381.46666666667
"CREB3L2",6403.36666666667
"CREG1",4507.2
"CRISPLD2",1627.46666666667
"CRLF3",2330.66666666667
"CRY1",9290.26666666667
"CTBP2",9859.2
"CTSH",6791.6
"DDX18",5909.06666666667
"DDX21",2536
"DENND4A",2956.26666666667
"DERL1",4283.76666666667
"DHX29",4961.86666666667
"DIDO1",4937.36666666667
"DIP2A",11129.3666666667
"EDNRB",4378.26666666667
"EEF1A1",16202.2666666667
"EFEMP1",8358.8
"EIF3E",10297.9
"ENPP2",14474.9666666667
"EPS8",6175.9
"ERBB4",12716.5666666667
"ERP44",2662.4
"ESF1",12121.4666666667
"FAM129A",10104.8
"FAM65B",5978.66666666667
"FHL1",3965.86666666667
"FLNC",7675.76666666667
"FOXN3",11317.7666666667
"GCH1",7878.16666666667
"GIN1",7709.06666666667
"GNA13",10060.2666666667
"GNAI3",4777.76666666667
"GOLGA7",10342.5666666667
"GPNMB",739.5
"GSAP",1166.96666666667
"GSPT1",11775.6
"HCFC2",1922.16666666667
"HCLS1",13801.7666666667
"HEATR3",688.8
"HEXB",7853.6
"HIPK1",7761.9
"HLA-B",3475.1
"HMGN4",3094
"HNMT",10317.8666666667
"HNRNPA2B1",2372.56666666667
"HNRNPA3",2454.8
"HSBP1",3650.96666666667
"ICE1",1292.4
"IFI16",5268.66666666667
"IFITM2",11020.6666666667
"IFRD1",4092.4
"ITGA6",8395.9
"ITPR2",8549.36666666667
"JMJD1C",3050.66666666667
"KAT6A",9957.36666666667
"KATNBL1",3072.16666666667
"KCNE4",4404.4
"KCTD12",950.166666666667
"KCTD20",12980.9666666667
"KDM5A",5077.9
"KIAA0141",2186
"KLF3",7830.66666666667
"KLF6",3482.16666666667
"KRIT1",5625.6
"LAPTM5",4116.4
"LBR",8621.36666666667
"LIMA1",8094.7
"LPL",1698.4
"LPP",11223.3666666667
"LRBA",2269.2
"LRCH3",6009.5
"LYN",1953.86666666667
"MAFF",13513.9
"MAN2A1",1651.2
"MAP3K7",4169.2
"MAP4K3",2382.4
"MAP4K5",3240.96666666667
"MARK3",4888.66666666667
"MCMBP",615.066666666667
"MED13L",8845.06666666667
"MED14",7165.36666666667
"METTL9",5209.46666666667
"MFN1",3153.76666666667
"MLH3",8214.26666666667
"MON2",3887.76666666667
"MUS81",3532.56666666667
"MYOF",8909.06666666667
"N4BP2L2",8623.9
"NAA50",10141.8666666667
"NBPF1",2402
"NBR1",6487.5
"NCOA6",518.166666666667
"NEK1",7424.66666666667
"NEK4",4342.96666666667
"NKTR",5031.2
"NOTCH2",6543.76666666667
"NR2C1",6162.96666666667
"NSMAF",10340.3
"NUDT21",14166.2666666667
"NUP43",9238.16666666667
"OGT",3349.46666666667
"PABPC1",11.8666666666667
"PALLD",11745.7666666667
"PAPOLA",4487.86666666667
"PCNA",4817.86666666667
"PCSK5",2809.46666666667
"PDE4B",2156.16666666667
"PDS5A",7777.46666666667
"PHF21A",4075.2
"PHF3",9861.86666666667
"PHIP",8160.66666666667
"PHKB",5186.96666666667
"PHLDA1",6177.46666666667
"PIGA",653.1
"PIK3C2A",6648.7
"PIKFYVE",5056.8
"PKIA",8004.4
"PLEKHA2",6727.36666666667
"PLOD2",2638.66666666667
"PLSCR1",1606.26666666667
"PNISR",3894.66666666667
"PNN",10014.9666666667
"POGZ",9940.16666666667
"POT1",6626.16666666667
"PPFIA1",8438.16666666667
"PPP1R12B",3003.86666666667
"PPP4R2",8279.2
"PRDX4",10810.6666666667
"PROSER1",1965.86666666667
"PRPF40A",12215.4666666667
"PRPF4B",3383.46666666667
"PRPSAP1",4827.46666666667
"PRR11",21803.8666666667
"PSAP",229.466666666667
"PTK2",12786.7
"PTP4A3",12103.4666666667
"PTPRA",8651.86666666667
"PTPRC",7131.86666666667
"PUM2",1325.06666666667
"PXDN",11174.5666666667
"PXMP4",1122.96666666667
"RAB27A",1333.2
"RALGDS",5772.16666666667
"RANGRF",3948.3
"RAP1A",3697.9
"RAP1B",14365.1
"RBBP6",4405.6
"RBM12",6632.4
"RBM5",3119.76666666667
"RBM6",5187.76666666667
"RBPJ",11248.5666666667
"RCN1",2203.06666666667
"RCN2",3649.36666666667
"REL",2345.46666666667
"REV3L",4493.86666666667
"RFX3",7475.36666666667
"RFX7",5899.2
"RIT1",622.7
"RNASEH1",7321.06666666667
"RND3",7651.36666666667
"ROCK1",4335.46666666667
"RPRD1A",6577.1
"RPS6KA2",2449.06666666667
"RSAD1",1389.36666666667
"RSL24D1",6633.46666666667
"SASH1",3591.6
"SAT1",5802.16666666667
"SAV1",2243.9
"SCAF11",4585.76666666667
"SEC24A",7329.36666666667
"SENP7",3799.86666666667
"SEPT8",11764.5666666667
"SERBP1",2520.4
"SETD2",8682.16666666667
"SF3A1",6530.26666666667
"SGK1",339.866666666667
"SH2B3",5681.76666666667
"SH3GLB1",6768.56666666667
"SLC11A2",9075.06666666667
"SLC26A2",4149.86666666667
"SLC33A1",2013.2
"SLC35A3",2310.7
"SLCO3A1",4428.26666666667
"SLK",1778.66666666667
"SMAD1",7814.3
"SMAD5",11874.2666666667
"SMC2",8884.3
"SMC5",6776.16666666667
"SMNDC1",2923.46666666667
"SNAPC3",11445.3666666667
