"","x"
"1","PDCL3"
"2","MRPS17"
"3","KLC1"
"4","NDUFS5"
"5","POLR2M"
"6","ZNF506"
"7","RPL35A"
"8","C1orf61"
"9","BBIP1"
"10","VPS13B"
"11","RNF130"
"12","SUN1"
"13","PLEKHB1"
"14","CCDC93"
"15","DST"
"16","GULP1"
"17","FAM120A"
"18","C6orf106"
"19","SNAPC5"
"20","C14orf1"
"21","ORAI2"
"22","MLH3"
"23","ATP5E"
"24","ZNF518A"
"25","RAB40B"
"26","YLPM1"
"27","MBNL2"
"28","DMD"
"29","ALPK1"
"30","ZNF24"
"31","MPHOSPH9"
"32","HMOX2"
"33","TMEM43"
"34","RAP1GDS1"
"35","KPNA6"
"36","PPFIA1"
"37","PCDH9"
"38","ERGIC2"
"39","NDUFC2"
"40","MGAT4A"
"41","CELF1"
"42","NSFL1C"
"43","SSBP3"
"44","HCFC2"
"45","JAG1"
"46","MON2"
"47","RNF7"
"48","Sep-11"
"49","ZMYND11"
"50","NKTR"
"51","SERF2"
"52","STMN1"
"53","CLCN5"
"54","AHCTF1"
"55","KDM6A"
"56","AURKAIP1"
"57","TM4SF1"
"58","PRKD1"
"59","NPEPPS"
"60","SYT11"
"61","RBM15"
"62","SON"
"63","MCMBP"
"64","COA3"
"65","PPP1R7"
"66","ARHGAP29"
"67","RPLP2"
"68","CREB3L2"
"69","FAM168B"
"70","EIF2S2"
"71","CTDSP2"
"72","DCN"
"73","ATP2C1"
"74","UBE2L3"
"75","SERBP1"
"76","RPL15"
"77","ZNF273"
"78","CIAPIN1"
"79","FBXW7"
"80","BPTF"
"81","GLTSCR2"
"82","ARIH1"
"83","ALDH3A2"
"84","CYP1B1"
"85","ZFYVE26"
"86","NACA"
"87","CDH11"
"88","NPTX2"
"89","POGZ"
"90","FAM129A"
"91","PFDN1"
"92","OTUB1"
"93","ATP5C1"
"94","CXorf40B"
"95","RSAD1"
"96","PSMD4"
"97","PTPN13"
"98","PPP2CB"
"99","YME1L1"
"100","HNRNPUL1"
"101","IL1R1"
"102","NISCH"
"103","MEST"
"104","PIAS3"
"105","HBB"
"106","ATM"
"107","ID2"
"108","BGN"
"109","SRSF11"
"110","CST3"
"111","RPL37"
"112","SLC2A1"
"113","TMEM260"
"114","MAN2A1"
"115","NUTF2"
"116","PLOD2"
"117","COL4A1"
"118","TMX1"
"119","LYRM1"
"120","ROBO1"
"121","CCDC53"
"122","HNRNPH3"
"123","MRPL16"
"124","ITGA6"
"125","SCN1B"
"126","SF3A1"
"127","PI4KA"
"128","BTN3A3"
"129","DLST"
"130","ACTN1"
"131","PABPC1"
"132","STAT3"
"133","COPG1"
"134","TAB2"
"135","TCF4"
"136","ANXA1"
"137","PITPNB"
"138","TARS"
"139","SF3B1"
"140","CREG1"
"141","CEP170B"
"142","ANKRD17"
"143","CDC16"
"144","PSMD6"
"145","CSRP1"
"146","TBCB"
"147","RPL36AL"
"148","SKIV2L2"
"149","CLNS1A"
"150","KCTD12"
"151","CTNNB1"
"152","PSAP"
"153","AP2S1"
"154","TARDBP"
"155","SRP19"
"156","FBN1"
"157","PRPF3"
"158","TSPAN7"
"159","GBAS"
"160","MXI1"
"161","KAT7"
"162","RPSA"
"163","XPOT"
"164","PFDN5"
"165","RPL12"
"166","ZFP36"
"167","TERF2IP"
"168","SPARC"
"169","ERH"
"170","MYD88"
"171","SNRPF"
"172","DDX5"
"173","PPP2CA"
"174","RUVBL2"
"175","HSP90AB1"
"176","CCT3"
"177","UBC"
"178","RPL32"
"179","RPL24"
"180","SF3A3"
"181","RPS25"
"182","RPL27"
"183","RPS20"
"184","RPS7"
"185","RPL3"
"186","RPL6"
"187","RPL30"
"188","RPL11"
"189","RPL4"
"190","RPS21"
"191","SF3A2"
"192","RPL13A"
"193","RPS29"
"194","RPS3"
"195","RPL34"
"196","EIF4A3"
"197","RPS13"
"198","EEF1G"
"199","RPL21"
"200","RPL9"
"201","RPL22"
"202","RPL14"
"203","HNRNPA1"
"204","RPS4X"
"205","RPS10"
"206","RPS8"
"207","RPL7A"
"208","RPL36A"
"209","RPS23"
"210","RPS18"
"211","MAGOH"
"212","RPL29"
"213","RPL19"
"214","RPL10A"
"215","RPLP0"
"216","RPL35"
"217","RPS5"
"218","TPT1"
"219","RPLP1"
"220","RPS3A"
"221","RPS16"
"222","RPS24"
"223","RPL23A"
"224","PRMT5"
"225","RPL5"
"226","RPS17"
"227","RPL13"
"228","RPL17-C18orf32"
"229","SNRPD2"
"230","EEF1B2"
"231","RPS27A"
"232","RPS2"
"233","PPP2R1A"
"234","FAU"
"235","DDX17"
"236","RPL31"
"237","EIF3E"
"238","RPS11"
"239","RPS6"
"240","RPS9"
"241","ASH2L"
"242","COL3A1"
"243","RPS15A"
"244","RAN"
"245","RPL36"
"246","RPL8"
"247","RPS27"
"248","UBA52"
"249","RPL41"
"250","RPS19"
"251","RPL26"
"252","PPP1CA"
"253","EIF3H"
"254","GNB2L1"
"255","RPL27A"
"256","CCT2"
"257","SNRPD3"
"258","RPL38"
"259","TERF2"
"260","STOM"
"261","VCP"
"262","RPL39"
"263","EEF2"
"264","NELFE"
"265","TCERG1"
"266","HARS"
"267","CCT7"
"268","SF3B14"
"269","RPS15"
"270","NSA2"
"271","SNRPG"
"272","EIF2S1"
"273","PAN2"
"274","NPM1"
"275","COPZ1"
"276","IGBP1"
"277","EEF1A1"
"278","DHX15"
"279","IPO11"
"280","PPP2R5E"
"281","PFDN2"
"282","RPL23"
"283","SRSF5"
"284","HNRNPH1"
"285","SRP54"
"286","RPL28"
"287","HINT1"
"288","HNRNPK"
"289","FBL"
"290","PABPC3"
"291","SRP14"
"292","EIF3L"
"293","COX7C"
"294","RPL7"
"295","PSMD8"
"296","EIF4B"
"297","PCBP1"
"298","YBX1"
"299","RPL18"
"300","NEDD4"
"301","RPA3"
"302","DAP3"
"303","EIF3D"
"304","PRMT1"
"305","SMNDC1"
"306","SRRM1"
"307","IL1RN"
"308","LUC7L3"
"309","RPL37A"
"310","SNRPE"
"311","ATXN2"
"312","DDX42"
"313","PSMC6"
"314","SRSF9"
"315","HNRNPF"
"316","HNRNPC"
"317","PTGES3"
"318","PSMC4"
"319","DMTF1"
"320","HNRNPA2B1"
"321","USP33"
"322","NBN"
"323","RPS28"
"324","BST2"
"325","RBM25"
"326","IRAK1"
"327","SLTM"
"328","AGO3"
"329","DYNLL1"
"330","COL4A2"
"331","PSMB4"
"332","DRG1"
"333","PPWD1"
"334","C14orf166"
"335","HNRNPR"
"336","ATP5A1"
"337","CCT4"
"338","DDX21"
"339","RPA2"
"340","PSMC5"
"341","COX6C"
"342","APEX1"
"343","BTF3"
"344","RBM39"
"345","SLC25A3"
"346","MORF4L1"
"347","MAX"
"348","TERF1"
"349","AHSA1"
"350","EEF1D"
"351","POLR2B"
"352","TBCA"
"353","COX6B1"
"354","NELFB"
"355","RPS12"
"356","PSMA3"
"357","UPF2"
"358","C14orf2"
"359","STRAP"
"360","RPA1"
"361","TMA7"
"362","PSMA6"
"363","UQCRH"
"364","PSMC1"
"365","NAP1L1"
"366","KPNB1"
"367","NEDD8"
"368","IK"
"369","PARK7"
"370","HDAC1"
"371","PSMD14"
"372","U2AF1"
"373","RRN3"
"374","AP2M1"
"375","HSP90AA1"
"376","KIAA0907"
