




Analysis Type:	PANTHER Overrepresentation Test (release 20160321)
Annotation Version and Release Date:	GO Ontology database  Released 2016-05-20
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Bonferroni correction:	true
GO biological process complete	Homo sapiens - REFLIST (20814)	upload_1 (373)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
Unclassified (UNCLASSIFIED)	4075	10	73.03	-	 < 0.2	0.00E00
mRNA metabolic process (GO:0016071)	604	131	10.82	+	12.10	1.21E-97
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	77	1.72	+	44.76	4.29E-96
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	119	81	2.13	+	37.98	9.70E-96
protein targeting to ER (GO:0045047)	102	77	1.83	+	42.12	4.20E-94
cotranslational protein targeting to membrane (GO:0006613)	104	77	1.86	+	41.31	1.82E-93
establishment of protein localization to endoplasmic reticulum (GO:0072599)	106	77	1.90	+	40.54	7.67E-93
translational initiation (GO:0006413)	151	83	2.71	+	30.67	9.88E-91
protein localization to endoplasmic reticulum (GO:0070972)	125	77	2.24	+	34.37	1.91E-87
nuclear-transcribed mRNA catabolic process (GO:0000956)	187	85	3.35	+	25.36	2.95E-86
viral gene expression (GO:0019080)	126	76	2.26	+	33.66	1.48E-85
mRNA catabolic process (GO:0006402)	199	86	3.57	+	24.12	1.60E-85
viral transcription (GO:0019083)	115	74	2.06	+	35.91	3.47E-85
multi-organism metabolic process (GO:0044033)	138	77	2.47	+	31.14	3.24E-84
RNA catabolic process (GO:0006401)	226	87	4.05	+	21.48	2.25E-82
ribonucleoprotein complex biogenesis (GO:0022613)	443	106	7.94	+	13.35	3.59E-81
RNA processing (GO:0006396)	833	130	14.93	+	8.71	1.98E-79
protein targeting to membrane (GO:0006612)	162	77	2.90	+	26.52	5.31E-79
nucleobase-containing compound catabolic process (GO:0034655)	339	90	6.08	+	14.81	1.48E-71
translation (GO:0006412)	431	97	7.72	+	12.56	3.97E-71
peptide biosynthetic process (GO:0043043)	453	98	8.12	+	12.07	2.32E-70
cellular nitrogen compound catabolic process (GO:0044270)	383	91	6.86	+	13.26	2.77E-68
heterocycle catabolic process (GO:0046700)	383	91	6.86	+	13.26	2.77E-68
rRNA processing (GO:0006364)	249	79	4.46	+	17.70	7.61E-68
aromatic compound catabolic process (GO:0019439)	394	91	7.06	+	12.89	3.14E-67
rRNA metabolic process (GO:0016072)	255	79	4.57	+	17.29	4.59E-67
viral life cycle (GO:0019058)	288	82	5.16	+	15.89	5.63E-67
establishment of protein localization to organelle (GO:0072594)	365	87	6.54	+	13.30	4.29E-65
ribosome biogenesis (GO:0042254)	308	82	5.52	+	14.86	1.05E-64
amide biosynthetic process (GO:0043604)	524	98	9.39	+	10.44	1.41E-64
organic cyclic compound catabolic process (GO:1901361)	425	91	7.62	+	11.95	2.02E-64
establishment of protein localization to membrane (GO:0090150)	268	78	4.80	+	16.24	3.99E-64
cellular macromolecule catabolic process (GO:0044265)	792	113	14.19	+	7.96	1.43E-63
viral process (GO:0016032)	609	102	10.91	+	9.35	5.08E-63
multi-organism cellular process (GO:0044764)	613	102	10.99	+	9.29	9.39E-63
interspecies interaction between organisms (GO:0044419)	653	104	11.70	+	8.89	2.49E-62
symbiosis, encompassing mutualism through parasitism (GO:0044403)	653	104	11.70	+	8.89	2.49E-62
peptide metabolic process (GO:0006518)	581	99	10.41	+	9.51	1.30E-61
protein targeting (GO:0006605)	412	86	7.38	+	11.65	1.27E-59
macromolecule catabolic process (GO:0009057)	927	115	16.61	+	6.92	1.48E-58
ncRNA processing (GO:0034470)	389	82	6.97	+	11.76	6.93E-57
protein localization to organelle (GO:0033365)	564	92	10.11	+	9.10	3.91E-55
cellular amide metabolic process (GO:0043603)	736	101	13.19	+	7.66	2.36E-54
protein localization to membrane (GO:0072657)	381	79	6.83	+	11.57	4.61E-54
ncRNA metabolic process (GO:0034660)	537	87	9.62	+	9.04	1.53E-51
cellular nitrogen compound metabolic process (GO:0034641)	5129	233	91.91	+	2.53	7.64E-50
cellular catabolic process (GO:0044248)	1322	123	23.69	+	5.19	8.79E-50
organonitrogen compound biosynthetic process (GO:1901566)	1051	110	18.83	+	5.84	2.01E-48
nucleobase-containing compound metabolic process (GO:0006139)	4442	214	79.60	+	2.69	1.04E-47
nucleic acid metabolic process (GO:0090304)	3902	200	69.93	+	2.86	2.92E-47
nitrogen compound metabolic process (GO:0006807)	5539	238	99.26	+	2.40	4.92E-47
cellular aromatic compound metabolic process (GO:0006725)	4645	217	83.24	+	2.61	1.90E-46
intracellular protein transport (GO:0006886)	785	95	14.07	+	6.75	4.78E-46
heterocycle metabolic process (GO:0046483)	4628	216	82.94	+	2.60	4.89E-46
cellular macromolecule metabolic process (GO:0044260)	6629	258	118.80	+	2.17	2.36E-45
gene expression (GO:0010467)	3777	194	67.69	+	2.87	2.58E-45
RNA metabolic process (GO:0016070)	3391	183	60.77	+	3.01	9.78E-45
organic cyclic compound metabolic process (GO:1901360)	4872	218	87.31	+	2.50	1.45E-43
cellular component biogenesis (GO:0044085)	2252	147	40.36	+	3.64	1.08E-42
catabolic process (GO:0009056)	1783	131	31.95	+	4.10	2.56E-42
organic substance catabolic process (GO:1901575)	1538	122	27.56	+	4.43	4.17E-42
intracellular transport (GO:0046907)	1554	122	27.85	+	4.38	1.20E-41
establishment of localization in cell (GO:0051649)	1679	126	30.09	+	4.19	2.83E-41
single-organism intracellular transport (GO:1902582)	1345	112	24.10	+	4.65	6.52E-40
cellular nitrogen compound biosynthetic process (GO:0044271)	3463	177	62.06	+	2.85	2.22E-39
single-organism membrane organization (GO:0044802)	798	88	14.30	+	6.15	4.73E-39
single-organism cellular localization (GO:1902580)	893	92	16.00	+	5.75	9.52E-39
macromolecule metabolic process (GO:0043170)	7319	261	131.16	+	1.99	1.31E-38
cellular metabolic process (GO:0044237)	8449	281	151.41	+	1.86	2.26E-38
cellular localization (GO:0051641)	2088	135	37.42	+	3.61	8.28E-38
organonitrogen compound metabolic process (GO:1901564)	1828	125	32.76	+	3.82	9.96E-37
membrane organization (GO:0061024)	901	90	16.15	+	5.57	9.96E-37
primary metabolic process (GO:0044238)	8661	282	155.21	+	1.82	1.14E-36
cellular macromolecule localization (GO:0070727)	1247	104	22.35	+	4.65	1.45E-36
macromolecule localization (GO:0033036)	2158	135	38.67	+	3.49	2.94E-36
cellular protein localization (GO:0034613)	1237	103	22.17	+	4.65	4.39E-36
organic substance metabolic process (GO:0071704)	8981	286	160.95	+	1.78	9.08E-36
protein transport (GO:0015031)	1324	105	23.73	+	4.43	4.49E-35
cellular macromolecule biosynthetic process (GO:0034645)	3579	172	64.14	+	2.68	2.85E-34
cellular component organization or biogenesis (GO:0071840)	5266	211	94.37	+	2.24	1.18E-33
macromolecule biosynthetic process (GO:0009059)	3660	173	65.59	+	2.64	1.29E-33
cellular component organization (GO:0016043)	5113	207	91.63	+	2.26	2.69E-33
establishment of protein localization (GO:0045184)	1432	106	25.66	+	4.13	7.22E-33
nucleobase-containing compound biosynthetic process (GO:0034654)	2991	154	53.60	+	2.87	8.92E-33
metabolic process (GO:0008152)	9931	296	177.97	+	1.66	2.55E-32
heterocycle biosynthetic process (GO:0018130)	3060	155	54.84	+	2.83	3.13E-32
aromatic compound biosynthetic process (GO:0019438)	3063	155	54.89	+	2.82	3.51E-32
organic substance transport (GO:0071702)	2038	125	36.52	+	3.42	5.21E-32
cellular protein metabolic process (GO:0044267)	3454	164	61.90	+	2.65	2.27E-31
organic cyclic compound biosynthetic process (GO:1901362)	3186	156	57.10	+	2.73	8.81E-31
protein localization (GO:0008104)	1821	116	32.63	+	3.55	1.32E-30
multi-organism process (GO:0051704)	2214	128	39.68	+	3.23	1.99E-30
cellular biosynthetic process (GO:0044249)	4542	189	81.40	+	2.32	2.02E-30
RNA biosynthetic process (GO:0032774)	2664	139	47.74	+	2.91	4.06E-29
biosynthetic process (GO:0009058)	4707	190	84.35	+	2.25	7.53E-29
organic substance biosynthetic process (GO:1901576)	4632	188	83.01	+	2.26	1.07E-28
ribonucleoprotein complex subunit organization (GO:0071826)	203	41	3.64	+	11.27	1.01E-25
ribonucleoprotein complex assembly (GO:0022618)	193	40	3.46	+	11.57	1.97E-25
RNA splicing (GO:0008380)	364	50	6.52	+	7.67	1.69E-24
establishment of localization (GO:0051234)	3988	163	71.47	+	2.28	2.03E-23
transport (GO:0006810)	3869	160	69.33	+	2.31	2.39E-23
protein metabolic process (GO:0019538)	4134	166	74.08	+	2.24	3.56E-23
cellular process (GO:0009987)	14439	343	258.76	+	1.33	2.07E-22
RNA splicing, via transesterification reactions (GO:0000375)	269	42	4.82	+	8.71	3.82E-22
localization (GO:0051179)	4838	179	86.70	+	2.06	1.34E-21
mRNA splicing, via spliceosome (GO:0000398)	265	41	4.75	+	8.63	2.13E-21
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	265	41	4.75	+	8.63	2.13E-21
single-organism localization (GO:1902578)	3379	143	60.55	+	2.36	8.45E-21
cellular macromolecular complex assembly (GO:0034622)	711	62	12.74	+	4.87	9.67E-21
single-organism transport (GO:0044765)	3181	137	57.01	+	2.40	2.77E-20
mRNA processing (GO:0006397)	427	48	7.65	+	6.27	9.97E-20
posttranscriptional regulation of gene expression (GO:0010608)	454	49	8.14	+	6.02	1.83E-19
biological_process (GO:0008150)	16739	363	299.97	+	1.21	4.26E-19
