Entity 1	Entity 2	Weight	Network group	Network
ZMYND11	MBNL2	0.015664171	Co-expression	Wang-Maris-2006
OGDH	ORAI2	0.013066629	Co-expression	Wang-Maris-2006
WHSC1	MPHOSPH9	0.013261099	Co-expression	Wang-Maris-2006
SETDB1	POGZ	0.010417992	Co-expression	Wang-Maris-2006
EHHADH	GCDH	0.021626128	Co-expression	Wang-Maris-2006
BPTF	RAB40B	0.015310455	Co-expression	Wang-Maris-2006
BPTF	CELF1	0.015976103	Co-expression	Wang-Maris-2006
ACAT2	PFDN1	0.011370236	Co-expression	Wang-Maris-2006
UBE2L3	OGDH	0.01261499	Co-expression	Wang-Maris-2006
SETD1B	POGZ	0.015560834	Co-expression	Wang-Maris-2006
SETD1B	WHSC1	0.009390689	Co-expression	Wang-Maris-2006
HADHA	SETDB1	0.011600082	Co-expression	Wang-Maris-2006
ID2	COLGALT2	0.012211866	Co-expression	Wang-Maris-2006
DLST	SETD1B	0.017676888	Co-expression	Wang-Maris-2006
CSRP1	CST3	0.013152901	Co-expression	Wang-Maris-2006
RPLP2	RPL37	0.006019289	Co-expression	Wang-Maris-2006
KMT2A	CELF1	0.008221476	Co-expression	Wang-Maris-2006
KMT2A	ACAT1	0.0074401856	Co-expression	Wang-Maris-2006
KMT2A	BPTF	0.0066402927	Co-expression	Wang-Maris-2006
EHMT2	ALDH7A1	0.014130578	Co-expression	Wang-Maris-2006
EHMT2	SETDB1	0.008307944	Co-expression	Wang-Maris-2006
MXI1	BBIP1	0.018718127	Co-expression	Wang-Maris-2006
MXI1	KMT2A	0.009250852	Co-expression	Wang-Maris-2006
PLOD1	PLOD2	0.009701497	Co-expression	Wang-Maris-2006
PSMD4	NDUFS5	0.017379383	Co-expression	Wang-Maris-2006
KCTD12	CST3	0.009868981	Co-expression	Wang-Maris-2006
TUBB4B	ECHS1	0.014886197	Co-expression	Wang-Maris-2006
PRPF3	CELF1	0.010981525	Co-expression	Wang-Maris-2006
PRPF3	KMT2B	0.0081875855	Co-expression	Wang-Maris-2006
PRPF3	KMT2A	0.0053251176	Co-expression	Wang-Maris-2006
ACTN1	PLOD2	0.013373824	Co-expression	Wang-Maris-2006
PLOD3	ALDH9A1	0.016866852	Co-expression	Wang-Maris-2006
PLOD3	PLOD1	0.012629971	Co-expression	Wang-Maris-2006
SPARC	BGN	0.01224164	Co-expression	Wang-Maris-2006
ZFP36	CD83	0.017199025	Co-expression	Wang-Maris-2006
CCT3	SETDB1	0.009576683	Co-expression	Wang-Maris-2006
CCT3	PSMD4	0.011782196	Co-expression	Wang-Maris-2006
PRKD1	AADAT	0.016503543	Co-expression	Ramaswamy-Golub-2001
SETD2	KMT2C	0.008376632	Co-expression	Ramaswamy-Golub-2001
SETD2	POGZ	0.0062797987	Co-expression	Ramaswamy-Golub-2001
OGDH	JAG1	0.0146242855	Co-expression	Ramaswamy-Golub-2001
SETDB1	SETMAR	0.013491323	Co-expression	Ramaswamy-Golub-2001
HADH	SETDB1	0.009031488	Co-expression	Ramaswamy-Golub-2001
EHHADH	BBOX1	0.019792037	Co-expression	Ramaswamy-Golub-2001
ALDH2	ALDH3A2	0.015065127	Co-expression	Ramaswamy-Golub-2001
ALDH9A1	RAB40B	0.00944526	Co-expression	Ramaswamy-Golub-2001
ALDH9A1	ASH1L	0.008943898	Co-expression	Ramaswamy-Golub-2001
CSRP1	AADAT	0.009577528	Co-expression	Ramaswamy-Golub-2001
CSRP1	PRKD1	0.007574527	Co-expression	Ramaswamy-Golub-2001
NUTF2	STMN1	0.010623878	Co-expression	Ramaswamy-Golub-2001
SETD1A	SETD2	0.008751794	Co-expression	Ramaswamy-Golub-2001
PPP2CB	PPP1R7	0.008931618	Co-expression	Ramaswamy-Golub-2001
PPP2CB	ALDH9A1	0.0058056093	Co-expression	Ramaswamy-Golub-2001
PABPC1	KMT2E	0.020838141	Co-expression	Ramaswamy-Golub-2001
PABPC1	RPL35A	0.009095468	Co-expression	Ramaswamy-Golub-2001
ECHS1	ALDH7A1	0.0052769156	Co-expression	Ramaswamy-Golub-2001
ECHS1	ALDH9A1	0.0058025783	Co-expression	Ramaswamy-Golub-2001
ACTN1	CST3	0.016393088	Co-expression	Ramaswamy-Golub-2001
ZFP36	ID2	0.017951932	Co-expression	Ramaswamy-Golub-2001
ZFP36	CD83	0.011693126	Co-expression	Ramaswamy-Golub-2001
ZFP36	ACTN1	0.015206809	Co-expression	Ramaswamy-Golub-2001
SF3B1	KMT2C	0.01876659	Co-expression	Ramaswamy-Golub-2001
CCT3	ALDH9A1	0.0076329894	Co-expression	Ramaswamy-Golub-2001
CCT3	PSMD4	0.010583509	Co-expression	Ramaswamy-Golub-2001
CCT3	ECHS1	0.0062869256	Co-expression	Ramaswamy-Golub-2001
ALDH7A1	AASS	0.021952992	Co-expression	Bild-Nevins-2006 B
GCDH	KPNA6	0.020026127	Co-expression	Bild-Nevins-2006 B
ZMYND11	BBIP1	0.0070656966	Co-expression	Bild-Nevins-2006 B
STMN1	ZNF518A	0.010717411	Co-expression	Bild-Nevins-2006 B
SETD2	POGZ	0.008852206	Co-expression	Bild-Nevins-2006 B
SETDB1	POGZ	0.010794752	Co-expression	Bild-Nevins-2006 B
HADH	ALDH7A1	0.023203075	Co-expression	Bild-Nevins-2006 B
EHHADH	ALDH7A1	0.02039582	Co-expression	Bild-Nevins-2006 B
SETD1B	POGZ	0.008957856	Co-expression	Bild-Nevins-2006 B
CSRP1	BBOX1	0.012610418	Co-expression	Bild-Nevins-2006 B
RPLP2	RPL37	0.012556054	Co-expression	Bild-Nevins-2006 B
KMT2A	ORAI2	0.011646671	Co-expression	Bild-Nevins-2006 B
KMT2A	NKTR	0.018716136	Co-expression	Bild-Nevins-2006 B
ANXA1	BBOX1	0.009497188	Co-expression	Bild-Nevins-2006 B
EHMT2	KMT2B	0.008438101	Co-expression	Bild-Nevins-2006 B
GBAS	ALDH9A1	0.010821869	Co-expression	Bild-Nevins-2006 B
MXI1	BBIP1	0.01018467	Co-expression	Bild-Nevins-2006 B
MXI1	PTPN13	0.025266312	Co-expression	Bild-Nevins-2006 B
SETD1A	POGZ	0.0078018266	Co-expression	Bild-Nevins-2006 B
PLOD1	BGN	0.008285663	Co-expression	Bild-Nevins-2006 B
PSMD4	POGZ	0.0073726904	Co-expression	Bild-Nevins-2006 B
COPS7A	GBAS	0.018427303	Co-expression	Bild-Nevins-2006 B
KCTD12	CDH11	0.0047566947	Co-expression	Bild-Nevins-2006 B
PPP2CB	CREG1	0.016715877	Co-expression	Bild-Nevins-2006 B
PABPC1	RPL37	0.011409742	Co-expression	Bild-Nevins-2006 B
ECHS1	OTUB1	0.013415927	Co-expression	Bild-Nevins-2006 B
PRPF3	POGZ	0.0073074284	Co-expression	Bild-Nevins-2006 B
PRPF3	SETDB1	0.017614817	Co-expression	Bild-Nevins-2006 B
PRPF3	ALDH9A1	0.015306264	Co-expression	Bild-Nevins-2006 B
PRPF3	PSMD4	0.01957213	Co-expression	Bild-Nevins-2006 B
ACTN1	PLOD1	0.012547439	Co-expression	Bild-Nevins-2006 B
SPARC	CDH11	0.0053884787	Co-expression	Bild-Nevins-2006 B
SPARC	BGN	0.007243595	Co-expression	Bild-Nevins-2006 B
CCT3	SETDB1	0.014902215	Co-expression	Bild-Nevins-2006 B
CCT3	PSMD4	0.018428734	Co-expression	Bild-Nevins-2006 B
CCT3	TUBB4B	0.01604888	Co-expression	Bild-Nevins-2006 B
CCT3	PRPF3	0.018791948	Co-expression	Bild-Nevins-2006 B
PPP2CA	BBIP1	0.009643331	Co-expression	Bild-Nevins-2006 B
PIPOX	ASH1L	0.023609785	Co-expression	Salaverria-Siebert-2011
CDH11	DCN	0.0033427184	Co-expression	Salaverria-Siebert-2011
PTPN13	ALDH7A1	0.025611578	Co-expression	Salaverria-Siebert-2011
POGZ	NKTR	0.014546422	Co-expression	Salaverria-Siebert-2011
POGZ	ZNF518A	0.015211349	Co-expression	Salaverria-Siebert-2011
WHSC1	SETD8	0.012230029	Co-expression	Salaverria-Siebert-2011
BPTF	NKTR	0.014362298	Co-expression	Salaverria-Siebert-2011
RPL37	RPL35A	0.01140265	Co-expression	Salaverria-Siebert-2011
ID2	CREG1	0.006355171	Co-expression	Salaverria-Siebert-2011
DLST	SERBP1	0.008704102	Co-expression	Salaverria-Siebert-2011
PLOD2	DCN	0.0038180628	Co-expression	Salaverria-Siebert-2011
PLOD2	CDH11	0.0029146983	Co-expression	Salaverria-Siebert-2011
BGN	DCN	0.0045061195	Co-expression	Salaverria-Siebert-2011
BGN	CDH11	0.0041325204	Co-expression	Salaverria-Siebert-2011
BGN	PLOD2	0.0046675834	Co-expression	Salaverria-Siebert-2011
RPLP2	RPL37	0.010550839	Co-expression	Salaverria-Siebert-2011
KMT2A	POGZ	0.017819256	Co-expression	Salaverria-Siebert-2011
TCF4	VPS13B	0.009232952	Co-expression	Salaverria-Siebert-2011
TCF4	EHHADH	0.009011209	Co-expression	Salaverria-Siebert-2011
ANXA1	JAG1	0.014171573	Co-expression	Salaverria-Siebert-2011
ANXA1	ALDH3A2	0.011506642	Co-expression	Salaverria-Siebert-2011
ANXA1	PTPN13	0.013947248	Co-expression	Salaverria-Siebert-2011
GBAS	SETMAR	0.012844823	Co-expression	Salaverria-Siebert-2011
SETD1A	EHMT1	0.005559543	Co-expression	Salaverria-Siebert-2011
SETD1A	KMT2B	0.010517279	Co-expression	Salaverria-Siebert-2011
