,C9orf72,CHMP2B,sALS,sFTLD,GRN,VCP
ACTN1,12.50438833,18.05159076,74.94339997,941.5029186,580.0445064,250.4822448
AHCTF1,3.551882984,4.45732903,41.94250693,104.6101942,114.8252287,12.27489946
ALDH3A2,30.84836746,21.03326953,86.59587489,343.2900525,315.5120527,363.8734089
ALPK1,5.721752291,3.667789721,76.40915787,174.8670675,232.1544691,118.3038089
ANKRD17,11.6263297,10.17999249,48.73204991,386.212076,214.835285,264.6170274
ANXA1,1.331731059,3.874810048,16.9194401,339.3592361,423.8791595,398.8162703
AP2S1,10.57316994,9.672080138,56.81096579,552.924089,353.7541595,388.5016075
ARHGAP29,4.151388163,3.999706728,69.27598016,229.537455,531.2880837,27.5030678
ARIH1,4.973938966,1.556579786,6.422743923,232.7966605,121.217168,73.13414215
ATM,1.470230079,4.840494578,33.72667408,47.92643362,48.81334564,48.50770722
ATP2C1,12.52735694,15.37165866,76.24481112,227.1335968,131.5556855,68.92597153
ATP5C1,50.93516199,34.68459971,119.2564194,1730.203504,1113.855655,4807.063106
ATP5E,213.9730569,87.96733783,388.4087206,2867.374282,2838.421312,2814.231677
AURKAIP1,36.33125744,17.54100364,110.4461357,941.8124086,845.6963544,1701.498473
BBIP1,13.77124248,4.533709912,54.18406079,282.1364976,262.1995121,165.1514586
BGN,3.276905656,6.295649547,40.84525722,181.8407417,269.6877264,89.11966996
BPTF,14.02158153,6.631441409,56.41277895,565.7032283,716.7289222,522.2423697
C14orf1,9.694478114,9.559872345,57.69850666,74.25397899,61.94737242,26.96737507
C1orf61,47.36188872,33.76462113,214.1168921,301.7191413,254.8166629,133.9693171
C6orf106,12.61393257,14.56463657,93.17995913,3643.83671,2992.769042,36.84840161
CCDC53,3.135033104,3.295796239,18.72626624,78.29917535,82.05702899,55.27846198
CCDC93,1.867538251,9.405002851,59.39764216,323.0840239,278.8400705,473.388846
CCT3,17.58092629,11.51654259,49.97114264,95.71619794,107.6139202,90.9107465
CDC16,55.1405985,1.737613218,7.903432095,643.7549292,482.7662738,672.6730046
CDH11,1.922372176,3.715699779,28.42327402,201.1298583,154.1773992,263.3990556
CELF1,10.93717304,9.169732163,39.50900006,153.8537616,161.2619027,38.22043708
CEP170B,48.84834666,33.31090054,126.2000891,34.5337236,29.57623681,105.240775
CIAPIN1,7.04165939,11.86492414,44.97357753,483.3839396,239.3286062,81.31847049
CLCN5,2.31202394,2.288929449,17.82210807,146.2138797,93.64989119,109.0090678
CLNS1A,14.64257559,22.07670571,72.04987586,15.59331344,15.40512428,11.97312261
COA3,57.2560474,22.22226673,118.3743614,703.0980809,646.3203215,850.96591
COL4A1,4.288559533,4.568005981,55.79720604,980.9361484,764.8986625,1311.635741
COPG1,14.16521255,4.663373133,52.91922476,171.6161087,200.1114892,550.1776247
CREB3L2,2.535478654,11.34584652,72.55194325,127.2995369,100.8989555,90.672782
CREG1,8.696415356,19.67823378,93.12608374,150.4906099,288.5412713,306.4710117
CSRP1,29.18970319,28.75535618,188.5596834,651.8094807,813.1914692,989.4649519
CST3,9.697163111,4.944249933,57.21851016,2734.629894,5035.733326,388.0896905
CTDSP2,10.7964703,22.01433237,157.9646521,5413.750463,4960.144643,1039.557478
CTNNB1,6.246279133,13.27379087,80.40171064,624.1128145,851.3749827,595.0812081
CXorf40B,1.395053156,7.563543991,15.72484813,550.9824561,544.3702269,413.3977743
CYP1B1,1.683330265,5.576310377,6.510247077,285.3166596,218.0498135,258.6867194
DCN,3.31411943,14.75676198,124.4703724,169.358087,198.3397478,62.37672059
DDX5,19.50481911,50.82122855,93.16698618,1101.587534,1825.158573,3150.204151
DLST,4.946995957,3.776439753,40.77203166,2533.358424,2717.441659,218.1634519
DMD,3.043188956,9.580382265,39.48958593,155.2131382,134.1246609,252.311964
DST,1.203852023,25.98251724,12.28066643,325.400285,225.0784975,1351.601905
EIF2S2,5.583089076,14.1237952,58.62920355,13.67741273,15.28555153,10.16418074
ERGIC2,5.490267924,8.3185154,33.32348068,694.040199,756.8374928,1746.221039
ERH,79.93925575,27.28782884,103.5946245,426.9680373,340.070624,314.1985733
FAM120A,3.592990128,6.5199227,11.48639052,2035.676371,1750.006549,1126.804351
FAM129A,1.560068569,3.487728666,19.12966724,150.1622978,188.6685545,29.91302891
FAM168B,29.76357669,33.30269135,198.5077152,34.71501113,46.57502086,646.1740268
