,ftld_grn_median
ACTN1,580.0445064
AHCTF1,114.8252287
ALDH3A2,315.5120527
ALPK1,232.1544691
ANKRD17,214.835285
ANXA1,423.8791595
AP2S1,353.7541595
ARHGAP29,531.2880837
ARIH1,121.217168
ATM,48.81334564
ATP2C1,131.5556855
ATP5C1,1113.855655
ATP5E,2838.421312
AURKAIP1,845.6963544
BBIP1,262.1995121
BGN,269.6877264
BPTF,716.7289222
BTN3A3,61.94737242
C14orf1,254.8166629
C1orf61,2992.769042
C6orf106,82.05702899
CCDC53,278.8400705
CCDC93,107.6139202
CCT3,482.7662738
CDC16,154.1773992
CDH11,161.2619027
CELF1,29.57623681
CEP170B,239.3286062
CIAPIN1,93.64989119
CLCN5,15.40512428
CLNS1A,646.3203215
COA3,764.8986625
COL4A1,200.1114892
COPG1,100.8989555
CREB3L2,288.5412713
CREG1,813.1914692
CSRP1,5035.733326
CST3,4960.144643
CTDSP2,851.3749827
CTNNB1,544.3702269
CXorf40B,218.0498135
CYP1B1,198.3397478
DCN,1825.158573
DDX5,2717.441659
DLST,134.1246609
DMD,225.0784975
DST,15.28555153
EIF2S2,756.8374928
ERGIC2,340.070624
ERH,1750.006549
FAM120A,188.6685545
FAM129A,46.57502086
FAM168B,716.7264602
FBN1,68.30200795
FBXW7,303.6311044
GBAS,643.0497736
GLTSCR2,2723.966398
GULP1,83.165544
HBB,2166.024993
HCFC2,61.59919531
HMOX2,210.6573186
HNRNPH3,281.8318203
HNRNPUL1,410.5449627
HSP90AB1,1985.828106
ID2,105.8432292
IL1R1,216.6844386
ITGA6,195.0438334
JAG1,29.53009445
KAT7,264.2333273
KCTD12,744.7912914
KDM6A,28.70858983
KLC1,264.3998125
KPNA6,535.3653443
LYRM1,217.9486198
MAN2A1,291.2395149
MBNL2,886.8079908
MCMBP,64.60131005
MEST,117.8066346
MGAT4A,19.22186565
MLH3,98.11199159
MON2,266.8016878
MPHOSPH9,50.78287588
MRPL16,326.4435442
MRPS17,132.601485
MXI1,4524.283448
MYD88,308.1422581
NACA,4214.75847
NDUFC2,657.6758972
NDUFS5,1317.510528
NISCH,1261.560854
NKTR,1324.587493
NPEPPS,884.1191325
NPTX2,170.8663491
NSFL1C,279.6347585
NUTF2,104.1501587
ORAI2,72.38302375
OTUB1,142.5301812
PABPC1,1485.140104
PCDH9,4702.205839
PDCL3,231.1817857
PFDN1,310.9482948
PFDN5,2600.473103
PI4KA,1227.024223
PIAS3,163.0639862
PITPNB,799.4650084
PLEKHB1,3880.543891
PLOD2,101.4784815
POGZ,611.997493
PPFIA1,170.3819074
PPP1R7,99.36918274
PPP2CA,846.4521253
PPP2CB,29.69844746
PRKD1,80.58656184
PRPF3,97.64217676
PSAP,1416.05624
PSMD4,638.6757101
PSMD6,640.3796664
PTPN13,162.3064664
RAB40B,696.4991191
RAP1GDS1,446.8147748
RBM15,204.0185687
RNF130,959.8999928
RNF7,144.2594811
ROBO1,337.0356794
RPL12,2312.515411
RPL15,161.1227934
RPL35A,2912.464812
RPL36AL,818.0658169
RPL37,5072.896391
RPLP2,2834.549201
RPSA,4823.441659
RSAD1,306.2862793
RUVBL2,297.1160347
SCN1B,393.2258581
SERBP1,692.2278122
SF3A1,280.4198805
SF3B1,462.21039
SKIV2L2,229.0235875
SLC2A1,346.2749928
SNAPC5,341.0392092
SNRPF,204.3714592
SON,784.9317644
SPARC,2068.123466
SRP19,387.5149708
SRSF11,150.4205864
SSBP3,271.0341654
STAT3,1523.124826
STMN1,187.8347029
SUN1,399.4556879
SYT11,1154.819068
TAB2,286.3103858
TARDBP,413.5952399
TARS,289.6529432
TBCB,982.9526147
TCF4,1371.881074
TERF2IP,1117.511861
TM4SF1,802.8556813
TMEM260,101.229135
TMEM43,340.2431995
TMX1,48.97551292
TSPAN7,1674.874071
TUG1,287.9973549
UBE2L3,373.1723731
VPS13B,166.1782504
XPOT,419.1005586
YLPM1,281.3863326
YME1L1,281.1754841
ZFP36,642.0767385
ZFYVE26,172.4392075
ZMYND11,2222.950881
ZNF24,780.8706163
ZNF273,31.85666277
ZNF506,53.68590559
ZNF518A,21.52432629
