,sftld_median
ACTN1,941.5029186
AHCTF1,104.6101942
ALDH3A2,343.2900525
ALPK1,174.8670675
ANKRD17,386.212076
ANXA1,339.3592361
AP2S1,552.924089
ARHGAP29,229.537455
ARIH1,232.7966605
ATM,47.92643362
ATP2C1,227.1335968
ATP5C1,1730.203504
ATP5E,2867.374282
AURKAIP1,941.8124086
BBIP1,282.1364976
BGN,181.8407417
BPTF,565.7032283
BTN3A3,74.25397899
C14orf1,301.7191413
C1orf61,3643.83671
C6orf106,78.29917535
CCDC53,323.0840239
CCDC93,95.71619794
CCT3,643.7549292
CDC16,201.1298583
CDH11,153.8537616
CELF1,34.5337236
CEP170B,483.3839396
CIAPIN1,146.2138797
CLCN5,15.59331344
CLNS1A,703.0980809
COA3,980.9361484
COL4A1,171.6161087
COPG1,127.2995369
CREB3L2,150.4906099
CREG1,651.8094807
CSRP1,2734.629894
CST3,5413.750463
CTDSP2,624.1128145
CTNNB1,550.9824561
CXorf40B,285.3166596
CYP1B1,169.358087
DCN,1101.587534
DDX5,2533.358424
DLST,155.2131382
DMD,325.400285
DST,13.67741273
EIF2S2,694.040199
ERGIC2,426.9680373
ERH,2035.676371
FAM120A,150.1622978
FAM129A,34.71501113
FAM168B,955.8740634
FBN1,58.43363568
FBXW7,662.5666595
GBAS,761.2221116
GLTSCR2,2193.959925
GULP1,147.3359794
HBB,1850.972045
HCFC2,66.13354865
HMOX2,339.9416595
HNRNPH3,217.7802633
HNRNPUL1,277.3759325
HSP90AB1,3684.415178
ID2,89.86808331
IL1R1,110.5333239
ITGA6,177.8707175
JAG1,39.3779461
KAT7,371.4442095
KCTD12,457.7642841
KDM6A,27.7548339
KLC1,1294.104304
KPNA6,645.8643652
LYRM1,369.3853169
MAN2A1,344.4664551
MBNL2,975.1839694
MCMBP,46.63138164
MEST,477.7292285
MGAT4A,17.71121419
MLH3,94.17564142
MON2,274.842203
MPHOSPH9,53.33261966
MRPL16,397.1894304
MRPS17,177.7796832
MXI1,2329.092696
MYD88,260.3770735
NACA,4147.399993
NDUFC2,972.7800498
NDUFS5,2014.776334
NISCH,1749.811651
NKTR,1000.358326
NPEPPS,885.6131382
NPTX2,134.4003227
NSFL1C,302.3026591
NUTF2,118.5650922
ORAI2,95.37574124
OTUB1,310.6916595
PABPC1,1276.057434
PCDH9,3375.430778
PDCL3,211.7752782
PFDN1,309.6857281
PFDN5,2247.270723
PI4KA,2032.297163
PIAS3,183.4071343
PITPNB,831.4249154
PLEKHB1,2626.966821
PLOD2,102.7626099
POGZ,567.4738945
PPFIA1,166.6816704
PPP1R7,109.6332558
PPP2CA,1752.614923
PPP2CB,27.25691758
PRKD1,85.13391106
PRPF3,128.2482235
PSAP,2019.599553
PSMD4,733.6277937
PSMD6,721.5933236
PTPN13,119.0498463
RAB40B,877.0600195
RAP1GDS1,812.7333261
RBM15,209.5669797
RNF130,501.352794
RNF7,195.9427305
ROBO1,356.8366
RPL12,2084.358326
RPL15,162.8490206
RPL35A,2818.925682
RPL36AL,847.6394576
RPL37,4548.643354
RPLP2,2424.783205
RPSA,4510.771824
RSAD1,344.8226175
RUVBL2,357.6787449
SCN1B,583.6496677
SERBP1,529.820631
SF3A1,304.5633503
SF3B1,385.001257
SKIV2L2,326.3846619
SLC2A1,180.9116481
SNAPC5,484.7749928
SNRPF,227.6419843
SON,480.2424449
SPARC,1415.024993
SRP19,461.8907754
SRSF11,146.3545414
SSBP3,385.3381427
STAT3,1064.015629
STMN1,367.9619286
SUN1,487.2333261
SYT11,1727.990107
TAB2,316.3061365
TARDBP,486.7320696
TARS,349.2351981
TBCB,1415.55251
TCF4,1327.60189
TERF2IP,1965.219642
TM4SF1,450.152211
TMEM260,125.5309271
TMEM43,351.9792331
TMX1,53.17630121
TSPAN7,4122.952761
TUG1,301.6369225
UBE2L3,409.9816474
VPS13B,195.2038006
XPOT,425.9433084
YLPM1,405.4774397
YME1L1,350.2528189
ZFP36,500.085636
ZFYVE26,127.0581835
ZMYND11,2063.931375
ZNF24,549.7403855
ZNF273,34.95207751
ZNF506,60.75143702
ZNF518A,31.60760429
