,vcp_median
ACTN1,250.4822448
AHCTF1,12.27489946
ALDH3A2,363.8734089
ALPK1,118.3038089
ANKRD17,264.6170274
ANXA1,398.8162703
AP2S1,388.5016075
ARHGAP29,27.5030678
ARIH1,73.13414215
ATM,48.50770722
ATP2C1,68.92597153
ATP5C1,4807.063106
ATP5E,2814.231677
AURKAIP1,1701.498473
BBIP1,165.1514586
BGN,89.11966996
BPTF,522.2423697
BTN3A3,26.96737507
C14orf1,133.9693171
C1orf61,36.84840161
C6orf106,55.27846198
CCDC53,473.388846
CCDC93,90.9107465
CCT3,672.6730046
CDC16,263.3990556
CDH11,38.22043708
CELF1,105.240775
CEP170B,81.31847049
CIAPIN1,109.0090678
CLCN5,11.97312261
CLNS1A,850.96591
COA3,1311.635741
COL4A1,550.1776247
COPG1,90.672782
CREB3L2,306.4710117
CREG1,989.4649519
CSRP1,388.0896905
CST3,1039.557478
CTDSP2,595.0812081
CTNNB1,413.3977743
CXorf40B,258.6867194
CYP1B1,62.37672059
DCN,3150.204151
DDX5,218.1634519
DLST,252.311964
DMD,1351.601905
DST,10.16418074
EIF2S2,1746.221039
ERGIC2,314.1985733
ERH,1126.804351
FAM120A,29.91302891
FAM129A,646.1740268
FAM168B,294.9306644
FBN1,68.39185541
FBXW7,324.4844014
GBAS,5706.743185
GLTSCR2,3849.801858
GULP1,247.8472035
HBB,12225.64459
HCFC2,76.06323721
HMOX2,124.8697216
HNRNPH3,232.9904396
HNRNPUL1,287.3259669
HSP90AB1,1589.931219
ID2,152.973793
IL1R1,128.403683
ITGA6,205.4643596
JAG1,25.01959973
KAT7,365.7132022
KCTD12,541.7326028
KDM6A,24.05953077
KLC1,192.7125618
KPNA6,476.2241061
LYRM1,597.0781925
MAN2A1,224.0266449
MBNL2,345.3389424
MCMBP,84.0087949
MEST,123.8952067
MGAT4A,9.271658208
MLH3,103.6961043
MON2,176.0834569
MPHOSPH9,47.99788917
MRPL16,765.0251178
MRPS17,240.9865463
MXI1,871.0818956
MYD88,78.12421584
NACA,3149.281643
NDUFC2,2191.346147
NDUFS5,2433.391303
NISCH,282.7479804
NKTR,12.73406479
NPEPPS,657.0874839
NPTX2,23.75276303
NSFL1C,755.1771883
NUTF2,252.6768943
ORAI2,256.9450378
OTUB1,187.3938688
PABPC1,1068.087842
PCDH9,11.53992221
PDCL3,511.3697791
PFDN1,290.5857134
PFDN5,2236.730858
PI4KA,101.8031132
PIAS3,74.79386926
PITPNB,406.0341989
PLEKHB1,34.78279479
PLOD2,39.60088986
POGZ,302.167817
PPFIA1,111.3587974
PPP1R7,424.2751422
PPP2CA,1173.729377
PPP2CB,1499.974314
PRKD1,31.26818786
PRPF3,107.8388917
PSAP,894.6577533
PSMD4,1376.269823
PSMD6,1234.149866
PTPN13,14.41369363
RAB40B,295.3346389
RAP1GDS1,59.31050914
RBM15,72.46866427
RNF130,438.594806
RNF7,602.4772575
ROBO1,238.0827835
RPL12,3796.612992
RPL15,272.911758
RPL35A,2971.239884
RPL36AL,1459.653552
RPL37,198.5808825
RPLP2,4569.959399
RPSA,5809.936076
RSAD1,298.2931415
RUVBL2,589.3579042
SCN1B,1133.099838
SERBP1,1405.989634
SF3A1,339.2491703
SF3B1,421.8124072
SKIV2L2,429.9229388
SLC2A1,43.9396336
SNAPC5,236.5648172
SNRPF,308.7933727
SON,268.7907975
SPARC,1038.640996
SRP19,473.6762718
SRSF11,203.5201856
SSBP3,83.09244315
STAT3,1226.397598
STMN1,51.30444821
SUN1,172.698536
SYT11,37.97608926
TAB2,366.3067877
TARDBP,443.6115767
TARS,442.762258
TBCB,383.3826067
TCF4,537.542631
TERF2IP,424.3872877
TM4SF1,581.4345335
TMEM260,72.7053363
TMEM43,295.9857328
TMX1,43.90598465
TSPAN7,934.1641147
TUG1,162.7055302
UBE2L3,188.4742639
VPS13B,147.3069622
XPOT,202.8568876
YLPM1,189.3543575
YME1L1,957.0885293
ZFP36,340.7908451
ZFYVE26,207.6892605
ZMYND11,67.57650813
ZNF24,622.2591231
ZNF273,38.13099157
ZNF506,9.007525067
ZNF518A,39.80308702
