Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_MW2.CEL,C_MW3B.CEL,C_MW7.CEL,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL,countP
RALGDS,0.993288770838138,5.1626475791658,8.72838925892844,9.97366506297482e-07,0.0272655068659074,4.10602715924149,1.99071786723091,21.0971027879937,20.2382037076419,23.9638019635415,39.0293847960723,40.0593666949206,44.3028921181754,37.4967429788555,39.6975076789611,49.9253658764441,49.8839042908781,47.3928378147202,10
INADL,-1.39621734131358,2.54559908507316,-7.40206212599171,5.87872359346646e-06,0.078224440202613,3.04318662517095,-2.63210554562502,14.6327283798377,10.1775340536971,11.0398342142056,4.74661071487199,3.7921642868079,3.28638097789018,3.54884354481597,5.40902413914251,5.49435640662864,4.40814425653536,5.94320901006953,11
AQP1,2.42439138786317,4.07039669777333,6.05288955619525,4.47397412607761e-05,0.143850055667379,1.68265509907469,5.36802499025498,8.63170734843278,2.56415892836214,5.47734687340831,21.2296441388109,50.2761593046883,16.7051056771604,24.849054676121,29.8531982724567,13.9747970405348,39.8580348324762,33.6898010937976,10
CEBPB,1.61726335148009,3.71108100937757,6.07008657586891,4.35297378791829e-05,0.143850055667379,1.70198668160754,3.0679252914168,3.94230564516918,5.68179618104963,8.68955159068068,14.7963524255901,16.3099823623256,22.6414452505609,13.9756582265398,13.7865487745574,14.7963524255901,30.3058506016269,21.1523737504961,9
ELAVL3,-1.12643479852751,5.23066710913716,-6.13367098423261,3.93472474472225e-05,0.143850055667379,1.77299842822278,-2.18318562208589,57.0301648454287,88.2812116278948,57.7596233225428,28.4368824359114,33.4713258130656,26.4050691312306,22.99249009369,39.0762425407181,34.2386741268316,25.1571790017852,36.9783488312805,11
LGALS3,1.47551229420466,2.48244176615367,5.99171998861271,4.93392789584817e-05,0.143850055667379,1.61345745467833,2.78082372177275,2.46023643185447,2.17084683442056,3.50878327700354,10.7210446017506,8.60407573541816,8.3606841105064,5.07712907162947,6.20275993013413,5.42046016279473,6.20891278978347,10.8388490197303,6
NDRG4,1.91390333914474,6.41346115492316,6.26457744209012,3.20152905267472e-05,0.143850055667379,1.91690390779786,3.76827261214509,18.1977974599656,39.7332788877174,47.3938012090653,167.753636135904,163.540295633525,170.451106900342,142.870051360785,108.914206099028,97.4489061905715,81.9087668226787,86.7284552202337,11
PNMA6A,1.13682839633897,3.41873001787858,6.07122856093678,4.34506182503245e-05,0.143850055667379,1.70326851550158,2.19897072299524,4.74409526479633,6.66511169559456,6.93105590855226,13.5179703408453,16.0956445764227,17.7880003872929,15.2534123722761,14.0170926959416,10.3303309254016,11.1158625221433,10.0450828038257,6
RGS1,3.72024250756348,4.26033403030961,6.64218226086934,1.78952936807728e-05,0.143850055667379,2.31501176548824,13.1796715063342,3.37746580910649,2.00117310552242,3.75112207330194,20.2203311866291,76.0219755920442,62.8238799775854,12.5060066241535,36.0609165733759,30.3213719241127,30.4749572964067,125.4975724723,8
AIG1,-0.971884825476347,4.36224315041771,-5.74202568050884,7.39651914846547e-05,0.150462395972878,1.3238927838037,-1.96140141737061,29.4300321916701,39.5383284056048,32.5099232646537,24.213842095765,15.9329948214301,14.6493515171977,19.4129295594936,20.6223738287993,15.9376071319721,13.7295980813208,14.8700086536853,11
PYROXD1,-0.911944437392007,3.99466470633943,-5.85171949457412,6.18464754895282e-05,0.150462395972878,1.45251218620502,-1.88157974822884,21.6710592764577,24.2077883106036,30.6665492808226,15.1170031213239,13.8293203845184,14.8057810805296,10.2557246646431,10.390074778045,15.7336466379428,13.664983831292,14.8057810805296,9
EML3,0.661392876527639,2.62007967752407,5.5580859168484,0.000100226096050188,0.158586249879722,1.10322770641284,1.58160888028711,3.89867804691005,5.07758305458503,4.31713160887051,8.18585158140259,6.07024001434226,7.59463558674114,6.22032883641158,6.16999713160463,6.9213461833989,7.64524221940532,7.23972083050882,4
OR2L13,-1.02716336336062,0.604110109667504,-5.56003888821983,9.99008094050939e-05,0.158586249879722,1.1056035382513,-2.03801315428767,1.93066440499403,3.62952941116323,2.36942026453454,1.06809476437802,1.39850087976531,1.29330470202387,1.39850087976531,1.60664555094967,0.984727343314775,1.11337770414231,1.26675891308192,5
UBE2G2,0.609904144144237,3.05251447653817,5.59306979145596,9.45640318053573e-05,0.158586249879722,1.1456791642934,1.52615780428509,5.69171615207828,6.48846774822511,6.14793510584129,8.46164516370519,10.5011539880813,9.87196443367084,8.89245965381263,8.46164516370519,8.46164516370519,8.94251385139995,11.3052818838221,10
KIAA1841,-0.998541983164559,5.82704175562933,-5.5315025053941,0.000104766164960243,0.159113613033369,1.07081803040789,-1.99797978049194,98.7348879035499,99.302892118156,84.4783906291611,54.9392557545197,41.5535687018603,40.030164846582,36.6161432629847,48.5127057371952,54.9392557545197,38.180517587795,69.9759131800054,11
AMACR /// C1QTNF3-AMACR,-1.16906880659479,1.46261910716537,-5.61906064958544,0.000108589455054576,0.164995066820557,1.16477721927687,-2.27317761396358,4.53032236780377,7.41851938644284,4.6885075718781,2.65197417305982,1.83297106700579,1.92074477215543,2.84713567452621,2.15537047458351,1.89966643654428,2.17124774157653,3.0720281932468,6
SERPINA3,3.02171920219044,3.74660933389639,5.39783789024583,0.000131102944501406,0.183675715751249,0.905870257552687,8.12134796097253,2.26859175472202,4.86821229384127,2.26859175472202,13.2380155891126,46.561124258226,9.03739347238804,47.9615319403904,14.8647116402855,14.2526880849849,27.8443442168579,64.536387566997,8
DLG5,2.34462218687047,2.85085134495209,5.3387134230637,0.000144889391025381,0.184961594164896,0.8318504082012,5.07927359526357,2.15839939011908,1.48270530065762,3.38421445312664,14.1027266447408,14.7203664528317,22.9437046913106,9.27933567720427,8.81690861121216,9.70755580440788,17.8952029552294,3.75750805160319,5
GFAP,2.61486188429134,7.46629759093236,5.34758155196742,0.000142728245564746,0.184961594164896,0.842994039202657,6.12564552460805,158.441765660255,21.7908330879967,30.7024365810814,146.836379847317,412.575619390883,350.575619390884,207.710210754545,335.575619390883,255.027149127581,374.631196736913,352.777561099972,10
MTFP1,0.678245557538873,2.42653992832317,5.33637113943418,0.000145465908533892,0.184961594164896,0.828904676236315,1.60019259829441,3.43838635252024,4.40318298341496,3.6795589151498,6.07032168206082,5.3375275729462,5.3375275729462,6.00245938394472,7.03378224921074,5.3375275729462,6.83023168366404,7.3109108890009,3
CEBPD,2.14937480743418,2.84493326675328,5.26030157852209,0.0001655583118122,0.186140077973736,0.73268459009851,4.43635497516552,1.62345449321019,2.4060305920937,3.6795589151498,9.64387004171758,13.0903604597646,7.88528737140361,5.64540264378461,7.55712779641569,9.66106083496953,15.1922421526309,29.3938756795103,8
ADD3-AS1,-0.948559845095972,2.02276411730826,-5.19488938221666,0.000185159453971626,0.189192862389435,0.649088998381579,-1.9299451488359,6.09791417979939,4.88659199396868,9.45274259693518,4.44032781661454,3.89289606677993,3.07378355320493,2.79311853758475,3.07378355320493,3.567039587873,3.43525187542359,3.16886617777197,3
ATP11C,-0.890294672159609,2.04926509598547,-5.19680096508686,0.000184553440537359,0.189192862389435,0.651543173052336,-1.85355467584305,5.42197434006051,7.03662782159375,7.14311771653519,4.90650300615137,3.67387416291289,3.28405620824808,2.85873801032027,4.21681620591383,3.32070518699439,2.63492991905098,3.5885392499009,8
