Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_JK C 05-07.CEL,C_JK C 12-07.CEL,C_JK C 35-96.CEL,C_JK C 39-97.CEL,C_JK CC2.CEL,C_JK CC4.CEL,P_LC 04-06.CEL,P_LC 299-99.CEL,P_LC 96-06.CEL,countP
GNB2L1 ,-2.831459708,4.169948347,-8.414497626,1.17E-05,0.122091987,3.125789848,-7.117939687,42.57931805,60.27086459,27.51610277,27.51610277,37.64452308,23.56155968,3.251583471,7.301734409,4.848518436,7
IMPDH2,-2.406549874,3.809794895,-7.771227953,2.26E-05,0.122091987,2.656621855,-5.302048526,31.69086799,34.76385449,18.64648358,20.48123052,21.19995277,23.97246544,2.65199743,6.439960071,5.744390461,7
NXF1,-1.310462756,3.792896532,-7.445365223,3.21E-05,0.122091987,2.398875981,-2.48021082,17.8855529,22.15354159,16.48356877,18.27193166,20.34378174,17.96461962,5.711990826,9.758481876,7.765687732,6
RPL11,-2.119472523,4.520508766,-8.334456338,1.27E-05,0.122091987,3.070133648,-4.345350416,46.97380711,51.37430535,26.67244372,26.67244372,32.06582342,50.13399109,8.064524246,9.367253879,8.475894664,7
RPL18,-1.870363206,5.757961666,-7.146223849,4.47E-05,0.122091987,2.149502756,-3.656246163,83.23746597,87.01265623,68.73985715,65.46030938,97.04863776,106.1471917,17.22859004,37.0910185,18.5510363,7
RPL7A ,-1.03470593,6.395400779,-7.90326288,1.97E-05,0.122091987,2.75710043,-2.04869601,115.9471119,104.0887943,103.0066057,115.456413,95.69690672,108.7313815,48.90696963,62.3819719,46.58407866,8
RNU86 ,-2.195134589,7.174871684,-6.912676599,5.82E-05,0.138396145,1.945915285,-4.579323826,372.9885894,332.1087285,158.8192549,157.8717697,231.1597489,265.8377067,50.97391672,57.26381637,49.2860225,9
PFDN5,-1.183311614,4.222932463,-6.835172339,0.000188811,0.139814375,1.729714769,-2.315911089,24.10203282,22.56610895,29.7472283,25.78101536,23.12093468,22.86073326,8.349585108,12.88030124,12.70691898,7.5
DYNC1LI2,-1.081111906,6.570090366,-6.406503854,0.000105744,0.141013191,1.476437666,-2.115666027,110.5516313,171.7153044,111.8738215,126.4555255,107.5878932,113.9871836,51.12293607,62.05349832,60.40968065,8
METTL23,-1.174771007,3.786344742,-6.501068916,9.44E-05,0.141013191,1.56717598,-2.257570447,23.53706535,18.75387308,14.70364409,16.66560165,17.96461962,18.09653305,6.673500269,10.20077298,7.570780183,8
PRELP,-0.946583161,3.529861979,-6.700419769,7.45E-05,0.141013191,1.753854748,-1.927302678,18.77068932,13.84207069,14.21741971,13.68965442,12.46973055,13.98666728,7.361427128,7.893517347,7.139216848,6
RBM10,-1.044705414,4.026846505,-6.495063471,9.50E-05,0.141013191,1.561455752,-2.062945079,19.83431812,21.94278851,20.02914782,16.55882246,19.7485952,28.00577705,10.63716007,9.729467326,9.833648203,3
RPL3,-1.687441161,6.001604937,-6.517028965,9.26E-05,0.141013191,1.582350364,-3.220849301,137.7153044,125.8649498,73.3819711,72.80088549,74.94783066,103.4063821,25.84083763,25.60639191,38.31717993,9
RPL36,-2.181119396,4.362543223,-6.43701226,0.000101917,0.141013191,1.505866948,-4.535052953,51.19133722,36.9449539,26.39789063,23.82471725,23.63038675,55.44769745,5.486884575,7.301734409,10.56458693,5
RPLP2 ,-2.224172144,4.895688899,-6.579548246,8.59E-05,0.141013191,1.641406194,-4.672427066,71.68576511,61.27086458,38.51159764,36.0549035,36.0549035,69.08331441,6.45225576,14.83584278,12.62230777,9
UBC,-1.577140192,8.355455848,-6.628458272,8.12E-05,0.141013191,1.687047673,-2.98386765,628.3993236,681.0552909,399.4435649,469.3113911,440.3026596,449.7405356,133.5171118,229.3767752,154.0981185,9
EIF3G,-1.174257953,4.30911375,-6.339600516,0.000114694,0.145834816,1.411378626,-2.256767748,28.02983204,31.95451005,23.78543982,25.47232829,23.43127567,24.30414079,8.455634272,14.65014726,12.34683279,6
WDR54,-1.01666653,4.885352208,-6.237476772,0.000129981,0.149140571,1.310674977,-2.023238689,37.48015571,48.42932077,38.64243308,40.71197414,29.11477511,32.81782053,17.38751519,18.82009124,19.27343717,8
ARHGEF37,-1.51888874,5.15663453,-5.953662959,0.000185345,0.15074056,1.021786819,-2.865702291,55.18144611,59.16219133,50.80645593,55.63452733,41.62486468,44.0370983,19.57246226,26.16599415,10.79096203,9
ATP5G2,-1.843327795,3.644888008,-5.795755041,0.000226844,0.15074056,0.85518929,-3.58836786,16.26134655,30.43630588,18.22863523,27.92478398,11.85340392,16.51893856,3.735076379,6.488859871,6.271913566,7
CSRP1,-0.988777947,5.607209881,-6.035555926,0.000167126,0.15074056,1.106522359,-1.984503281,55.49318206,55.49318206,72.69641102,50.28379098,65.55565437,71.59842047,31.09681975,26.4138926,35.80659892,9
DUSP1,-1.522100684,6.816966495,-5.787237397,0.000229352,0.15074056,0.846081778,-2.872089455,203.7153044,233.8980979,148.3564702,113.9940188,111.4945946,188.6129789,46.15053905,65.38197122,57.58421757,9
HINT2,-0.911620005,4.127014676,-5.697497332,0.000257673,0.15074056,0.749367155,-1.881156668,21.12136366,22.07044856,23.02823815,22.79362659,16.71508789,24.61870887,14.00953295,10.14403705,10.60672267,7
IFT172,-1.337885717,2.745905338,-6.020522647,0.000170319,0.15074056,1.091051744,-2.52780595,13.3428699,7.41161555,7.534558945,8.426948674,10.78238721,8.599663405,2.781015402,4.086624303,4.156655626,4
MCM3AP,-1.47452238,3.453450685,-6.046744826,0.000164791,0.15074056,1.118012183,-2.778916296,18.2221903,12.85045933,16.48356877,12.16586881,14.90431897,19.06683733,4.499695496,4.405644043,8.58683807,7
NID1,-1.868499712,2.406555565,-5.78292448,0.000230633,0.15074056,0.841465426,-3.651526528,10.39303848,7.065106091,14.90874016,9.07243308,4.538576027,6.571671266,2.029814927,2.343321232,2.350168733,6
PAAF1,-1.125997202,3.566433131,-6.166165916,0.000141961,0.15074056,1.23934592,-2.182523522,19.70538374,15.58542649,18.33775975,14.00953295,11.59158563,14.39864404,6.032012089,7.572850977,7.641358412,6
PSME1,-1.208745824,4.43978701,-5.74501904,0.000242232,0.15074056,0.800755389,-2.311366158,42.16816728,35.49934795,24.30268636,22.60821433,25.95456066,26.14884784,14.00953295,11.43924472,11.93902013,4
RP11-209A2.1,-1.019512758,2.570009287,-5.632390299,0.000280578,0.15074056,0.678326956,-2.027234185,8.329882029,9.059876747,6.256719459,6.439960071,6.956293578,8.518012033,3.856228453,4.4901295,2.942525191,4
RPL19,-1.35709254,6.257206737,-5.897203308,0.000199153,0.15074056,0.9627079,-2.561684034,156.4930822,126.6041933,93.94711934,81.8819711,77.12666304,111.8080547,43.30328774,44.35736046,35.50447229,9
RPL30,-1.336213172,7.746444294,-5.635473271,0.000279446,0.15074056,0.681707511,-2.524877112,420.0409848,310.7702514,316.0959082,305.3539091,196.7153044,252.2094936,90.93384915,143.3509686,119.1597489,9
RPL4 ,-2.268258926,6.210035361,-5.691603455,0.000259661,0.15074056,0.742966481,-4.817414046,169.1597489,148.8216827,92.41958987,87.3819711,100.5419021,141.7464057,20.51078456,40.11741402,33.4734362,9
RPS10,-1.233981232,6.10042637,-6.011933535,0.000172173,0.15074056,1.082195747,-2.352151901,115.2081759,86.39531288,78.75106045,73.59007646,85.16728542,117.5105126,29.7515741,43.55348592,45.05784041,9
RPS15,-1.810009115,7.367735787,-5.652435996,0.0002733,0.15074056,0.70027794,-3.506445038,299.1997052,350.6127117,244.333358,259.6708662,167.194985,224.27086,42.41131126,117.4512878,73.5622258,9
SCAI,1.115826932,2.291142045,5.668696103,0.000267546,0.15074056,0.718032156,2.167191939,3.967595653,2.933462247,4.038537471,3.575839425,4.389172869,3.967595653,5.866114571,9.303814637,10.0899869,9
TAGLN,-2.492041014,2.393889373,-6.123941901,0.000149615,0.15074056,1.196716214,-5.625732728,8.292309958,11.52501968,22.96146669,5.948900129,5.581017033,9.155590961,1.672110695,2.000085133,1.371594786,6
TGFBR2,-1.819033835,3.827258396,-5.675100942,0.000265316,0.15074056,0.725012907,-3.52844821,28.74622471,19.62412847,21.54144495,10.22749466,29.1934919,28.06620114,5.738360835,7.127700529,5.616347131,9
SMAD1,0.164961015,2.802971031,-0.111014264,0.000294277,0.154138661,0.6469983,0.225194766,8.318993626,6.347736435,6.316864366,8.311070336,9.285703602,6.448175318,12.65724538,10.84132089,15.27555889,6
BANF1,-1.410805916,3.291168424,-5.488942355,0.00033919,0.157536763,0.519194089,-2.658856499,16.12142476,16.69010725,9.343980842,11.98648691,12.66098336,16.30341016,5.954914128,6.543629211,3.405157984,7
DDX39A,-1.688970227,3.112733073,-5.520857435,0.000325091,0.157536763,0.554911122,-3.224264786,9.633290345,14.92250816,10.30131502,15.52052512,12.66098336,14.96699275,2.273315845,6.432782476,4.257533019,7
DHX33,1.205183822,2.58387148,5.416933665,0.000373483,0.157536763,0.43794731,2.305666453,3.891971121,3.861083386,4.427465723,3.508405771,6.810771022,5.495457677,12.49929846,9.365503208,9.786889117,9
IFT43,-0.849630539,3.546879413,-5.454846146,0.000354985,0.157536763,0.48083779,-1.802039381,16.45948172,15.3743607,11.22670319,13.10751198,17.16297873,12.94949195,7.587653684,8.394560359,7.718222083,3
LOC401220,1.213326604,0.847048221,5.47398198,0.000346025,0.157536763,0.502389767,2.318716766,1.45333155,1.513908599,1.075876818,1.324778056,1.380175174,1.455867615,4.45314527,2.102767886,3.3419348,3
