Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_GRN_GSM329677.CEL,P_GRN_GSM329679.CEL,P_GRN_GSM329681.CEL,P_GRN_GSM329683.CEL,P_GRN_GSM329686.CEL,P_GRN_GSM329689.CEL,P_SP_GSM329692.CEL,P_SP_GSM329694.CEL,P_SP_GSM329697.CEL,P_SP_GSM329700.CEL,P_SP_GSM329703.CEL,P_SP_GSM329704.CEL,P_SP_GSM329707.CEL,P_SP_GSM329709.CEL,P_SP_GSM329711.CEL,P_SP_GSM329714.CEL,countP
COL4A5,1.679478315,7.603030121,6.136008756,2.14E-06,0.015908,4.812540618,3.203121038,180.6121635,82.01427131,90.55201688,66.140577,63.83057849,34.32876345,194.324575,108.720789,303.6083261,188.9414972,206.6712251,394.6891249,547.6165745,209.9246758,436.7333261,295.7904197,188.8266898,215.3255754,578.3166595,271.8545925,369.048948,149.1629236,242.10834,349.8649936,22
ABCA8,2.138588023,7.612879785,5.927402712,3.61E-06,0.016082622,4.350819408,4.4033088,236.2129368,87.0577164,44.02133922,39.26738543,52.63653209,36.40658212,149.3479548,78.10519885,335.7928062,194.8601707,501.0103747,959.2979157,865.4507304,420.0448026,495.6210316,279.1933851,200.3340063,184.269767,439.138505,239.7237556,302.3746716,150.4261367,131.8266777,342.1295498,24
ARL4D,-0.859547361,7.232773446,-5.930767374,3.58E-06,0.016082622,4.358309585,-1.81446894,163.8210621,214.7692966,245.7286446,251.8672247,233.0547329,343.2950063,142.986415,252.2679305,180.523917,149.8572539,125.692744,109.145716,113.0235129,166.4850202,93.16209244,132.9712495,140.260882,126.6953897,86.55218993,132.6839581,126.0992749,146.8278799,97.24036544,90.0074963,24
GFRA2,-1.069511169,6.851197735,-5.538944679,1.04E-05,0.02107162,3.476252564,-2.099195949,167.7432596,239.3372482,207.6413826,291.0095456,189.597065,237.0545095,175.1285413,213.3138705,88.80241974,138.9593892,56.08094058,75.34619385,76.61326525,85.95482055,74.00211349,95.14075261,193.1805152,163.0434326,75.31763518,85.26496898,87.85731088,155.6725818,136.4261827,108.515258,13.5
CACNA1C,-0.497516105,4.953463733,-5.548864572,9.40E-06,0.0232613,3.49991168,-1.411780799,37.60499923,36.2147173,33.9374254,42.03671386,39.9698926,55.60395298,32.70455277,37.84451184,31.24527781,30.94409287,23.64673725,23.70029838,23.81883541,24.39404619,28.92291824,26.16793239,32.12991519,32.48926401,25.98030508,28.88162919,23.23540831,30.479741,30.70079205,28.25987651,19
CA2,0.92779448,9.679585037,5.220270257,2.18E-05,0.023993775,2.749799021,1.902365531,519.4204673,737.8686056,358.0129253,362.4294493,532.8726607,549.638527,763.9405546,595.4088073,927.2415501,923.4849636,1267.977341,879.1046999,1424.509243,1006.238134,1762.330359,1357.707961,954.0655571,828.0932783,1172.421695,959.7145634,1110.958659,724.4030669,482.0417986,1143.968528,24
EAF2,0.638551237,5.499146079,5.309951538,1.73E-05,0.023993775,2.955423141,1.556765062,32.64300189,30.20337936,30.83791225,40.39493286,38.20867612,25.80468595,36.90849435,36.96827957,50.3325014,47.88145868,80.14540526,55.4781523,62.43791249,57.84502263,48.66236918,75.62213692,33.71755774,45.93802613,49.38125096,53.33485361,53.7564081,52.27969614,49.51852121,40.18008012,22
HSPB8,0.757948698,10.71239446,5.262799438,1.95E-05,0.023993775,2.84738791,1.691084439,1139.640449,1170.556387,1335.858743,1510.316659,1504.989092,894.7858486,1319.667558,796.9464799,1562.776145,1842.126537,2855.023374,1934.204904,1535.489661,2089.460535,2287.960493,2732.258622,2138.545293,1929.69297,2087.31007,1991.068167,2858.297886,1370.693137,1335.311215,2272.085804,24
IRF2,0.651789832,6.282794099,5.115657154,2.85E-05,0.023993775,2.509205037,1.57111614,60.9967253,47.79550071,61.71709599,55.47271184,55.54438185,40.76483486,86.33417106,62.1934523,99.15085411,62.38065864,112.058138,94.11486049,89.8165398,123.353051,101.8304813,120.9463408,74.51894073,77.68437089,88.12104583,86.28884324,95.53083365,84.26730658,63.44358438,101.4252598,23
LAMP2,1.483205157,8.521011379,5.182709412,2.40E-05,0.023993775,2.663501132,2.795691475,263.7686492,271.6484005,147.9728252,143.6809781,94.3325783,184.6086307,341.9848197,184.0055368,607.8178493,370.7048899,744.844049,693.9053944,1522.380454,940.7670205,801.1884756,555.8997911,462.6143492,312.6417394,606.0500006,399.6400345,674.6467903,302.9279022,201.97427,488.6506174,24
