Row.names,logFC,AveExpr,t,P.Value,adj.P.Val,B,sample_control_1,sample_control_2,sample_control_3,sample_control_4,sample_control_5,sample_control_6,sample_control_7,sample_control_8,sample_control_9,sample_C9_1,sample_C9_2,sample_C9_3,sample_C9_4,sample_C9_5,sample_C9_6,sample_C9_7,sample_sALS_1,sample_sALS_2,sample_sALS_3,sample_sALS_4,sample_sALS_5,sample_sALS_6,sample_sALS_7,sample_sALS_8,sample_sALS_9,sample_sALS_10
ENSG00000053501,-0.322283817104867,4.52376376557417,-3.60580493798017,0.00116420504826547,0.367073577148808,-0.850520229004563,621,762,614,625,669,687,685,768,645,536,658,519,613,627,846,823,425,481,1108,519,523,558,621,389,496,589
ENSG00000069509,-0.305054144512318,4.5485680444811,-4.0097531114578,0.00039474820052903,0.367073577148808,0.0607731698616085,512,787,729,660,605,711,601,920,683,342,560,466,581,617,848,903,597,560,1155,701,563,657,735,299,447,692
ENSG00000073150,-0.469895855286301,6.38531780671264,-3.6572249800362,0.00101602378217555,0.367073577148808,-0.723900567039143,1770,2950,1762,2401,3132,3413,2653,3280,2788,2001,1654,2244,2462,2500,2672,3792,1660,1444,4220,1829,1505,1794,3152,1293,1628,1441
ENSG00000087191,-0.407541809249488,6.946613918044,-4.20893034399025,0.000229663830547119,0.367073577148808,0.549204734066067,3174,3877,3263,3513,3097,3974,4759,4727,3782,2810,3464,2999,3366,3247,4163,4578,2553,2306,5106,3365,2818,3023,3545,1485,2459,3134
ENSG00000095752,-0.790921930626278,-0.57619281173565,-4.04100649514507,0.000362695614477234,0.367073577148808,-0.934258486994427,11,32,23,23,24,30,31,24,23,16,13,13,15,25,14,35,12,7,32,11,11,10,14,15,15,16
ENSG00000099330,-0.42585931601432,3.84598979438135,-3.57039020566874,0.00127826675586902,0.367073577148808,-0.945962725553446,337,493,380,427,435,558,498,602,328,340,349,271,408,491,630,492,202,249,714,316,408,362,437,171,272,375
ENSG00000099785,-0.437481606724281,6.37091261356412,-3.81284747934287,0.000670965146288358,0.367073577148808,-0.368969015877055,2484,2241,1991,2361,2303,3406,2227,3186,3152,1948,1901,1464,2093,2457,2874,2900,2024,1802,3770,2555,1712,1981,2184,1280,1566,1757
ENSG00000099901,-0.269423804038233,5.0983537297084,-3.54800262488781,0.00135589313604195,0.367073577148808,-0.972969089481138,734,1230,875,918,881,1200,1021,1234,863,549,916,735,863,1014,1341,1258,839,809,1762,910,860,918,987,450,687,891
ENSG00000104964,-0.369435041812091,8.92550927170182,-3.56332860070731,0.00130227412092002,0.367073577148808,-0.937847952547358,12156,14467,11719,15099,12927,18287,15443,17691,14456,11155,11696,11452,12190,14887,15988,17106,9552,9852,23123,11206,10054,11409,13252,9110,11412,11679
ENSG00000106484,0.472886751004391,4.056157946083,3.66113254523963,0.00100554582415901,0.367073577148808,-0.751947796629471,282,450,395,243,363,331,406,361,274,347,893,702,450,461,424,679,441,554,861,525,417,570,527,266,400,648
