Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL,countP
KNSTRN,-0.625523194517622,6.63144602692043,-7.77203630324089,6.07427412710127e-06,0.103677784316827,0.991069837691647,-1.54277021082956,138.992421780282,140.092421780282,124.399706192659,88.5991598133613,88.5145752168776,80.5607596320028,84.5032934756982,84.5119327240735,95.3222104156832,88.0770677694032,10
A2M-AS1,0.75036137090973,6.64322115670536,3.60982773226248,0.00375047365732564,0.522212084920988,-2.09593241016006,1.68221414416692,77.193803177199,70.1724047050739,61.8481939048242,162.523200717126,113.863095954379,163.339230243848,98.5307582697024,77.1152722318538,120.901714988118,107.023462766805,10
ABCA1,0.760331790196607,8.02899729156478,3.78221863552589,0.00346141970977701,0.522212084920988,-1.92273814460116,1.70249817187578,225.841506595974,169.705239816707,177.040853462892,423.732757673903,268.495047300109,270.627829971125,388.37628702402,357.689453267544,317.514509729303,215.685389831484,10
ADAT1,0.663021712384863,5.53062404337151,3.8920556773326,0.0022610780340425,0.522212084920988,-1.79536391597694,1.58339556147381,38.9566092844833,33.2354858270464,29.0623163253507,72.9778446848226,55.6479280210153,60.3311821128937,41.3937895120894,54.269470239714,52.2761889382145,41.1478698018649,3
ADAT2,0.462176406383443,4.37638532051449,3.29736073247434,0.00661566047242401,0.522212084920988,-2.44230801101188,1.37761848519433,18.7658214934539,14.4010779004538,16.9175069001336,28.6641989864396,19.6032124080556,28.1390448551478,20.2277888329785,20.7228102266025,21.8938570090227,22.5132322649483,5
AF086288 /// RP11-768F21.1,-0.798276510856534,6.29823465343748,-4.14585441635578,0.00144430843020559,0.522212084920988,-1.53629366700128,-1.73902239400416,106.082013146836,147.59354619093,99.4957196253278,63.8891597683372,54.9661846681354,61.2911926734173,92.7354581756179,76.9605840916437,77.8319871911661,48.9180175555167,4
AGT,0.579734823996734,8.38086060783014,3.71202957085262,0.00311989069859464,0.522212084920988,-1.98564405447615,1.49457451162534,223.680737973802,240.32169493915,296.321273732939,376.092421780282,321.126341742045,302.753750778626,495.187315436767,424.727097384758,328.619617376798,420.810835467882,10
AP4E1,0.496431567975111,7.08408327323628,3.69628201437445,0.00320946407384908,0.522212084920988,-2.00253360885858,1.41071990029923,122.572948810862,106.386242901681,92.9948504207124,169.839985301265,165.298611995904,175.691521103912,148.547654022249,133.105655147234,151.936517115355,117.677149277111,10
BBS9,0.677422397808111,5.24380064892147,3.59861412460131,0.00451269814426503,0.522212084920988,-2.11573425092879,1.60536196512811,35.1226227680148,37.7866043674831,30.1719011143428,68.3259203262893,51.2204703036021,70.9653914568395,42.6444718836488,45.0070840220579,43.6038540831723,50.3451716509887,10
BC069804 /// SMAD1,0.45889738871114,5.66472660354489,4.68062766268104,0.000576060508264411,0.522212084920988,-1.02777592779447,1.37449093180504,47.9997547159479,36.410083861124,38.3000403615626,54.3313675681289,55.2118157082814,51.6129001775002,53.4220353107396,60.0086155618025,56.8733111022234,59.7286693945838,9
BMS1P6,0.534897409114468,7.04078709889276,3.95057771813444,0.00203780447982189,0.522212084920988,-1.73465191224916,1.44883912309681,104.246459689204,108.736058915286,92.4457777605071,131.392421780293,200.540415950389,151.212041492821,151.304019984508,151.592421780282,129.275395155154,126.51926995451,10
C14orf166,0.291267122416558,10.8082639318113,3.92064904488943,0.00214899244049845,0.522212084920988,-1.76562892701935,1.22371459721689,1554.99242178029,1636.88276454145,1482.38422810083,1922.36711647807,1832.99242178029,2016.14640833105,1816.83730187858,1901.84083504125,1864.78922240411,1989.62296765882,10
