Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL,countP
KNSTRN,-0.625523195,6.631446027,-7.772036303,6.07E-06,0.103677784,0.991069838,-1.542770211,138.9924218,140.0924218,124.3997062,88.59915981,88.51457522,80.56075963,84.50329348,84.51193272,95.32221042,88.07706777,10
SNRPE,0.368191644,9.698999679,4.921086102,0.000385738,0.522212085,-0.816023858,1.290733937,736.6924218,689.1028493,661.8233943,928.8762726,856.9883537,933.0782736,935.3680451,855.7342843,876.6391046,898.6545594,10
PKIB,0.640895965,3.462040316,4.883562042,0.000410437,0.522212085,-0.84837873,1.559297238,7.735220152,7.699793091,8.839577342,12.80251027,11.69709089,17.21179551,11.91067619,12.6652948,10.52114723,12.26260065,4
UCHL3,0.676362443,8.762781561,4.830463269,0.000448262,0.522212085,-0.894597504,1.598105269,267.6924218,382.6785657,298.9088453,510.1555678,438.6284895,479.6376398,463.9627467,434.2131972,609.4107951,592.629104,10
BC069804 ,0.458897389,5.664726604,4.680627663,0.000576061,0.522212085,-1.027775928,1.374490932,47.99975472,36.41008386,38.30004036,54.33136757,55.21181571,51.61290018,53.42203531,60.00861556,56.8733111,59.72866939,9
LOC728554 ,0.767894986,6.953692601,4.565442857,0.000700008,0.522212085,-1.132931305,1.702783465,72.09369598,84.33930803,102.4349229,125.8985286,167.3959837,207.8016057,135.5762187,131.9114068,119.8418245,146.4995521,8
GLRX2,0.533227728,8.260827158,4.414842905,0.000905525,0.522212085,-1.274056966,1.447163301,211.9924218,274.6153664,228.1068271,309.9305293,294.4433623,358.4123487,333.1793838,333.4366633,359.5181137,424.9353295,10
CTB-31O20.2,0.376707894,5.216348321,4.38455389,0.000953977,0.522212085,-1.302937052,1.298375691,31.31666368,32.78534456,28.92250517,40.55095715,45.50953439,41.11242502,40.92045898,36.71386332,38.11165873,39.1000169,10
RPL31 ,-0.403042155,3.848155435,-4.380139459,0.000961261,0.522212085,-1.30715998,-1.322293242,18.28570875,17.81628002,16.48504544,11.56319456,13.06997377,12.58578682,13.16473798,15.08459059,13.31809798,14.2056886,7
RPL22L1,0.607212076,6.264353543,4.363989715,0.000988407,0.522212085,-1.322639094,1.52331265,57.39261398,66.60445995,49.09741662,103.3419459,83.18049232,102.9940954,66.81405224,85.57433338,85.9390277,88.23746455,8
PRRT3-AS1,0.754382489,7.204502081,4.323116576,0.001060741,0.522212085,-1.362024914,1.686909397,116.5661873,79.50058939,115.4723649,170.7924218,141.4924218,161.7860916,246.144503,146.1970582,193.8384242,166.9474143,10
ZNF605,0.691983496,5.968674138,4.321235486,0.001064199,0.522212085,-1.363844787,1.615503075,38.78075814,43.96220923,52.61477151,70.52553899,83.39809133,75.24465103,62.58476762,94.0227941,53.51066544,74.22935705,10
