,3124,3301,3500,3549,3574,3730,3748,3865,3891,3954,4059,4109,4171,4249,4261,4320,4362,4393,4437,4442,4473,4538,4557,4804,4835,4879,4939,5009,5021,5029,5068,5071,5079,5119,5164,5174,5243,5246,5255,5315,5320,5324,5354,5363,5390,5419,5444,5495,5501,5505,5509,5547,5548,5558,5577,5581,5593,5600,5603,5618,5635,5638,5641,5656,5658,5684,5690,5699,5704,5707,5710,5714,5729,5738,5755,5759,5771,5777,5783,5796,5808,5813,5815,5854,5865,5876,5877,5892,5900,5902,5926,5948,5952,5960,5961,5964,5970,5981,5982,5992,5994
1,DCN,ADAMTS1,TMED10,TMED10,TMED10,MCMBP,MCMBP,MCMBP,MCMBP,MCMBP,MCMBP,MCMBP,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM,STOM
2,NA,DCN,ADAMTS1,ADAMTS1,ADAMTS1,TMED10,TMED10,RPL12,RPL12,RPL12,RPL12,RPL12,MCMBP,MCMBP,MCMBP,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1,MXI1
3,NA,NA,DCN,ANKRD40,ANKRD40,ADAMTS1,NR2F2,TMED10,TMED10,TMED10,TMED10,TMED10,RPL12,RPL12,RPL12,MCMBP,MCMBP,MCMBP,MCMBP,MCMBP,MCMBP,MCMBP,BGN,BGN,BGN,TMEM43,TMEM43,TMEM43,TMEM43,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1,RAP1GDS1
4,NA,NA,NA,DCN,SNX27,ANKRD40,ADAMTS1,NR2F2,NR2F2,CRYL1,CRYL1,CRYL1,TMED10,TMED10,TMED10,RPL12,RPL12,RPL12,RPL12,RPL12,RPL12,RPL12,MCMBP,MCMBP,MCMBP,BGN,BGN,BGN,BGN,TMEM43,TMEM43,ROBO1,ROBO1,ZBTB10,ZBTB10,ZBTB10,CD83,CD83,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,KIAA0907,KIAA0907,KIAA0907,KIAA0907,KIAA0907,KIAA0907,KIAA0907,KIAA0907,KIAA0907,KIAA0907,KIAA0907,KIAA0907,KIAA0907,KIAA0907,KIAA0907,KIAA0907,KIAA0907
5,NA,NA,NA,NA,DCN,SNX27,ANKRD40,ADAMTS1,ADAMTS1,NR2F2,NR2F2,NR2F2,CRYL1,CRYL1,CRYL1,TMED10,TMED10,PFDN1,PFDN1,PFDN1,PFDN1,PFDN1,RPL12,RPL12,RPL12,MCMBP,MCMBP,MCMBP,MCMBP,BGN,BGN,TMEM43,TMEM43,ROBO1,ROBO1,ROBO1,ZBTB10,ZBTB10,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B,TUBB4B
6,NA,NA,NA,NA,NA,DCN,SNX27,ANKRD40,ANKRD40,ADAMTS1,ADAMTS1,ADAMTS1,NR2F2,NR2F2,NR2F2,CRYL1,CRYL1,TMED10,TMED10,TMED10,TMED10,TMED10,PFDN1,PFDN1,CDH11,RPL12,RPL12,RPL12,RPL12,MCMBP,MCMBP,BGN,BGN,TMEM43,TMEM43,TMEM43,ROBO1,ROBO1,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3,CST3
7,NA,NA,NA,NA,NA,NA,DCN,SNX27,SNX27,ANKRD40,ANKRD40,ANKRD40,ADAMTS1,MANEA,MANEA,NR2F2,NR2F2,CRYL1,CRYL1,CRYL1,CIAPIN1,CIAPIN1,TMED10,TMED10,PFDN1,CDH11,CDH11,CDH11,CDH11,RPL12,RPL12,MCMBP,MCMBP,BGN,BGN,BGN,TMEM43,TMEM43,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83,CD83
8,NA,NA,NA,NA,NA,NA,NA,DCN,DCN,SNX27,SNX27,SNX27,ANKRD40,ADAMTS1,ADAMTS1,MANEA,MANEA,NR2F2,NR2F2,NR2F2,CRYL1,CRYL1,CIAPIN1,CIAPIN1,TMED10,PFDN1,PFDN1,PFDN1,PFDN1,CDH11,CDH11,RPL12,RPL12,MCMBP,MCMBP,MCMBP,BGN,BGN,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ATP5C1,ATP5C1,ATP5C1,ATP5C1,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10,ZBTB10
9,NA,NA,NA,NA,NA,NA,NA,NA,SCN1B,DCN,ZFP36,ZFP36,SNX27,ANKRD40,ANKRD40,ADAMTS1,ADAMTS1,MANEA,MANEA,MANEA,NR2F2,NR2F2,CRYL1,CRYL1,CIAPIN1,TMED10,TMED10,TMED10,TMED10,PFDN1,PFDN1,CDH11,CDH11,RPL12,RPL12,RPL12,MCMBP,MCMBP,BGN,BGN,BGN,BGN,BGN,BGN,BGN,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,TMEM43,ROBO1,ROBO1,ROBO1,ROBO1,ATP5C1,ATP5C1,ATP5C1,ATP5C1,ATP5C1,ATP5C1,ATP5C1,ATP5C1,ATP5C1,ATP5C1,ATP5C1,ATP5C1,ATP5C1,ATP5C1,ATP5C1,ATP5C1,ATP5C1
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,SCN1B,DCN,DCN,ZFP36,SNX27,SNX27,ANKRD40,ANKRD40,ADAMTS1,ADAMTS1,ADAMTS1,MANEA,MANEA,NR2F2,NR2F2,CRYL1,CIAPIN1,CIAPIN1,CIAPIN1,CIAPIN1,TMED10,TMED10,PFDN1,PFDN1,CDH11,CDH11,CDH11,RPL12,RPL12,MCMBP,MCMBP,MCMBP,NKTR,NKTR,NKTR,NKTR,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,BGN,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,NPTX2,TMEM43,TMEM43,TMEM43,TMEM43,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1,ROBO1
