Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL,countP
A2M,-0.481436779321664,7.21980664856646,-1.42535992296905,0.182506672454647,0.99997228760791,-4.52117134946743,-1.39613338281455,211.119672449143,174.718039444465,180.973570793257,146.763535802536,171.358466265373,160.917744683751,74.8878477067421,257.571840127142,124.249279171591,83.6701903872555,9
A2M-AS1,-0.304736880283212,4.55784155929534,-1.55048845086894,0.1500178678126,0.99997228760791,-4.49407566867437,-1.23519334116909,24.0251797646226,29.4824579836877,28.7444575966738,27.3687412143033,22.2580727982917,17.5278029651847,20.4885091642363,30.1994823813747,23.0127092349254,16.9722071659448,7
AACS,-0.195441041908236,5.54273532954242,-0.528083660044336,0.608196435148775,0.99997228760791,-4.67106829639152,-1.14507416423291,53.7189555785816,71.4615168375171,35.0703079652587,68.5863197156423,39.1503893124077,76.4239580249287,41.0821357808096,23.4138865943203,31.4168148818196,58.031629282568,3
AAGAB,0.439746569936366,5.26178605608212,0.951345586041727,0.362380723317739,0.99997228760791,-4.61278453635655,1.35636604138168,32.9698068539794,42.5191000329393,21.2409691182133,72.9150701305269,38.6464124964249,101.149722059506,23.5171477989018,25.7474049583714,25.7557325578883,52.2151279620014,4
AAK1,-0.182375563930738,7.57795250052112,-0.5105528587675,0.620010365272149,0.99997228760791,-4.67285333064092,-1.13475084605537,181.034543765676,352.724818551213,157.904798748422,204.820827364196,172.331687755076,373.61452343769,46.9458111646605,87.6865067116172,72.6538790527412,231.778226673334,9
AAR2,0.184936769593903,5.70539727320823,1.12598221238536,0.284743110447508,0.99997228760791,-4.5815656246462,1.13676714993888,45.9800578868295,46.6916864957849,50.5554398557964,63.0580811025012,48.0534974399601,53.7117032574576,73.0001180959315,49.362468393656,45.519824225993,51.6326613875506,3
AASDH,0.211448981333233,5.42179740807065,0.527628790271079,0.608501515360641,0.99997228760791,-4.67111530505386,1.15785049574698,21.3093670498991,46.293072841114,58.6967656126351,78.2920313028993,40.5611799423993,73.0848856736361,27.4231651392381,32.106628749915,32.4169182761107,54.6255782653054,9
AASDHPPT,-0.162114346955859,5.86616269523393,-0.217077312851051,0.832223112822714,0.99997228760791,-4.69419620815851,-1.11892578276203,92.1047604337657,52.9951136379944,51.4798861215689,151.061529811356,81.1368440493541,133.615070123755,17.0102524316294,33.4543270340777,16.139613984894,120.634128470725,10
AASS,0.31337143060765,4.69038754777385,1.15979022694945,0.271307668064651,0.99997228760791,-4.57513737596144,1.24260815762902,22.9012148840926,17.7104591923907,26.893781076401,45.1757169557438,24.2582689046897,24.5357802662788,16.6884301483827,25.7214747406408,31.8342504909018,32.8520526383494,9
AATK,0.0357926563902558,8.06930604564674,0.191369862244538,0.851811272522765,0.99997228760791,-4.69526547392608,1.02511989743991,283.444852418698,274.276157748124,236.606171253651,349.617767237945,272.908532661011,354.58697928841,269.547464168401,210.557713789559,234.315070123755,236.161402150977,5
ABAT,0.571812639321911,7.18304896340437,0.937938705377841,0.368922099156301,0.99997228760791,-4.61503075929299,1.48638993662609,113.67964880659,82.139585940454,142.963632388671,648.968886637996,178.915070123755,218.869736079549,68.2414324346193,125.245120789492,65.7442523111818,220.266231834957,7
ABCA1,0.28644019786737,5.77855326023334,1.07717523320759,0.346124930664305,0.99997228760791,-4.58047653369695,1.22087361762139,146.04888380209,70.6386458897272,146.169763613444,177.965008979207,160.029215219192,174.443978228077,82.906473914727,127.95095393866,180.297164101974,84.073607722936,8.5
ABCA11P,-0.0061772676836373,5.21439645488749,-0.0438706056842071,0.96581383764704,0.99997228760791,-4.69881236661876,-1.00429093549155,37.9879892145004,34.1258257594311,39.8331628290856,29.4842285264745,38.5210060973503,40.5627866799218,41.4171282531505,34.4287841823554,39.2093442368551,37.4125003179505,9
ABCA17P,0.170315177657645,5.22120904511158,0.644820244102771,0.532596618108552,0.99997228760791,-4.65781522374143,1.12530429688315,42.2033783922765,39.0862150569006,24.5574812736065,55.2843356300773,36.7035119069617,41.1620210708372,28.1843079067821,33.3578217210632,29.4345598374465,55.7162265097095,7
ABCA2,0.000412365284993505,6.38098590698508,0.00233399869167071,0.998180595898423,0.99997228760791,-4.69900915720426,1.00028587068789,73.3787727340109,90.7150701237556,86.9148356276845,69.7150701685915,78.9483576001978,65.5093848297988,106.726068378456,100.015070123755,89.7655943722047,80.8944350268053,8
