Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL,countP
LOC101060181 ,0.701655729,5.272595027,4.202080814,0.001564826,0.999972288,-3.971480215,1.626370249,29.87613698,20.49120131,33.97622535,45.54834949,41.10690454,45.34889317,46.53612261,45.75989837,50.77589904,39.0066464,8
TTC12,0.509406768,5.183798674,3.844130516,0.002855711,0.999972288,-4.024369767,1.423464751,26.81020497,28.97478488,29.45019781,35.84284,37.38042924,39.94963099,42.63317597,40.03682725,49.4837685,38.91802342,4
PSMD5-AS1,0.413086232,4.954466059,3.338504356,0.006837984,0.999972288,-4.1099037,1.331531198,24.01821504,23.46779284,28.98530577,31.39982564,33.45870419,33.04773512,32.4072753,33.65926011,37.1723598,35.70202346,5
F2RL2,-0.577090159,3.162055003,-3.298316331,0.007336278,0.999972288,-4.117260679,-1.491837254,11.40053093,13.30238543,10.95419955,7.200822588,7.939666057,6.06350616,9.468109849,6.872920721,9.164809264,9.613080122,3
IL10RA,0.548692985,5.008675782,3.199995457,0.008717729,0.999972288,-4.135605156,1.462759902,27.82397042,21.0085831,25.68063052,43.33792594,28.56799812,39.48730289,31.53358341,38.17245203,42.29729259,32.00026569,3
LPAR3,-0.46311873,2.222479275,-3.194971722,0.008795054,0.999972288,-4.136555574,-1.378518596,4.81950685,6.816318406,6.071735296,4.579945417,4.155173785,4.58433696,4.652532785,3.869583718,4.196135845,3.728504824,3
KCNJ2,-0.83775764,6.48306162,-3.130291972,0.009855244,0.999972288,-4.148904889,-1.787270054,121.9150701,143.0953692,138.9007008,100.9127248,65.65126855,114.5247501,43.58434285,79.46853305,60.84103729,84.67632225,7
TNFAIP3,0.651070371,5.83237416,3.108002463,0.010249954,0.999972288,-4.153208876,1.570332833,38.66104978,37.22068116,49.83312844,72.20033676,55.91508436,100.1878829,57.48768422,66.9545988,64.60438354,50.01715101,8
FOXQ1,-0.778325096,5.867435498,-3.094022491,0.010505663,0.999972288,-4.15592087,-1.715138518,93.29718889,79.87367177,82.90454881,45.27943692,52.36189397,30.05860814,83.16439889,44.89779965,55.64322675,50.28404516,9
STC1,0.525370642,5.470335928,3.023548429,0.011896589,0.999972288,-4.169738097,1.439303303,36.88908758,34.40761669,31.95458792,51.39824433,65.85163194,38.13442807,56.35311452,41.71993412,48.95682264,48.68099613,8
EMP1,1.180630497,5.38891409,3.002064252,0.01235661,0.999972288,-4.173998271,2.26675819,49.03879129,14.25991714,18.86542919,49.16226356,52.05134786,83.77906179,33.77797604,70.42798063,68.7990791,36.03824011,10
LOC102725188 ,0.721901329,6.843220907,2.954863887,0.013431328,0.999972288,-4.183435383,1.649354288,100.6149103,48.21729233,109.0987598,136.9474082,144.2100453,98.01507012,130.1310023,149.3981124,141.2133257,141.5855299,10
SHISA2,0.471631916,4.237836754,2.904768858,0.014675202,0.999972288,-4.193566245,1.386677132,15.88852083,16.17446969,13.15485842,19.70740508,20.89006647,27.46911553,19.27129841,22.34897183,16.67828802,20.81738454,4
POLDIP3,0.402332255,5.469436026,2.884988083,0.015197694,0.999972288,-4.197598677,1.321642747,35.60922449,39.88107112,34.09761623,54.17103329,47.60644152,51.29089839,52.65967568,46.4313772,48.45028534,38.41761978,4
TRMT5,0.583837415,5.852975805,2.866565169,0.015701106,0.999972288,-4.201370439,1.498830681,46.61738597,40.54861365,43.66761867,88.29058191,79.29427499,73.22392088,50.6523463,70.6836543,56.39620935,48.70255064,8
ZIC2,-0.929800309,3.742994453,-2.860378546,0.015873882,0.999972288,-4.202640506,-1.905012295,19.9295413,15.77163802,29.5577963,10.57952028,12.82128785,5.957519822,11.61689415,10.93685595,9.416231041,20.61423061,5
CBLN2,-0.676011211,5.063992348,-2.847218272,0.016247781,0.999972288,-4.205347973,-1.597716249,58.20647445,47.70820069,36.05999982,38.30368607,22.30707629,32.19091687,31.78195938,21.29261191,24.32159268,38.70149182,6
ZNF496,0.353461456,5.330293376,2.846069355,0.016280839,0.999972288,-4.205584711,1.277622351,37.42552231,30.7783099,33.79688595,44.22615588,44.26724886,38.36848448,47.67258196,44.41405242,40.92918193,43.84641458,5
CEBPD,0.923895349,6.632345789,2.840215458,0.016450324,0.999972288,-4.206791846,1.897231003,100.2143115,48.55506153,52.28635528,153.8745114,115.4248765,126.9895707,89.7348028,148.1617122,181.1356703,66.81324613,9
FAM149A,0.837689574,6.345657357,2.812469098,0.017277994,0.999972288,-4.212534258,1.787185733,61.41507154,42.47599413,60.91507154,59.49783573,66.66501485,86.26368741,101.2130625,160.7614696,130.0543322,110.0064801,10
LOC100996747 ,1.110918136,7.592677043,2.81027423,0.017345218,0.999972288,-4.212989968,2.159830559,154.5987964,80.2445986,115.0713912,532.7954302,167.9273973,361.1150701,125.3207758,234.594606,226.6160257,233.7150701,10
SUPT16H,0.445146328,5.982332931,2.799544161,0.017677641,0.999972288,-4.215220856,1.361452197,55.07738886,49.42434559,48.55854493,78.31507012,80.61507012,83.31507012,69.38328834,57.21460226,62.97260707,58.68647869,4
RPS17P5 ,0.417003166,6.109080923,2.770441827,0.01861164,0.999972288,-4.22129684,1.335151233,58.26591827,51.8934742,59.28004164,70.05597692,69.52511358,63.17694017,92.79656674,79.84929518,86.59111389,69.39183688,8
FANCM,0.52614098,4.762632161,2.767658395,0.018703512,0.999972288,-4.221879886,1.440072035,22.7910711,16.43371314,24.83008023,30.34762853,24.07949576,23.83432974,34.85330763,32.76458618,36.87060289,31.85435459,3
MAFF,1.383303505,8.132677601,2.762343095,0.01888021,0.999972288,-4.222994208,2.608650204,373.2149525,130.2799235,60.70575961,483.3286382,603.193747,592.0586771,225.0515677,278.0907672,292.4951418,325.1481008,10
PRKXP1,-0.406036378,4.059406409,-2.752161893,0.019223329,0.999972288,-4.225132016,-1.325040428,21.22430998,20.70159394,19.04816246,13.18853131,16.36123004,16.69893269,13.7998049,18.96310044,13.35969355,15.74202494,4
LOC100130987,0.414361429,4.621247303,2.733626648,0.019864023,0.999972288,-4.229035274,1.332708658,19.69237108,16.83114906,24.60630653,25.12010383,29.03203407,26.03675934,30.86290555,23.04931006,26.30473083,28.13636077,5
NOV,-0.982594559,4.420264506,-2.728601571,0.020041357,0.999972288,-4.230095978,-1.976015905,44.67556111,22.00950112,41.72307573,34.52531733,21.85421091,9.925110784,15.90878853,15.38064453,20.79936475,12.94778958,8
F3,0.633118658,6.177709457,2.681696849,0.021774442,0.999972288,-4.240047195,1.550913967,82.92534396,41.83833717,43.50424852,119.0938398,86.03045945,69.12324287,77.23329974,84.20682563,75.51905941,75.2646486,8
UIMC1,0.503188355,5.902897104,2.66444618,0.022448609,0.999972288,-4.24372959,1.41734243,41.54806158,50.43016996,49.14835822,78.27907337,69.37880796,93.4749769,61.02010135,60.22148941,60.44203759,50.65348071,6
TARBP1,0.702620651,5.20735,2.662441063,0.022528301,0.999972288,-4.244158382,1.627458382,22.71012315,27.42815759,29.11513085,84.58138221,42.72697373,34.19888931,37.02074284,42.66243734,40.04375043,33.42998299,4
DNPEP,0.43348763,6.269598275,2.60512355,0.024928708,0.999972288,-4.25648215,1.350494374,58.87707614,81.34027972,51.01814834,99.08570505,86.38957039,80.66859284,83.78050456,70.68976923,82.07390452,91.09895576,6
ND2,-0.634894578,12.91295726,-2.587747952,0.025705121,0.999972288,-4.260242831,-1.552824277,10986.15771,11008.87842,9557.192951,4209.720589,6299.521957,7271.96477,8712.324115,10457.41507,6380.922293,5745.144568,10
FAM182A ,0.555782982,5.188870616,2.57643913,0.026223217,0.999972288,-4.26269647,1.469966199,30.65160641,23.31427185,30.24102926,40.80818483,48.23389808,27.51013736,41.10295918,59.28063039,36.26629101,40.31845502,5
CSRNP1,0.699789686,6.467991914,2.567596111,0.026635508,0.999972288,-4.264618374,1.624267992,90.71635888,60.78304026,45.42862194,117.1793931,130.0694398,108.0934387,110.4639854,98.05621218,115.8933321,57.04506345,9
RAD1,0.463301888,4.368593325,2.548590533,0.027543346,0.999972288,-4.268758515,1.378693618,20.46149665,12.55210767,17.4862438,28.64107821,20.12584396,20.15843103,19.71930903,23.39188764,23.47045237,25.04650314,9
ZNF528,-0.355317592,5.297493399,-2.534124802,0.028254679,0.999972288,-4.271918301,-1.279267166,44.14117316,47.7916639,48.36551918,42.19853173,41.74221026,29.5170354,36.21804573,37.41241733,34.35579755,35.84478142,3
LINC01061 ,0.647642961,5.870676963,2.528924138,0.028514805,0.999972288,-4.273056084,1.566606622,57.32256275,28.93996698,47.04462819,77.33778157,40.69895594,61.32068497,73.61439999,69.41507017,83.44872534,73.23972562,10
