"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"GO:0042274~ribosomal small subunit biogenesis"	2.81760451788927	0.00250470156696045	213	12	4
"GO:0019083~viral transcription"	2.19691486271685	3.58612451502703e-20	213	87	23
"GO:0006415~translational termination"	2.04341096950217	1.29016205582675e-19	213	93	23
"GO:0019058~viral infectious cycle"	1.99655188631032	1.64887503867050e-19	213	95	23
"GO:0006414~translational elongation"	1.88760451788927	4.72401583980829e-19	213	100	23
"GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	1.72004354227951	3.58612451502703e-20	213	123	26
"GO:0006614~SRP-dependent cotranslational protein targeting to membrane"	1.64946292496891	7.82605363223291e-18	213	113	23
"GO:0042273~ribosomal large subunit biogenesis"	1.45396815425291	0.832006275747803	213	11	2
"GO:0006413~translational initiation"	1.36046166074641	6.89313681713789e-17	213	140	24
"GO:0043517~positive regulation of DNA damage response, signal transduction by p53 class mediator"	1.31760451788927	0.947754474514101	213	12	2
"GO:0043488~regulation of mRNA stability"	1.20221990250465	1	213	13	2
"GO:0045638~negative regulation of myeloid cell differentiation"	1.10331880360355	1	213	14	2
"GO:0017156~calcium ion-dependent exocytosis"	1.10331880360355	1	213	14	2
"GO:0045667~regulation of osteoblast differentiation"	1.10331880360355	1	213	14	2
"GO:0031529~ruffle organization"	1.10331880360355	1	213	14	2
"GO:0071385~cellular response to glucocorticoid stimulus"	0.942604517889269	1	213	16	2
"GO:0043409~negative regulation of MAPK cascade"	0.942604517889269	1	213	16	2
"GO:0016071~mRNA metabolic process"	0.905104517889269	2.01022224594218e-16	213	240	29
"GO:0045747~positive regulation of Notch signaling pathway"	0.876428047301033	1	213	17	2
"GO:0050771~negative regulation of axonogenesis"	0.817604517889268	1	213	18	2
"GO:0046716~muscle cell homeostasis"	0.817604517889268	1	213	18	2
"GO:0050772~positive regulation of axonogenesis"	0.7649729389419	1	213	19	2
"GO:0043124~negative regulation of I-kappaB kinase/NF-kappaB cascade"	0.7649729389419	1	213	19	2
"GO:0070373~negative regulation of ERK1 and ERK2 cascade"	0.7649729389419	1	213	19	2
"GO:0051084~'de novo' posttranslational protein folding"	0.7649729389419	0.229159128960518	213	38	4
"GO:0016070~RNA metabolic process"	0.759842785037283	9.28463173171244e-15	213	277	29
"GO:0040018~positive regulation of multicellular organism growth"	0.74863900064789	0.684486341965379	213	29	3
"GO:0010466~negative regulation of peptidase activity"	0.717604517889269	1	213	10	1
"GO:0006895~Golgi to endosome transport"	0.717604517889269	1	213	10	1
"GO:2000463~positive regulation of excitatory postsynaptic membrane potential"	0.717604517889269	1	213	10	1
"GO:0001960~negative regulation of cytokine-mediated signaling pathway"	0.717604517889269	1	213	10	1
"GO:0050732~negative regulation of peptidyl-tyrosine phosphorylation"	0.717604517889269	1	213	10	1
"GO:0070372~regulation of ERK1 and ERK2 cascade"	0.717604517889269	1	213	10	1
"GO:0046686~response to cadmium ion"	0.717604517889269	1	213	20	2
"GO:0008354~germ cell migration"	0.717604517889269	1	213	10	1
"GO:0097150~neuronal stem cell maintenance"	0.717604517889269	1	213	10	1
"GO:0000266~mitochondrial fission"	0.717604517889269	1	213	10	1
"GO:0019953~sexual reproduction"	0.717604517889269	1	213	10	1
"GO:0050892~intestinal absorption"	0.717604517889269	1	213	10	1
"GO:0031103~axon regeneration"	0.717604517889269	1	213	10	1
"GO:0030316~osteoclast differentiation"	0.717604517889269	1	213	20	2
"GO:0046855~inositol phosphate dephosphorylation"	0.717604517889269	1	213	10	1
"GO:0016126~sterol biosynthetic process"	0.717604517889269	1	213	10	1
"GO:0007004~telomere maintenance via telomerase"	0.717604517889269	1	213	10	1
"GO:0030856~regulation of epithelial cell differentiation"	0.717604517889269	1	213	10	1
"GO:0048675~axon extension"	0.717604517889269	1	213	10	1
"GO:0008361~regulation of cell size"	0.717604517889269	1	213	10	1
"GO:0019060~intracellular transport of viral proteins in host cell"	0.717604517889269	1	213	10	1
"GO:0051966~regulation of synaptic transmission, glutamatergic"	0.717604517889269	1	213	10	1
"GO:0043069~negative regulation of programmed cell death"	0.717604517889269	1	213	10	1
"GO:0045446~endothelial cell differentiation"	0.717604517889269	1	213	10	1
"GO:0006412~translation"	0.700623385813797	1.91018742847031e-12	213	265	26
"GO:0032259~methylation"	0.674747375032126	1	213	21	2
"GO:0006479~protein methylation"	0.674747375032126	1	213	21	2
"GO:0009629~response to gravity"	0.635786336071087	1	213	11	1
"GO:0045947~negative regulation of translational initiation"	0.635786336071087	1	213	11	1
"GO:0042307~positive regulation of protein import into nucleus"	0.635786336071087	1	213	11	1
"GO:0007213~G-protein coupled acetylcholine receptor signaling pathway"	0.635786336071087	1	213	11	1
"GO:0035815~positive regulation of renal sodium excretion"	0.635786336071087	1	213	11	1
"GO:0045780~positive regulation of bone resorption"	0.635786336071087	1	213	11	1
"GO:0051894~positive regulation of focal adhesion assembly"	0.635786336071087	1	213	11	1
"GO:0032270~positive regulation of cellular protein metabolic process"	0.635786336071087	1	213	11	1
"GO:0048814~regulation of dendrite morphogenesis"	0.635786336071087	1	213	11	1
"GO:0048854~brain morphogenesis"	0.635786336071087	1	213	11	1
"GO:0071364~cellular response to epidermal growth factor stimulus"	0.635786336071087	1	213	11	1
"GO:0051457~maintenance of protein location in nucleus"	0.635786336071087	1	213	11	1
"GO:0034374~low-density lipoprotein particle remodeling"	0.635786336071087	1	213	11	1
"GO:0002925~positive regulation of humoral immune response mediated by circulating immunoglobulin"	0.635786336071087	1	213	11	1
"GO:0046641~positive regulation of alpha-beta T cell proliferation"	0.635786336071087	1	213	11	1
"GO:0006376~mRNA splice site selection"	0.635786336071087	1	213	11	1
"GO:0042752~regulation of circadian rhythm"	0.635786336071087	1	213	11	1
"GO:0016050~vesicle organization"	0.635786336071087	1	213	11	1
"GO:0000281~cytokinesis after mitosis"	0.635786336071087	1	213	11	1
"GO:0006906~vesicle fusion"	0.635786336071087	1	213	11	1
"GO:0006611~protein export from nucleus"	0.635786336071087	1	213	22	2
"GO:0010042~response to manganese ion"	0.635786336071087	1	213	11	1
"GO:0045104~intermediate filament cytoskeleton organization"	0.635786336071087	1	213	11	1
"GO:0032886~regulation of microtubule-based process"	0.635786336071087	1	213	11	1
"GO:0015671~oxygen transport"	0.635786336071087	1	213	11	1
"GO:0045582~positive regulation of T cell differentiation"	0.635786336071087	1	213	11	1
"GO:0048853~forebrain morphogenesis"	0.635786336071087	1	213	11	1
"GO:0033993~response to lipid"	0.635786336071087	1	213	11	1
"GO:0033540~fatty acid beta-oxidation using acyl-CoA oxidase"	0.635786336071087	1	213	11	1
"GO:0021510~spinal cord development"	0.600213213541443	1	213	23	2
"GO:0043508~negative regulation of JUN kinase activity"	0.567604517889268	1	213	12	1
"GO:0043922~negative regulation by host of viral transcription"	0.567604517889268	1	213	12	1
"GO:0042491~auditory receptor cell differentiation"	0.567604517889268	1	213	12	1
"GO:0045060~negative thymic T cell selection"	0.567604517889268	1	213	12	1
"GO:0002244~hemopoietic progenitor cell differentiation"	0.567604517889268	1	213	12	1
"GO:0031116~positive regulation of microtubule polymerization"	0.567604517889268	1	213	12	1
"GO:0048488~synaptic vesicle endocytosis"	0.567604517889268	1	213	12	1
"GO:0051131~chaperone-mediated protein complex assembly"	0.567604517889268	1	213	12	1
"GO:0007091~mitotic metaphase/anaphase transition"	0.567604517889268	1	213	12	1
"GO:0046856~phosphatidylinositol dephosphorylation"	0.567604517889268	1	213	12	1
"GO:0007163~establishment or maintenance of cell polarity"	0.567604517889268	1	213	24	2
"GO:0046622~positive regulation of organ growth"	0.567604517889268	1	213	12	1
"GO:0043984~histone H4-K16 acetylation"	0.567604517889268	1	213	12	1
"GO:0043408~regulation of MAPK cascade"	0.567604517889268	1	213	12	1
"GO:0043039~tRNA aminoacylation"	0.567604517889268	1	213	12	1
"GO:0007158~neuron cell-cell adhesion"	0.567604517889268	1	213	12	1
"GO:0071108~protein K48-linked deubiquitination"	0.567604517889268	1	213	12	1
"GO:0007159~leukocyte cell-cell adhesion"	0.537604517889269	1	213	25	2
"GO:0000289~nuclear-transcribed mRNA poly(A) tail shortening"	0.537604517889269	1	213	25	2
"GO:0016032~viral reproduction"	0.520307220591971	3.39340850304899e-10	213	333	26
"GO:0050877~neurological system process"	0.509912210196961	1	213	13	1
"GO:0007413~axonal fasciculation"	0.509912210196961	1	213	13	1
"GO:0071777~positive regulation of cell cycle cytokinesis"	0.509912210196961	1	213	13	1
"GO:0021542~dentate gyrus development"	0.509912210196961	1	213	13	1
"GO:0008210~estrogen metabolic process"	0.509912210196961	1	213	13	1
"GO:0008272~sulfate transport"	0.509912210196961	1	213	13	1
"GO:0042310~vasoconstriction"	0.509912210196961	1	213	13	1
"GO:0010288~response to lead ion"	0.509912210196961	1	213	13	1
"GO:0009311~oligosaccharide metabolic process"	0.509912210196961	1	213	13	1
"GO:0032793~positive regulation of CREB transcription factor activity"	0.509912210196961	1	213	13	1
"GO:0042176~regulation of protein catabolic process"	0.509912210196961	1	213	13	1
"GO:0007017~microtubule-based process"	0.509912210196961	1	213	26	2
"GO:0042100~B cell proliferation"	0.509912210196961	1	213	13	1
"GO:0035924~cellular response to vascular endothelial growth factor stimulus"	0.509912210196961	1	213	13	1
"GO:0060134~prepulse inhibition"	0.509912210196961	1	213	13	1
"GO:0045333~cellular respiration"	0.509912210196961	1	213	13	1
"GO:0015813~L-glutamate transport"	0.509912210196961	1	213	13	1
"GO:0014911~positive regulation of smooth muscle cell migration"	0.509912210196961	1	213	13	1
"GO:0050880~regulation of blood vessel size"	0.509912210196961	1	213	13	1
"GO:0051493~regulation of cytoskeleton organization"	0.509912210196961	1	213	13	1
"GO:0048246~macrophage chemotaxis"	0.509912210196961	1	213	13	1
"GO:0043101~purine-containing compound salvage"	0.509912210196961	1	213	13	1
"GO:0045860~positive regulation of protein kinase activity"	0.492604517889269	1	213	40	3
"GO:0000079~regulation of cyclin-dependent protein kinase activity"	0.484271184555935	0.684486341965379	213	54	4
"GO:0010595~positive regulation of endothelial cell migration"	0.484271184555935	1	213	27	2
"GO:0051496~positive regulation of stress fiber assembly"	0.484271184555935	1	213	27	2
"GO:0042254~ribosome biogenesis"	0.476141103255122	1	213	41	3
"GO:0035335~peptidyl-tyrosine dephosphorylation"	0.472149972434723	0.684486341965379	213	55	4
"GO:0044267~cellular protein metabolic process"	0.465419427914976	3.39340850304899e-10	213	389	28
"GO:0032314~regulation of Rac GTPase activity"	0.460461660746411	1	213	14	1
"GO:0006911~phagocytosis, engulfment"	0.460461660746411	1	213	14	1
"GO:0048009~insulin-like growth factor receptor signaling pathway"	0.460461660746411	1	213	14	1
"GO:0045807~positive regulation of endocytosis"	0.460461660746411	1	213	14	1
"GO:0038032~termination of G-protein coupled receptor signaling pathway"	0.460461660746411	1	213	42	3
"GO:0002042~cell migration involved in sprouting angiogenesis"	0.460461660746411	1	213	14	1
"GO:0000132~establishment of mitotic spindle orientation"	0.460461660746411	1	213	14	1
"GO:0006607~NLS-bearing substrate import into nucleus"	0.460461660746411	1	213	14	1
"GO:0042594~response to starvation"	0.460461660746411	1	213	28	2
"GO:0035235~ionotropic glutamate receptor signaling pathway"	0.460461660746411	1	213	14	1
"GO:0008277~regulation of G-protein coupled receptor protein signaling pathway"	0.460461660746411	1	213	42	3
