Gene.Symbol,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_GRN_GSM329677.CEL,P_GRN_GSM329679.CEL,P_GRN_GSM329681.CEL,P_GRN_GSM329683.CEL,P_GRN_GSM329686.CEL,P_GRN_GSM329689.CEL
SLC6A12,128.152305621664,69.9636429864441,81.6791731443213,113.712418830434,122.597499781515,67.0502889230418,136.22349656976,81.2511515523047,346.81089881627,183.782368177078,300.660662971938,322.194260605922,340.26780580812,314.570485760798
VCAN,67.2457266858315,38.4545635398627,63.5199464441217,46.3971634178596,36.8518974419366,38.6890211333483,79.8208521243869,61.9331026639438,215.060080602153,96.7026797552057,189.30726509141,238.810190688522,222.391560589528,246.151888588561
TSPYL2,1319.95433950575,1597.50933188714,1309.68881323073,1544.28847864801,1356.27592924217,1473.96665719741,1362.01005556333,949.63192220578,645.095032587215,932.031877784298,660.825232951618,674.476320981821,754.857091129942,597.672897549372
ANGPT1,38.0979951265418,25.192300936905,54.2380383785013,29.6941515464311,35.4284161131757,27.8017296717274,37.1921272288162,30.3521482978036,79.6383816414314,65.7904975924324,197.226771253254,175.450736607327,172.164730894259,218.390551051799
BAIAP2,620.024772046536,510.28348025902,437.813710025726,559.089027690806,491.554787951765,788.281950025837,538.490620970611,591.136469087218,169.24693304138,429.486612202499,196.488710770677,172.712853151396,192.790522321457,199.082286221945
HOPX,2501.0326694489,3738.89566082671,1840.0488873917,3417.01286384028,2891.98673484307,3109.88604476032,2560.59281188504,2313.81989436407,916.722860466942,1899.57644491131,917.329485878516,705.873559939003,658.409379610663,830.935156870604
NOL4,422.272869350821,357.32533418723,280.934879020099,354.759864165973,303.754061339338,298.587113681231,269.398231222644,649.361931084341,111.585786397559,223.616449700063,99.2415858255492,75.6063517887738,108.188474277327,89.2135427375352
ITPR2,35.8600104367571,23.169779187083,32.9884211293587,23.8658189019858,17.6255246667738,28.973851524127,30.0590263384879,25.7625497353144,70.0413373077538,39.0047526558046,80.7047083014989,111.177598244638,96.4276264368063,117.128451851145
NUDT11,675.746671425867,846.894156626341,246.288652516388,661.67026120678,458.434500938201,984.375839915871,462.907018393103,425.593552266984,81.2497686175176,291.753076010416,107.02514806083,80.6020242633557,91.6082304806383,100.329878317092
LRRC17,27.1296280705599,24.1689707623052,26.1902282957064,22.3238996757285,24.6628966746102,23.8496524956597,26.0302281856923,33.8191029140033,42.1893842742836,47.6448187313936,65.7334402465951,56.6383258846916,37.1021861195692,44.316233857499
LAMP2,268.785295653501,205.077832032905,143.689711026479,150.919713249888,99.27516201661,141.115756454215,339.557469403238,177.453708478171,694.856379418242,363.221387631191,770.772425604334,781.755158797453,1674.93286103379,976.624948665175
PHYHIP,1536.308663254,1503.4918370737,1176.37494866517,1644.88355568474,1587.19102291297,1386.5446791194,1609.56582739837,1488.12919859744,372.71531955878,1198.25738050745,345.267934892634,229.265377438676,244.232107266592,401.232091522317
ST6GALNAC5,269.420219178688,190.913442954665,144.794006561086,396.690656778388,203.304382013715,202.007529496414,241.115147018881,487.63762590969,23.718406306884,161.397898070459,29.7817493430407,22.9831584549889,15.9082779980385,23.5154713215689
GFRA2,239.177502027144,316.226950779967,199.253690986372,369.713970517602,239.065704168316,292.082177520283,261.258562617855,250.893338166821,122.565773378231,178.277104081814,65.6046997546919,104.57339585899,104.070578495077,113.358100851389
PAK3,1130.23209152232,944.109935864191,1298.20347274629,983.175208094421,1082.64835341825,1118.58786977492,881.610809653798,1090.8799342788,481.170103377485,757.71059136669,390.985962473727,283.621606793772,228.009653094801,445.339328177514
MKL1,335.919984553341,326.283533849802,374.098976493524,316.057178331487,339.042484068793,313.816317209567,344.017060112514,361.191740442458,236.105761088994,275.519604003799,198.816024199164,202.802974859692,168.37210259526,210.070758823909
FRMPD4,322.303520094872,286.017805925119,177.33210100114,269.303521049514,190.926020019822,280.232091789523,184.014700373096,300.416593763557,75.1099525424973,169.30714694059,68.3346701599039,70.461019417867,82.9684641730993,112.536804632261
PTK2B,688.546150039469,727.305606932403,628.770133033408,960.811893656984,669.101628989119,809.226130417824,761.164365457422,455.374201186044,147.162052224767,507.846746749166,244.557213079329,192.091495156528,129.095158805171,222.201757157071
CDH22,234.001900405108,246.956605257755,256.82358665337,355.334495153659,277.587676052855,316.711975272444,244.714460156534,323.398624796578,138.939046651651,219.748993640741,143.77058128146,124.099142721455,124.280704526507,152.914673483988
QKI,106.492208032294,112.832002526409,85.3343090282862,51.0492955121708,82.8823408628862,60.4205925836682,120.315696775894,107.312654160219,297.439353928991,142.374917685132,235.78784889302,227.451216544763,311.230838317253,244.77862799987
BIN2,65.994156382345,62.9447589486924,79.6281820782378,53.8944236966527,87.0864345479787,66.9183220918031,88.5320761516951,62.7479564722661,149.998300164656,97.7044539870747,201.233165903657,141.047583983253,125.896815138709,152.975384932779
NT5DC3,255.233324811096,424.963944454745,269.948747185178,451.517805808032,268.948634734964,527.897096571727,255.047798378013,321.429198277283,154.561046830656,196.949098850016,108.682841936303,137.324032262274,121.291647401282,137.511941551357
FBXW7,1430.07436316641,1143.30352009375,784.139458689032,1062.18259249688,1024.98209152232,1029.90088293018,812.290578051543,1004.9463772366,409.048774185659,819.186337149382,264.844577754404,296.223731809919,259.017808591918,333.752920513285
CERS2,448.007810153361,494.406831760057,471.596344515332,373.017805808032,471.159491861646,417.908413492912,613.151440949703,531.508908140697,907.874948665173,586.969797969088,932.289989236499,889.732091522316,984.067130559715,871.977806504265
TNS1,545.446377236603,466.978828620939,765.059585618832,417.874948665174,399.119676662347,310.219801013005,448.417090917975,298.824145077651,1731.9972282101,607.838376254674,1444.74399282752,1505.73209152232,1500.71862510965,1667.14988940952
SYN1,1357.06582006312,1807.2077349232,974.627677332721,1873.39424791171,1352.09945553356,1755.73209152232,1578.33097422448,1744.26535733043,309.517805814042,1245.99484950571,289.916533787519,177.880719352553,170.323320351426,243.79128803392
DPP6,1019.031966907,1114.20267921154,691.11057048968,1481.37809018783,1049.16400964821,1042.17721137429,1219.01690267887,1201.81582867353,304.374948677541,890.339234379461,345.303520093795,256.702532688906,320.772100844033,301.603757236321
NPTXR,766.406582906114,1230.15046624759,941.053830013476,1009.01260973201,667.786345744584,1805.59006259822,767.957516090432,2279.95618121218,183.991229390195,651.242270992678,263.491627819033,183.879507108832,190.809384172803,197.98600253221
CCDC177,160.931768040724,138.621109488932,97.2677695953312,134.949477195586,108.877655448914,103.795457545611,127.095890551938,180.64886335038,64.5072697879619,86.9021924423258,73.3671624807036,58.2290249893098,57.3217189476126,62.8897237304073
DLGAP2,659.612777298391,440.270892665391,356.145911020154,461.530070339323,447.668850738042,629.954092511654,521.303520093746,615.090234498109,133.061228439339,399.530694665849,140.880707471525,83.8107442704009,86.7066075184654,140.62809586254
UNC13A,285.37038055034,244.118907112708,244.052377623165,323.093559390756,300.393222147539,248.866676473249,218.705035120183,349.501504354997,145.920622101242,214.283277666792,130.424028843792,153.983141945011,140.131805849571,145.880541019587
Sep-10,73.5461368235885,94.0488791882601,66.6599487633935,41.2769488539222,70.3546921470577,59.2048376989859,80.7627830504516,57.0030803210556,203.199084603329,96.0634530611036,180.472576296846,246.144081295771,307.423691108379,158.058534933219
EGR3,573.02696745706,1247.69956707199,395.553513623156,626.373444538134,807.941389188738,1551.18871071964,374.966838226343,1301.18296713896,114.789509328228,394.660662950888,91.7943716334541,62.5541151381988,78.6168437670415,138.536244434444
ENTPD6,636.101851039059,698.619024534224,504.973161881672,826.846710749259,620.697882484371,650.850975047724,651.423489943915,815.160662950886,283.31943794858,555.371748718978,311.458530466825,337.648900740667,246.554116123111,289.43777146304
EGFL8 ,142.162747875728,101.450790541798,137.481095931781,85.1403084487811,117.95687790827,98.2160277253022,125.575938745407,100.136083724924,253.498608166126,156.789555702131,186.802755136979,226.355645020805,319.490945966477,242.844764112309
SHANK2,609.772092584329,571.898884035831,570.729250264561,500.611497048978,732.089234379462,699.267805808033,542.995440111199,852.303520093748,258.458092197445,470.308778210724,248.528451028208,138.140371510539,131.925971439186,191.547924986367
GAP43,1612.77530732403,1959.70807806042,1516.90193580395,2063.58923437946,1336.54871652637,1401.53201855954,1569.78618529788,1732.32703549574,468.83535535283,1368.13291424549,366.206137303303,234.81183297939,284.017805971333,475.610094629573
CHRD,195.790103695635,190.241492106643,217.408937838961,244.957284414714,199.100785133978,210.871223666373,211.116852208416,192.972100547168,148.611494295028,168.732800218731,113.274793697599,96.180484787698,109.656138870308,111.274440919369
WIPF1,61.5939959482601,60.7143291633017,49.2674712352572,37.0152597118359,56.3225251621802,28.3354885758643,52.0204215404085,48.2842099640957,134.503127079544,72.8567932853591,99.8226714229414,163.904151477791,117.0737462858,114.234737024246
ISYNA1,63.0407172103972,53.8933417167498,74.0621207917685,56.2474901308202,78.3567983417146,47.3768482258472,69.5616353384638,103.253979167261,183.832329794743,86.8245116611536,400.739980817717,304.767805820398,252.987047706035,276.628677663239
KCNQ2,1425.35428667419,1600.37723263023,829.936045754062,1619.90028740631,967.16066295089,1857.89246807925,1189.63099323299,2107.14058262986,257.204406734653,1023.28910881052,342.889263011271,161.153485545948,249.232100484197,309.798210986798
ZER1,458.44867049798,423.886399897086,455.052399060972,471.10324649475,399.021103662319,445.946377236604,477.826969255513,476.137110979653,270.589235196982,407.561776910687,262.131258456454,243.226682318896,275.660663384671,277.946377550921
NDE1,197.545737870503,136.31253909458,221.844718033779,151.358229805131,192.810487853463,110.937502075287,226.136647995006,160.691312361483,393.246163891566,278.441877806545,354.469554780507,336.874948665336,605.374948665176,395.089234379461
HTR2A,960.978342831586,815.589234379461,533.21681006585,634.892815454964,728.46350595647,964.353070494928,564.702777609496,796.762765690694,156.707720324266,522.917318649926,274.934398169587,147.739626930864,90.8632773300323,197.761089116543
KANK2,131.969838805956,80.9293736547628,232.072737177026,138.73116251745,164.875577281271,124.364661236792,188.018651419133,105.396551257104,401.413026392713,214.303826257063,1172.98651368571,961.942905226533,725.956183017676,663.251774412068
CPM,72.5712860864947,64.4246268428483,91.99474657607,49.876350284202,89.1800065327857,40.8749228054393,66.8919037701522,59.3760486466503,172.543968229899,93.4683487329013,328.730864883515,359.63901085407,534.163187195404,428.264968288586
TRIM36,280.332148739889,133.131991313001,118.145795747376,177.167994196035,93.2054413852992,135.381024055009,98.1580821707342,153.916751518884,29.3566871091896,109.947774610931,24.6265681079829,18.821903164666,16.9086836157383,22.423708010213
NOL12 ,82.6595375864278,87.7884049040461,112.571540858616,71.3877635663918,97.739187636866,61.9270940468206,128.120367076071,70.2971107107648,196.925241876752,123.648867064894,225.115289474064,355.384881056235,278.348239671505,209.170500784817
VEZF1,163.949058746419,136.456461208957,146.502277404118,96.8208831910337,145.727145320463,142.564796469521,152.745774161041,142.232060714397,364.13177213111,175.91673859382,338.926810092555,478.908825529896,718.017896704128,393.760398992637
PCDH8,520.668479023098,421.229766785732,272.100213557078,1086.16066295089,686.259203683603,719.065717601966,577.099622402887,941.608873872931,44.1751127260381,455.434297400288,64.039494382651,18.9371582087885,23.4102819029508,25.8499709621005
GATM,687.024595257135,606.732091522318,770.212144869567,506.758366895196,787.657006814555,402.803520093746,826.059165408737,499.128925162081,1543.8119256225,986.803520093748,1596.96925988248,1236.72553012268,1092.87679668174,1529.38842658666
SSBP3,516.511514394891,636.198685083136,444.44208923057,577.65410566961,449.022327748183,580.303520093747,612.439548087876,630.246046435834,289.479488054618,473.109944273885,275.955104398731,236.175663610674,247.672835218756,288.450356744425
SYNGR1,879.923598832827,1027.83923437946,740.446377236602,1219.41066295089,787.405210644107,1095.41659120277,840.509757327906,1361.14637957463,400.419619638152,796.81375175454,338.784990588527,284.791018032655,348.462126554256,397.367637520479
