Gene.Symbol,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_SP_GSM329692.CEL,P_SP_GSM329694.CEL,P_SP_GSM329697.CEL,P_SP_GSM329700.CEL,P_SP_GSM329703.CEL,P_SP_GSM329704.CEL,P_SP_GSM329707.CEL,P_SP_GSM329709.CEL,P_SP_GSM329711.CEL,P_SP_GSM329714.CEL
SAT1 ,54.776017612246,56.0238393432013,76.1475213193637,58.8115863776703,55.4822877965792,54.3898764071248,48.3524892555341,42.596904940186,31.7956294108222,34.3297017445263,36.0028883327958,32.9879765622889,41.4163076412935,40.1532803364283,41.4978199370637,38.613148661063,34.5071197824332,37.4935922014482
TFR2,48.0438826419961,43.8937088588124,58.7466881870304,53.2558435682533,57.0701047642703,53.0848412170204,54.0581731982778,49.8637914994594,33.4614767784127,39.3180636032092,45.5813645743948,38.1884961786518,32.5058548074526,39.4590540608141,35.1564067926574,35.7660586588877,40.7852769261908,38.0339475720917
PRIM2 ,25.7791437663825,25.228701989992,34.0473807958989,24.3571917972112,29.6911026823316,26.996504691755,22.6878437791953,21.0796169377906,18.9615742117949,19.1350305997867,15.7022327836911,18.3910989940787,19.5726841201722,19.076907282489,18.7646957625214,18.1344738906978,17.2742439082282,18.1675687144567
CACNA1G,46.0935944493664,66.4590002447198,76.5617283665165,44.7950037847535,64.928169927569,77.1206328762225,36.8734563554647,65.9650938599291,27.2167523949825,32.8541798072939,33.8942336151896,31.8899131065837,24.1320333166912,40.1939063751832,35.1531945761667,33.5301339585899,32.1867220542516,37.8981477320199
FBXL8,34.5271550759,36.1936683893147,53.2409254533066,40.4906410810993,45.744889330435,35.2130471266266,34.1703216245097,25.4618993829952,20.6449632541661,21.9597742014886,23.7530220143233,21.3198168933128,17.981167111896,23.8211594677581,30.8520528617706,23.4475977088338,24.0476058909934,22.1937404282259
LIM2,55.3403886400873,59.664568184336,63.3894041730786,55.8739540046896,77.9168091730645,53.007833924273,54.9991624706931,41.5325857367748,35.3103246778941,37.906520463475,37.1803099878451,33.6466647179896,41.253936331931,44.0347020740177,46.2874110145388,35.3817495433223,37.906520463475,36.1189139956068
ARL4D,167.490171525199,276.393220013391,322.78114934469,290.437186902776,305.24485278154,404.001900798734,178.115673544718,314.812460613842,124.712102801859,149.618177390276,182.789438741415,153.297991615485,121.728960105009,167.282138281817,159.00522825583,184.438899169077,129.100988031791,111.299903558985
SAV1,127.960334924322,101.845024849258,99.0951992115225,72.7017126764235,86.266412098948,77.861692253683,118.277796106579,90.4852801994916,226.844174970256,181.8818479407,115.979573541411,183.818772917601,179.154072904537,135.326549349972,170.264139173616,155.047843054653,118.925083000744,201.947281370842
SOX4,26.6100157736122,31.6445949719099,40.5190412024103,34.6194440771307,33.8582227251748,27.2674712417409,27.9900943274993,29.618284717611,20.7465245387181,21.5697261452662,25.0340721178247,19.311554358114,17.5163890900497,23.8644880347179,24.5191561666945,24.0399267812277,22.0159972597244,23.0943051661549
COL4A5,215.908168628884,95.6438934855829,96.6672041726763,77.1979370620385,77.3492863171689,41.7593483721126,210.610361457248,128.106282957081,511.999957877642,317.755283891186,212.274066530093,251.298665901921,680.527030027544,290.679245334427,440.548803082772,164.476423945752,257.613059018661,412.541502936397
CDKN2B,28.7492684000698,29.1491312473373,45.999472813307,40.9872492404771,41.2772569647722,23.7289387869248,30.3122400687527,20.3044598908395,17.4007554236138,20.1730867851294,15.7004838179929,16.8499831313439,19.3620694381122,21.4607811104636,21.6326954472711,19.6023593707581,18.4105109870165,19.7537071002055
RHEB,78.7297934320413,76.7699787806597,132.399593417009,96.944288691056,103.596860802543,68.5276903254959,68.3638927068909,53.2680252732803,44.5333218440015,57.259757432439,53.1866630369337,49.9188149364294,45.3536573726838,54.9108700680003,52.0928200131568,44.8254488795227,44.8484897689774,52.1434601668944
ACTA1,47.8052210314239,65.6374855631488,44.6808765386458,37.6038489853729,44.7606429923482,76.5899075534987,39.5610054583322,45.1586471764132,27.2005493072141,26.299557602064,33.6965372931687,32.5539978652622,27.109601225694,36.6764440593446,30.9579781750363,28.7385731217476,30.3321447675284,36.1285314852492
RNF13,354.911415352135,300.94324684282,200.904872777551,227.773584547587,234.346572790147,163.647227326296,367.783877629934,301.46480017853,709.383460316111,514.343962633571,395.22036372652,492.666492934062,632.001900798731,334.793881058754,362.02200973005,440.441805567655,520.193912625452,514.557456354286
PTPRS,71.6891514148959,63.7145592163514,108.271174624853,75.890593695231,72.8114071777024,72.6357347100003,59.7760622807187,63.8762058186456,50.9508156779634,51.4075638891596,48.7615485997342,49.5444105879485,53.4732284748407,56.4254630430447,59.4357863412994,44.9633006355371,44.3319361795423,48.7248077128598
PLCE1,36.9975786494574,46.8068023156145,55.1513842508272,41.4149709806298,48.0828450257526,39.4763867549159,52.0473479511093,39.1448313051396,132.500893925397,83.818595183855,55.2893953747634,94.4446903072411,101.01968680355,57.3836484213093,86.9519513354211,55.6284558180533,62.7473711467166,94.6497430444039
COL6A1,37.5841245742983,36.2647461261531,48.8482534979595,42.1478628242722,51.3651752654756,49.6351214653914,44.5247420000127,39.6805280912033,35.5177800947797,32.7100604844985,32.6217030840567,24.4234615404827,33.914451074136,33.1520651807511,34.1520928746963,31.7528243562862,29.9309385952251,30.589317057403
RAB29,98.434820165794,119.613432126504,93.9485670436442,103.848971764443,134.69943700174,59.7752642104678,132.674529111254,145.332715997073,206.612869153429,340.317270389955,255.467128687082,168.216373543789,231.657641057631,172.698421025294,240.481569476679,171.730364888073,155.798043651785,148.030078596409
WDR76,30.3526713426722,36.4986692380172,32.5490520355984,35.7887529636802,53.3944348394652,28.619167117445,26.3849127264994,26.73611480775,24.5592427505891,20.9135662601447,23.3043739964838,21.0317435111914,19.8140362382843,23.0774965510682,24.6004799440045,21.0906030731201,20.668675873829,22.6680238675775
DLG1,26.922975338428,22.9831339409555,28.9974189554504,26.0992767712679,25.3810742884731,25.4292067842015,19.7741386050795,17.3803655270329,13.3241757807586,15.2592106689913,15.9107583165862,14.4283818194943,16.6127493971367,17.4561244943075,21.4123791846048,17.2839546419459,16.1864430759214,17.7000062687656
ADAMTSL2,50.7950523768942,50.2150772124166,92.4852941124533,56.2828122656196,64.2446901772372,53.2646912970819,52.4813836668956,57.1218213491176,38.5782970340885,33.6929915271826,44.3265117496561,35.2153913888606,26.5007584034853,40.7454815514221,33.7296345447463,51.249341115988,35.9119357417759,37.9285187890953
