,pval
C9m:CHMP2B,6.62E-27
C9m:GRN,4.34E-38
CHMP2B:GRN,0.894258976
C9m:VCP,0.910640153
CHMP2B:VCP,0.64094965
GRN:VCP,3.27E-25
C9m:C9r,1.87E-32
CHMP2B:C9r,3.00E-38
GRN:C9r,4.36E-26
VCP:C9r,1.12E-07
C9m:C9mCON,1.54E-85
CHMP2B:C9mCON,2.12E-28
GRN:C9mCON,1.33E-09
VCP:C9mCON,4.74E-08
C9r:C9mCON,7.09E-23
C9m:C9rCON,0.036304906
CHMP2B:C9rCON,8.99E-09
GRN:C9rCON,4.65E-65
VCP:C9rCON,4.33E-74
C9r:C9rCON,7.36E-277
C9mCON:C9rCON,0.191165437
C9m:CHCON,3.45E-202
CHMP2B:CHCON,1.41E-78
GRN:CHCON,1.97E-206
VCP:CHCON,0.00054837
C9r:CHCON,1.38E-90
C9mCON:CHCON,6.05E-85
C9rCON:CHCON,5.62E-38
C9m:GRNCON,1.41E-78
CHMP2B:GRNCON,1.70E-29
GRN:GRNCON,0
VCP:GRNCON,1.18E-29
C9r:GRNCON,2.53E-84
C9mCON:GRNCON,1.13E-68
C9rCON:GRNCON,7.22E-100
CHCON:GRNCON,3.53E-256
C9m:VCPCON,0.002575407
CHMP2B:VCPCON,0.456970162
GRN:VCPCON,0.000433578
VCP:VCPCON,0.000346285
C9r:VCPCON,1.04E-11
C9mCON:VCPCON,3.11E-23
C9rCON:VCPCON,0.131812358
CHCON:VCPCON,2.56E-11
GRNCON:VCPCON,0.018112961
