"","corRvec"
"C9m:CHMP2B",6.62487525522789e-27
"C9m:GRN",4.34169177467582e-38
"CHMP2B:GRN",0.894258976359604
"C9m:VCP",0.910640152809987
"CHMP2B:VCP",0.64094965036811
"GRN:VCP",3.26934348762597e-25
"C9m:C9r",1.8711227254245e-32
"CHMP2B:C9r",2.99619854115527e-38
"GRN:C9r",4.36200377045241e-26
"VCP:C9r",1.12215390095542e-07
"C9m:C9mCON",1.54165007443463e-85
"CHMP2B:C9mCON",2.11518582283866e-28
"GRN:C9mCON",1.33237619372202e-09
"VCP:C9mCON",4.73723384791958e-08
"C9r:C9mCON",7.09397027293246e-23
"C9m:C9rCON",0.0363049064996549
"CHMP2B:C9rCON",8.99140554588331e-09
"GRN:C9rCON",4.64892799822382e-65
"VCP:C9rCON",4.33431866943568e-74
"C9r:C9rCON",7.35601890788099e-277
"C9mCON:C9rCON",0.191165437240808
"C9m:CHCON",3.44947518349858e-202
"CHMP2B:CHCON",1.41416856309826e-78
"GRN:CHCON",1.97235076856287e-206
"VCP:CHCON",0.000548369526713656
"C9r:CHCON",1.38349053368461e-90
"C9mCON:CHCON",6.05367287907101e-85
"C9rCON:CHCON",5.62344269411541e-38
"C9m:GRNCON",1.41495773115382e-78
"CHMP2B:GRNCON",1.70298394633621e-29
"GRN:GRNCON",0
"VCP:GRNCON",1.17758462014904e-29
"C9r:GRNCON",2.52973068479868e-84
"C9mCON:GRNCON",1.13204782073265e-68
"C9rCON:GRNCON",7.22094002172718e-100
"CHCON:GRNCON",3.52853705685172e-256
"C9m:VCPCON",0.00257540673715981
"CHMP2B:VCPCON",0.456970161614947
"GRN:VCPCON",0.000433578262413903
"VCP:VCPCON",0.000346285468213611
"C9r:VCPCON",1.04337321047862e-11
"C9mCON:VCPCON",3.1114310039201e-23
"C9rCON:VCPCON",0.13181235769243
"CHCON:VCPCON",2.55802020651236e-11
"GRNCON:VCPCON",0.0181129605718738
