Gene1,Gene2,corRvec,Interaction
ACTN1,ADGRF5,0.5,Correlation
ACTN1,AHCTF1,1,Correlation
ADGRF5,AHCTF1,0.5,Correlation
ACTN1,ALDH3A2,0.5,Correlation
AHCTF1,ALDH3A2,0.5,Correlation
ADGRF5,ALPK1,0.5,Correlation
ALDH3A2,ANKRD17,0.5,Correlation
ALPK1,ANXA1,0.866025404,Correlation
ACTN1,AP2S1,0.5,Correlation
AHCTF1,AP2S1,0.5,Correlation
ALDH3A2,AP2S1,1,Correlation
ANKRD17,AP2S1,0.5,Correlation
ACTN1,ARHGAP29,0.5,Correlation
AHCTF1,ARHGAP29,0.5,Correlation
ALDH3A2,ARHGAP29,1,Correlation
ANKRD17,ARHGAP29,0.5,Correlation
AP2S1,ARHGAP29,1,Correlation
ALDH3A2,ARIH1,0.5,Correlation
ANKRD17,ARIH1,1,Correlation
AP2S1,ARIH1,0.5,Correlation
ARHGAP29,ARIH1,0.5,Correlation
ALPK1,ATM,0.5,Correlation
ANKRD17,ATM,0.5,Correlation
ANXA1,ATM,0.866025404,Correlation
ARIH1,ATM,0.5,Correlation
ACTN1,ATP2C1,0.5,Correlation
AHCTF1,ATP2C1,0.5,Correlation
ALDH3A2,ATP2C1,1,Correlation
ANKRD17,ATP2C1,0.5,Correlation
AP2S1,ATP2C1,1,Correlation
ARHGAP29,ATP2C1,1,Correlation
ARIH1,ATP2C1,0.5,Correlation
ACTN1,ATP5C1,0.5,Correlation
AHCTF1,ATP5C1,0.5,Correlation
ALDH3A2,ATP5C1,1,Correlation
ANKRD17,ATP5C1,0.5,Correlation
AP2S1,ATP5C1,1,Correlation
ARHGAP29,ATP5C1,1,Correlation
ARIH1,ATP5C1,0.5,Correlation
ATP2C1,ATP5C1,1,Correlation
ACTN1,ATP5E,0.5,Correlation
AHCTF1,ATP5E,0.5,Correlation
ALDH3A2,ATP5E,1,Correlation
ANKRD17,ATP5E,0.5,Correlation
AP2S1,ATP5E,1,Correlation
ARHGAP29,ATP5E,1,Correlation
ARIH1,ATP5E,0.5,Correlation
ATP2C1,ATP5E,1,Correlation
ATP5C1,ATP5E,1,Correlation
ACTN1,AURKAIP1,0.5,Correlation
AHCTF1,AURKAIP1,0.5,Correlation
ALDH3A2,AURKAIP1,1,Correlation
ANKRD17,AURKAIP1,0.5,Correlation
AP2S1,AURKAIP1,1,Correlation
ARHGAP29,AURKAIP1,1,Correlation
ARIH1,AURKAIP1,0.5,Correlation
ATP2C1,AURKAIP1,1,Correlation
ATP5C1,AURKAIP1,1,Correlation
ATP5E,AURKAIP1,1,Correlation
ACTN1,BBIP1,0.5,Correlation
AHCTF1,BBIP1,0.5,Correlation
ALDH3A2,BBIP1,1,Correlation
ANKRD17,BBIP1,0.5,Correlation
AP2S1,BBIP1,1,Correlation
ARHGAP29,BBIP1,1,Correlation
ARIH1,BBIP1,0.5,Correlation
ATP2C1,BBIP1,1,Correlation
ATP5C1,BBIP1,1,Correlation
ATP5E,BBIP1,1,Correlation
AURKAIP1,BBIP1,1,Correlation
ACTN1,BGN,0.5,Correlation
ADGRF5,BGN,1,Correlation
AHCTF1,BGN,0.5,Correlation
ALPK1,BGN,0.5,Correlation
ADGRF5,BPTF,0.5,Correlation
ALPK1,BPTF,1,Correlation
ANXA1,BPTF,0.866025404,Correlation
ATM,BPTF,0.5,Correlation
BGN,BPTF,0.5,Correlation
ACTN1,BTN3A3,0.5,Correlation
AHCTF1,BTN3A3,0.5,Correlation
ALDH3A2,BTN3A3,1,Correlation
ANKRD17,BTN3A3,0.5,Correlation
AP2S1,BTN3A3,1,Correlation
ARHGAP29,BTN3A3,1,Correlation
ARIH1,BTN3A3,0.5,Correlation
ATP2C1,BTN3A3,1,Correlation
ATP5C1,BTN3A3,1,Correlation
