ensembl_gene_id,hgnc_symbol,C_MW2.CEL,C_MW3B.CEL,C_MW7.CEL
ENSG00000072110,ACTN1,6.656581517,6.016640104,12.41125859
ENSG00000069122,ADGRF5,2.441365295,1.794341248,1.862079732
ENSG00000153207,AHCTF1,2.283947674,1.877613002,3.551882984
ENSG00000072210,ALDH3A2,25.51862687,32.2651403,44.39000953
ENSG00000073331,ALPK1,5.682767815,5.367930331,3.595812097
ENSG00000132466,ANKRD17,5.4805956,15.01138963,14.44434614
ENSG00000135046,ANXA1,1.331731059,1.331731059,1.060921519
ENSG00000042753,AP2S1,9.162143903,10.71837207,14.53742882
ENSG00000137962,ARHGAP29,4.151388163,4.826830135,4.828270091
ENSG00000166233,ARIH1,3.745972749,5.870457687,4.598415836
ENSG00000149311,ATM,1.470230079,1.683330265,1.292212254
ENSG00000017260,ATP2C1,11.16959436,21.61636017,27.76747484
ENSG00000165629,ATP5C1,52.30872777,76.19998697,110.052413
ENSG00000124172,ATP5E,165.7303704,221.0202805,395.0654469
ENSG00000175756,AURKAIP1,25.47405196,44.03016485,54.74894743
ENSG00000214413,BBIP1,7.662977764,13.77124248,35.63997399
ENSG00000182492,BGN,3.425103455,1.986687344,2.121213222
ENSG00000171634,BPTF,14.02158153,11.23515128,10.93618698
ENSG00000111801,BTN3A3,27.62234213,32.23684713,32.47993881
ENSG00000133935,C14orf1,6.425185314,8.775816521,10.4116255
ENSG00000125462,C1orf61,63.21198303,27.90659381,42.21941962
ENSG00000196821,C6orf106,16.30772342,16.26154378,15.38564284
ENSG00000120860,CCDC53,2.553480191,3.815540571,6.257707061
ENSG00000125633,CCDC93,1.867538251,1.683330265,1.889119235
ENSG00000163468,CCT3,16.09564458,28.22130299,25.27629544
ENSG00000130177,CDC16,45.56139492,58.22637965,85.29479681
ENSG00000140937,CDH11,1.297864807,1.200373377,1.531454865
ENSG00000149187,CELF1,8.935587001,8.075071655,9.88280794
ENSG00000099814,CEP170B,43.97852568,61.41702049,45.84834666
ENSG00000005194,CIAPIN1,5.174195344,11.48118621,16.41455626
ENSG00000171365,CLCN5,4.785288219,7.824054913,4.883788644
ENSG00000074201,CLNS1A,10.63071428,11.7683283,15.90914427
ENSG00000183978,COA3,40.52470892,48.4684098,81.12107394
