"","hgnc_symbol","ensembl_gene_id","C_MW2.CEL","C_MW3B.CEL","C_MW7.CEL"
"1","ACTN1","ENSG00000072110",6.656581517,6.016640104,12.41125859
"2","AHCTF1","ENSG00000153207",2.283947674,1.877613002,3.551882984
"3","ALDH3A2","ENSG00000072210",25.51862687,32.2651403,44.39000953
"4","ALPK1","ENSG00000073331",5.682767815,5.367930331,3.595812097
"5","ANKRD17","ENSG00000132466",5.4805956,15.01138963,14.44434614
"6","ANXA1","ENSG00000135046",1.331731059,1.331731059,1.060921519
"7","AP2S1","ENSG00000042753",9.162143903,10.71837207,14.53742882
"8","ARHGAP29","ENSG00000137962",4.151388163,4.826830135,4.828270091
"9","ARIH1","ENSG00000166233",3.745972749,5.870457687,4.598415836
"10","ATM","ENSG00000149311",1.470230079,1.683330265,1.292212254
"11","ATP2C1","ENSG00000017260",11.16959436,21.61636017,27.76747484
"12","ATP5C1","ENSG00000165629",52.30872777,76.19998697,110.052413
"13","ATP5E","ENSG00000124172",165.7303704,221.0202805,395.0654469
"14","AURKAIP1","ENSG00000175756",25.47405196,44.03016485,54.74894743
"15","BBIP1","ENSG00000214413",7.662977764,13.77124248,35.63997399
"16","BGN","ENSG00000182492",3.425103455,1.986687344,2.121213222
"17","BPTF","ENSG00000171634",14.02158153,11.23515128,10.93618698
"18","C14orf1","ENSG00000133935",6.425185314,8.775816521,10.4116255
"19","C1orf61","ENSG00000125462",63.21198303,27.90659381,42.21941962
"20","C6orf106","ENSG00000196821",16.30772342,16.26154378,15.38564284
"21","CCDC53","ENSG00000120860",2.553480191,3.815540571,6.257707061
"22","CCDC93","ENSG00000125633",1.867538251,1.683330265,1.889119235
"23","CCT3","ENSG00000163468",16.09564458,28.22130299,25.27629544
"24","CDC16","ENSG00000130177",45.56139492,58.22637965,85.29479681
"25","CDH11","ENSG00000140937",1.297864807,1.200373377,1.531454865
"26","CELF1","ENSG00000149187",8.935587001,8.075071655,9.88280794
"27","CEP170B","ENSG00000099814",43.97852568,61.41702049,45.84834666
"28","CIAPIN1","ENSG00000005194",5.174195344,11.48118621,16.41455626
"29","CLCN5","ENSG00000171365",4.785288219,7.824054913,4.883788644
"30","CLNS1A","ENSG00000074201",10.63071428,11.7683283,15.90914427
"31","COA3","ENSG00000183978",40.52470892,48.4684098,81.12107394
"32","COL4A1","ENSG00000187498",2.363980138,1.683330265,3.0445211
"33","COPG1","ENSG00000181789",13.72557819,20.62953603,14.77385857
"34","CREB3L2","ENSG00000182158",2.121058317,1.854368183,1.906926488
"35","CREG1","ENSG00000143162",7.046433281,5.250836165,11.94180517
"36","CSRP1","ENSG00000159176",23.25528398,19.22294634,18.44389521
"37","CST3","ENSG00000101439",8.958771886,3.847554094,7.765875665
