,ensembl_gene_id,hgnc_symbol,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL
92,ENSG00000138758,Sep-11,7.457620063,7.810430028,7.727133096,6.504442665,8.637558343,14.78522786,7.534882145,9.291018376
18,ENSG00000072110,ACTN1,12.50438833,10.3049147,19.00805356,16.69306502,8.271822427,8.696415356,14.87842335,39.07418249
13,ENSG00000069122,ADGRF5,2.545735369,3.05666295,2.162988635,1.417548232,1.979830928,2.162988635,2.000287173,2.341682902
115,ENSG00000153207,AHCTF1,3.497053917,5.148474784,3.401639023,3.728604807,3.551882984,3.551882984,4.509683257,3.999219629
20,ENSG00000072210,ALDH3A2,24.05678721,30.84836746,31.10326896,24.76303441,30.84836746,33.77542444,30.84836746,30.84836746
81,ENSG00000132466,ANKRD17,15.95567628,9.38476143,11.6263297,14.22693886,14.59986616,8.696415356,11.50760973,11.78030455
85,ENSG00000135046,ANXA1,1.108837727,1.331731059,1.331731059,1.740239475,1.318111906,1.068094764,1.36444318,1.4468584
90,ENSG00000137962,ARHGAP29,4.151388163,4.151388163,4.151388163,3.55001859,3.342346537,3.429362203,4.542148187,7.682884838
130,ENSG00000166233,ARIH1,6.302443492,5.325655483,5.733278229,4.973938966,5.407530787,4.33366881,4.369951154,4.801519166
110,ENSG00000149311,ATM,1.470230079,1.735744826,1.292212254,1.41073501,1.82732525,1.341621502,1.470230079,1.693625092
5,ENSG00000017260,ATP2C1,17.25332834,13.19690546,12.52735694,13.1091133,16.55943161,11.7642777,9.205387657,10.92636495
128,ENSG00000165629,ATP5C1,42.96650451,53.47109065,55.68248258,68.92036934,63.57561939,38.47324982,32.43848174,50.93516199
72,ENSG00000124172,ATP5E,170.4626758,273.5180585,236.2558777,327.6014807,229.6771051,209.9888432,168.8133128,213.9730569
148,ENSG00000175756,AURKAIP1,35.77253762,48.84841599,45.16048644,75.83615867,44.03016485,34.26544216,33.76009242,36.33125744
175,ENSG00000214413,BBIP1,14.63586414,9.388408088,13.77124248,13.85327701,15.61326291,7.263490968,9.594279177,17.43138073
155,ENSG00000182492,BGN,3.513528999,3.851327472,3.488589029,2.783804481,2.314344066,3.276905656,3.276905656,3.385940209
142,ENSG00000171634,BPTF,13.00780327,21.13075104,16.45926533,11.39162951,12.25856134,22.33260684,14.02158153,16.03374217
46,ENSG00000111801,BTN3A3,24.817453,13.24596541,12.08778189,21.22166013,28.51466162,31.07459281,26.72709785,32.98345752
84,ENSG00000133935,C14orf1,14.45418964,14.7797806,14.77385857,9.031648798,13.96797054,9.25285818,5.553088817,9.694478114
73,ENSG00000125462,C1orf61,46.55290063,76.57741382,61.97295286,36.96646419,47.36188872,64.51403486,39.11406068,69.50946826
166,ENSG00000196821,C6orf106,11.1442422,18.7494313,14.56749659,16.55017442,14.78407521,10.76692451,10.36954939,12.61393257
69,ENSG00000120860,CCDC53,3.268202006,2.841161965,3.135033104,3.651877384,3.199838573,2.547629621,2.311077848,3.623662058
74,ENSG00000125633,CCDC93,1.607731576,2.260734134,1.867538251,2.716662563,2.070580241,1.867538251,1.550838382,2.365234234
123,ENSG00000163468,CCT3,14.03692202,25.57224643,19.54805114,21.53330551,26.84216893,17.58092629,8.869112727,17.23513741
78,ENSG00000130177,CDC16,46.84838554,55.98554268,50.23185203,66.03016485,55.1405985,55.86355727,38.512547,55.99911203
98,ENSG00000140937,CDH11,1.523177708,1.95024925,1.531454865,1.043001764,1.935784487,1.922372176,2.353044755,2.582023821
109,ENSG00000149187,CELF1,8.360684111,9.884472664,21.08417549,9.882454745,10.93717304,11.61307492,13.3493989,10.93717304
28,ENSG00000099814,CEP170B,52.40112963,51.4847103,48.84834666,52.97535716,48.84834666,43.98815228,45.17394114,38.37277971
1,ENSG00000005194,CIAPIN1,7.04165939,5.598523409,6.474290279,8.571362002,13.5302023,7.618756174,5.270177326,7.091433696
141,ENSG00000171365,CLCN5,2.556460173,2.329533241,2.31202394,1.863079717,6.43205207,2.299768223,1.775213579,2.403286718
21,ENSG00000074201,CLNS1A,12.69002872,20.03051854,16.32277239,13.89168521,18.92972322,14.64257559,10.81546066,20.13103987
158,ENSG00000183978,COA3,53.5421333,65.12107394,57.2560474,75.43037488,74.03016485,57.2560474,41.11048205,56.75681771
163,ENSG00000187498,COL4A1,4.836627626,2.744670052,4.288559533,4.3764703,2.363980138,3.06321054,13.43037272,16.88429661
153,ENSG00000181789,COPG1,21.08598006,14.16521255,14.8920857,18.78620241,16.87252541,12.76800139,10.95391524,9.64725896
154,ENSG00000182158,CREB3L2,2.353044755,3.479645483,1.847754505,2.535478654,2.894362488,2.210903868,2.635866489,3.276903345
102,ENSG00000143162,CREG1,8.696415356,22.47567899,8.696415356,8.696415356,8.878125456,7.361878492,9.231999116,7.83497235
119,ENSG00000159176,CSRP1,22.90997281,41.90077996,43.21198303,29.56703067,25.65536692,26.57586032,34.11804346,29.18970319
32,ENSG00000101439,CST3,9.697163111,15.87935862,17.53090305,9.814208038,10.39389339,8.034789107,9.697163111,9.162128289
147,ENSG00000175215,CTDSP2,7.472636044,12.2071941,11.1442422,9.514321739,9.490507354,10.7964703,12.2071941,22.60391977
135,ENSG00000168036,CTNNB1,5.662781965,7.788039228,7.494352262,5.39656418,6.169997132,6.246279133,7.827942085,10.00785565
167,ENSG00000197021,CXorf40B,1.347360448,1.161280293,1.476519164,2.084587938,1.476519164,2.034312896,1.363845706,1.395053156
168,ENSG00000197021,CXorf40B,8.152240784,7.018410631,6.377866678,8.409066645,6.557395713,5.992597497,5.562866071,6.049085481
3,ENSG00000011465,DCN,3.735697144,5.855740384,2.032177531,3.265900624,2.496241889,7.889838356,3.31411943,3.337842531
43,ENSG00000108654,DDX5,18.99564177,23.20966979,24.82001006,16.31506289,19.50481911,20.239895,23.7464482,18.46333151
67,ENSG00000119689,DLST,4.161420716,6.416249384,4.946995957,5.56780819,6.767068902,4.921104079,5.816839562,4.279932633
174,ENSG00000198947,DMD,3.043188956,3.532430457,3.453802298,2.283947674,3.731481664,3.151680469,3.043188956,2.676269
75,ENSG00000125977,EIF2S2,9.034964539,4.61597416,5.31553368,6.504442665,6.504442665,4.795653366,6.743875064,5.583089076
23,ENSG00000087502,ERGIC2,6.340542242,5.490267924,5.903683197,4.694948395,7.265672046,4.948725498,5.903683197,4.174137068
30,ENSG00000100632,ERH,68.29776576,79.93925575,79.93925575,82.93925575,83.4847103,66.55973221,81.85242193,69.6774232
9,ENSG00000048828,FAM120A,3.592990128,2.676682037,3.207471475,3.692001155,4.004487044,3.505505816,3.592990128,4.304359772
86,ENSG00000135842,FAM129A,1.560068569,1.974855607,1.689886897,1.865633853,1.560068569,1.487452926,2.46195163,1.501474094
112,ENSG00000152102,FAM168B,30.21200383,30.21200383,37.84834671,29.41783303,30.21200383,28.47043678,18.03295674,29.76357669
129,ENSG00000166147,FBN1,1.556578286,1.765452805,1.683330265,1.556578286,1.556578286,1.883376982,1.536891301,1.812509077
44,ENSG00000109670,FBXW7,2.706718478,2.567400144,3.692307081,2.937390089,3.214410305,2.582225746,2.635531105,2.884078913
107,ENSG00000146729,GBAS,1.977056682,2.122338351,2.228595108,1.661667817,2.002064067,1.668474484,1.367424427,2.010961916
39,ENSG00000105373,GLTSCR2,80.52858968,107.4847103,74.7926039,112.3484149,95.79515296,79.4847103,77.44125561,89.75390719
104,ENSG00000144366,GULP1,1.237265805,1.691889927,1.910159067,1.138816663,1.652520453,1.617608067,1.540045031,1.590453586
178,ENSG00000244734,HBB,5.248037159,4.59658581,29.18377601,10.52098932,14.86471164,15.42076518,2.633506322,12.42586312
45,ENSG00000111727,HCFC2,1.200373377,1.359747931,1.331731059,1.201541175,1.331731059,1.402437482,1.234951565,1.635042372
35,ENSG00000103415,HMOX2,3.481729328,4.717745401,4.143244159,3.999219629,3.183867836,3.525292828,3.999219629,3.999219629
27,ENSG00000096746,HNRNPH3,9.864993909,7.09836654,8.79403035,5.505511999,6.848430624,6.27488634,6.332755145,5.707508986
38,ENSG00000105323,HNRNPUL1,5.935284433,6.055748593,6.649006987,7.493166747,5.19262386,5.86913802,5.814574339,8.023022568
26,ENSG00000096384,HSP90AB1,28.84359678,58.58657152,48.22325982,40.05708332,55.18654897,28.74361134,30.07887472,30.84486458
58,ENSG00000115738,ID2,14.54895481,8.696415356,14.08094842,10.74800164,12.93625341,10.06044772,18.06048205,12.93625341
59,ENSG00000115738,ID2,1.784546753,2.001173106,1.979830928,1.951497302,2.861594033,1.806487095,2.468509749,4.158118584
56,ENSG00000115594,IL1R1,1.917815288,2.778084639,1.917815288,1.486069312,1.917815288,1.917815288,1.917815288,4.26699058
