Gene1,Gene2,corRvec,Interaction
ACTN1,ADGRF5,0.035928788,Correlation
ACTN1,AHCTF1,0.011976263,Correlation
ADGRF5,AHCTF1,0.126506024,Correlation
ACTN1,ALDH3A2,-0.114152915,Correlation
ADGRF5,ALDH3A2,0,Correlation
AHCTF1,ALDH3A2,-0.121218442,Correlation
ACTN1,ALPK1,0.142857143,Correlation
ADGRF5,ALPK1,0.22754899,Correlation
AHCTF1,ALPK1,0.191620202,Correlation
ALDH3A2,ALPK1,0.608815547,Correlation
ACTN1,ANKRD17,0.095238095,Correlation
ADGRF5,ANKRD17,-0.203596465,Correlation
AHCTF1,ANKRD17,-0.407192929,Correlation
ALDH3A2,ANKRD17,-0.748335777,Correlation
ALPK1,ANKRD17,-0.80952381,Correlation
ACTN1,ANXA1,0.718575757,Correlation
ADGRF5,ANXA1,-0.319277108,Correlation
AHCTF1,ANXA1,0.493975904,Correlation
ALDH3A2,ANXA1,-0.312615983,Correlation
ALPK1,ANXA1,-0.107786364,Correlation
ANKRD17,ANXA1,0.095810101,Correlation
ACTN1,AP2S1,-0.238095238,Correlation
ADGRF5,AP2S1,-0.431145454,Correlation
AHCTF1,AP2S1,0.203596465,Correlation
ALDH3A2,AP2S1,-0.101469258,Correlation
ALPK1,AP2S1,-0.285714286,Correlation
ANKRD17,AP2S1,-0.047619048,Correlation
ANXA1,AP2S1,0.287430303,Correlation
ACTN1,ARHGAP29,0.731925055,Correlation
ADGRF5,ARHGAP29,0.454064642,Correlation
AHCTF1,ARHGAP29,0.380432538,Correlation
ALDH3A2,ARHGAP29,-0.142965692,Correlation
ALPK1,ARHGAP29,0.414757531,Correlation
ANKRD17,ARHGAP29,-0.097590007,Correlation
ANXA1,ARHGAP29,0.490880694,Correlation
AP2S1,ARHGAP29,-0.487950036,Correlation
ACTN1,ARIH1,0,Correlation
ADGRF5,ARIH1,0.239525252,Correlation
AHCTF1,ARIH1,-0.538931818,Correlation
ALDH3A2,ARIH1,-0.431244346,Correlation
ALPK1,ARIH1,-0.523809524,Correlation
ANKRD17,ARIH1,0.666666667,Correlation
ANXA1,ARIH1,-0.191620202,Correlation
AP2S1,ARIH1,0.142857143,Correlation
ARHGAP29,ARIH1,-0.097590007,Correlation
ACTN1,ATM,-0.371264141,Correlation
ADGRF5,ATM,0.180722892,Correlation
AHCTF1,ATM,0.518072289,Correlation
ALDH3A2,ATM,-0.350895491,Correlation
ALPK1,ATM,-0.467074242,Correlation
ANKRD17,ATM,0.27545404,Correlation
ANXA1,ATM,0.048192771,Correlation
AP2S1,ATM,0.071857576,Correlation
ARHGAP29,ATM,0.024544035,Correlation
ARIH1,ATM,0.119762626,Correlation
ACTN1,ATP2C1,-0.476190476,Correlation
ADGRF5,ATP2C1,0.179643939,Correlation
AHCTF1,ATP2C1,-0.359287879,Correlation
ALDH3A2,ATP2C1,-0.507346289,Correlation
ALPK1,ATP2C1,-0.714285714,Correlation
ANKRD17,ATP2C1,0.595238095,Correlation
ANXA1,ATP2C1,-0.407192929,Correlation
AP2S1,ATP2C1,0.30952381,Correlation
ARHGAP29,ATP2C1,-0.512347538,Correlation
ARIH1,ATP2C1,0.785714286,Correlation
ATM,ATP2C1,0.323359091,Correlation
ACTN1,ATP5C1,0.071428571,Correlation
ADGRF5,ATP5C1,-0.383240404,Correlation
AHCTF1,ATP5C1,-0.179643939,Correlation
ALDH3A2,ATP5C1,-0.215622173,Correlation
ALPK1,ATP5C1,-0.738095238,Correlation
ANKRD17,ATP5C1,0.428571429,Correlation
ANXA1,ATP5C1,0.347311616,Correlation
AP2S1,ATP5C1,0.69047619,Correlation
ARHGAP29,ATP5C1,-0.439155033,Correlation
ARIH1,ATP5C1,0.452380952,Correlation
ATM,ATP5C1,0.119762626,Correlation
ATP2C1,ATP5C1,0.476190476,Correlation
ACTN1,ATP5E,0.119047619,Correlation
ADGRF5,ATP5E,-0.155691414,Correlation
AHCTF1,ATP5E,0.071857576,Correlation
ALDH3A2,ATP5E,-0.038050972,Correlation
ALPK1,ATP5E,-0.452380952,Correlation
ANKRD17,ATP5E,0.023809524,Correlation
ANXA1,ATP5E,0.395216666,Correlation
AP2S1,ATP5E,0.761904762,Correlation
ARHGAP29,ATP5E,-0.317167524,Correlation
ARIH1,ATP5E,0.238095238,Correlation
ATM,ATP5E,0.011976263,Correlation
ATP2C1,ATP5E,0.30952381,Correlation
ATP5C1,ATP5E,0.880952381,Correlation
ACTN1,AURKAIP1,0.166666667,Correlation
ADGRF5,AURKAIP1,-0.095810101,Correlation
