Gene1,Gene2,corRvec,Interaction
ADGRF5,AHCTF1,0.126506024,Correlation
ACTN1,ALPK1,0.142857143,Correlation
ADGRF5,ALPK1,0.22754899,Correlation
AHCTF1,ALPK1,0.191620202,Correlation
ALDH3A2,ALPK1,0.608815547,Correlation
ACTN1,ANXA1,0.718575757,Correlation
AHCTF1,ANXA1,0.493975904,Correlation
AHCTF1,AP2S1,0.203596465,Correlation
ANXA1,AP2S1,0.287430303,Correlation
ACTN1,ARHGAP29,0.731925055,Correlation
ADGRF5,ARHGAP29,0.454064642,Correlation
AHCTF1,ARHGAP29,0.380432538,Correlation
ALPK1,ARHGAP29,0.414757531,Correlation
ANXA1,ARHGAP29,0.490880694,Correlation
ADGRF5,ARIH1,0.239525252,Correlation
ANKRD17,ARIH1,0.666666667,Correlation
AP2S1,ARIH1,0.142857143,Correlation
ADGRF5,ATM,0.180722892,Correlation
AHCTF1,ATM,0.518072289,Correlation
ANKRD17,ATM,0.27545404,Correlation
ARIH1,ATM,0.119762626,Correlation
ADGRF5,ATP2C1,0.179643939,Correlation
ANKRD17,ATP2C1,0.595238095,Correlation
AP2S1,ATP2C1,0.30952381,Correlation
ARIH1,ATP2C1,0.785714286,Correlation
ATM,ATP2C1,0.323359091,Correlation
ANKRD17,ATP5C1,0.428571429,Correlation
ANXA1,ATP5C1,0.347311616,Correlation
AP2S1,ATP5C1,0.69047619,Correlation
ARIH1,ATP5C1,0.452380952,Correlation
ATM,ATP5C1,0.119762626,Correlation
ATP2C1,ATP5C1,0.476190476,Correlation
ACTN1,ATP5E,0.119047619,Correlation
ANXA1,ATP5E,0.395216666,Correlation
AP2S1,ATP5E,0.761904762,Correlation
ARIH1,ATP5E,0.238095238,Correlation
ATP2C1,ATP5E,0.30952381,Correlation
ATP5C1,ATP5E,0.880952381,Correlation
ACTN1,AURKAIP1,0.166666667,Correlation
ANKRD17,AURKAIP1,0.19047619,Correlation
ANXA1,AURKAIP1,0.419169192,Correlation
AP2S1,AURKAIP1,0.738095238,Correlation
ARIH1,AURKAIP1,0.404761905,Correlation
ATP2C1,AURKAIP1,0.428571429,Correlation
ATP5C1,AURKAIP1,0.904761905,Correlation
ATP5E,AURKAIP1,0.976190476,Correlation
ACTN1,BBIP1,0.333333333,Correlation
ANKRD17,BBIP1,0.833333333,Correlation
ANXA1,BBIP1,0.311382828,Correlation
ARHGAP29,BBIP1,0.170782513,Correlation
ARIH1,BBIP1,0.404761905,Correlation
ATM,BBIP1,0.419169192,Correlation
ATP2C1,BBIP1,0.238095238,Correlation
ATP5C1,BBIP1,0.380952381,Correlation
AURKAIP1,BBIP1,0.142857143,Correlation
ACTN1,BGN,0.22754899,Correlation
ADGRF5,BGN,0.921686747,Correlation
ALPK1,BGN,0.299406565,Correlation
ARHGAP29,BGN,0.527696746,Correlation
ARIH1,BGN,0.371264141,Correlation
ATP2C1,BGN,0.167667677,Correlation
ADGRF5,BPTF,0.598813131,Correlation
ALDH3A2,BPTF,0.761019434,Correlation
ALPK1,BPTF,0.714285714,Correlation
ARHGAP29,BPTF,0.170782513,Correlation
BGN,BPTF,0.526955555,Correlation
AHCTF1,BTN3A3,0.155691414,Correlation
ALDH3A2,BTN3A3,0.13952023,Correlation
ATM,BTN3A3,0.299406565,Correlation
BBIP1,BTN3A3,0.30952381,Correlation
ADGRF5,C14orf1,0.670670707,Correlation
ARIH1,C14orf1,0.714285714,Correlation
ATM,C14orf1,0.203596465,Correlation
ATP2C1,C14orf1,0.595238095,Correlation
ATP5C1,C14orf1,0.285714286,Correlation
ATP5E,C14orf1,0.357142857,Correlation
AURKAIP1,C14orf1,0.428571429,Correlation
BGN,C14orf1,0.694623232,Correlation
BPTF,C14orf1,0.333333333,Correlation
