"","corRvec"
"ACTN1:ADGRF5",0.45
"ACTN1:AHCTF1",0.45
"ADGRF5:AHCTF1",0.7
"ACTN1:ALDH3A2",0.733333333333333
"ADGRF5:ALDH3A2",0.45
"AHCTF1:ALDH3A2",0.616666666666667
"ACTN1:ALPK1",0.583333333333333
"ADGRF5:ALPK1",0.75
"AHCTF1:ALPK1",0.95
"ALDH3A2:ALPK1",0.583333333333333
"ACTN1:ANKRD17",0.85
"ADGRF5:ANKRD17",0.666666666666667
"AHCTF1:ANKRD17",0.733333333333333
"ALDH3A2:ANKRD17",0.85
"ALPK1:ANKRD17",0.816666666666667
"ACTN1:ANXA1",0.466666666666667
"ADGRF5:ANXA1",0.6
"AHCTF1:ANXA1",0.683333333333333
"ALDH3A2:ANXA1",0.75
"ALPK1:ANXA1",0.666666666666667
"ANKRD17:ANXA1",0.716666666666667
"ACTN1:AP2S1",0.366666666666667
"ADGRF5:AP2S1",-0.116666666666667
"AHCTF1:AP2S1",-0.45
"ALDH3A2:AP2S1",-0.133333333333333
"ALPK1:AP2S1",-0.3
"ANKRD17:AP2S1",0.0166666666666667
"ANXA1:AP2S1",-0.133333333333333
"ACTN1:ARHGAP29",0.6
"ADGRF5:ARHGAP29",0.75
"AHCTF1:ARHGAP29",0.583333333333333
"ALDH3A2:ARHGAP29",0.6
"ALPK1:ARHGAP29",0.716666666666667
"ANKRD17:ARHGAP29",0.75
"ANXA1:ARHGAP29",0.85
"AP2S1:ARHGAP29",0.0333333333333333
"ACTN1:ARIH1",0.9
"ADGRF5:ARIH1",0.7
"AHCTF1:ARIH1",0.633333333333333
"ALDH3A2:ARIH1",0.8
"ALPK1:ARIH1",0.766666666666667
"ANKRD17:ARIH1",0.966666666666667
"ANXA1:ARIH1",0.65
"AP2S1:ARIH1",0.116666666666667
"ARHGAP29:ARIH1",0.8
"ACTN1:ATM",0.783333333333333
"ADGRF5:ATM",0.616666666666667
"AHCTF1:ATM",0.8
"ALDH3A2:ATM",0.733333333333333
"ALPK1:ATM",0.85
"ANKRD17:ATM",0.833333333333333
"ANXA1:ATM",0.483333333333333
"AP2S1:ATM",-0.25
"ARHGAP29:ATM",0.566666666666667
"ARIH1:ATM",0.833333333333333
"ACTN1:ATP2C1",0.883333333333333
"ADGRF5:ATP2C1",0.666666666666667
"AHCTF1:ATP2C1",0.6
"ALDH3A2:ATP2C1",0.783333333333333
"ALPK1:ATP2C1",0.75
"ANKRD17:ATP2C1",0.933333333333333
"ANXA1:ATP2C1",0.633333333333333
"AP2S1:ATP2C1",0.05
"ARHGAP29:ATP2C1",0.816666666666667
"ARIH1:ATP2C1",0.983333333333333
"ATM:ATP2C1",0.85
"ACTN1:ATP5C1",0.716666666666667
"ADGRF5:ATP5C1",0.616666666666667
"AHCTF1:ATP5C1",0.2
"ALDH3A2:ATP5C1",0.466666666666667
"ALPK1:ATP5C1",0.383333333333333
"ANKRD17:ATP5C1",0.566666666666667
"ANXA1:ATP5C1",0.45
"AP2S1:ATP5C1",0.316666666666667
"ARHGAP29:ATP5C1",0.766666666666667
"ARIH1:ATP5C1",0.733333333333333
"ATM:ATP5C1",0.533333333333333
"ATP2C1:ATP5C1",0.783333333333333
"ACTN1:ATP5E",-0.35
"ADGRF5:ATP5E",-0.383333333333333
"AHCTF1:ATP5E",-0.516666666666667
"ALDH3A2:ATP5E",-0.483333333333333
"ALPK1:ATP5E",-0.533333333333333
"ANKRD17:ATP5E",-0.483333333333333
"ANXA1:ATP5E",-0.1
"AP2S1:ATP5E",0.616666666666667
"ARHGAP29:ATP5E",-0.216666666666667
"ARIH1:ATP5E",-0.5
"ATM:ATP5E",-0.766666666666667
"ATP2C1:ATP5E",-0.566666666666667
"ATP5C1:ATP5E",-0.266666666666667
"ACTN1:AURKAIP1",-0.366666666666667
"ADGRF5:AURKAIP1",-0.3
"AHCTF1:AURKAIP1",-0.433333333333333
"ALDH3A2:AURKAIP1",-0.4
"ALPK1:AURKAIP1",-0.483333333333333
"ANKRD17:AURKAIP1",-0.433333333333333
"ANXA1:AURKAIP1",0
"AP2S1:AURKAIP1",0.55
"ARHGAP29:AURKAIP1",-0.166666666666667
"ARIH1:AURKAIP1",-0.466666666666667
"ATM:AURKAIP1",-0.75
"ATP2C1:AURKAIP1",-0.55
"ATP5C1:AURKAIP1",-0.283333333333333
"ATP5E:AURKAIP1",0.983333333333333
"ACTN1:BBIP1",0.883333333333333
"ADGRF5:BBIP1",0.55
"AHCTF1:BBIP1",0.716666666666667
"ALDH3A2:BBIP1",0.85
"ALPK1:BBIP1",0.733333333333333
"ANKRD17:BBIP1",0.85
"ANXA1:BBIP1",0.55
"AP2S1:BBIP1",-0.0333333333333333
"ARHGAP29:BBIP1",0.55
"ARIH1:BBIP1",0.85
"ATM:BBIP1",0.933333333333333
"ATP2C1:BBIP1",0.833333333333333
"ATP5C1:BBIP1",0.566666666666667
"ATP5E:BBIP1",-0.583333333333333
"AURKAIP1:BBIP1",-0.55
"ACTN1:BGN",0.100419289050687
"ADGRF5:BGN",-0.217575126276488
"AHCTF1:BGN",-0.200838578101374
"ALDH3A2:BGN",-0.200838578101374
"ALPK1:BGN",-0.125524111313358
"ANKRD17:BGN",-0.0502096445253434
"ANXA1:BGN",0.158997207663587
"AP2S1:BGN",0.652725378829464
"ARHGAP29:BGN",0.100419289050687
"ARIH1:BGN",-0.0920510149631295
"ATM:BGN",-0.326362689414732
"ATP2C1:BGN",-0.125524111313358
"ATP5C1:BGN",0.00836827408755723
"ATP5E:BGN",0.78661776423038
"AURKAIP1:BGN",0.719671571529922
"BBIP1:BGN",-0.200838578101374
"ACTN1:BPTF",0.866666666666667
"ADGRF5:BPTF",0.533333333333333
"AHCTF1:BPTF",0.75
"ALDH3A2:BPTF",0.916666666666667
"ALPK1:BPTF",0.75
"ANKRD17:BPTF",0.916666666666667
"ANXA1:BPTF",0.666666666666667
"AP2S1:BPTF",-0.0333333333333333
"ARHGAP29:BPTF",0.583333333333333
"ARIH1:BPTF",0.866666666666667
"ATM:BPTF",0.883333333333333
"ATP2C1:BPTF",0.833333333333333
"ATP5C1:BPTF",0.483333333333333
"ATP5E:BPTF",-0.5
"AURKAIP1:BPTF",-0.45
"BBIP1:BPTF",0.966666666666667
"BGN:BPTF",-0.0920510149631295
"ACTN1:BTN3A3",0.883333333333333
"ADGRF5:BTN3A3",0.633333333333333
"AHCTF1:BTN3A3",0.55
"ALDH3A2:BTN3A3",0.866666666666667
"ALPK1:BTN3A3",0.65
"ANKRD17:BTN3A3",0.916666666666667
"ANXA1:BTN3A3",0.616666666666667
"AP2S1:BTN3A3",0.1
"ARHGAP29:BTN3A3",0.733333333333333
"ARIH1:BTN3A3",0.966666666666667
"ATM:BTN3A3",0.8
"ATP2C1:BTN3A3",0.95
"ATP5C1:BTN3A3",0.733333333333333
"ATP5E:BTN3A3",-0.533333333333333
"AURKAIP1:BTN3A3",-0.483333333333333
"BBIP1:BTN3A3",0.866666666666667
"BGN:BTN3A3",-0.225943400364045
"BPTF:BTN3A3",0.866666666666667
"ACTN1:C14orf1",0.2
"ADGRF5:C14orf1",0.25
"AHCTF1:C14orf1",-0.133333333333333
"ALDH3A2:C14orf1",0.216666666666667
"ALPK1:C14orf1",-0.0666666666666667
"ANKRD17:C14orf1",0.133333333333333
"ANXA1:C14orf1",0.533333333333333
"AP2S1:C14orf1",0.483333333333333
"ARHGAP29:C14orf1",0.583333333333333
"ARIH1:C14orf1",0.233333333333333
"ATM:C14orf1",-0.183333333333333
"ATP2C1:C14orf1",0.216666666666667
"ATP5C1:C14orf1",0.55
"ATP5E:C14orf1",0.483333333333333
"AURKAIP1:C14orf1",0.533333333333333
"BBIP1:C14orf1",0.0166666666666667
"BGN:C14orf1",0.384940608027633
"BPTF:C14orf1",0.05
"BTN3A3:C14orf1",0.283333333333333
"ACTN1:C1orf61",-0.8
"ADGRF5:C1orf61",-0.183333333333333
"AHCTF1:C1orf61",-0.366666666666667
"ALDH3A2:C1orf61",-0.483333333333333
"ALPK1:C1orf61",-0.466666666666667
"ANKRD17:C1orf61",-0.6
"ANXA1:C1orf61",0
"AP2S1:C1orf61",-0.1
"ARHGAP29:C1orf61",-0.15
"ARIH1:C1orf61",-0.633333333333333
